source_headword	HR	example_HR
incur	prouzročiti	Kašnjenja mogu prouzročiti dodatne troškove.
indicator	pokazatelj	Nezaposlenost je jedan ekonomski pokazatelj.
indictment	optužnica	Optužnica je navela tri točke.
indigenous	autohton	Autohtone biljke ovdje dobro rastu.
induce	izazvati	Lijek može izazvati san.
indulge	udovoljavati	Ona ne udovoljava skupim navikama.
inequality	nejednakost	Nejednakost prihoda ostaje glavni problem.
infamous	zloglasan	Zatvor je postao svjetski zloglasan.
infant	dojenče	Dojenče je spavalo u krevetiću.
infect	zaraziti	Virus može zaraziti zdrave stanice.
inflict	nanijeti	Ne nanosite bol životinjama.
influential	utjecajan	Ona je utjecajna pravna znanstvenica.
inherent	inherentan	Dizajn ima inherentne rizike.
inhibit	sputavati	Strah može sputavati iskrenu raspravu.
initiate	pokrenuti	Menadžer će pokrenuti reviziju.
inject	ubrizgati	Medicinska sestra će ubrizgati cjepivo.
injection	injekcija	Injekcija je smanjila bol.
injustice	nepravda	Presuda je otkrila jasnu nepravdu.
inmate	zatvorenik	Zatvorenik je zatražio pravni savjet.
insertion	umetanje	Obrazac zahtijeva jedno umetanje teksta.
insider	insajder	Insajder je odao izvješće.
inspect	pregledati	Dužnosnici godišnje pregledavaju most.
inspection	inspekcija	Inspekcija je otkrila ozbiljna oštećenja.
inspiration	inspiracija	Njezin govor mi je dao inspiraciju.
instinct	instinkt	Njegov prvi instinkt bio je pomoći.
institutional	institucionalni	Institucionalna pravila oblikovala su odluku.
instruct	uputiti	Priručnik će uputiti novo osoblje.
instrumental	ključan	Njezin je savjet bio ključan u pregovorima.
insufficient	nedovoljan	Dokazi su bili nedovoljni za optužbe.
insult	uvreda	Njegova uvreda završila je razgovor.
intact	netaknut	Drevni zid ostao je netaknut.
intake	unos	Unos šećera trebao bi ostati umjeren.
integral	sastavni	Povjerenje je sastavni dio tima.
integrated	integriran	Škola nudi integriranu podršku.
integration	integracija	Integracija je poboljšala cijeli sustav.
integrity	integritet	Sudac je pokazao velik integritet.
intensify	pojačati	Oluja bi se mogla pojačati preko noći.
intensity	intenzitet	Intenzitet treninga se povećao.
