part_of_speech	source_lemma	display_ES	display_ES_419	article_ES	article_ES_419	gender	number_policy	verb_infinitive	verb_group	meaning_note	semantic_scene	topic_domain	example_ES	example_ES_419
adjective	brillante	brillante	brillante	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	bright or shiny	bright light	adjectives_part005	La luz es brillante.	La luz es brillante.
adjective	apagado	apagado	apagado	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	off	device off	adjectives_part005	El teléfono está apagado.	El teléfono está apagado.
adjective	encendido	encendido	encendido	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	on	device on	adjectives_part005	La pantalla está encendida.	La pantalla está encendida.
adjective	duro	duro	duro	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	hard	hard chair	adjectives_part005	La silla es dura.	La silla es dura.
adjective	blando	blando	blando	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	soft	soft bread	adjectives_part005	El pan está blando.	El pan está blando.
adjective	suave	suave	suave	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	soft or gentle	soft fabric	adjectives_part005	La bufanda es suave.	La bufanda es suave.
adjective	ruidoso	ruidoso	ruidoso	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	noisy	noisy place	adjectives_part005	El barrio es ruidoso.	El barrio es ruidoso.
adjective	silencioso	silencioso	silencioso	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	quiet	quiet room	adjectives_part005	La habitación es silenciosa.	La habitación es silenciosa.
adjective	delicioso	delicioso	delicioso	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	delicious	tasty food	adjectives_part005	La tarta está deliciosa.	La tarta está deliciosa.
noun	vaca	vaca	vaca	la	la	feminine	singular_default	not_applicable	not_applicable	cow	farm animal	animals_food_nature	La vaca está en el campo.	La vaca está en el campo.
noun	oveja	oveja	oveja	la	la	feminine	singular_default	not_applicable	not_applicable	sheep	farm animal	animals_food_nature	La oveja come hierba.	La oveja come hierba.
noun	gallina	gallina	gallina	la	la	feminine	singular_default	not_applicable	not_applicable	hen	farm bird	animals_food_nature	La gallina está en el patio.	La gallina está en el patio.
noun	conejo	conejo	conejo	el	el	masculine	singular_default	not_applicable	not_applicable	rabbit	small animal	animals_food_nature	El conejo corre en el jardín.	El conejo corre en el jardín.
noun	abeja	abeja	abeja	la	la	feminine	singular_default	not_applicable	not_applicable	bee	small insect	animals_food_nature	La abeja está en la flor.	La abeja está en la flor.
noun	mosca	mosca	mosca	la	la	feminine	singular_default	not_applicable	not_applicable	fly	small insect	animals_food_nature	La mosca está en la ventana.	La mosca está en la ventana.
noun	hormiga	hormiga	hormiga	la	la	feminine	singular_default	not_applicable	not_applicable	ant	small insect	animals_food_nature	La hormiga lleva comida.	La hormiga lleva comida.
noun	ciruela	ciruela	ciruela	la	la	feminine	singular_default	not_applicable	not_applicable	plum	fruit food	animals_food_nature	La ciruela está madura.	La ciruela está madura.
noun	higo	higo	higo	el	el	masculine	singular_default	not_applicable	not_applicable	fig	fruit food	animals_food_nature	El higo está dulce.	El higo está dulce.
noun	calabaza	calabaza	calabaza	la	la	feminine	singular_default	not_applicable	not_applicable	pumpkin	vegetable food	food_drink_shopping	La calabaza está en la cocina.	La calabaza está en la cocina.
noun	apio	apio	apio	el	el	masculine	singular_default	not_applicable	not_applicable	celery	vegetable food	food_drink_shopping	El apio está fresco.	El apio está fresco.
noun	puerro	puerro	puerro	el	el	masculine	singular_default	not_applicable	not_applicable	leek	vegetable food	food_drink_shopping	El puerro está en la sopa.	El puerro está en la sopa.
noun	pimiento	pimiento	pimiento	el	el	masculine	singular_default	not_applicable	not_applicable	pepper	vegetable food	food_drink_shopping	El pimiento es rojo.	El pimiento es rojo.
noun	canela	canela	canela	la	la	feminine	singular_default	not_applicable	not_applicable	cinnamon	spice	food_drink_shopping	La canela está en el postre.	La canela está en el postre.
noun	vainilla	vainilla	vainilla	la	la	feminine	singular_default	not_applicable	not_applicable	vanilla	flavor	food_drink_shopping	La vainilla huele bien.	La vainilla huele bien.
verb	estacionar	estacionar	estacionar	not_applicable	not_applicable	not_applicable	not_applicable	estacionar	-ar	to park	parking a car	transport_travel_verbs	Estaciono el coche cerca.	Estaciono el auto cerca.
verb	frenar	frenar	frenar	not_applicable	not_applicable	not_applicable	not_applicable	frenar	-ar	to brake	driving action	transport_travel_verbs	Freno antes de la curva.	Freno antes de la curva.
verb	girar	girar	girar	not_applicable	not_applicable	not_applicable	not_applicable	girar	-ar	to turn	changing direction	transport_travel_verbs	Giro a la derecha.	Giro a la derecha.
verb	volar	volar	volar	not_applicable	not_applicable	not_applicable	not_applicable	volar	irregular	to fly	air travel	transport_travel_verbs	Vuelo a Lima mañana.	Vuelo a Lima mañana.
verb	aterrizar	aterrizar	aterrizar	not_applicable	not_applicable	not_applicable	not_applicable	aterrizar	-ar	to land	plane landing	transport_travel_verbs	El avión aterriza pronto.	El avión aterriza pronto.
verb	nacer	nacer	nacer	not_applicable	not_applicable	not_applicable	not_applicable	nacer	irregular	to be born	birth	daily_life_verbs	El bebé nace en mayo.	El bebé nace en mayo.
verb	morir	morir	morir	not_applicable	not_applicable	not_applicable	not_applicable	morir	irregular	to die	end of life	daily_life_verbs	La planta muere sin agua.	La planta muere sin agua.
verb	crecer	crecer	crecer	not_applicable	not_applicable	not_applicable	not_applicable	crecer	irregular	to grow	growing child	daily_life_verbs	El niño crece rápido.	El niño crece rápido.
verb	secar	secar	secar	not_applicable	not_applicable	not_applicable	not_applicable	secar	-ar	to dry	drying clothes	home_care_verbs	Seco la ropa al sol.	Seco la ropa al sol.
verb	planchar	planchar	planchar	not_applicable	not_applicable	not_applicable	not_applicable	planchar	-ar	to iron	ironing clothes	home_care_verbs	Plancho la camisa.	Plancho la camisa.
verb	barrer	barrer	barrer	not_applicable	not_applicable	not_applicable	not_applicable	barrer	-er	to sweep	cleaning floor	home_care_verbs	Barro el suelo por la mañana.	Barro el suelo por la mañana.
verb	ducharse	ducharse	ducharse	not_applicable	not_applicable	not_applicable	not_applicable	ducharse	-ar	to shower	daily routine	daily_routine_verbs	Me ducho antes de cenar.	Me ducho antes de cenar.
verb	vestirse	vestirse	vestirse	not_applicable	not_applicable	not_applicable	not_applicable	vestirse	irregular	to get dressed	daily routine	daily_routine_verbs	Me visto en el dormitorio.	Me visto en el dormitorio.
verb	peinarse	peinarse	peinarse	not_applicable	not_applicable	not_applicable	not_applicable	peinarse	-ar	to comb hair	daily routine	daily_routine_verbs	Me peino frente al espejo.	Me peino frente al espejo.
verb	afeitarse	afeitarse	afeitarse	not_applicable	not_applicable	not_applicable	not_applicable	afeitarse	-ar	to shave	personal care	daily_routine_verbs	Me afeito por la mañana.	Me afeito por la mañana.
