simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
吧	partykuła sugestii; prawda?	Chodźmy.	toch; hè; aansporingspartikel	Laten we gaan.	väl; då; uppmaningspartikel	Nu går vi.	vel; da; oppfordringspartikkel	La oss gå.
白	biały	Ta część garderoby jest biała.	wit	Dit kledingstuk is wit.	vit	Det här klädesplagget är vitt.	hvit	Dette klesplagget er hvitt.
百	sto	Ten telefon kosztuje sto juanów.	honderd	Deze telefoon kost honderd yuan.	hundra	Den här telefonen kostar hundra yuan.	hundre	Denne telefonen koster hundre yuan.
帮助	pomagać; pomoc	Proszę mi pomóc.	helpen; de hulp	Help mij alstublieft.	hjälpa; hjälp	Hjälp mig, är du snäll.	å hjelpe; hjelp	Vær så snill å hjelpe meg.
报纸	gazeta	Tata czyta gazetę.	de krant	Vader leest de krant.	en tidning	Pappa läser tidningen.	en avis	Pappa leser avisen.
比	niż; porównywać	Dziś jest cieplej niż wczoraj.	dan; vergelijken	Vandaag is het warmer dan gisteren.	än; jämföra	I dag är det varmare än i går.	enn; å sammenligne	I dag er det varmere enn i går.
别	nie; inny	Nie idź.	niet doen; ander	Ga niet.	inte; annan	Gå inte.	ikke; annen	Ikke gå.
长	długi	Ta droga jest długa.	lang	Deze weg is lang.	lång	Den här vägen är lång.	lang	Denne veien er lang.
唱歌	śpiewać	Moja młodsza siostra lubi śpiewać.	zingen	Mijn jongere zus zingt graag.	sjunga	Min lillasyster tycker om att sjunga.	å synge	Lillesøsteren min liker å synge.
出	wychodzić; wyjść	On wyszedł.	uitgaan; eruit komen	Hij is naar buiten gegaan.	gå ut; komma ut	Han har gått ut.	å gå ut; å komme ut	Han har gått ut.
穿	nosić; wkładać	Mam na sobie białe ubranie.	dragen; aantrekken	Ik draag witte kleren.	bära; ta på sig	Jag har vita kläder på mig.	å ha på seg; å ta på seg	Jeg har på meg hvite klær.
船	łódź; statek	Łódź jest na wodzie.	de boot; het schip	De boot ligt op het water.	en båt; ett fartyg	Båten ligger på vattnet.	en båt; et skip	Båten ligger på vannet.
次	raz; wystąpienie	Byłem w Pekinie raz.	de keer	Ik ben één keer in Beijing geweest.	en gång	Jag har varit i Peking en gång.	en gang	Jeg har vært i Beijing én gang.
从	z; od	Wychodzę z domu i idę do szkoły.	van; uit	Ik ga van huis naar school.	från	Jag går hemifrån till skolan.	fra	Jeg går hjemmefra til skolen.
错	błędny; błąd	Mylisz się.	fout; de fout	Je hebt ongelijk.	fel; ett misstag	Du har fel.	feil; en feil	Du tar feil.
打篮球	grać w koszykówkę	Mój starszy brat gra w koszykówkę.	basketballen	Mijn oudere broer is aan het basketballen.	spela basket	Min storebror spelar basket.	å spille basketball	Storebroren min spiller basketball.
大家	wszyscy	Wszyscy przyszli.	iedereen	Iedereen is gekomen.	alla	Alla har kommit.	alle	Alle har kommet.
但是	ale; jednak	Jestem zajęty, ale bardzo szczęśliwy.	maar; echter	Ik ben erg druk, maar heel blij.	men; dock	Jag är mycket upptagen, men väldigt glad.	men; likevel	Jeg er veldig travel, men veldig glad.
到	dotrzeć; przybyć	Dotarłem już do szkoły.	aankomen; bereiken	Ik ben al op school aangekomen.	komma fram; nå	Jag har kommit fram till skolan.	å komme fram; å nå	Jeg har kommet fram til skolen.
得	partykuła dopełnienia stopnia	On biega szybko.	partikel voor graadcomplement	Hij rent snel.	partikel för gradkomplement	Han springer snabbt.	partikkel for gradsutfylling	Han løper fort.
等	czekać	Czekam na ciebie.	wachten	Ik wacht op je.	vänta	Jag väntar på dig.	å vente	Jeg venter på deg.
弟弟	młodszy brat	Mój młodszy brat jest w domu.	het jongere broertje; de jongere broer	Mijn jongere broer is thuis.	en lillebror	Min lillebror är hemma.	en lillebror	Lillebroren min er hjemme.
第一	pierwszy	On jest pierwszy.	eerste	Hij is eerste.	första	Han är först.	første	Han er først.
懂	rozumieć	Teraz rozumiem.	begrijpen	Nu begrijp ik het.	förstå	Nu förstår jag.	å forstå	Nå forstår jeg.
对	poprawny; w stronę	To, co powiedziałeś, jest poprawne.	juist; naar	Wat je zei is juist.	rätt; mot	Det du sade är rätt.	riktig; mot	Det du sa, er riktig.
