hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
503:爱人	爱人	爱人	supružnik; voljena osoba	Moj supružnik danas radi prekovremeno.	zakonec; ljubljena oseba	Moj zakonec danes dela nadure.	sutuoktinis; mylimas žmogus	Mano sutuoktinis šiandien dirba viršvalandžius.	laulātais; mīļotais cilvēks	Mans laulātais šodien strādā virsstundas.	abikaasa; kallim	Mu abikaasa teeb täna ületunde.	maki; ástvinur	Maki minn vinnur yfirvinnu í dag.
508:班级	班级	班级	odeljenje; razred	U našem odeljenju ima trideset učenika.	razred; razredna skupina	V našem razredu je trideset učencev.	klasė; mokinių grupė	Mūsų klasėje yra trisdešimt mokinių.	klase; klases grupa	Mūsu klasē ir trīsdesmit skolēnu.	klass; klassirühm	Meie klassis on kolmkümmend õpilast.	bekkur; bekkjarhópur	Í bekknum okkar eru þrjátíu nemendur.
509:搬家	搬家	搬家	seliti se; preseljenje	Ovog vikenda se selimo.	seliti se; preselitev	Ta konec tedna se selimo.	kraustytis; persikraustymas	Šį savaitgalį kraustomės.	pārcelties; pārvākšanās	Šajā nedēļas nogalē pārvācamies.	kolima; kolimine	Sel nädalavahetusel kolime.	flytja búferlum	Við flytjum um helgina.
510:办	办	办	obaviti; srediti	Popodne idem u banku da sredim bankovnu karticu.	urediti; opraviti	Popoldne grem v banko urediti bančno kartico.	tvarkyti; atlikti	Po pietų eisiu į banką susitvarkyti banko kortelės.	kārtot; izdarīt	Pēcpusdienā iešu uz banku nokārtot bankas karti.	ajama; korda ajama	Pärastlõunal lähen panka pangakaarti vormistama.	afgreiða; sjá um	Ég fer í bankann síðdegis til að útvega bankakort.
513:半天	半天	半天	pola dana; dugo vremena	Čekao sam dugo dok nije došao.	pol dneva; dolgo časa	Dolgo sem čakal, preden je prišel.	pusė dienos; ilgai	Ilgai laukiau, kol jis atėjo.	puse dienas; ilgs laiks	Es ilgi gaidīju, līdz viņš atnāca.	pool päeva; kaua aega	Ootasin kaua, enne kui ta tuli.	hálfur dagur; langur tími	Ég beið lengi áður en hann kom.
517:北	北	北	sever	Severno od škole nalazi se park.	sever	Severno od šole je park.	šiaurė	Į šiaurę nuo mokyklos yra parkas.	ziemeļi	Uz ziemeļiem no skolas ir parks.	põhi	Koolist põhja pool on park.	norður	Það er garður norðan við skólann.
520:笔记	笔记	笔记	beleške; zapisi	Na času pažljivo pravi beleške.	zapiski	Pri pouku si skrbno dela zapiske.	užrašai	Per pamoką jis kruopščiai rašo užrašus.	piezīmes	Stundā viņš rūpīgi pieraksta piezīmes.	märkmed	Tunnis teeb ta hoolikalt märkmeid.	glósur	Hann tekur vandlega glósur í tíma.
526:变	变	变	promeniti se	Vreme je postalo hladno.	spremeniti se	Vreme se je ohladilo.	keistis	Oras atšalo.	mainīties	Laiks ir kļuvis auksts.	muutuma	Ilm on külmaks muutunud.	breytast	Veðrið er orðið kalt.
528:变成	变成	变成	postati; pretvoriti se u	Kiša se pretvorila u sneg.	postati; spremeniti se v	Dež se je spremenil v sneg.	tapti; pavirsti	Lietus pavirto sniegu.	kļūt par; pārvērsties	Lietus pārvērtās par sniegu.	muutuma millekski	Vihm muutus lumeks.	verða að; breytast í	Rigningin breyttist í snjó.
531:别的	别的	别的	drugi; drugačiji	Imaš li još neko drugo pitanje?	drugi; drugačen	Imaš še kakšno drugo vprašanje?	kitas; kitoks	Ar turi dar kokių nors kitų klausimų?	cits; atšķirīgs	Vai tev ir vēl kāds cits jautājums?	muu; teistsugune	Kas sul on veel mõni muu küsimus?	annar; öðruvísi	Ertu með einhverja aðra spurningu?
533:宾馆	宾馆	宾馆	prenoćište; hotel	Odsedamo u hotelu blizu aerodroma.	gostišče; hotel	Bivamo v hotelu blizu letališča.	viešbutis	Apsistojome viešbutyje netoli oro uosto.	viesnīca	Mēs dzīvojam viesnīcā netālu no lidostas.	hotell	Ööbime lennujaama lähedal hotellis.	hótel	Við gistum á hóteli nálægt flugvellinum.
534:冰	冰	冰	led	U čaši ima leda.	led	V kozarcu je led.	ledas	Stiklinėje yra ledo.	ledus	Glāzē ir ledus.	jää	Klaasis on jääd.	ís	Það er ís í glasinu.
537:病人	病人	病人	pacijent; bolesnik	Lekar pregleda pacijenta.	pacient; bolnik	Zdravnik pregleduje pacienta.	pacientas; ligonis	Gydytojas apžiūri pacientą.	pacients; slimnieks	Ārsts apskata pacientu.	patsient; haige	Arst vaatab patsienti läbi.	sjúklingur	Læknirinn skoðar sjúkling.
