hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
1004:安检	安检	安检	လုံခြုံရေးစစ်ဆေးမှု	ဘူတာရုံထဲ မဝင်ခင် ခရီးသည်အားလုံး လုံခြုံရေးစစ်ဆေးမှု ဖြတ်ရမယ်။	ការត្រួតពិនិត្យសុវត្ថិភាព	មុនចូលស្ថានីយ អ្នកដំណើរទាំងអស់ត្រូវឆ្លងកាត់ការត្រួតពិនិត្យសុវត្ថិភាព។	ການກວດຄວາມປອດໄພ	ກ່ອນເຂົ້າສະຖານີ ຜູ້ໂດຍສານທຸກຄົນຕ້ອງຜ່ານການກວດຄວາມປອດໄພ.	सुरक्षा जाँच	स्टेशनमा छिर्नुअघि सबै यात्रुले सुरक्षा जाँच पार गर्नुपर्छ।
1006:按	按	按	နှိပ်သည်; အရ	တံခါးဖွင့်ရန် အစိမ်းရောင်ခလုတ်ကို နှိပ်ပါ။	ចុច; តាម	សូមចុចប៊ូតុងពណ៌បៃតងដើម្បីបើកទ្វារ។	ກົດ; ຕາມ	ກະລຸນາກົດປຸ່ມສີຂຽວເພື່ອເປີດປະຕູ.	थिच्नु; अनुसार	ढोका खोल्न हरियो बटन थिच्नुहोस्।
1009:白酒	白酒	白酒	ပိုင်ကျို; တရုတ်အရက်	သူက တရုတ်အရက်မသောက်ဘဲ လက်ဖက်ရည်ပဲ သောက်တယ်။	បៃជ្យូ; ស្រាចិន	គាត់មិនផឹកស្រាចិនទេ គាត់ផឹកតែប៉ុណ្ណោះ។	ເຫຼົ້າຂາວຈີນ	ລາວບໍ່ດື່ມເຫຼົ້າຂາວຈີນ ດື່ມແຕ່ຊາ.	बाइजिउ; चिनियाँ मदिरा	ऊ बाइजिउ पिउँदैन, चिया मात्र पिउँछ।
1010:办公	办公	办公	ရုံးလုပ်ငန်းလုပ်သည်	ဒီနေ့ သူ အိမ်ကနေ ရုံးလုပ်ငန်းလုပ်နေတယ်။	ធ្វើការការិយាល័យ	ថ្ងៃនេះនាងធ្វើការពីផ្ទះ។	ເຮັດວຽກຫ້ອງການ	ມື້ນີ້ນາງເຮັດວຽກຈາກເຮືອນ.	कार्यालयको काम गर्नु	उनी आज घरबाट कार्यालयको काम गर्दै छिन्।
1012:办事	办事	办事	ကိစ္စဆောင်ရွက်သည်	ဒီနေ့လယ် ဘဏ်ကို ကိစ္စဆောင်ရွက်ဖို့ သွားမယ်။	ដោះស្រាយការងារ	រសៀលនេះខ្ញុំនឹងទៅធនាគារដើម្បីដោះស្រាយការងារ។	ຈັດການທຸລະ	ຕອນບ່າຍຂ້ອຍຈະໄປທະນາຄານເພື່ອຈັດການທຸລະ.	कामकाज मिलाउनु	आज दिउँसो म कामकाज मिलाउन बैंक जान्छु।
1017:报考	报考	报考	စာမေးပွဲလျှောက်သည်	သူက တရုတ်စာမေးပွဲ ဖြေဖို့ လျှောက်ရန် ပြင်ဆင်နေတယ်။	ដាក់ពាក្យប្រឡង	គាត់កំពុងរៀបចំដាក់ពាក្យប្រឡងភាសាចិន។	ສະໝັກສອບ	ລາວກຳລັງກຽມສະໝັກສອບພາສາຈີນ.	परीक्षाका लागि आवेदन दिनु	ऊ चिनियाँ परीक्षाका लागि आवेदन दिन तयारी गर्दै छ।
1021:背包	背包	背包	ကျောပိုးအိတ်	ကျွန်တော့် ကျောပိုးအိတ်က တံခါးနားမှာ ရှိတယ်။	កាបូបស្ពាយ	កាបូបស្ពាយរបស់ខ្ញុំនៅក្បែរទ្វារ។	ກະເປົາສະພາຍຫຼັງ	ກະເປົາສະພາຍຫຼັງຂອງຂ້ອຍຢູ່ໃກ້ປະຕູ.	झोला; ब्याकप्याक	मेरो ब्याकप्याक ढोकाछेउमा छ।
1022:北部	北部	北部	မြောက်ပိုင်း	ဒီမြို့ရဲ့ မြောက်ပိုင်းမှာ တောင်တစ်လုံးရှိတယ်။	ផ្នែកខាងជើង	ផ្នែកខាងជើងនៃទីក្រុងនេះមានភ្នំមួយ។	ພາກເໜືອ	ທາງພາກເໜືອຂອງເມືອງນີ້ມີພູໜຶ່ງ.	उत्तरी भाग	यो सहरको उत्तरी भागमा एउटा पहाड छ।
1028:笔试	笔试	笔试	ရေးဖြေစာမေးပွဲ	မနက်ဖြန် နံနက်မှာ ရေးဖြေစာမေးပွဲတစ်ခု ရှိတယ်။	ការប្រឡងសរសេរ	ព្រឹកស្អែកមានការប្រឡងសរសេរមួយ។	ການສອບຂຽນ	ພົ່ງນີ້ຕອນເຊົ້າມີການສອບຂຽນໜຶ່ງ.	लिखित परीक्षा	भोलि बिहान एउटा लिखित परीक्षा छ।
1030:毕业生	毕业生	毕业生	ဘွဲ့ရ; ကျောင်းပြီးသူ	ဘွဲ့ရများစွာ အလုပ်ရှာနေကြတယ်။	និស្សិតបញ្ចប់ការសិក្សា	និស្សិតបញ្ចប់ការសិក្សាច្រើននាក់កំពុងស្វែងរកការងារ។	ຜູ້ຮຽນຈົບ	ຜູ້ຮຽນຈົບຫຼາຍຄົນກຳລັງຊອກວຽກ.	स्नातक; पढाइ सकेको व्यक्ति	धेरै स्नातकहरू जागिर खोज्दै छन्।
