source_headword	ES	example_ES
hunt	cazar	Ellos buscan setas en otoño.
hurricane	el huracán	El huracán dañó muchas casas.
hurry	la prisa	No hay prisa hoy.
identity	la identidad	Su identidad permaneció secreta.
ignore	ignorar	No ignores esta advertencia.
illegal	ilegal	Es ilegal estacionar aquí.
imaginary	imaginario	La historia tiene una isla imaginaria.
immediate	inmediato	Necesitamos una respuesta inmediata.
immigrant	el inmigrante	El inmigrante aprendió inglés rápidamente.
impact	el impacto	La noticia tuvo un fuerte impacto.
import	importar	El país importará más arroz.
importance	la importancia	Ella entendió la importancia del sueño.
impression	la impresión	Su primera impresión fue positiva.
impressive	impresionante	El museo tiene una entrada impresionante.
improvement	la mejora	Hubo una mejora clara este mes.
incredibly	increíblemente	El examen fue increíblemente difícil.
indeed	en efecto	Fue en efecto un día extraño.
indicate	indicar	La señal indicará la salida.
indirect	indirecto	Ella dio una respuesta indirecta.
indoor	interior	El hotel tiene una piscina interior.
indoors	dentro	Nos quedamos dentro durante la tormenta.
influence	la influencia	Su profesor tuvo una gran influencia.
ingredient	el ingrediente	La harina es el ingrediente principal.
injure	lesionar	No te lesiones la espalda.
injured	lesionado	El jugador lesionado salió del campo.
innocent	inocente	El niño parecía completamente inocente.
intelligence	la inteligencia	Ella mostró gran inteligencia en clase.
intend	tener la intención	Tengo la intención de estudiar en el extranjero.
intention	la intención	Su intención era ayudar.
invest	invertir	Ellos invierten dinero en educación.
investigate	investigar	La policía investigará el accidente.
involved	involucrado	Varios estudiantes estuvieron involucrados.
iron	el hierro	La puerta está hecha de hierro.
issue	el asunto	Este es un asunto serio.
IT	la informática	Ella trabaja en informática.
journal	el diario	Él escribe en un diario.
judge	el juez	El juez escuchó atentamente.
keen	entusiasmado	Ella está entusiasmada por aprender.
keyboard	el teclado	Mi teclado dejó de funcionar.
kick	patear	Patea la pelota suavemente.
killing	el asesinato	El asesinato conmocionó al pueblo.
kind (caring)	amable	Fue un gesto amable.
kiss	el beso	Ella le dio un beso al bebé.
label	la etiqueta	Lee la etiqueta antes de usarlo.
laboratory	el laboratorio	El laboratorio está cerrado hoy.
lack	la falta	La falta de sueño daña la memoria.
latest	el último	¿Has leído el último informe?
lay	colocar	Coloca el libro sobre la mesa.
layer	la capa	Añade otra capa de pintura.
leading	destacado	Ella es una científica destacada.
leaf	la hoja	Una hoja cayó sobre mi abrigo.
leather	el cuero	Su bolso está hecho de cuero.
legal	legal	Necesitamos asesoramiento legal.
leisure	el ocio	Leer es mi actividad de ocio favorita.
length	la longitud	Mide la longitud de la habitación.
lie2 (tell a lie)	mentir	No mientas a tus padres.
limit	el límite	El límite de velocidad es cincuenta.
lip	el labio	Ella se mordió el labio.
liquid	el líquido	El agua es un líquido transparente.
literature	la literatura	Ella estudia literatura francesa.
live2	en vivo	La banda tocó en vivo anoche.
living	vivo	Las plantas vivas necesitan luz.
locate	localizar	¿Puedes localizar el archivo?
located	ubicado	La oficina está ubicada en el centro.
location	la ubicación	Esta es una buena ubicación.
lonely	solo	Él se sintió solo después de mudarse.
loss	la pérdida	La pérdida fue dura para todos.
luxury	el lujo	El hotel ofrece verdadero lujo.
mad	enojado	Ella estaba enojada por el retraso.
magic	la magia	El espectáculo estaba lleno de magia.
mainly	principalmente	El grupo está formado principalmente por estudiantes.
mall	el centro comercial	Nos reunimos en el centro comercial.
management	la gestión	Una buena gestión ahorra tiempo.
marketing	el marketing	El marketing ayuda a vender el producto.
marriage	el matrimonio	Su matrimonio duró treinta años.
meanwhile	mientras tanto	Yo cociné la cena mientras tanto.
measure	medir	Mide la mesa con cuidado.
medium	mediano	Pedí una pizza mediana.
mental	mental	El estrés afecta la salud mental.
mess	el desorden	Limpia este desorden.
mild	suave	La sopa tiene un sabor suave.
mine (hole in the ground)	la mina	La mina cerró el año pasado.
mix	mezclar	Mezcla los huevos con leche.
mixture	la mezcla	La mezcla se volvió espesa.
mood	el estado de ánimo	La música cambió su estado de ánimo.
mud	el barro	Sus zapatos estaban cubiertos de barro.
murder	el asesinato	El asesinato ocurrió de noche.
muscle	el músculo	El ejercicio desarrolla músculo.
mystery	el misterio	La casa vieja es un misterio.
nail	la uña	Me rompí una uña.
narrative	la narrativa	La novela tiene una narrativa clara.
nation	la nación	Toda la nación celebró.
native	nativo	El español es su lengua nativa.
naturally	naturalmente	Los niños aprenden naturalmente jugando.
necessarily	necesariamente	La comida cara no es necesariamente mejor.
needle	la aguja	La aguja es muy afilada.
neighbourhood	el barrio	Ellos viven en un barrio tranquilo.
net	la red	El pescador reparó su red.
