source_headword	RU	example_RU
prey	добыча	Совы охотятся на добычу ночью.
privatization	приватизация	Приватизация изменила железнодорожную систему.
privilege	привилегия	Образование не должно быть привилегией.
probe	расследование	Расследование выявило серьезные ошибки.
problematic	проблематичный	Соглашение остается проблематичным.
proceedings	разбирательство	Судебное разбирательство началось в понедельник.
proceeds	выручка	Выручка пойдет на поддержку местных школ.
processing	обработка	Обработка изображений занимает время.
processor	процессор	Процессор вышел из строя во время тестирования.
proclaim	провозглашать	Лидеры слишком рано провозглашают победу.
productive	продуктивный	Встреча была продуктивной.
productivity	производительность	Производительность улучшилась после обучения.
profitable	прибыльный	В этом году магазин стал прибыльным.
profound	глубокий	Речь произвела глубокое впечатление.
projection	прогноз	Прогноз показывает стабильный рост.
prominent	выдающийся	Она стала выдающимся ученым.
pronounced	выраженный	Его акцент стал более выраженным.
propaganda	пропаганда	Кампания использовала пропаганду в интернете.
proposition	предложение	Это предложение — рискованная затея.
prosecute	преследовать в судебном порядке	Власти преследуют в судебном порядке серьезные случаи мошенничества.
prosecution	обвинение	Сторона обвинения представила новые доказательства.
prosecutor	прокурор	Прокурор допросил свидетеля.
prospective	потенциальный	Потенциальные студенты осмотрели кампус.
prosperity	процветание	Торговля принесла региону процветание.
protective	защитный	Она носила защитные перчатки.
protocol	протокол	Протокол требует письменного утверждения.
province	провинция	Провинция инвестировала в транспорт.
provincial	провинциальный	Провинциальные чиновники объявили о плане.
provision	положение	Контракт включает положение о безопасности.
provoke	провоцировать	Речь может спровоцировать сильную реакцию.
psychiatric	психиатрический	В больнице открылось психиатрическое отделение.
pulse	пульс	Медсестра проверила его пульс.
pump	насос	Насос подает воду наверх.
punch	удар кулаком	Он в гневе нанес удар кулаком.
query	запрос	Отправьте ваш запрос в службу поддержки.
quest	поиски	Их поиски справедливости продолжались.
quota	квота	Команда выполнила свою квоту продаж.
radar	радар	Буря появилась на радаре.
radical	радикальный	Группа предложила радикальные реформы.
rage	ярость	Его ярость быстро угасла.
raid	рейд	Полиция провела рейд на рассвете.
rally	митинг	Сторонники присоединились к митингу в центре города.
ranking	рейтинг	Университет улучшил свой рейтинг.
rape	изнасилование	Дела об изнасиловании требуют тщательного расследования.
ratio	соотношение	В классе низкое соотношение учеников и учителей.
rational	рациональный	Ее решение было рациональным.
ray	луч	Внутрь проник луч солнечного света.
readily	охотно	Он охотно принял предложение.
realization	осознание	Это осознание изменило ее планы.
realm	сфера	Этот вопрос относится к другой сфере.
rear	задний	Сегодня используйте задний вход.
reasoning	рассуждение	Его ход мыслей был ясен.
reassure	успокаивать	Врач попытался ее успокоить.
rebel	повстанец	Лидеру повстанцев удалось избежать пленения.
rebellion	восстание	Восстание закончилось после переговоров.
recipient	получатель	Получатель подписал форму.
reconstruction	реконструкция	Реконструкция началась после наводнения.
recount1	подробно рассказывать	Она может ясно пересказать события.
referendum	референдум	Референдум разделил страну.
reflection	размышление	Эссе требовало более глубокого размышления.
reform	реформа	Реформа улучшила качество государственных услуг.
refuge	убежище	Семья искала убежище за границей.
refusal	отказ	Ее отказ удивил комитет.
regain	восстановить	Он много работал, чтобы восстановить доверие.
regardless	несмотря ни на что	Они продолжили, несмотря на критику.
regime	режим	Режим ограничил свободу слова.
regulator	регулятор	Регулятор оштрафовал компанию.
regulatory	нормативный	Получение нормативного одобрения заняло несколько месяцев.
rehabilitation	реабилитация	Реабилитация помогла ему снова ходить.
reign	правление	Правление короля длилось десятилетиями.
rejection	отказ	Отказ сильно ударил по ее уверенности в себе.
