source_headword	KM	example_KM
absorb	ស្រូបយក	កន្សែងនេះស្រូបយកទឹកបានយ៉ាងលឿន។
abstract	អរូបី	បទបង្ហាញបានពិភាក្សាអំពីគំនិតអរូបី។
accent	ការបញ្ចេញសំឡេង	សំឡេងនិយាយរបស់នាងងាយស្រួលយល់។
accidentally	ដោយចៃដន្យ	ខ្ញុំបានលុបឯកសារដោយចៃដន្យ។
accommodate	សម្របសម្រួល	សណ្ឋាគារនេះអាចផ្តល់កន្លែងស្នាក់នៅសម្រាប់គ្រួសារធំៗ។
accomplish	សម្រេចបាន	នាងបានសម្រេចគោលដៅរបស់នាងមុនខែមិថុនា។
accountant	គណនេយ្យករ	គណនេយ្យករបានពិនិត្យវិក្កយបត្រ។
accuracy	ភាពត្រឹមត្រូវ	ការធ្វើតេស្តវាស់ស្ទង់ភាពត្រឹមត្រូវនៃការអាន។
accurately	យ៉ាងត្រឹមត្រូវ	ផែនទីបង្ហាញផ្លូវយ៉ាងត្រឹមត្រូវ។
acid	អាស៊ីត	អាស៊ីតបានធ្វើឱ្យខូចផ្ទៃលោហៈ។
activate	ធ្វើឱ្យសកម្ម	ចុចប៊ូតុងដើម្បីបើកដំណើរការសំឡេងប្រកាសអាសន្ន។
addiction	ការញៀន	ការញៀនរបស់គាត់បានប៉ះពាល់ដល់ការងាររបស់គាត់។
additionally	បន្ថែមពីនេះ	បន្ថែមពីនេះយើងត្រូវការកៅអីបន្ថែមទៀត។
adequate	គ្រប់គ្រាន់	បន្ទប់នេះមានពន្លឺគ្រប់គ្រាន់។
adequately	យ៉ាងគ្រប់គ្រាន់	របាយការណ៍នេះបានពន្យល់ពីបញ្ហាយ៉ាងគ្រប់គ្រាន់។
adjust	កែតម្រូវ	កែតម្រូវកៅអីមុនពេលបើកបរ។
affordable	សមរម្យ	អាផាតមិននេះមានតម្លៃដែលអាចឲ្យសិស្សនិស្សិតទិញបាន។
agriculture	កសិកម្ម	កសិកម្មជួយគាំទ្រដល់គ្រួសារនៅជនបទជាច្រើន។
AIDS	ជំងឺអេដស៍	គ្រូពេទ្យព្យាបាលជំងឺអេដស៍ដោយប្រើថ្នាំទំនើប។
alien	ភាវៈក្រៅភព	ខ្សែភាពយន្តនេះបង្ហាញពីភពរបស់មនុស្សភពផ្កាយ។
alongside	នៅក្បែរ	ផ្លូវកង់មានទីតាំងនៅទន្ទឹមនឹងដងទន្លេ។
altogether	ទាំងស្រុង	សរុបទាំងអស់គម្រោងនេះចំណាយពេលប្រាំមួយសប្តាហ៍។
ambulance	រថយន្តសង្គ្រោះបន្ទាន់	រថយន្តសង្គ្រោះបន្ទាន់បានមកដល់ក្នុងរយៈពេលប៉ុន្មាននាទី។
amusing	គួរឱ្យអស់សំណើច	សាច់រឿងនេះគួរឱ្យអស់សំណើចនិងស្រាលស្រទន់។
analyst	អ្នកវិភាគ	អ្នកវិភាគបានពិនិត្យមើលទិន្នន័យនៃការលក់។
ancestor	បុព្វបុរស	ដូនតារបស់ខ្ញុំរស់នៅក្បែរភូមិនេះ។
animation	គំនូរជីវចល	គំនូរជីវចលបានធ្វើឱ្យមេរៀនកាន់តែច្បាស់។
annually	ជារៀងរាល់ឆ្នាំ	ពិធីបុណ្យនេះត្រូវបានប្រារព្ធឡើងជារៀងរាល់ឆ្នាំ។
anticipate	រំពឹងទុក	យើងរំពឹងទុកថានឹងមានចរាចរណ៍កកស្ទះនៅថ្ងៃស្អែក។
anxiety	ការថប់បារម្ភ	ការថប់បារម្ភអាចធ្វើឱ្យពិបាកដេក។
apology	ការសុំទោស	នាងបានធ្វើការសុំទោសយ៉ាងស្មោះ។
applicant	បេក្ខជន	អ្នកដាក់ពាក្យបានផ្ញើប្រវត្តិរូបសង្ខេបថ្មី។
appropriately	យ៉ាងសមរម្យ	សូមស្លៀកពាក់ឱ្យបានសមរម្យសម្រាប់ការសម្ភាសន៍។
arrow	ព្រួញ	ព្រួញចង្អុលទៅរកច្រកចេញ។
artwork	ស្នាដៃសិល្បៈ	សារមន្ទីរបានដាក់តាំងបង្ហាញស្នាដៃសិល្បៈក្នុងស្រុក។
