source_headword	LT	example_LT
stranger	nepažįstamasis	Nepažįstamasis paklausė kelio.
strength	stiprybė	Jos stiprybė padėjo komandai.
string	virvutė	Užriškite dėžę virvute.
strongly	griežtai	Aš griežtai nesutinku su ta idėja.
studio	studija	Menininkas dirba mažoje studijoje.
stuff	daiktai	Padėk savo daiktus ant lentynos.
substance	medžiaga	Policija rado keistą medžiagą.
successfully	sėkmingai	Jie sėkmingai baigė projektą.
sudden	staigus	Staigus triukšmas mus pažadino.
suffer	kentėti	Daugelis augalų kenčia sausu oru.
suitable	tinkamas	Ši striukė yra tinkama mokyklai.
summarize	apibendrinti	Ar galite apibendrinti straipsnį?
summary	santrauka	Šįvakar parašykite trumpą santrauką.
supply	tiekimas	Miestui reikia švaraus vandens tiekimo.
supporter	rėmėjas	Kiekvienas rėmėjas garsiai džiūgavo.
surely	tikrai	Tikrai galime tai išspręsti.
surface	paviršius	Paviršius buvo šaltas ir lygus.
survive	išgyventi	Šie gyvūnai išgyvena šaltas žiemas.
switch	išjungti	Išjunkite virtuvės šviesą.
symptom	simptomas	Kosulys gali būti simptomas.
tail	uodega	Šuo turi ilgą uodegą.
talent	talentas	Ji turi talentą muzikai.
talented	talentingas	Jis yra talentingas jaunas aktorius.
tape	lipni juosta	Naudokite lipnią juostą dėžei uždaryti.
tax	mokestis	Visi turi mokėti šį mokestį.
technical	techninis	Mes turėjome techninę problemą.
technique	technika	Ši technika taupo laiką.
tend	būti linkusiam	Vaikai linkę greitai mokytis.
tent	palapinė	Mes miegojome mažoje palapinėje.
theirs	jų	Mėlyni dviračiai yra jų.
theme	tema	Vakarėlis turėjo paplūdimio temą.
theory	teorija	Jo teorija paaiškina problemą.
therefore	todėl	Lijo, todėl mes likome viduje.
though	nors	Nors ir pavargusi, ji dirbo toliau.
throat	gerklė	Šįryt man skauda gerklę.
throughout	visą	Žmonės šoko visą vakarą.
tight	ankštas	Šie batai yra per ankšti.
till	kol	Palaukite čia, kol grįšiu.
tin	skardinė	Atidarykite pupelių skardinę.
tiny	mažytis	Šalia nusileido mažytis paukštis.
toe	kojos pirštas	Vakar susižeidžiau kojos pirštą.
tongue	liežuvis	Ji nusidegino liežuvį arbata.
total	bendras	Bendra kaina buvo maža.
totally	visiškai	Aš visiškai suprantu jūsų nerimą.
trade	prekyba	Tarptautinė prekyba kuria darbo vietas.
translate	išversti	Prašau išversti šį sakinį.
translation	vertimas	Vertimas skamba natūraliai.
treat	elgtis	Su visais elkitės pagarbiai.
treatment	gydymas	Pacientui šiandien reikia gydymo.
trend	tendencija	Ši tendencija auga visame pasaulyje.
trick	triukas	Tas kortų triukas mane nustebino.
truth	tiesa	Prašau sakyti tiesą.
tube	tūbelė	Švelniai paspauskite tūbelę.
typically	paprastai	Studentai paprastai atvyksta iki devintos.
tyre	padanga	Automobiliui reikia naujos padangos.
ugly	bjaurus	Ta sienos spalva atrodo bjauriai.
unable	negalintis	Jis negalėjo atsakyti.
uncomfortable	nepatogus	Ši kėdė yra nepatogi.
underwear	apatiniai	Kelionei įsidėkite švarius apatinius.
unemployed	bedarbis	Ji buvo bedarbė du mėnesius.
unemployment	nedarbas	Žiemą nedarbas išaugo.
unfair	neteisingas	Sprendimas atrodė neteisingas.
union	sąjunga	Sąjunga prašė saugesnio darbo.
unless	nebent	Neišeikite, nebent aš paskambinsiu.
unlike	skirtingai nei	Skirtingai nei Tomas, Ana mėgsta žiemą.
unlikely	mažai tikėtinas	Sniegas šią savaitę mažai tikėtinas.
unnecessary	nereikalingas	Papildomi krepšiai yra nereikalingi.
unpleasant	nemalonus	Kambaryje buvo nemalonus kvapas.
update	atnaujinti	Man reikia atnaujinti telefoną.
upon	ant	Vieną kartą gyveno karalius.
upset	nusiminęs	Po skambučio ji jautėsi nusiminusi.
used1	naudojamas	Šis kambarys naudojamas susitikimams.
used2	pripratęs	Aš esu pripratęs prie ankstyvų rytų.
valuable	vertingas	Šis laikrodis yra vertingas.
value	vertė	Praėjusiais metais namas prarado vertę.
various	įvairūs	Mes išbandėme įvairius vietinius patiekalus.
version	versija	Ši versija veikia geriau.
victim	auka	Auka paskambino policijai.
viewer	žiūrovas	Vienas žiūrovas uždavė klausimą.
violent	smurtinis	Filmas buvo per žiaurus.
volunteer	savanoriauti	Aš savanoriauju bibliotekoje.
vote	balsuoti	Nepamirškite rytoj balsuoti.
warn	įspėti	Aš bandžiau jį įspėti.
warning	įspėjimas	Įspėjimas pasirodė ekrane.
waste	švaistyti	Nešvaistykite švaraus vandens.
weapon	ginklas	Peilis tapo ginklu.
weigh	pasverti	Atsargiai pasverkite miltus.
western	vesternas	Jie žiūrėjo vesterną.
whatever	bet kas	Pasirinkite ką tik norite.
whenever	bet kada	Paskambinkite, kai tik reikės pagalbos.
whether	ar	Aš nežinau, ar ji sutinka.
wing	sparnas	Paukštis susižeidė vieną sparną.
within	per	Prašome atsakyti per dvi dienas.
wonder	įdomu	Įdomu, kas nutiko.
wool	vilna	Šis paltas pagamintas iš vilnos.
worldwide	visame pasaulyje	Daina tapo populiari visame pasaulyje.
worth	vertas	Šią knygą verta perskaityti.
written	rašytinis	Prašome atsiųsti rašytines instrukcijas.
yard	kiemas	Vaikai žaidė kieme.
youth	jaunimas	Jaunimo klubai remia vietinius paauglius.
