simplified	KA	example_KA
哎	ჰეი	ჰეი, როგორ მოხვედი აქ?
唉	ეჰ	ეჰ, ისევ დავაგვიანე.
爱护	მოვლა; გაფრთხილება	გარემოს უნდა გავუფრთხილდეთ.
爱惜	დაფასება; გაფრთხილება	გთხოვ, საკუთარი დრო დააფასე.
爱心	სიკეთე; თანაგრძნობა	ის ძალიან კეთილი ადამიანია.
安慰	ნუგეშისცემა	მეგობარმა მანუგეშა.
安装	დამონტაჟება	მუშა კონდიციონერს ამონტაჟებს.
岸	ნაპირი	ნავი ნელა უახლოვდება ნაპირს.
暗	ბნელი	ოთახში ძალიან ბნელა.
熬夜	გვიან დაძინება	გვიან დაძინება ჯანმრთელობისთვის ცუდია.
把握	დარწმუნებულობა; დაჭერა	დარწმუნებული არ ვარ, რომ ამ საქმეს კარგად გავაკეთებ.
摆	დალაგება; განლაგება	გთხოვ, სკამები სუფთად დაალაგე.
办理	მოგვარება; გაფორმება	ბანკში საქმის მოსაგვარებლად მივდივარ.
傍晚	საღამო	საღამოს სასეირნოდ წავალთ.
包裹	ამანათი	ერთი ამანათი მივიღე.
包含	შეიცავს	ფასი საუზმესაც შეიცავს.
包括	მოიცავს	საფასური სადილსაც მოიცავს.
薄	თხელი	ეს წიგნი ძალიან თხელია.
保持	შენარჩუნება	გთხოვ, სიჩუმე შეინარჩუნე.
保存	შენახვა	გთხოვ, ეს დოკუმენტი შეინახე.
保留	დაჯავშნა; შენარჩუნება	გთხოვ, ერთი ადგილი შემინახე.
保险	დაზღვევა	სამოგზაურო დაზღვევა ვიყიდე.
宝贝	განძი; ძვირფასი რამ	ეს ჩემი განძია.
宝贵	ძვირფასი	დრო ძალიან ძვირფასია.
报到	რეგისტრაციაზე გამოცხადება	ახალი სტუდენტები დღეს სკოლაში რეგისტრაციაზე მოდიან.
报道	გაშუქება; შეტყობინება	ახალი ამბები ამ საკითხს აშუქებს.
报告	ანგარიში; მოხსენება	ის მოხსენებას აკეთებს.
报社	გაზეთის რედაქცია	ის გაზეთის რედაქციაში მუშაობს.
抱怨	წუწუნი; ჩივილი	ის ყოველთვის წუწუნებს, რომ სამუშაო ძალიან ბევრია.
悲观	პესიმისტური	ძალიან პესიმისტი ნუ იქნები.
背	ზურგი	ის კარისკენ ზურგით ზის.
背景	ფონი; გამოცდილება	გთხოვ, მოკლედ შენი გამოცდილება გაგვაცანი.
被子	საბანი	საბანი ძალიან თბილია.
本科	ბაკალავრიატი	ის ბაკალავრიატის სტუდენტია.
本领	უნარი	მან ახალი უნარი ისწავლა.
本质	არსი	პრობლემის არსი ძალიან მარტივია.
彼此	ერთმანეთი	ერთმანეთს პატივი უნდა ვცეთ.
比例	თანაფარდობა	ქალებისა და კაცების თანაფარდობა თითქმის ერთნაირია.
必然	აუცილებლად	შრომა აუცილებლად შედეგს მოიტანს.
必要	საჭირო	ნერვიულობა საჭირო არ არის.
毕竟	ბოლოს და ბოლოს	ბოლოს და ბოლოს, ის ჯერ კიდევ ბავშვია.
避免	თავიდან აცილება	გთხოვ, დაგვიანებას თავი აარიდე.
编辑	რედაქტირება; რედაქტორი	ის ამ სტატიის რედაქტირებაზეა პასუხისმგებელი.
鞭炮	ფოიერვერკი; პეტარდა	გაზაფხულის დღესასწაულზე ზოგი პეტარდებს უშვებს.
便	მაშინ; მოსახერხებელი	სადილის შემდეგ ის გაკვეთილზე წავიდა.
辩论	დებატი; კამათი	ისინი ამ საკითხზე კამათობენ.
标点	სასვენი ნიშანი	გთხოვ, სასვენ ნიშნებს ყურადღება მიაქციე.
标志	ნიშანი; სიმბოლო	წითელი შუქი გაჩერების ნიშანია.
表达	გამოხატვა	მან საკუთარი აზრი გამოხატა.
表面	ზედაპირი	მაგიდის ზედაპირი ძალიან სუფთაა.
表明	აჩვენება; ცხადყოფა	შედეგმა აჩვენა, რომ ის მართალია.
表情	სახის გამომეტყველება	მისი სახის გამომეტყველება ძალიან სერიოზულია.
表现	გამოვლენა; შესრულება	მან დღეს ძალიან კარგად გამოიჩინა თავი.
冰激凌	ნაყინი	ბავშვებს ნაყინის ჭამა უყვართ.
病毒	ვირუსი	ეს ვირუსი ძალიან სწრაფად ვრცელდება.
播放	ჩართვა; გაშვება	გთხოვ, ეს სიმღერა ჩართე.
玻璃	მინა	მინის ჭიქა გატყდა.
博物馆	მუზეუმი	შაბათ-კვირას მუზეუმში მივდივართ.
脖子	კისერი	კისერი ცოტა მტკივა.
不断	განუწყვეტლივ	ფასები განუწყვეტლივ იზრდება.
不见得	აუცილებელი არ არის	ეს აუცილებელი არ არის ცუდი რამ იყოს.
不耐烦	მოუთმენელი	დიდხანს ლოდინის შემდეგ ის ცოტა მოუთმენელი გახდა.
不要紧	არაუშავს	არაუშავს, ყველაფერი რიგზეა.
补充	დამატება	ერთი აზრის დამატება მინდა.
不安	შეშფოთებული	ამ ამბის გაგონების შემდეგ ის შეშფოთდა.
不得了	ძალიან სერიოზული	ეს საქმე ძალიან სერიოზულია.
不然	თორემ	სწრაფად წავიდეთ, თორემ დავაგვიანებთ.
不如	სჯობს	ტრანსპორტით წასვლას სჯობს ფეხით წავიდეთ.
不足	არასაკმარისი	აქ წყალი არასაკმარისია.
布	ქსოვილი	ეს ქსოვილი ძალიან რბილია.
步骤	ნაბიჯი	გთხოვ, ნაბიჯების მიხედვით იმოქმედე.
部门	განყოფილება	მე გაყიდვების განყოფილებაში ვმუშაობ.
财产	ქონება	ეს სახლი მისი ქონებაა.
彩虹	ცისარტყელა	წვიმის შემდეგ ცისარტყელა გამოჩნდა.
踩	დაბიჯება	ბალახს ნუ დააბიჯებ.
采访	ინტერვიუს აღება	ჟურნალისტი ექიმს ინტერვიუს ართმევს.
采取	მიღება; გამოყენება	ჩვენ ახალი მეთოდი მივიღეთ.
参考	მითითება; გამოყენება	გთხოვ, ეს წიგნი გამოიყენე როგორც მითითება.
参与	მონაწილეობა	ის აქტიურად მონაწილეობს ღონისძიებებში.
惭愧	შერცხვენილი	ჩემი შეცდომის გამო შემრცხვა.
操场	სპორტული მოედანი	მოსწავლეები სპორტულ მოედანზე დარბიან.
操心	ნერვიულობა; ზრუნვა	ჩემზე ნუ ნერვიულობ.
册	ტომი; წიგნის სათვლელი სიტყვა	ერთი წიგნის ტომი ვიყიდე.
测验	ტესტი	ხვალ პატარა ტესტი გვაქვს.
曾经	ოდესღაც	ოდესღაც პეკინში ვცხოვრობდი.
叉子	ჩანგალი	სალათს ჩანგლით ვჭამ.
差距	სხვაობა	ქალაქსა და სოფელს შორის სხვაობაა.
插	ჩადება; ჩარჭობა	გთხოვ, ყვავილები ვაზაში ჩადე.
拆	დაშლა; დანგრევა	მუშები ძველ სახლს ანგრევენ.
产品	პროდუქტი	ამ პროდუქტს კარგი ხარისხი აქვს.
产生	წარმოქმნა	ამ საკითხმა ახალი გავლენა წარმოქმნა.
常识	საღი აზრი; ზოგადი ცოდნა	ეს საბაზისო საღი აზრია.
长途	შორი გზა	შორი მოგზაურობა დამღლელია.
抄	გადაწერა	გთხოვ, სხვის დავალებას ნუ გადაწერ.
超级	ძალიან დიდი; უმაღლესი	ეს ძალიან დიდი მაღაზიაა.
朝	დინასტია	ტანის დინასტია ძალიან ცნობილია.
潮湿	ნესტიანი	სამხრეთის ზაფხული ძალიან ნესტიანია.
吵	ხმაურიანი	გარეთ ძალიან ხმაურია.
吵架	ჩხუბი	ისინი ისევ იჩხუბეს.
炒	მოშუშვა; შეწვა	დედა ბოსტნეულს შუშავს.
车库	ავტოფარეხი	მანქანა ავტოფარეხში დგას.
车厢	ვაგონი	ეს ვაგონი ძალიან მშვიდია.
彻底	სრულად; საფუძვლიანად	მან ეს სრულად გაიგო.
沉默	დუმილი; ჩუმი	ის მთელი დრო ჩუმად იყო.
趁	გამოყენება; სანამ	სანამ არ დაბნელებულა, წავიდეთ.
称	აწონა; წოდება	გთხოვთ, ეს ამანათი აწონოთ.
称呼	მიმართვა; წოდება	არ ვიცი, მას როგორ მივმართო.
称赞	შექება	მასწავლებელმა მისი წინსვლა შეაქო.
成分	შემადგენლობა; ინგრედიენტი	ამ წამლის შემადგენლობა მარტივია.
成果	შედეგი; მიღწევა	ამ პროექტმა შედეგი გამოიღო.
成就	მიღწევა; წარმატება	მას კარიერაში ბევრი მიღწევა აქვს.
成立	დაარსება; ჩამოყალიბება	კომპანია შარშან დაარსდა.
成人	ზრდასრული	ზრდასრულის ბილეთი ბავშვის ბილეთზე ძვირია.
成熟	მწიფე; მომწიფებული	ვაშლები უკვე მომწიფდა.
成语	იდიომა; გამოთქმა	ეს იდიომა ძალიან ხშირად გამოიყენება.
成长	გაზრდა; ზრდა	ბავშვი ნელ-ნელა იზრდება.
承担	თავის თავზე აღება	ის მზადაა პასუხისმგებლობა აიღოს.
承认	აღიარება	მან აღიარა, რომ შეცდა.
承受	გაძლება; ატანა	ასეთ დიდ ზეწოლას ვერ გავუძლებ.
程度	დონე; ხარისხი	მისი ჩინურის დონე ძალიან მაღალია.
程序	პროცედურა; თანმიმდევრობა	გთხოვთ, ეს პროცედურის მიხედვით გააკეთოთ.
诚恳	გულწრფელი	მისი დამოკიდებულება ძალიან გულწრფელია.
吃亏	ზარალის ნახვა; წაგებაში დარჩენა	ყიდვამდე კარგად დააკვირდი, რომ წაგებაში არ დარჩე.
持续	გაგრძელება	წვიმა სამი დღე გაგრძელდა.
池塘	გუბურა; ტბორი	ტბორში ბევრი თევზია.
迟早	ადრე თუ გვიან	ადრე თუ გვიან მიხვდები.
尺子	სახაზავი	გთხოვთ, სახაზავით გაზომოთ.
翅膀	ფრთა	ჩიტს ფრთა დაუზიანდა.
充电器	დამტენი	ჩემი დამტენი გაფუჭდა.
充分	საკმარისი; სრული	ჩვენ საკმარისი მომზადება გავიარეთ.
充满	სავსე	ოთახი სიცილით აივსო.
冲	გამორეცხვა; წყლით გავლება	გთხოვთ, ჭიქა წყლით გამოავლოთ.
重复	გამეორება	გთხოვთ, იგივე შეცდომა არ გაიმეოროთ.
宠物	შინაური ცხოველი	მას შინაური ძაღლი ჰყავს.
抽屉	უჯრა	გასაღები უჯრაშია.
抽象	აბსტრაქტული	ეს ცნება ძალიან აბსტრაქტულია.
丑	მახინჯი	ეს ფოტო ცოტა მახინჯია.
臭	ყარს; სუნიანი	ნაგავი ძალიან ყარს.
出版	გამოცემა	ეს წიგნი შარშან გამოიცა.
出口	გასასვლელი	გასასვლელი წინ არის.
出色	გამორჩეული; შესანიშნავი	მისი გამოსვლა ძალიან გამორჩეული იყო.
出示	ჩვენება; წარდგენა	გთხოვთ, პასპორტი წარმოადგინოთ.
出席	დასწრება	ის შეხვედრას დაესწრება.
初级	საწყისი დონე	ჩინურს საწყისი დონის ჯგუფში ვსწავლობ.
除非	თუ არა; მხოლოდ იმ შემთხვევაში	თუ არ იწვიმა, ხვალ მთაში წავალთ.
除夕	ახალი წლის წინა საღამო	ახალი წლის წინა საღამოს მთელი ოჯახი ერთად ვჭამთ.
处理	მოგვარება; დამუშავება	ამ საკითხს მე მოვაგვარებ.
传播	გავრცელება	ეს ამბავი ძალიან სწრაფად გავრცელდა.
传染	გადამდები; გადადება	გაციება ადვილად გადამდებია.
传说	ლეგენდა	ეს ძველი ლეგენდაა.
