source_headword	MY	example_MY
institute	အဖွဲ့အစည်း	အဖွဲ့အစည်းသည် သုတေသနအစီအစဉ်သစ်တစ်ခုကို စတင်ခဲ့သည်။
institution	အဖွဲ့အစည်း	အဖွဲ့အစည်းသည် ၎င်း၏ ဝင်ခွင့်စည်းမျဉ်းများကို ပြောင်းလဲခဲ့သည်။
insurance	အာမခံ	သူမ၏အာမခံသည် ဆေးရုံစရိတ်များကို ကာမိသည်။
intended	ရည်ရွယ်ထားသော	မက်ဆေ့ချ်သည် ရည်ရွယ်ထားသော ပရိသတ်ထံ ရောက်ရှိခဲ့သည်။
intense	ပြင်းထန်သော	စကားစစ်ထိုးပွဲသည် အလွန်မြန်ဆန်စွာ ပြင်းထန်လာခဲ့သည်။
internal	အတွင်းပိုင်း	ကုမ္ပဏီသည် အတွင်းပိုင်း ပြန်လည်သုံးသပ်မှုတစ်ခုကို စတင်ခဲ့သည်။
interpret	ဘာသာပြန်ဆိုသည်	ကျေးဇူးပြု၍ ရလဒ်များကို ဂရုတစိုက် အဓိပ္ပာယ်ဖော်ပါ။
interrupt	ကြားဖြတ်နှောင့်ယှက်သည်	စကားပြောနေသူကို ယခု ကြားဖြတ်မပြောပါနှင့်။
investigation	စုံစမ်းစစ်ဆေးရေး	စုံစမ်းစစ်ဆေးမှုအရ ကြီးမားသောအမှားများကို ဖော်ထုတ်နိုင်ခဲ့သည်။
investment	ရင်းနှီးမြှုပ်နှံမှု	ရင်းနှီးမြှုပ်နှံမှုသည် ဒေသတွင်း အလုပ်အကိုင်များစွာကို ဖန်တီးပေးခဲ့သည်။
joy	ဝမ်းမြောက်မှု	သူတို့၏ အောင်မြင်မှုက ကြီးမားသော ဝမ်းမြောက်မှုကို ဆောင်ကြဉ်းပေးခဲ့သည်။
judgement	ဆုံးဖြတ်ချက်	သူ၏ ဆုံးဖြတ်နိုင်စွမ်းသည် အတွေ့အကြုံနှင့်အတူ တိုးတက်လာခဲ့သည်။
junior	အငယ်တန်း	သူမသည် အငယ်တန်းလေ့လာဆန်းစစ်သူအဖြစ် အဖွဲ့သို့ ဝင်ရောက်ခဲ့သည်။
justice	တရားမျှတမှု	တရားခွင်အပြီးတွင် မိသားစုက တရားမျှတမှု တောင်းဆိုခဲ့သည်။
justify	မျှတကြောင်းပြသည်	ထိုဆုံးဖြတ်ချက်ကို သင် ရှင်းရှင်းလင်းလင်း မျှတကြောင်းပြရမည်။
labour	လုပ်အား	စီမံကိန်းအတွက် ကျွမ်းကျင်လုပ်အား လိုအပ်သည်။
landscape	ရှုခင်း	မုန်တိုင်းအပြီးတွင် ရှုခင်းပြောင်းလဲသွားသည်။
largely	အများစုမှာ	အစီအစဉ်သည် အများအားဖြင့် အောင်မြင်ခဲ့သည်။
launch	စတင်သည်	သူတို့သည် မနက်ဖြန်တွင် ထုတ်ကုန်ကို စတင်မိတ်ဆက်မည်။
leadership	ခေါင်းဆောင်မှု	ခိုင်မာသော ခေါင်းဆောင်မှုက အဖွဲ့ကို ပြန်လည်နာလန်ထူရန် ကူညီပေးခဲ့သည်။
league	အဖွဲ့ချုပ်	ကျွန်ုပ်တို့၏ကလပ်သည် ဒေသဆိုင်ရာ အဖွဲ့ချုပ်သို့ ဝင်ရောက်ခဲ့သည်။
lean	မှီသည်	စိုစွတ်နေသော နံရံကို မမှီပါနှင့်။
licence	လိုင်စင်	လိုင်စင်သည် လာမည့်လတွင် သက်တမ်းကုန်ဆုံးမည်။
limited	ကန့်သတ်ထားသော	ယနေ့ ကျွန်ုပ်တို့တွင် အချိန်ကန့်သတ်ချက် ရှိသည်။
lively	တက်ကြွသော	နေ့လည်စာစားပြီးနောက် အစည်းအဝေးသည် တက်ကြွလာခဲ့သည်။
load	ဝန်	ထရပ်ကားသည် အလေးချိန်များသော ဝန်ကို သယ်ဆောင်လာသည်။
loan	ချေးငွေ	ဘဏ်က ချေးငွေကို အတည်ပြုပေးခဲ့သည်။
logical	ယုတ္တိတန်သော	သူမ၏ ငြင်းခုံမှုသည် ရှင်းလင်းပြီး ယုတ္တိတန်သည်။
long-term	ရေရှည်	ဒါက ရေရှည် ဖြေရှင်းချက်တစ်ခုပါ။
loose	ချောင်နေသော	လက်ကိုင်သည် ချောင်နေသည်ဟု ခံစားရသည်။
lord	သခင်	သခင်သည် ရွာများစွာကို ပိုင်ဆိုင်ခဲ့သည်။
lower	လျှော့ချသည်	ဆောင်းရာသီတွင် သူတို့ ဈေးနှုန်းများကို လျှော့ချသည်။
lung	အဆုတ်	ဆေးလိပ်သောက်ခြင်းသည် အဆုတ်ကို ထိခိုက်စေနိုင်သည်။
maintain	ထိန်းသိမ်းသည်	ကျွန်ုပ်တို့သည် ပုံမှန် အဆက်အသွယ် ထိန်းသိမ်းထားသည်။
majority	အများစု	အများစုက အဆိုပြုချက်ကို ထောက်ခံခဲ့ကြသည်။
mass	ထုထည်	တိမ်တိုက်တစ်ခုက ကောင်းကင်ကို ဖုံးလွှမ်းသွားသည်။
massive	ကြီးမားသော	ငလျင်ကြောင့် ကြီးမားသော ပျက်စီးဆုံးရှုံးမှု ဖြစ်ပေါ်ခဲ့သည်။
master	ကျွမ်းကျင်သူ	သူမသည် စေ့စပ်ညှိနှိုင်းမှုဆိုင်ရာ ကျွမ်းကျင်သူ ဖြစ်လာခဲ့သည်။
matching	လိုက်ဖက်သော	သူသည် လိုက်ဖက်သော ဖိနပ်နှင့် ခါးပတ်ကို ဝတ်ဆင်ခဲ့သည်။
maximum	အများဆုံး	အခန်းသည် အများဆုံး ပမာဏသို့ ရောက်ရှိသွားသည်။
means	နည်းလမ်း	အီးမေးလ်သည် ကျွန်ုပ်တို့၏ အဓိက ဆက်သွယ်ရေးနည်းလမ်းဖြစ်သည်။
measurement	အတိုင်းအတာ	အတိုင်းအတာ အနည်းငယ် မှားယွင်းနေသည်။
melt	အရည်ပျော်သည်	နှင်းများသည် နေ့လည်တွင် အရည်ပျော်သွားမည်။
military	စစ်ဘက်	စစ်တပ်အခြေစိုက်စခန်းသည် ပြီးခဲ့သည့်နှစ်က ပိတ်သွားခဲ့သည်။
mineral	တွင်းထွက်	သံသည် အရေးကြီးသော တွင်းထွက်တစ်ခုဖြစ်သည်။
minimum	အနည်းဆုံး	အနည်းဆုံး အသက်သည် ဆယ့်ရှစ်နှစ်ဖြစ်သည်။
minister	ဝန်ကြီး	ဝန်ကြီးက ခက်ခဲသောမေးခွန်းများကို ဖြေကြားခဲ့သည်။
minor	အသေးစား	မတော်တဆမှုကြောင့် အသေးစား ပျက်စီးမှု ဖြစ်ခဲ့သည်။
minority	လူနည်းစု	လူနည်းစုက စည်းမျဉ်းသစ်ကို ဆန့်ကျင်ခဲ့ကြသည်။
mission	မစ်ရှင်	သူတို့၏ မစ်ရှင်သည် ဘေးကင်းစွာ ပြီးဆုံးသွားခဲ့သည်။
mixed	ရောနှောသော	သတင်းသည် ရောနှောသော တုံ့ပြန်မှုများကို ရရှိခဲ့သည်။
modify	ပြင်ဆင်သည်	ကျွန်ုပ်တို့သည် ဒီဇိုင်းကို နောက်မှ ပြင်ဆင်နိုင်သည်။
monitor	စောင့်ကြည့်သည်	သူနာပြုသည် သူ၏အခြေအနေကို စောင့်ကြည့်မည်ဖြစ်သည်။
moral	ကိုယ်ကျင့်တရား	ပုံပြင်တွင် ကိုယ်ကျင့်တရား သင်ခန်းစာတစ်ခု ရှိသည်။
motor	မော်တာ	မော်တာသည် သတိပေးချက်မရှိဘဲ ရပ်သွားသည်။
mount	တပ်ဆင်သည်	၎င်းတို့သည် ဝင်ပေါက်အနီးတွင် ကင်မရာများကို တပ်ဆင်ကြသည်။
multiple	အများအပြား	အကြောင်းရင်း အများအပြားက နှောင့်နှေးမှုကို ဖြစ်စေသည်။
multiply	မြှောက်သည်	ဂဏန်းကို ဆယ်ဖြင့် မြှောက်ပါ။
mysterious	လျှို့ဝှက်ဆန်းကြယ်သော	အပြင်ဘက်တွင် လျှို့ဝှက်ဆန်းကြယ်သော အလင်းရောင်တစ်ခု ပေါ်လာသည်။
neat	သေသပ်သော	သူမ၏ စားပွဲသည် အမြဲတမ်း သေသပ်နေသည်။
nerve	အာရုံကြော	ဒဏ်ရာသည် အာရုံကြောတစ်ခုကို ထိခိုက်စေခဲ့သည်။
nevertheless	သို့သော်လည်း	အလုပ်က ခက်ခဲသည်၊ သို့သော်လည်း ကျွန်ုပ်တို့ ပြီးမြောက်ခဲ့သည်။
nightmare	အိပ်မက်ဆိုး	ခရီးစဉ်သည် အိပ်မက်ဆိုးတစ်ခု ဖြစ်လာခဲ့သည်။
notion	အယူအဆ	အပြောင်းအလဲသည် မဖြစ်နိုင်ဟူသော အယူအဆကို ပယ်ချပါ။
numerous	များပြားသော	များပြားသော လေ့လာမှုများက ဤအကြံဉာဏ်ကို ထောက်ခံသည်။
obey	လိုက်နာသည်	ယာဉ်မောင်းများသည် ဆိုင်းဘုတ်များကို လိုက်နာရမည်။
