hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
503:爱人	爱人	爱人	အိမ်ထောင်ဖက်; ချစ်သူ	ကျွန်တော့်အိမ်ထောင်ဖက် ဒီနေ့ အချိန်ပိုလုပ်နေတယ်။	ប្តីប្រពន្ធ; មនុស្សជាទីស្រឡាញ់	ប្តីប្រពន្ធរបស់ខ្ញុំធ្វើការថែមម៉ោងថ្ងៃនេះ។	ຄູ່ຊີວິດ; ຄົນຮັກ	ຄູ່ຊີວິດຂອງຂ້ອຍເຮັດວຽກເພີ່ມເວລາມື້ນີ້.	जीवनसाथी; प्रिय व्यक्ति	मेरो जीवनसाथी आज ओभरटाइम काम गर्दै छ।
508:班级	班级	班级	အတန်း; အတန်းအုပ်စု	ကျွန်တော်တို့အတန်းမှာ ကျောင်းသားသုံးဆယ်ရှိတယ်။	ថ្នាក់រៀន; ក្រុមថ្នាក់	ថ្នាក់របស់យើងមានសិស្សសាមសិបនាក់។	ຫ້ອງຮຽນ; ກຸ່ມຫ້ອງ	ຫ້ອງຮຽນຂອງພວກເຮົາມີນັກຮຽນສາມສິບຄົນ.	कक्षा; कक्षा समूह	हाम्रो कक्षामा तीस जना विद्यार्थी छन्।
509:搬家	搬家	搬家	အိမ်ပြောင်းသည်	ဒီအပတ်ကုန်မှာ ကျွန်တော်တို့ အိမ်ပြောင်းမယ်။	ផ្លាស់ផ្ទះ	ចុងសប្តាហ៍នេះយើងនឹងផ្លាស់ផ្ទះ។	ຍ້າຍເຮືອນ	ທ້າຍອາທິດນີ້ພວກເຮົາຈະຍ້າຍເຮືອນ.	घर सर्नु	यो सप्ताहान्तमा हामी घर सर्दै छौँ।
510:办	办	办	ဆောင်ရွက်သည်; လုပ်သည်	နေ့လယ်မှာ ဘဏ်ကဒ်လုပ်ဖို့ ဘဏ်ကို သွားမယ်။	ធ្វើការ; ដោះស្រាយ	រសៀលនេះខ្ញុំនឹងទៅធនាគារដើម្បីធ្វើកាតធនាគារ។	ຈັດການ; ເຮັດ	ຕອນບ່າຍຂ້ອຍຈະໄປທະນາຄານເພື່ອເຮັດບັດທະນາຄານ.	काम मिलाउनु; गर्नु	दिउँसो म बैंक कार्ड बनाउन बैंक जान्छु।
513:半天	半天	半天	နေ့တစ်ဝက်; အကြာကြီး	သူလာမလာ အကြာကြီး စောင့်ခဲ့ရတယ်။	កន្លះថ្ងៃ; យូរណាស់	ខ្ញុំរង់ចាំយូរណាស់ទើបគាត់មក។	ເຄິ່ງມື້; ເວລາດົນ	ຂ້ອຍລໍຖ້າດົນກ່ອນລາວຈະມາ.	आधा दिन; धेरै बेर	ऊ आउनुअघि मैले धेरै बेर पर्खेँ।
517:北	北	北	မြောက်ဘက်	ကျောင်းရဲ့ မြောက်ဘက်မှာ ပန်းခြံတစ်ခုရှိတယ်။	ខាងជើង	ខាងជើងសាលាមានសួនច្បារមួយ។	ທິດເໜືອ	ທາງທິດເໜືອຂອງໂຮງຮຽນມີສວນໜຶ່ງ.	उत्तर	विद्यालयको उत्तरतिर एउटा पार्क छ।
520:笔记	笔记	笔记	မှတ်စု	သူက အတန်းချိန်မှာ သေချာမှတ်စုရေးတယ်။	កំណត់ត្រា	គាត់កត់ត្រាដោយប្រុងប្រយ័ត្នក្នុងថ្នាក់។	ບັນທຶກ	ລາວຈົດບັນທຶກຢ່າງຕັ້ງໃຈໃນຫ້ອງຮຽນ.	नोट; टिपोट	ऊ कक्षामा ध्यान दिएर नोट लेख्छ।
526:变	变	变	ပြောင်းလဲသည်	ရာသီဥတု အေးလာပြီ။	ផ្លាស់ប្តូរ	អាកាសធាតុបានត្រជាក់ហើយ។	ປ່ຽນແປງ	ອາກາດເຢັນລົງແລ້ວ.	बदलिनु	मौसम चिसो भएको छ।
528:变成	变成	变成	ဖြစ်သွားသည်; ပြောင်းလဲသွားသည်	မိုးက နှင်းဖြစ်သွားတယ်။	ក្លាយជា; ប្រែជា	ភ្លៀងបានប្រែជាព្រិល។	ກາຍເປັນ; ປ່ຽນເປັນ	ຝົນປ່ຽນເປັນຫິມະ.	बन्नु; परिवर्तन हुनु	वर्षा हिउँमा बदलियो।
531:别的	别的	别的	တခြား; ကွဲပြားသော	မင်းမှာ တခြားမေးခွန်းရှိသေးလား။	ផ្សេងទៀត; ខុសគ្នា	អ្នកមានសំណួរផ្សេងទៀតទេ?	ອື່ນ; ແຕກຕ່າງ	ເຈົ້າມີຄຳຖາມອື່ນອີກບໍ?	अर्को; फरक	तिमीसँग अरू प्रश्न छन्?
