source_headword	BN	example_BN
abolish	বাতিল করা	আইনটি পুরানো ফি বাতিল করবে।
abortion	গর্ভপাত	গর্ভপাত একটি সংবেদনশীল চিকিৎসা সমস্যা রয়ে গেছে।
absence	অনুপস্থিতি	তার অনুপস্থিতি চূড়ান্ত সিদ্ধান্তকে বিলম্বিত করেছিল।
absent	অনুপস্থিত	ক্লাসে দুজন সদস্য অনুপস্থিত ছিল।
absurd	অযৌক্তিক	দাবিটি সবার কাছে অযৌক্তিক মনে হয়েছিল।
abundance	প্রাচুর্য	উপত্যকায় জলের প্রাচুর্য রয়েছে।
abuse	অপব্যবহার	প্রতিবেদনে কর্মক্ষেত্রে অপব্যবহারের বর্ণনা দেওয়া হয়েছে।
academy	একাডেমি	একাডেমিটি তরুণ সঙ্গীতশিল্পীদের প্রশিক্ষণ দেয়।
accelerate	ত্বরান্বিত করা	নতুন তহবিল গবেষণাকে ত্বরান্বিত করবে।
acceptance	স্বীকৃতি	তার সমালোচনার স্বীকৃতি আমাকে মুগ্ধ করেছে।
accessible	প্রবেশযোগ্য	যাদুঘরটি হুইলচেয়ার ব্যবহারকারীদের জন্য প্রবেশযোগ্য।
accomplishment	অর্জন	বইটি শেষ করা একটি বাস্তব অর্জন ছিল।
accordance	অনুসারে	কাজটি নীতি অনুসারে করা হয়েছিল।
accordingly	তদনুসারে	প্রমাণ পরিবর্তিত হয়েছিল, এবং আমরা তদনুসারে কাজ করেছি।
accountability	জবাবদিহিতা	এই নীতি পরিচালকদের জবাবদিহিতা বাড়ায়।
accountable	জবাবদিহি	পরিচালকরা নিরাপত্তার জন্য জবাবদিহি।
accumulate	জমা হওয়া	পর্দার পিছনে ধুলো জমা হতে পারে।
accumulation	সঞ্চয়	ডেটা সঞ্চয় করতে কয়েক মাস সময় লেগেছে।
accusation	অভিযোগ	অভিযোগটি কমিটিকে হতবাক করেছিল।
accused	অভিযুক্ত	অভিযুক্ত ব্যক্তি আদালতে হাজির হয়েছিল।
acquisition	অধিগ্রহণ	অধিগ্রহণটি কোম্পানিটিকে দ্রুত সম্প্রসারিত করেছিল।
acre	একর	খামারটি এক একর এলাকা জুড়ে রয়েছে।
activation	সক্রিয়করণ	কার্ডটির সক্রিয়করণে কয়েক মিনিট সময় লাগে।
activist	কর্মী	কর্মী সমাবেশে কথা বলেছিলেন।
acute	তীব্র	দৌড়ানোর পর সে তীব্র ব্যথা অনুভব করেছিল।
adaptation	অভিযোজন	অভিযোজনটি উপন্যাসের সমাপ্তি পরিবর্তন করেছে।
adhere	মেনে চলা	কর্মীদের অবশ্যই নিরাপত্তা নিয়ম মেনে চলতে হবে।
adjacent	সংলগ্ন	হোটেলটি স্টেশনের সংলগ্ন।
adjustment	সমন্বয়	একটি ছোট সমন্বয় সমস্যাটির সমাধান করেছে।
administer	প্রয়োগ করা	নার্সরা সাবধানে টিকা প্রয়োগ করেন।
administrative	প্রশাসনিক	প্রশাসনিক কর্মীরা ফর্মগুলি পরিচালনা করেন।
administrator	প্রশাসক	প্রশাসক আমার পাসওয়ার্ড রিসেট করেছেন।
admission	প্রবেশাধিকার	যাদুঘরে প্রবেশাধিকার বিনামূল্যে।
adolescent	কিশোর	কিশোরের অতিরিক্ত সহায়তার প্রয়োজন ছিল।
adoption	দত্তক গ্রহণ	দত্তক গ্রহণ শিশুটিকে একটি স্থিতিশীল বাড়ি দিয়েছে।
adverse	প্রতিকূল	ওষুধটি প্রতিকূল প্রভাব সৃষ্টি করেছে।
advocate	আইনজীবী	আইনজীবী ভাড়াটেদের অধিকার রক্ষা করেছেন।
aesthetic	নান্দনিক	রুমটির একটি শান্ত নান্দনিক শৈলী রয়েছে।
affection	স্নেহ	সে তার পরিবারের প্রতি স্নেহ দেখিয়েছে।
aftermath	পরিণতি	ঝড়ের পরিণতি কঠিন ছিল।
aggression	আগ্রাসন	শিক্ষক বিরতির সময় আগ্রাসন লক্ষ্য করেছেন।
agricultural	কৃষিজাত	এই বছর কৃষিজাত রপ্তানি বেড়েছে।
aide	সহযোগী	সহযোগী মন্ত্রীর সময়সূচি গুছিয়েছিলেন।
albeit	যদিও	পরিকল্পনাটি কাজ করেছিল, যদিও ধীরে ধীরে।
alert	সতর্ক করা	অনুগ্রহ করে কর্মীদের অবিলম্বে সতর্ক করুন।
align	সারিবদ্ধ করা	তীরগুলি রাস্তার সাথে সারিবদ্ধ।
alignment	প্রান্তিককরণ	চাকার প্রান্তিককরণ গাড়ির হ্যান্ডলিং উন্নত করেছে।
alike	একইভাবে	যমজরা সপ্তাহান্তে একইভাবে পোশাক পরে।
allegation	অভিযোগ	অভিযোগটি সংবাদপত্রে প্রকাশিত হয়েছিল।
allege	অভিযোগ করা	তারা অভিযোগ করে যে তহবিল হারিয়ে গেছে।
allegedly	কথিত আছে যে	কথিত আছে যে ড্রাইভার সতর্কতাটি উপেক্ষা করেছিল।
alliance	জোট	দলগুলো একটি অস্থায়ী জোট গঠন করেছিল।
allocate	বরাদ্দ করা	শহরটি স্কুলগুলির জন্য অর্থ বরাদ্দ করবে।
allocation	বরাদ্দ	আসন বরাদ্দ অন্যায্য ছিল।
allowance	ভাতা	তার ভাতা দুপুরের খাবার এবং যাতায়াতের খরচ বহন করে।
ally	মিত্র	কানাডা একটি ঘনিষ্ঠ মিত্র হয়ে উঠেছে।
aluminium	অ্যালুমিনিয়াম	ফ্রেমটি অ্যালুমিনিয়াম দিয়ে তৈরি।
amateur	অপেশাদার	একজন অপেশাদার ফটোগ্রাফার ছবিটি তুলেছেন।
ambassador	রাষ্ট্রদূত	রাষ্ট্রদূত স্থানীয় ছাত্রদের সাথে দেখা করেছেন।
amend	সংশোধন করা	সংসদ আইনটি সংশোধন করার পক্ষে ভোট দিয়েছে।
amendment	সংশোধনী	সংশোধনীটি একটি অনুচ্ছেদ পরিবর্তন করেছে।
amid	মধ্যে	ক্রমবর্ধমান উত্তেজনার মধ্যে বক্তৃতাটি এসেছিল।
analogy	উপমা	শিক্ষক একটি সহজ উপমা ব্যবহার করেছেন।
anchor	নোঙ্গর	নৌকাটি দ্বীপের কাছে নোঙ্গর ফেলেছে।
angel	দেবদূত	শিশুটি দেবদূতের পোশাক পরেছিল।
anonymous	বেনামী	অভিযোগটি বেনামী ছিল।
apparatus	যন্ত্রপাতি	পরীক্ষাগারের যন্ত্রপাতি পরিষ্কার করা প্রয়োজন।
appealing	আকর্ষণীয়	অফারটি ছাত্রদের কাছে আকর্ষণীয় বলে মনে হচ্ছে।
appetite	ক্ষুধা	ব্যায়াম তার ক্ষুধা বাড়িয়েছিল।
applaud	হাততালি দেওয়া	দর্শকরা জোরে হাততালি দিতে শুরু করে।
applicable	প্রযোজ্য	ছাড়টি আজ প্রযোজ্য।
appoint	নিয়োগ করা	বোর্ড একজন পরিচালক নিয়োগ করবে।
