hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
3606:白白	白白	白白	marně; zbytečně	Čekal hodinu marně.	márne; zbytočne	Čakal hodinu márne.	hiába; feleslegesen	Egy órát hiába várt.	degeaba; în zadar	A așteptat o oră degeaba.	напразно; без полза	Той чака един час напразно.	uzalud; bespotrebno	Čekao je sat vremena uzalud.
3607:白领	白领	白领	administrativní pracovník; zaměstnanec kanceláře	V tomto městě je mnoho mladých kancelářských pracovníků.	administratívny pracovník; zamestnanec kancelárie	V tomto meste je veľa mladých kancelárskych pracovníkov.	irodai dolgozó; szellemi alkalmazott	Ebben a városban sok fiatal irodai dolgozó van.	angajat de birou; lucrător cu guler alb	În acest oraș sunt mulți tineri angajați de birou.	офис служител; служител с бяла яка	В този град има много млади офис служители.	uredski radnik; službenik	U ovom gradu ima mnogo mladih uredskih radnika.
3609:摆放	摆放	摆放	umístit; uspořádat	Prosím, uspořádejte materiály úhledně na stole.	umiestniť; usporiadať	Prosím, usporiadajte materiály úhľadne na stole.	elhelyezni; elrendezni	Kérlek, rendezd el szépen az anyagokat az asztalon.	a așeza; a aranja	Vă rog să aranjați materialele ordonat pe masă.	поставям; подреждам	Моля, подредете материалите спретнато на масата.	postaviti; rasporediti	Molim vas, uredno rasporedite materijale na stolu.
3610:百分点	百分点	百分点	procentní bod	Míra nezaměstnanosti klesla o dva procentní body.	percentuálny bod	Miera nezamestnanosti klesla o dva percentuálne body.	százalékpont	A munkanélküliségi ráta két százalékponttal csökkent.	punct procentual	Rata șomajului a scăzut cu două puncte procentuale.	процентен пункт	Равнището на безработицата спадна с два процентни пункта.	postotni bod	Stopa nezaposlenosti pala je za dva postotna boda.
3611:百货	百货	百货	smíšené zboží; sortiment obchodního domu	V tomto obchodním domě je o víkendu hodně lidí.	tovar v obchodnom dome; všeobecný tovar	V tomto obchodnom dome je cez víkend veľa ľudí.	áruházi cikkek; vegyes áruk	Ebben az áruházban hétvégén nagyon sokan vannak.	mărfuri generale; produse de magazin universal	Acest magazin universal este foarte aglomerat în weekend.	стоки в универсален магазин; общи стоки	Този универсален магазин е много претъпкан през уикенда.	roba široke potrošnje; robna kuća	Ova robna kuća vikendom je vrlo puna.
3613:败	败	败	prohrát; být poražen	Náš tým nakonec prohrál o jeden bod.	prehrať; byť porazený	Náš tím napokon prehral o jeden bod.	veszíteni; vereséget szenvedni	A csapatunk végül egy ponttal kikapott.	a pierde; a fi învins	Echipa noastră a pierdut în cele din urmă la un punct.	губя; бивам победен	Нашият отбор накрая загуби с една точка.	izgubiti; biti poražen	Naša je momčad na kraju izgubila za jedan bod.
3616:版	版	版	vydání; verze	Vyšlo nové vydání této knihy.	vydanie; verzia	Vyšlo nové vydanie tejto knihy.	kiadás; verzió	Megjelent ennek a könyvnek az új kiadása.	ediție; versiune	A apărut o ediție nouă a acestei cărți.	издание; версия	Излезе ново издание на тази книга.	izdanje; verzija	Izašlo je novo izdanje ove knjige.
3621:棒球	棒球	棒球	baseball; pálková hra	Děti hrají v parku baseball.	bejzbal; pálková hra	Deti hrajú v parku bejzbal.	baseball; ütős labdajáték	A gyerekek baseballoznak a parkban.	baseball; joc cu bâtă	Copiii joacă baseball în parc.	бейзбол; игра с бухалка	Децата играят бейзбол в парка.	bejzbol; igra palicom	Djeca igraju bejzbol u parku.
3623:保健	保健	保健	péče o zdraví; zdravotní prevence	Starší lidé věnují péči o zdraví stále větší pozornost.	starostlivosť o zdravie; zdravotná prevencia	Starší ľudia venujú starostlivosti o zdravie čoraz väčšiu pozornosť.	egészségmegőrzés; egészségügyi gondozás	Az idősebb emberek egyre nagyobb figyelmet fordítanak az egészségmegőrzésre.	îngrijirea sănătății; prevenție	Persoanele în vârstă acordă tot mai multă atenție îngrijirii sănătății.	грижа за здравето; профилактика	Възрастните хора обръщат все повече внимание на здравната профилактика.	briga o zdravlju; zdravstvena prevencija	Stariji ljudi sve više paze na očuvanje zdravlja.
3624:保暖	保暖	保暖	udržet teplo; chránit před chladem	Když jdeš v zimě ven, musíš se teple obléct.	udržať teplo; chrániť pred chladom	Keď ideš v zime von, treba sa teplo obliecť.	melegen tartani; védeni a hidegtől	Télen, ha kimész, figyelned kell a melegen tartásra.	a ține de cald; a proteja de frig	Când ieși iarna, trebuie să ai grijă să îți fie cald.	пазя топло; предпазвам от студ	Когато излизаш през зимата, трябва да се пазиш от студа.	utopliti; čuvati toplinu	Kad zimi izlaziš, trebaš se dobro utopliti.
