source_headword	UZ	example_UZ
abandon	voz kechmoq	Ular kecha rejadan voz kechishdi.
absolute	mutlaq	Bizga bu yerda mutlaq halollik kerak.
acceptable	maqbul	Uning javobi maqbul edi.
accompany	hamroh bo'lmoq	Akasi uni uyiga kuzatib qo'ydi.
accurate	aniq	Hisobot aniq ko'rinadi.
accuse	ayblamoq	Ular uni yolg'on gapirishda ayblashdi.
acknowledge	tan olmoq	Iltimos, xatoni tan oling.
acquire	egallamoq	U yangi ko'nikmalarni tezda egalladi.
actual	haqiqiy	Haqiqiy xarajat pastroq edi.
adapt	moslashmoq	Biz o'zgarishga moslashdik.
additional	qo'shimcha	Bugun qo'shimcha yordam yetib keldi.
administration	ma'muriyat	Ma'muriyat siyosatni o'zgartirdi.
adopt	qabul qilmoq	Ular yangi usulni qabul qilishdi.
advance	siljish	Biz biroz yutuqqa erishdik.
affair	voqea	Bu voqea jamoatchilik ishonchiga putur yetkazdi.
afterwards	keyin	Shundan so'ng hamma o'zini xotirjam his qildi.
agency	agentlik	Agentlik uchta tarjimonni yolladi.
agenda	kun tartibi	Xavfsizlik kun tartibidan joy olgan.
aggressive	tajovuzkor	Uning ohangi tajovuzkor eshitildi.
aid	yordam	Tibbiy yordam tezda yetib keldi.
aircraft	samolyot	Samolyot eson-omon qo'ndi.
alter	o'zgartirmoq	Shartnomani o'zgartirmang.
anger	jahl	Uning jahli hammani hayron qoldirdi.
angle	rakurs	Boshqa kamera rakursini sinab ko'ring.
anniversary	yubiley	Ularning yubileyi ertaga.
annual	yillik	Yillik yig'ilish dushanba kuni boshlanadi.
anxious	xavotirli	U jarrohlikdan oldin xavotirga tushdi.
apparent	aniq	Uning hafsalasi pir bo'lgani aniq edi.
apparently	aftidan	Aftidan, poyezd kechikmoqda.
appeal	shikoyat	Qaror ustidan shikoyat qilinishi mumkin.
approach	yondashuv	Uning yondashuvi muammoni hal qildi.
appropriate	mos	Mos javobni tanlang.
approval	tasdiq	Loyiha tasdiqlanishi kerak.
approve	tasdiqlamoq	Kengash byudjetni tasdiqladi.
arise	paydo bo'lmoq	Muammolar keyinroq paydo bo'lishi mumkin.
armed	qurollangan	Tashqarida qurollangan soqchilar turardi.
arms	qurollar	Ular qurollarini tashladilar.
artificial	sun'iy	Gullar sun'iy bo'lib ko'rinardi.
artistic	badiiy	Uning san'atga iste'dodi bor.
ashamed	uyatli	U keyinroq o'zini uyatda qolgandek his qildi.
aspect	jihat	Har bir jihatni diqqat bilan ko'rib chiqing.
assess	baholamoq	Biz zararni baholashimiz kerak.
assessment	baholash	Baholash ikki soat davom etdi.
associate	bog'lamoq	Odamlar tutunni xavf bilan bog'lashadi.
associated	bog'liq	Stress kasallik bilan bog'liq.
association	uyushma	Uyushma yosh san'atkorlarni qo'llab-quvvatlaydi.
assume	taxmin qilmoq	Menimcha, siz rozi bo'lasiz.
attempt	urinish	Uning birinchi urinishi muvaffaqiyatsiz bo'ldi.
bacteria	bakteriyalar	Bakteriyalar tez tarqalishi mumkin.
barrier	to'siq	Til to'siq bo'ldi.
basically	asosan	Asosan, bizga ko'proq vaqt kerak.
bear (deal with)	chidamoq	Men bu shovqinga chiday olmayman.
beg	yolvormoq	Iltimos, yordam so'rab yolvoring.
being	mavjudot	Har bir mavjudot suvga muhtoj.
bent	egilgan	Metall tayoq egilgan edi.
bet	ishonch bilan aytmoq	Ishonchim komilki, u biladi.
beyond	narida	Qishloq daryoning narigisida joylashgan.
bitter	achchiq	Dorining ta'mi achchiq edi.
blame	ayblamoq	Haydovchini ayblamang.
blind	ko'r	U yoshligida ko'r bo'lib qoldi.
bond	rishta	Ishonch kuchli rishta yaratadi.
breast	ko'krak	U ko'kragida og'riq his qildi.
brief	qisqa	Javobingizni qisqa tuting.
broad	keng	Bu yerda daryo keng.
broadcast	translyatsiya qilmoq	Nutq jonli efirda translyatsiya qilindi.
budget	byudjet	Byudjet juda cheklangan.
bullet	o'q	O'q devorga tegdi.
bunch	bog'lam	U bir bog'lam kalitlarni ko'tarib yurgan.
bush	buta	Qush butaga yashirindi.
cable	kabel	Kabel uzilgan.
calculate	hisoblamoq	Umumiy narxni hisoblang.
cancel	bekor qilmoq	Ular uchrashuvni bekor qilishdi.
cancer	saraton	Saratonni davolash qiyin bo'lishi mumkin.
capable	qodir	U ko'proq narsaga qodir.
capacity	sig'im	Zal o'z sig'imiga yetdi.
capture	ifodalamoq	Surat kayfiyatni aks ettiradi.
cast	aktyorlar jamoasi	Aktyorlar jamoasi tayyor.
cell	hujayra	Har bir hujayrada ma'lumotlar bor.
chairman	rais	Rais yig'ilishni ochib berdi.
characteristic	xususiyat	Sabr uning asosiy xususiyatidir.
chief	bosh	Bosh muhandis kechikib keldi.
circumstance	vaziyat	Har bir vaziyatni diqqat bilan ko'rib chiqing.
cite	iqtibos keltirmoq	Iltimos, manbangizni keltiring.
citizen	fuqaro	Har bir fuqaro ovoz berishi mumkin.
civil	tinch	Namoyish tinch o'tdi.
classic	klassika	Bu film klassikadir.
closely	diqqat bilan	Jarayonni diqqat bilan kuzatib boring.
collapse	qulamoq	Eski ko'prik qulashi mumkin.
combination	birikma	Kombinatsiya yaxshi ishladi.
comfort	tasalli	Uning so'zlari tasalli berdi.
command	buyruq	Zobit buyruq berdi.
commission	komissiya	Komissiya ishni ko'rib chiqdi.
commitment	mas'uliyat	Bu ish mas'uliyat talab qiladi.
committee	qo'mita	Qo'mita har haftada yig'iladi.
commonly	odatda	Bu o'simlik odatda o'stiriladi.
complicated	murakkab	Ko'rsatmalar murakkab.
component	qism	Bitta qism ishlamay qoldi.
concentration	diqqat	Shovqin diqqatimni buzadi.
concept	tushuncha	Tushuncha oddiy.
concern	tashvish	Xavfsizlik bizning asosiy tashvishimizdir.
concerned	xavotirlangan	Ota-onalar qattiq xavotirda edilar.
conduct	o'tkazmoq	Ular mahalliy darajada tadqiqot o'tkazadilar.
confidence	ishonch	Amaliyot ishonchni oshiradi.
conflict	ziddiyat	Ziddiyat yillab davam etdi.
confusing	chalkashtiradigan	Xarita chalkashtiradigan edi.
conscious	hushyor	U hushida qoldi.
conservative	konservativ	Uning qarashlari konservativ.
consideration	e'tibor	Narx muhim e'tiborga olinadigan jihatdir.
consistent	barqaror	Uning natijalari barqaror.
constant	doimiy	Doimiy shovqin bizni charchatdi.
constantly	doim	U doim telefonini tekshiradi.
construct	qurmoq	Ishchilar yangi ko'prik qurdilar.
construction	qurilish	Qurilish keyingi oy boshlanadi.
contemporary	zamonaviy	Galereyada zamonaviy san'at asarlari namoyish etiladi.
contest	tanlov	U tanlovda ishtirok etdi.
contract	shartnoma	Shartnomani diqqat bilan o'qing.
contribute	hissa qo'shmoq	Hamma o'z g'oyalarini qo'shishi mumkin.
contribution	hissa	Uning hissasi qadrli edi.
convert	o'zgartirmoq	Ular garajni o'zgartirdilar.
convinced	ishonchi komil	Men uning yolg'on gapirganiga aminman.
core	asos	Ishonch asosiy masaladir.
corporate	korporativ	Korporativ qoidalar yana o'zgardi.
council	kengash	Kengash rejani ma'qulladi.
county	okrug	Okrug yo'lni ta'mirladi.
courage	jasorat	U chinakam jasorat ko'rsatdi.
crash	avariya	Avariya harakatni to'xtatib qo'ydi.
creation	yaratish	Yaratish uchun olti oy vaqt ketdi.
creature	jonzot	Jonzot jimgina harakatlandi.
crew	jamoa	Jamoa kemani tayyorladi.
crisis	inqiroz	Inqiroz hamma narsani o'zgartirib yubordi.
criterion	mezon	Narx mezonlardan biridir.
critic	tanqidchi	Tanqidchi spektaklni maqtab yozdi.
critical	og'ir	Uning ahvoli og'ir.
criticism	tanqid	U tanqidni xotirjam qabul qildi.
criticize	tanqid qilmoq	Har bir xatoni tanqid qilmang.
crop	hosil	Bu yil hosil yaxshi bo'lmadi.
crucial	muhim	Bu yerda vaqt juda muhim.
cure	davo	Shifokorlar davosini topdilar.
curve	burilish	Yo'l burilish bo'ylab boradi.
curved	egilgan	Devor biroz egilgan.
debate	bahs	Bahs soatlab davam etdi.
debt	qarz	U qarzni to'ladi.
decent	tuzuk	Ular tuzukroq kvartira topdilar.
declare	e'lon qilmoq	Ular natijani e'lon qildilar.
decline	pasaymoq	Savdo pasayishda davom etdi.
decoration	bezak	Bezak qimmatbaho ko'rinardi.
decrease	pasaymoq	Narxlar tez orada pasayishi mumkin.
deeply	qattiq	U adolat haqida qattiq qayg'urardi.
defeat	mag'lubiyat	Mag'lubiyat jamoani larzaga soldi.
