source_headword	UZ	example_UZ
heal	tuzalish	Dam olish tananing tuzalishiga yordam beradi.
healthcare	sog'liqni saqlash	Bu yil sog'liqni saqlash xarajatlari oshdi.
helmet	shlem	Velosipedda shlem kiying.
hence	shuning uchun	Shuning uchun, biz jadvalni o'zgartirdik.
herb	giyoh	Rayhon foydali giyohdir.
hidden	yashirin	Kalit gilamcha ostida yashiringan edi.
highway	avtomagistral	Qordan keyin avtomagistral yopildi.
hilarious	juda kulgili	Kino juda kulgili edi.
hip	son	Mashq paytida u sonini jarohatladi.
historian	tarixchi	Tarixchi eski xatlarni o'rgandi.
homeless	uysiz	Boshpana uysiz oilalarga yordam beradi.
honesty	halollik	Halollik ishonchni mustahkamlaydi.
hook	ilgak	Paltoni ilgakka ilib qo'ying.
hopefully	umid qilamanki	Umid qilamanki, poyezd tez orada keladi.
hunger	ochlik	Ochlik diqqatni jamlashga ta'sir qilishi mumkin.
hypothesis	faraz	Tajriba gipotezani sinab ko'rdi.
icon	belgi	Ilova belgisi bugun o'zgardi.
ID	guvohnoma	Qabulxonada guvohnomangizni ko'rsating.
identical	bir xil	Egizaklar bir xil kurtka kiyib olishgan edi.
illusion	illyuziya	Ko'zgu illyuziya yaratadi.
immigration	immigratsiya	Immigratsiya siyosati o'tgan yili o'zgardi.
immune	immunitetli	Emlash odamlarni immunitetli qilishi mumkin.
implement	joriy qilmoq	Maktab siyosatni joriy qiladi.
implication	ma'no	Ma'nosi aniq edi.
incentive	rag'batlantirish	Bonus ishchilarga rag'bat berdi.
incorporate	qo'shmoq	Ovqatga ko'proq sabzavotlarni qo'shing.
incorrect	noto'g'ri	Javob noto'g'ri edi.
independence	mustaqillik	Mamlakat mustaqillikni nishonladi.
index	indeks	Mavzuni indeksdan tekshiring.
indication	belgi	Tabassum yengillikning belgisi edi.
inevitable	muqarrar	Biroz kechikish muqarrar edi.
inevitably	muqarrar ravishda	Muqarrar ravishda, tanqislikdan keyin narxlar oshdi.
infer	xulosa qilmoq	Biz matnning mazmunidan javobni xulosa qilishimiz mumkin.
inflation	inflyatsiya	Inflyatsiya oziq-ovqat narxlarini oshirdi.
info	ma'lumot	Veb-sayt foydali ma'lumotlarni ro'yxatga kiritadi.
infrastructure	infratuzilma	Bo'ron mahalliy infratuzilmaga zarar yetkazdi.
inhabitant	aholi	Har bir istiqomat qiluvchi toza suv oldi.
inherit	meros qilib olmoq	U oilaviy uyni meros qilib oladi.
ink	siyoh	Printerga qora siyoh kerak.
innovation	innovatsiya	Innovatsiya sanoatni oldinga siljitadi.
innovative	innovatsion	Kompaniya innovatsion mahsulotni sotuvga chiqardi.
input	taklif	Menejer fikr so'radi.
insert	kiritmoq	Kartani mashinaga soling.
inspector	inspektor	Inspektor binoni tekshirdi.
installation	o'rnatish	O'rnatish ikki soat davom etdi.
instant	tezkor	Ilova tezkor javob yubordi.
instantly	darhol	Ekran shu zahoti yondi.
integrate	birlashtirmoq	Dasturiy ta'minot yangi vositalarni birlashtirishi mumkin.
intellectual	intellektual	Bahs intellektual, ammo do'stona edi.
interact	muloqot qilmoq	Talabalar guruh ishida muloqot qilishadi.
interaction	muloqot	Muloqot xushmuomala edi.
interpretation	talqin	Uning she'rni talqin qilishi o'ziga xos edi.
interval	tanaffus	Ko'rinishlar o'rtasida qisqa tanaffus bo'ldi.
invade	bostirib kirmoq	Armiya orolga bostirib kirishga urindi.
invasion	bosqin	Bosqin ko'plab shaharlarga zarar yetkazdi.
investor	sarmoyador	Sarmoyador yangi startapni moliyalashtirdi.
isolate	ajratmoq	Shifokorlar jiddiy infektsiyasi bor bemorlarni ajratadilar.
isolated	ajratilgan	Qishloq qor tufayli ajratilgan edi.
jail	qamoqxona	O'g'ri qamoqxonaga tushdi.
jet	reaktiv samolyot	Reaktiv samolyot tushda qo'ndi.
joint	qo'shma	Ular qo'shma loyihani e'lon qilishdi.
journalism	jurnalistika	Jurnalistika aniq faktlarni talab qiladi.
