source_headword	TA	example_TA
abandon	கைவிடு	அவர்கள் நேற்று திட்டத்தை கைவிட்டார்கள்.
absolute	முழுமையான	எங்களுக்கு இங்கே முழுமையான நேர்மை தேவை.
acceptable	ஏற்றுக்கொள்ளத்தக்க	அவனது பதில் ஏற்றுக்கொள்ளத்தக்கதாக இருந்தது.
accompany	உடன் செல்	அவளது சகோதரன் அவளுடன் வீட்டிற்குச் சென்றான்.
accurate	துல்லியமான	அறிக்கை துல்லியமாகத் தெரிகிறது.
accuse	குற்றம் சாட்டு	அவர்கள் அவன் மீது பொய் சொன்னதாகக் குற்றம் சாட்டினர்.
acknowledge	ஒப்புக்கொள்	தயவுசெய்து தவறை ஒப்புக்கொள்ளுங்கள்.
acquire	பெறு	அவள் விரைவாக புதிய திறன்களைப் பெற்றாள்.
actual	உண்மையான	உண்மையான செலவு குறைவாக இருந்தது.
adapt	மாற்றியமை	நாங்கள் மாற்றத்திற்குப் பழகிக்கொண்டோம்.
additional	கூடுதல்	இன்று கூடுதல் உதவி வந்தது.
administration	நிர்வாகம்	நிர்வாகம் கொள்கையை மாற்றியது.
adopt	பின்பற்று	அவர்கள் புதிய முறையைப் பின்பற்றினர்.
advance	முன்னேற்றம்	நாங்கள் ஒரு சிறிய முன்னேற்றத்தை அடைந்தோம்.
affair	விவகாரம்	இந்த விவகாரம் மக்கள் நம்பிக்கையைச் சீர்குலைத்தது.
afterwards	பின்னர்	பின்னர், அனைவரும் அமைதியாக உணர்ந்தனர்.
agency	நிறுவனம்	நிறுவனம் மூன்று மொழிபெயர்ப்பாளர்களை வேலைக்கு அமர்த்தியது.
agenda	நிகழ்ச்சி நிரல்	பாதுகாப்பு நிகழ்ச்சி நிரலில் உள்ளது.
aggressive	ஆக்கிரோஷமான	அவனது குரல் ஆக்கிரோஷமாக ஒலித்தது.
aid	உதவி	மருத்துவ உதவி விரைவாக வந்தது.
aircraft	விமானம்	விமானம் பாதுகாப்பாக தரையிறங்கியது.
alter	மாற்று	ஒப்பந்தத்தை மாற்ற வேண்டாம்.
anger	கோபம்	அவனது கோபம் அனைவரையும் ஆச்சரியப்படுத்தியது.
