source_headword	HU	example_HU
ability	képesség; készség	Az úszási képessége egyértelmű.
able	képes; tud	Ma el tud jönni.
abroad	külföldön; külföldre	Külföldön akar tanulni.
accept	elfogad; átvesz	Fogadd el ezt a kis ajándékot.
accident	baleset	A baleset az iskola közelében történt.
according to	szerint	A jelentés szerint eső jön.
achieve	elér	Elérheted a célodat.
act	cselekszik; játszik	Egy darabban tud játszani.
active	aktív	Minden nap aktív.
actually	valójában; tulajdonképpen	Tulajdonképpen több időre van szükségem.
advantage	előny	Ennek a tervnek van előnye.
adventure	kaland	Az utazásuk kaland volt.
advertise	hirdet; reklámoz	Új állást hirdetnek.
advertisement	hirdetés; reklám	Láttam egy hirdetést.
advertising	reklám; hirdetés	A reklám segít eladni az ételt.
affect	hat valamire	Az alvás hat az egészségedre.
against	ellen; neki	Ne támaszkodj a falnak.
ah	á; aha	Aha, most már értem.
airline	légitársaság	A légitársaság nagyon elfoglalt.
alive	élő; életben van	A kis hal életben van.
all right	rendben; jól	Végre minden rendben van.
allow	megenged	Itt megengedik a kutyákat.
almost	majdnem	Már majdnem készen vagyunk.
alone	egyedül	Egyedül él.
along	mentén; végig	Sétálj végig ezen az úton.
already	már	Már tudom a választ.
alternative	alternatíva; másik	Ez a vonat egy alternatíva.
although	bár; noha	Bár késő van, maradhatunk.
among	között	A fák között állt.
amount	mennyiség; összeg	A mennyiség túl kicsi.
ancient	ősi; ókori	Ez az ősi fal híres.
ankle	boka	Ma fáj a bokám.
anybody	bárki; valaki	Tud erre valaki válaszolni?
any more	többé; még	Erre már nincs szükségem.
anyway	mindenesetre	Mindenesetre most elkezdhetjük.
anywhere	bárhol; bárhová	Ülj le, ahová szeretnél.
app	alkalmazás	Ez az alkalmazás hasznos.
appear	megjelenik; látszik	A neve itt fog megjelenni.
appearance	megjelenés; külső	A megjelenése más.
apply	jelentkezik; alkalmaz	Jelentkezz ma az állásra.
architect	építész	Az építésznek van terve.
architecture	építészet	Szeretem a modern építészetet.
argue	vitatkozik; érvel	Ne vitatkozz a nővéreddel.
argument	vita; érv	A vita rövid volt.
army	hadsereg	A hadsereg nagy.
arrange	elrendez; megszervez	Szervezd meg a találkozót, kérlek.
arrangement	megegyezés; elrendezés	Ez a megegyezés jól működik.
asleep	alvó; alszik	A baba alszik.
assistant	asszisztens; segítő	Az asszisztens segített nekem.
athlete	sportoló	A sportoló gyorsan fut.
attack	támadás; megtámad	A kutya megtámadhat.
attend	részt vesz; jár	Ma részt veszek az órán.
attention	figyelem	Figyelj most.
attractive	vonzó; csinos	A kert vonzó.
audience	közönség	A közönség csendes volt.
author	szerző	Az író ezt a könyvet írta.
available	elérhető; rendelkezésre áll	Most van elérhető étel.
average	átlagos; átlag	Az átlagos pontszám jó volt.
avoid	elkerül	Kerüld el a forgalmas utat.
award	díj; kitüntetés	Díjat nyert.
awful	szörnyű	Az időjárás szörnyű volt.
background	háttér	A képnek sötét háttere van.
badly	rosszul	Ma rosszul játszott.
bar	bár; rúd	A hotel bárjában találkoztunk.
baseball	baseball	A baseball itt népszerű.
based	alapuló	A film egy könyvön alapul.
basketball	kosárlabda	Iskola után kosárlabdázunk.
bean	bab	Ez a bab zöld.
bear (animal)	medve	A medve az erdőben él.
beat	legyőz; ver	A csapatunk legyőzheti őket.
beef	marhahús	Vacsorára marhahúst ettem.
behave	viselkedik	Viselkedj jól az órán.
behaviour	viselkedés	A viselkedése udvarias volt.
belong	tartozik	Ez a cipő hozzám tartozik.
belt	öv	Az öve fekete.
benefit	haszon; előny	A mozgásnak valódi haszna van.
billion	milliárd	Egy milliárd hatalmas szám.
bin	szemetes	Dobd a papírt a szemetesbe.
biology	biológia	A biológia a legjobb tantárgyam.
birth	születés	Májusban született.
biscuit	keksz	Kekszet eszik.
bit	kicsit; darab	Egy kicsit több időre van szükségem.
blank	üres; üres hely	Írd a neved az üres helyre.
blood	vér	A vér piros.
blow	fúj; ütés	A szél erősen fújhat.
board	tábla; deszka	Írd fel a táblára.
boil	forral; főz	Először forrald fel a vizet.
bone	csont	A kutyának van egy csontja.
borrow	kölcsönkér	Kölcsönkérhetem a tolladat?
boss	főnök	A főnököm barátságos.
bottom	alja; alsó rész	Írd alá az alján.
bowl	tál	A tál tele van.
brain	agy	Az agyadnak pihenésre van szüksége.
bridge	híd	A híd régi.
bright	világos; ragyogó	A szoba világos.
brilliant	briliáns; nagyszerű	Az ötlet nagyszerű.
broken	törött; elromlott	A szék törött.
brush	kefe; megmos	Mosd meg most a fogad.
burn	ég; megéget	Ne égesd meg a kenyeret.
businessman	üzletember	Az üzletember korán érkezett.
button	gomb; nyomógomb	Nyomd meg a piros gombot.
camp	tábor; táborozik	A tó közelében táborozunk.
camping	kempingezés	A kempingezés nyáron szórakoztató.
can2	konzervdoboz	Óvatosan nyisd ki a konzervdobozt.
care	gondoskodás; törődik	Törődj az egészségeddel.
careful	óvatos	Légy óvatos a lépcsőn.
carefully	óvatosan; gondosan	Olvasd el gondosan a kérdést.
carpet	szőnyeg	A szőnyeg puha.
cartoon	rajzfilm; képregény	Ez a rajzfilm vicces.
case	tok; eset	Tedd be a tokba.
cash	készpénz	Készpénzzel fizettem.
castle	vár	A vár nagyon régi.
catch	elkap	Kapd el most a labdát.
cause	okoz; ok	Az eső problémákat okozhat.
celebrate	ünnepel	A születésnapomat ünnepeljük.
celebrity	híresség	A híresség nagyon kedves volt.
certain	biztos; bizonyos	Ebben biztos vagyok.
certainly	biztosan	Biztosan segítek.
chance	esély; lehetőség	Van esélyed.
character	szereplő; jellem	Ez a szereplő bátor.
charity	jótékonyság	A jótékonyság segít a gyerekeknek.
chat	beszélget; csevegés	Óra után beszélgetünk.
chef	szakács	A szakács levest készített.
chemistry	kémia	A kémia nekem nehéz.
chip	chips; lapka	Ez a chips sós.
choice	választás	Ez a választás fontos.
church	templom	A templom közel van.
cigarette	cigaretta	A cigaretta rossz az egészségnek.
circle	kör; köröz	Rajzolj ide egy kört.
classical	klasszikus	Szeretem a klasszikus zenét.
clear	tiszta; világos	A válasz világos.
clearly	világosan	Beszélj világosan, kérlek.
clever	okos	Okos gyerek.
climate	éghajlat; klíma	Az éghajlat változik.
close2	közel	Az iskolám közel van az otthonomhoz.
closed	zárva; zárt	A bolt zárva van.
clothing	ruházat	A meleg ruházat hasznos.
cloud	felhő	Egy felhő eltakarja a napot.
coach	edző; távolsági busz	Az edző segített a csapatnak.
coast	tengerpart; part	A part mentén autóztunk.
code	kód	Írd be ide a kódot.
colleague	kolléga	A kollégám felhívott.
collect	gyűjt	Régi kártyákat gyűjtök.
column	oszlop	Olvasd el az első oszlopot.
comedy	vígjáték	Ez a vígjáték vicces.
comfortable	kényelmes	Ez a szék kényelmes.
comment	megjegyzés; komment	Hagyj lent egy megjegyzést.
communicate	kommunikál; kapcsolatot tart	E-mailben kommunikálunk.
community	közösség	A közösségünk barátságos.
compete	versenyez	Minden évben versenyeznek.
competition	verseny	A verseny holnap kezdődik.
complain	panaszkodik	Ne panaszkodj újra.
completely	teljesen	Teljesen egyetértek veled.
condition	állapot; feltétel	Az autó jó állapotban van.
conference	konferencia	A konferencia kilenckor kezdődik.
connect	összeköt; csatlakoztat	Csatlakoztasd a telefont a számítógéphez.
connected	kapcsolódó; összekötött	A két ötlet összekapcsolódik.
consider	megfontol	Kérlek, fontold meg az ötletemet.
contain	tartalmaz	Ez a doboz könyveket tartalmaz.
context	környezet; összefüggés	Az összefüggés segít megérteni.
continent	kontinens	Egy kontinens nagyon nagy.
continue	folytat	Folytasd az olvasást, kérlek.
control	irányít; ellenőrzés	Gondosan irányítsd a sebességet.
cooker	tűzhely	A tűzhely tiszta.
copy	másolat; másol	Készíts nekem egy másolatot.
corner	sarok	Ülj a sarokba.
correctly	helyesen	Írd le helyesen a választ.
count	számol	Számold meg a könyveket.
couple	pár	A pár korán érkezett.
cover	befed; fedél	Fedd le a tálat.
crazy	őrült	Ez az ötlet őrültnek hangzik.
creative	kreatív	Kreatív ötlete van.
credit	hitel; kredit	Hitelkártyával fizettem.
crime	bűn; bűncselekmény	A bűn komoly probléma.
criminal	bűnöző; bűnügyi	A bűnöző gyorsan elment.
cross	átmegy; kereszt	Óvatosan menj át az utcán.
crowd	tömeg	Tömeg várt kint.
crowded	zsúfolt	A vonat zsúfolt volt.
cry	sír	Ne sírj most.
cupboard	szekrény	A csészék a szekrényben vannak.
curly	göndör	Göndör haja van.
cycle	biciklizik; ciklus	Biciklivel járok iskolába.
daily	napi; naponta	Naponta olvasom a híreket.
danger	veszély	A tábla veszélyt jelez.
data	adat; adatok	Az adatok hasznosak.
dead	halott	A növény halott.
deal	üzlet; megállapodás	Ez jó üzlet.
death	halál	A halál nehéz téma.
decision	döntés	Hozz ma döntést.
deep	mély	A víz mély.
definitely	határozottan	Határozottan teát szeretnék.
degree	diploma; fok	A diplomám történelemből van.
dentist	fogorvos	A fogorvos ellenőrizte a fogaimat.
department	osztály; részleg	A cipőrészleg az emeleten van.
depend	függ	Az időjárástól függ.
desert	sivatag	A sivatag nagyon száraz.
designer	tervező	A tervező készítette ezt a ruhát.
destroy	elpusztít; megsemmisít	Ne semmisítsd meg a fájlt.
detective	nyomozó	A nyomozó megtalálta a kulcsot.
develop	fejleszt	Új alkalmazást fejlesztenek.
device	eszköz; készülék	Ez az eszköz hasznos.
diary	napló	A naplójába ír.
differently	másképp	Mi másképp csináljuk.
digital	digitális	Ez egy digitális fényképezőgép.
direct	közvetlen; irányít	Szállj közvetlen vonatra.
direction	irány	Menj ebbe az irányba.
director	rendező; igazgató	A rendezőnek tetszett a film.
disagree	nem ért egyet	Nem értek egyet azzal az ötlettel.
disappear	eltűnik	A nap hamarosan eltűnik.
disaster	katasztrófa	A vihar katasztrófa volt.
discover	felfedez	Új szigetet fedeznek fel.
discovery	felfedezés	A felfedezés megváltoztatta a tudományt.
discussion	megbeszélés; vita	A megbeszélés korán véget ért.
disease	betegség	Ez a betegség súlyos.
distance	távolság	A távolság rövid.
divorced	elvált	A szülei elváltak.
document	dokumentum	Mentsd el ezt a dokumentumot most.
double	dupla; kétágyas	Kétágyas szobára van szükségem.
download	letölt; letöltés	Töltsd le ma az alkalmazást.
drama	dráma	A dráma ma este kezdődik.
drawing	rajz	A rajza szép.
dream	álom; álmodik	Furcsa álmom volt.
driving	vezetés	Éjjel vezetni nehéz.
drop	leejt; csepp	Ne ejtsd le a poharat.
drug	gyógyszer; drog	A gyógyszer segített neki.
dry	száraz; szárít	A törölköző száraz.
earn	keres	Pénzt keresek a munkában.
earth	Föld; föld	A Föld kerek.
easily	könnyen	Könnyen tanul.
education	oktatás; képzés	Az oktatás fontos.
effect	hatás	A hatás világos volt.
either	bármelyik; vagy	Bármelyik válasz jó.
electric	elektromos	Ez az autó elektromos.
electrical	elektromos	Az elektromos rendszer biztonságos.
electricity	áram; elektromosság	Az áram itt drága.
electronic	elektronikus	Ez az elektronikus jegy működik.
employ	alkalmaz; foglalkoztat	Öt embert foglalkoztatnak.
employee	alkalmazott	Az alkalmazott keményen dolgozik.
employer	munkaadó	A munkaadóm korrekt.
empty	üres	A szoba üres.
ending	befejezés	A befejezés meglepő volt.
energy	energia	Ma nincs energiám.
engine	motor	A motor hangos.
engineer	mérnök	A mérnök megjavította a hidat.
enormous	óriási	Az épület óriási.
enter	belép; beír	Lépj be csendesen a szobába.
environment	környezet	Védd a környezetet.
equipment	felszerelés; berendezés	Ez a felszerelés drága.
error	hiba	Hibát találtam.
especially	különösen	Különösen szeretem ezt a dalt.
essay	esszé	Írj esszét ma este.
