simplified	SI	example_SI
啊	තහවුරු කිරීමේ අවසාන පදය; ආ	හරි, අපි දැන් යමු.
阿姨	නැන්දා; ළමා භාරකාරිය	නැන්දා සුපිරි වෙළඳසැලේ වැඩ කරනවා.
矮	කොට; පහත්	මේ මේසය ටිකක් පහත්.
爱好	විනෝදාංශය; කැමැත්ත	මගේ විනෝදාංශය සංගීතය අහන එකයි.
安静	නිහඬ; සන්සුන්	පුස්තකාලයේ ගොඩක් නිහඬයි.
把	අල්ලා ගන්නවා; කර්මය ඉදිරියට ගෙනෙන පදය	කරුණාකර දොර වහන්න.
搬	මාරු වෙනවා; ගෙන යනවා	අපි හෙට ගෙදර මාරු වෙනවා.
班	පන්තිය; කණ්ඩායම	අපේ පන්තියේ සිසුන් විස්සක් ඉන්නවා.
办法	ක්‍රමය; විසඳුම	මේ ක්‍රමය ඉතා හොඳයි.
办公室	කාර්යාලය	කළමනාකරු කාර්යාලයේ ඉන්නවා.
半	අඩක්; බාගය	මම පැය බාගයක් බලා සිටියා.
帮忙	උදව් කරනවා	ඔබට උදව් කරන්න පුළුවන්ද?
包	බෑගය; ඔතනවා	ඇය නව බෑගයක් මිලදී ගත්තා.
饱	බඩ පිරුණු; තෘප්තිමත්	මගේ බඩ දැනටමත් පිරිලා.
北方	උතුර; උතුරු පළාත	උතුරේ ශීත කාලය ගොඩක් සීතලයි.
被	කර්මකාරක පදය; විසින්	මගේ පාපැදිය මගේ මිතුරා අරගෙන ගියා.
鼻子	නාසය	ඔහුගේ නාසය ටිකක් රතුයි.
比较	සසඳනවා; තරමක්	අද තරමක් උණුසුම්.
比赛	තරගය	මේ තරගය ගොඩක් වැදගත්.
笔记本	නෝට් පොත	මම නෝට් පොත මේසය මත තැබුවා.
必须	අනිවාර්යයෙන්; කළ යුතුයි	ඔයා අනිවාර්යයෙන්ම හොඳින් පුනරාවර්තනය කළ යුතුයි.
变化	වෙනස; වෙනස් වෙනවා	මේ නගරය ගොඩක් වෙනස් වෙලා.
别人	වෙනත් අය	වෙනත් අයගේ දේවල් ගන්න එපා.
冰箱	ශීතකරණය	පලතුරු ශීතකරණයේ තියෙනවා.
不但…而且…	පමණක් නොව... තවද...	ඇය බුද්ධිමත් පමණක් නොව, ඉතා මහන්සිවෙන කෙනෙක්.
菜单	ආහාර ලැයිස්තුව	කරුණාකර මට ආහාර ලැයිස්තුවක් දෙන්න.
参加	සහභාගී වෙනවා	මට මේ රැස්වීමට සහභාගී වෙන්න ඕනේ.
草	තණකොළ	කුඩා බල්ලා තණකොළ මත දුවනවා.
层	මහල; ස්ථරය	මේ ගොඩනැගිල්ලට මහල් තුනක් තියෙනවා.
差	නරක; වෙනස; අඩු	අද කාලගුණය නරකයි.
超市	සුපිරි වෙළඳසැල	මම පාන් ගන්න සුපිරි වෙළඳසැලට යනවා.
衬衫	කමිසය	මේ කමිසය ගොඩක් පිරිසිදුයි.
城市	නගරය	බෙයිජිං විශාල නගරයක්.
成绩	ප්‍රතිඵලය; ලකුණු	ඔහුගේ ගණිත ලකුණු ගොඩක් හොඳයි.
迟到	පරක්කු වෙනවා	පන්තියට පරක්කු වෙන්න එපා.
除了	හැර; අමතරව	කෝපි හැර, මට තේත් ඕනේ.
船	බෝට්ටුව; නැව	අපි බෝට්ටුවෙන් ඒ නගරයට යනවා.
春	වසන්තය	වසන්තයේ මල් ගොඩක් තියෙනවා.
