source_headword	FR	example_FR
stranger	un inconnu	Un inconnu a demandé son chemin.
strength	la force	Sa force a aidé l'équipe.
string	la ficelle	Attachez la boîte avec de la ficelle.
strongly	fortement	Je suis fortement en désaccord avec cette idée.
studio	le studio	L'artiste travaille dans un petit studio.
stuff	les affaires	Mets tes affaires sur l'étagère.
substance	la substance	La police a trouvé une substance étrange.
successfully	avec succès	Ils ont terminé le projet avec succès.
sudden	soudain	Un bruit soudain nous a réveillés.
suffer	souffrir	Beaucoup de plantes souffrent par temps sec.
suitable	approprié	Cette veste est appropriée pour l'école.
summarize	résumer	Pouvez-vous résumer l'article ?
summary	le résumé	Écris un court résumé ce soir.
supply	l'approvisionnement	La ville a besoin d'un approvisionnement en eau potable.
supporter	le supporter	Chaque supporter a applaudi bruyamment.
surely	sûrement	Nous pouvons sûrement résoudre cela.
surface	la surface	La surface était froide et lisse.
survive	survivre	Ces animaux survivent aux hivers froids.
switch	éteindre	Éteins la lumière de la cuisine.
symptom	le symptôme	Une toux peut être un symptôme.
tail	la queue	Le chien a une longue queue.
talent	le talent	Elle a un talent pour la musique.
talented	talentueux	C'est un jeune acteur talentueux.
tape	le ruban adhésif	Utilisez du ruban adhésif pour fermer la boîte.
tax	la taxe	Tout le monde doit payer cette taxe.
technical	technique	Nous avons eu un problème technique.
technique	la technique	Cette technique fait gagner du temps.
tend	avoir tendance	Les enfants ont tendance à apprendre vite.
tent	la tente	Nous avons dormi dans une petite tente.
theirs	le leur	Les vélos bleus sont les leurs.
theme	le thème	La fête avait pour thème la plage.
theory	la théorie	Sa théorie explique le problème.
therefore	par conséquent	Il a plu, par conséquent nous sommes restés à l'intérieur.
though	bien que	Bien que fatiguée, elle a continué à travailler.
throat	la gorge	J'ai mal à la gorge ce matin.
throughout	tout au long de	Les gens ont dansé tout au long de la soirée.
tight	serré	Ces chaussures sont trop serrées.
till	jusqu'à ce que	Attends ici jusqu'à ce que je revienne.
tin	la boîte de conserve	Ouvre une boîte de haricots.
tiny	minuscule	Un oiseau minuscule s'est posé tout près.
toe	l'orteil	Je me suis blessé à l'orteil hier.
tongue	la langue	Elle s'est brûlé la langue avec du thé.
total	total	Le coût total était faible.
totally	totalement	Je comprends totalement ton inquiétude.
trade	le commerce	Le commerce international crée des emplois.
translate	traduire	Veuillez traduire cette phrase.
translation	la traduction	La traduction semble naturelle.
treat	traiter	Traitez tout le monde avec respect.
treatment	le traitement	Le patient a besoin d'un traitement aujourd'hui.
trend	la tendance	Cette tendance se développe dans le monde entier.
trick	le tour	Ce tour de cartes m'a surpris.
truth	la vérité	S'il te plaît, dis la vérité.
tube	le tube	Pressez doucement le tube.
typically	généralement	Les étudiants arrivent généralement avant neuf heures.
tyre	le pneu	La voiture a besoin d'un nouveau pneu.
ugly	laid	La couleur de ce mur est laide.
unable	incapable	Il était incapable de répondre.
uncomfortable	inconfortable	Cette chaise est inconfortable.
underwear	les sous-vêtements	Emporte des sous-vêtements propres pour le voyage.
unemployed	au chômage	Elle a été au chômage pendant deux mois.
unemployment	le chômage	Le chômage a augmenté pendant l'hiver.
unfair	injuste	La décision semblait injuste.
union	le syndicat	Le syndicat a demandé un travail plus sûr.
unless	à moins que	Ne pars pas à moins que j'appelle.
unlike	contrairement à	Contrairement à Tom, Ana adore l'hiver.
unlikely	peu probable	La neige est peu probable cette semaine.
unnecessary	inutile	Les sacs supplémentaires sont inutiles.
unpleasant	désagréable	La pièce avait une odeur désagréable.
update	mettre à jour	Je dois mettre à jour mon téléphone.
upon	sur	Il était une fois, un roi.
upset	contrarié	Elle se sentait contrariée après l'appel.
used1	utilisé	Cette pièce est utilisée pour des réunions.
used2	habitué	Je suis habitué aux matins tôt.
valuable	précieux	Cette montre est précieuse.
value	la valeur	La maison a perdu de la valeur l'année dernière.
various	divers	Nous avons goûté divers plats locaux.
version	la version	Cette version fonctionne mieux.
victim	la victime	La victime a appelé la police.
viewer	le spectateur	Un spectateur a posé une question.
violent	violent	Le film était trop violent.
volunteer	faire du bénévolat	Je fais du bénévolat à la bibliothèque.
vote	voter	N'oublie pas de voter demain.
warn	avertir	J'ai essayé de l'avertir.
warning	l'avertissement	L'avertissement est apparu à l'écran.
waste	gaspiller	Ne gaspillez pas l'eau propre.
weapon	l'arme	Le couteau est devenu une arme.
weigh	peser	Pesez la farine avec précaution.
western	western	Ils ont regardé un film western.
whatever	tout ce que	Choisis ce que tu veux.
whenever	n'importe quand	Appelle quand tu as besoin d'aide.
whether	si	Je ne sais pas si elle est d'accord.
wing	l'aile	L'oiseau s'est blessé à une aile.
within	dans	Veuillez répondre sous deux jours.
wonder	se demander	Je me demande ce qui s'est passé.
wool	la laine	Ce manteau est en laine.
worldwide	dans le monde entier	La chanson est devenue populaire dans le monde entier.
worth	valoir	Ce livre vaut la peine d'être lu.
written	écrit	Veuillez envoyer des instructions écrites.
yard	la cour	Les enfants ont joué dans la cour.
youth	la jeunesse	Les clubs de jeunes soutiennent les adolescents locaux.
