source_headword	MS	example_MS
heal	sembuh	Rehat membantu badan sembuh.
healthcare	penjagaan kesihatan	Kos penjagaan kesihatan meningkat tahun ini.
helmet	topi keledar	Pakai topi keledar semasa menunggang basikal.
hence	oleh itu	Oleh itu, kami menukar jadual.
herb	herba	Selasih adalah herba yang berguna.
hidden	tersembunyi	Kunci tersembunyi di bawah tikar.
highway	lebuh raya	Lebuh raya ditutup selepas salji turun.
hilarious	kelakar	Filem itu sangat kelakar.
hip	pinggul	Dia mencederakan pinggulnya semasa latihan.
historian	ahli sejarah	Ahli sejarah mengkaji surat lama.
homeless	gelandangan	Tempat perlindungan itu membantu keluarga gelandangan.
honesty	kejujuran	Kejujuran membina kepercayaan.
hook	cangkuk	Gantung kot pada cangkuk.
hopefully	mudah-mudahan	Mudah-mudahan kereta api tiba tidak lama lagi.
hunger	kelaparan	Kelaparan boleh menjejaskan tumpuan.
hypothesis	hipotesis	Eksperimen itu menguji hipotesis.
icon	ikon	Ikon aplikasi berubah hari ini.
ID	kad pengenalan	Tunjukkan kad pengenalan anda di kaunter penerimaan tetamu.
identical	serupa	Pasangan kembar memakai jaket yang serupa.
illusion	ilusi	Cermin itu mencipta ilusi.
immigration	imigresen	Dasar imigresen berubah pada tahun lepas.
immune	kebal	Pemvaksinan boleh menjadikan orang kebal.
implement	melaksanakan	Sekolah akan melaksanakan dasar tersebut.
implication	implikasi	Implikasi itu jelas.
incentive	insentif	Bonus itu memberi insentif kepada pekerja.
incorporate	memasukkan	Masukkan lebih banyak sayur ke dalam makanan.
incorrect	salah	Jawapannya salah.
independence	kemerdekaan	Negara menyambut kemerdekaan.
index	indeks	Periksa indeks untuk topik tersebut.
indication	petunjuk	Senyuman itu adalah petunjuk kelegaan.
inevitable	tidak dapat dielakkan	Sedikit kelewatan tidak dapat dielakkan.
inevitably	semestinya	Semestinya, harga meningkat selepas kekurangan.
infer	menyimpulkan	Kita boleh menyimpulkan jawapan daripada konteks.
inflation	inflasi	Inflasi meningkatkan harga makanan.
info	maklumat	Laman web ini menyenaraikan maklumat yang berguna.
infrastructure	infrastruktur	Ribut merosakkan infrastruktur tempatan.
inhabitant	penduduk	Setiap penduduk menerima air bersih.
inherit	mewarisi	Dia akan mewarisi rumah keluarga.
ink	dakwat	Pencetak memerlukan dakwat hitam.
innovation	inovasi	Inovasi memacu industri ke hadapan.
innovative	inovatif	Syarikat melancarkan produk inovatif.
input	input	Pengurus meminta input.
insert	masukkan	Masukkan kad ke dalam mesin.
inspector	pemeriksa	Pemeriksa memeriksa bangunan.
installation	pemasangan	Pemasangan mengambil masa dua jam.
instant	serta-merta	Aplikasi menghantar balasan serta-merta.
instantly	serta-merta	Skrin dihidupkan serta-merta.
integrate	menyepadukan	Perisian ini boleh menyepadukan alat baru.
intellectual	intelektual	Perdebatan itu intelektual tetapi mesra.
interact	berinteraksi	Pelajar berinteraksi semasa kerja kumpulan.
interaction	interaksi	Interaksi itu sopan.
interpretation	tafsiran	Tafsirannya mengenai puisi itu adalah asli.
interval	selang masa	Terdapat selang masa pendek antara babak.
invade	menceroboh	Tentera cuba menceroboh pulau itu.
invasion	pencerobohan	Pencerobohan itu merosakkan banyak bandar.
investor	pelabur	Pelabur membiayai permulaan perniagaan baru.
isolate	mengasingkan	Doktor mengasingkan pesakit dengan jangkitan teruk.
isolated	terpencil	Perkampungan itu terpencil akibat salji.
jail	penjara	Pencuri itu pergi ke penjara.
jet	jet	Jet mendarat pada waktu tengah hari.
joint	bersama	Mereka mengumumkan projek bersama.
journalism	kewartawanan	Kewartawanan memerlukan fakta yang tepat.
jury	juri	Juri mencapai keputusan.
