source_headword	PT	example_PT
crawl	engatinhar	O bebê começou a engatinhar pelo tapete.
creator	o criador	O criador agradeceu a todos pelo apoio.
credibility	a credibilidade	A testemunha perdeu a credibilidade durante o interrogatório.
credible	crível	O relatório ofereceu provas críveis.
creep	rastejar	A neblina começou a rastejar pelo vale.
critique	a crítica	O professor fez uma crítica detalhada.
crown	a coroa	A rainha usava uma coroa de prata.
crude	rude	O desenho era rude, mas claro.
crush	esmagar	Pedras pesadas podem esmagar o cano.
crystal	o cristal	O cristal refletiu a luz da manhã.
cult	o culto	O culto isolou seus membros.
cultivate	cultivar	Os fazendeiros cultivam arroz nesta região.
curiosity	a curiosidade	A curiosidade a levou para a ciência.
custody	a guarda	A criança permaneceu sob a guarda do pai.
cutting	o recorte	O jornal publicou um recorte sobre ele.
cynical	cínico	Sua observação cínica irritou a equipe.
dam	a barragem	A barragem retém a água do rio.
damaging	prejudicial	O artigo prejudicial prejudicou a campanha.
dawn	o amanhecer	Saímos da aldeia ao amanhecer.
debris	os destroços	Os destroços da tempestade bloquearam a estrada.
debut	a estreia	Sua estreia atraiu a atenção nacional.
decision-making	a tomada de decisão	Uma boa tomada de decisão exige informações claras.
decisive	decisivo	Sua ação decisiva evitou mais danos.
declaration	a declaração	O ministro leu uma declaração formal.
dedicated	dedicado	O enfermeiro dedicado trabalhou durante a noite.
dedication	a dedicação	Sua dedicação inspirou jogadores mais jovens.
deed	a ação	A ação corajosa salvou duas vidas.
deem	considerar	O tribunal pode considerar o contrato inválido.
default	o padrão	Use a configuração padrão por enquanto.
defect	o defeito	Os inspetores encontraram um defeito grave.
defensive	defensivo	Seu tom defensivo surpreendeu a todos.
deficiency	a deficiência	A deficiência de ferro pode afetar a saúde.
deficit	o déficit	O déficit orçamentário preocupou os funcionários.
defy	desafiar	Os manifestantes escolheram desafiar a proibição.
delegate	o delegado	Cada delegado recebeu um cartão de votação.
delegation	a delegação	A delegação chegou antes do meio-dia.
delicate	delicado	O vidro delicado quebrou facilmente.
demon	o demônio	A história descreve um antigo demônio.
denial	a negação	Sua negação irritou as vítimas.
denounce	denunciar	Os líderes denunciam a violência nas escolas.
dense	denso	A floresta densa bloqueou a luz do sol.
density	a densidade	A densidade populacional é alta no centro.
dependence	a dependência	A dependência do país em relação ao petróleo diminuiu.
depict	retratar	O mural retrata a vida na aldeia.
deploy	mobilizar	O exército irá mobilizar pessoal extra.
deployment	a mobilização	A mobilização de tropas começou na segunda-feira.
deprive	privar	A falta de sono pode privar os alunos de foco.
deputy	o vice	O vice assinou o acordo.
descend	descer	O caminho começou a descer acentuadamente.
descent	a descida	O avião iniciou a sua descida.
designate	designar	A cidade designará um novo parque.
desirable	desejável	Uma boa iluminação é desejável nas salas de aula.
desktop	a área de trabalho	O arquivo está na minha área de trabalho.
destructive	destrutivo	A tempestade teve uma força destrutiva.
detain	deter	A polícia pode deter suspeitos durante a noite.
detection	a detecção	A detecção precoce melhora o tratamento do câncer.
detention	a detenção	Os estudantes protestaram contra as condições de detenção.
deteriorate	deteriorar	A saúde dele começou a se deteriorar.
devastate	devastar	O terremoto pode devastar cidades costeiras.
devil	o diabo	A criança desenhou um diabo sorridente.
devise	elaborar	Engenheiros elaboram sistemas de transporte mais seguros.
diagnose	diagnosticar	Os médicos diagnosticam a doença com exames de sangue.
diagnosis	o diagnóstico	O diagnóstico explicou os sintomas dela.
dictate	ditar	O contrato ditará as condições de pagamento.
dictator	o ditador	O ditador controlava a mídia.
differentiate	diferenciar	Você consegue diferenciar fato de opinião?
dignity	a dignidade	Todos merecem dignidade no trabalho.
dilemma	o dilema	O gerente enfrentou um sério dilema.
dimension	a dimensão	O problema tem uma dimensão política.
diminish	diminuir	A dor deve diminuir lentamente.
dip	cair	As temperaturas podem cair abaixo de zero.
diplomat	o diplomata	O diplomata encontrou líderes estrangeiros.
diplomatic	diplomático	As negociações diplomáticas continuaram durante a noite.
directory	o diretório	Procure o número dele no diretório.
disastrous	desastroso	A enchente desastrosa destruiu várias pontes.
discard	descartar	Não descarte registros úteis.
discharge	dar alta	O hospital dará alta a ele amanhã.
disclose	divulgar	Os funcionários se recusaram a divulgar os números.
disclosure	a divulgação	A divulgação chocou o conselho.
discourse	o discurso	O discurso público tornou-se mais educado.
discretion	a discrição	Use sua discrição em casos sensíveis.
