source_headword	RU	example_RU
incur	повлечь за собой	Задержки могут повлечь за собой дополнительные расходы.
indicator	индикатор	Безработица является одним из экономических показателей.
indictment	обвинительный акт	В обвинительном акте было перечислено три пункта.
indigenous	местный	Местные растения здесь хорошо растут.
induce	вызывать	Лекарство может вызывать сонливость.
indulge	потакать	Она не потакает дорогим привычкам.
inequality	неравенство	Неравенство доходов остается серьезной проблемой.
infamous	печально известный	Тюрьма стала печально известной во всем мире.
infant	младенец	Младенец спал в кроватке.
infect	заражать	Вирус может заражать здоровые клетки.
inflict	причинять	Не причиняйте боль животным.
influential	влиятельный	Она влиятельный ученый-правовед.
inherent	неотъемлемый	В этой конструкции есть неотъемлемые риски.
inhibit	препятствовать	Страх может препятствовать честному обсуждению.
initiate	инициировать	Менеджер инициирует проверку.
inject	вводить	Медсестра введет вакцину.
injection	инъекция	Инъекция уменьшила боль.
injustice	несправедливость	Решение суда выявило явную несправедливость.
inmate	заключенный	Заключенный попросил юридическую консультацию.
insertion	вставка	В форму нужно вставить один текст.
insider	инсайдер	Инсайдер слил отчет.
inspect	осматривать	Чиновники осматривают мост ежегодно.
inspection	проверка	Проверка выявила серьезные повреждения.
inspiration	вдохновение	Ее речь дала мне вдохновение.
instinct	инстинкт	Его первым инстинктом было помочь.
institutional	институциональный	Институциональные правила повлияли на решение.
instruct	инструктировать	Руководство проинструктирует новых сотрудников.
instrumental	играющий важную роль	Ее совет сыграл важную роль в переговорах.
insufficient	недостаточный	Доказательств было недостаточно для предъявления обвинений.
insult	оскорбление	Его оскорбление положило конец разговору.
intact	нетронутый	Древняя стена осталась нетронутой.
intake	потребление	Потребление сахара должно оставаться умеренным.
integral	неотъемлемый	Доверие является неотъемлемой частью команды.
integrated	интегрированный	Школа предлагает комплексную поддержку.
integration	интеграция	Интеграция улучшила всю систему.
integrity	честность	Судья проявил большую честность.
intensify	усиливаться	Буря может усилиться ночью.
intensity	интенсивность	Интенсивность тренировок возросла.
intensive	интенсивный	Они прошли интенсивную языковую подготовку.
intent	намерение	Его намерение было трудно доказать.
interactive	интерактивный	В музее есть интерактивные дисплеи.
interface	интерфейс	В этом интерфейсе легко ориентироваться.
interfere	вмешиваться	Не вмешивайтесь в расследование.
interference	помехи	Помехи сигнала прервали звонок.
interim	промежуточный	Промежуточный отчет поступит завтра.
interior	внутренний	Внутренние стены нуждаются в покраске.
intermediate	средний	Она присоединилась к группе среднего уровня.
intervene	вмешиваться	Полиции пришлось быстро вмешаться.
intervention	вмешательство	Раннее вмешательство помогло пациенту.
intimate	интимный	Они провели скромную семейную церемонию в узком кругу.
intriguing	интригующий	Данные выявили интригующую закономерность.
investigator	следователь	Следователь опросил каждого свидетеля.
invisible	невидимый	Этот газ невидимый и опасный.
invoke	ссылаться	Адвокат попытался сослаться на прецедент.
involvement	участие	Его участие оставалось неясным.
ironic	ироничный	Ироничный комментарий рассмешил всех.
ironically	по иронии судьбы	По иронии судьбы, маршрут занял больше времени.
irony	ирония	Ирония была очевидна всем.
irrelevant	неуместный	Эта деталь здесь неуместна.
isolation	изоляция	Изоляция может нанести вред психическому здоровью.
judicial	судебный	Судебный пересмотр начнется в понедельник.
junction	перекресток	Поверните налево на перекрестке.
jurisdiction	юрисдикция	Суд имеет ограниченную юрисдикцию.
just	справедливый	Судья принял справедливое решение.
justification	обоснование	Нам нужно четкое обоснование расходов.
kidnap	похитить	Преступники пытались похитить дипломата.
kidney	почка	Функция ее почек улучшилась.
kingdom	королевство	Королевство расширилось во время его правления.
lad	парень	Молодой парень нес сумки.
landlord	домовладелец	Домовладелец починил отопление.
landmark	достопримечательность	Башня стала достопримечательностью города.
lap	колени	Ребенок сидел у нее на коленях.
large-scale	крупномасштабный	Город запланировал крупномасштабные ремонтные работы.
laser	лазер	Лазер измерил расстояние.
latter	последний	Последний вариант кажется более безопасным.
lawn	лужайка	Дети играли на лужайке.
lawsuit	судебный иск	Компания урегулировала судебный иск.
layout	макет	Макет страницы выглядит более четким.
leak	утечка	Утечка в трубе затопила кухню.
leap	скачок	Продажи совершили внезапный скачок.
legacy	наследие	Ее наследие сформировало университет.
legendary	легендарный	Легендарный певец вернулся на сцену.
legislation	законодательство	Новое законодательство защищает арендаторов.
legislative	законодательный	Законодательный комитет собрался сегодня.
legislature	законодательный орган	Законодательный орган утвердил бюджет.
legitimate	обоснованный	Они выразили обоснованные опасения.
lengthy	затяжной	Затяжные дебаты задержали голосование.
lesbian	лесбийский	Лесбийская активистка выступила на форуме.
lesser	меньший	Выбирайте меньший риск.
lethal	смертельный	Это химическое вещество может быть смертельным.
liable	ответственный	Водители несут ответственность за ущерб.
liberal	либеральный	Он поддерживает либеральную социальную политику.
liberation	освобождение	Освобождение изменило будущее страны.
liberty	свобода	Закон защищает личную свободу.
license	лицензировать	Штат может лицензировать новые клиники.
lifelong	пожизненный	Там она приобрела друзей на всю жизнь.
likelihood	вероятность	Вероятность дождя увеличилась.
limb	конечность	Поврежденная конечность заживала медленно.
linear	линейный	График показывает линейную тенденцию.
line-up	состав	В состав участников фестиваля входят местные группы.
linger	задерживаться	Запах может задерживаться часами.
listing	объявление	Объявление о квартире выглядело точным.
literacy	грамотность	Программы повышения грамотности взрослых расширились.
liver	печень	Печень фильтрует вредные вещества.
lobby	вестибюль	Вестибюль был переполнен после полудня.
log	журнал	Система ведет ежедневный журнал.
logic	логика	Логика его аргумента не сработала.
long-standing	давний	Они разрешили давний спор.
long-time	давний	Она давний волонтер.
loom	надвигаться	Темные облака надвигаются на долину.
loop	петля	Тропа образует петлю.
loyalty	верность	Его верность впечатлила команду.
machinery	оборудование	Завод установил новое оборудование.
magical	волшебный	Сад выглядел волшебным ночью.
magistrate	судья	Судья заслушал дело.
magnetic	магнитный	Магнитное поле повлияло на компас.
magnitude	масштаб	Масштаб ущерба был очевиден.
mainland	материк	Паром соединяет острова с материком.
mainstream	мейнстрим	Идея вошла в политический мейнстрим.
maintenance	обслуживание	Регулярное обслуживание предотвращает поломки.
mandate	мандат	Президент заявил о сильном мандате.
mandatory	обязательный	Посещение обязательно для стажеров.
manifest	проявляться	Симптомы могут проявиться через несколько недель.
manipulate	манипулировать	Не манипулируйте результатами опроса.
manipulation	манипуляция	Была обнаружена манипуляция с данными.
manuscript	рукопись	Издатель принял ее рукопись.
march	маршировать	Протестующие будут маршировать в центре города.
marginal	незначительный	Изменение принесло незначительную пользу.
marine	морской	Морской жизни нужна чистая вода.
marketplace	рынок	Онлайн-рынок быстро расширился.
mask	маска	Рабочие должны носить маску.
massacre	резня	Резня потрясла весь регион.
mathematical	математический	Математическая модель предсказала спрос.
mature	зрелый	Зрелые деревья дают тень.
maximize	максимизировать	Обновление максимизирует срок службы батареи.
meaningful	содержательный	У них состоялся содержательный разговор.
meantime	тем временем	Тем временем, подождите снаружи.
medieval	средневековый	В замке средневековые стены.
meditation	медитация	Ежедневная медитация успокаивает ее ум.
melody	мелодия	Мелодия осталась в моей голове.
memo	памятная записка	В записке объяснялась политика.
memoir	мемуары	В ее мемуарах описывается изгнание в детстве.
memorial	мемориал	Мемориал чтит память местных солдат.
mentor	наставник	Ее наставник рассмотрел предложение.
merchant	купец	Купец продавал шелк и специи.
mercy	милосердие	Судья проявил милосердие.
mere	простой	Простой взгляд выявил ошибку.
merely	просто	Она просто повторила инструкции.
merge	сливаться	Две компании сольются.
merger	слияние	Слияние создало более крупный банк.
merit	заслуга	Предложение имеет явную ценность.
methodology	методология	В исследовании объясняется его методология.
midst	середина	Они работали посреди хаоса.
migration	миграция	Сезонная миграция влияет на местные рабочие места.
militant	боевик	Группа боевиков отвергла переговоры.
militia	ополчение	Ополчение контролировало дорогу.
mill	мельница	Старая мельница стала музеем.
minimal	минимальный	План требует минимальных усилий.
minimize	минимизировать	Мы должны свести к минимуму ненужный риск.
mining	добыча полезных ископаемых	Добыча полезных ископаемых повредила долину реки.
ministry	министерство	Министерство объявило о новых правилах.
minute2	мельчайший	На стекле появилась мельчайшая трещина.
miracle	чудо	Его выздоровление казалось чудом.
misery	страдание	Беженцы перенесли годы страданий.
misleading	вводящий в заблуждение	Вводящий в заблуждение график запутал читателей.
missile	ракета	Испытание ракеты усилило напряженность.
mob	толпа	Разъяренная толпа заблокировала движение.
mobility	мобильность	Лучшие автобусы улучшают мобильность в городах.
mobilize	мобилизовать	Лидеры быстро мобилизуют волонтеров.
moderate	умеренный	Кандидат придерживается умеренных взглядов.
modification	модификация	Дизайн нуждается в одной модификации.
momentum	импульс	Кампания быстро набирала обороты.
monk	монах	Монах жил в молчании.
monopoly	монополия	Фирма обладала монополией.
morality	мораль	Курс исследует общественную мораль.
motive	мотив	Полиция усомнилась в его мотивах.
motorist	автомобилист	Автомобилист остановился на красный свет.
municipal	муниципальный	Муниципальные услуги улучшились в этом году.
mutual	взаимный	Они достигли взаимного согласия.
namely	а именно	Остается одна проблема, а именно финансирование.
nationwide	общенациональный	Забастовка вызвала задержки по всей стране.
naval	военно-морской	Военно-морская база закрылась в прошлом году.
neglect	пренебрегать	Не пренебрегайте элементарной безопасностью.
neighbouring	соседний	Соседние города делили больницу.
nest	гнездо	Птица свила гнездо.
net	чистый	Чистая прибыль резко выросла.
newsletter	информационный бюллетень	Информационный бюллетень приходит каждую пятницу.
niche	ниша	Компания нашла прибыльную нишу.
noble	благородный	Ее благородный жест впечатлил всех.
nod	кивать	Пожалуйста, кивните, если вы понимаете.
nominate	выдвигать	Они выдвинут нового председателя.
nomination	номинация	Ее номинация удивила комитет.
nominee	номинант	Номинант ответил на сложные вопросы.
nonetheless	тем не менее	Тем не менее, план продвигался вперед.
non-profit	некоммерческий	Она работает в некоммерческой клинике.
nonsense	ерунда	Эти слухи - полная ерунда.
noon	полдень	Встреча начинается в полдень.
notable	заметный	В отчете был отмечен заметный прогресс.
notably	особенно	Примечательно, что в мае затраты снизились.
notify	уведомлять	Пожалуйста, уведомите персонал перед отъездом.
notorious	печально известный	Эта дорога печально известна авариями.
novel	новаторский	Они предложили новаторское решение.
nursery	ясли	Ясли заботятся о младенцах.
objection	возражение	Адвокат выдвинул возражение.
oblige	обязывать	Правила обязывают водителей останавливаться.
obsess	зацикливаться	Не зацикливайтесь на мелких ошибках.
obsession	одержимость	Его одержимость навредила его работе.
occasional	периодический	Ожидаются периодические задержки.
occurrence	происшествие	Подобное происшествие - редкость.
odds	шансы	Шансы на успех возросли.
offering	предложение	Университет расширил свою программу.
offspring	потомство	Лиса защищала свое потомство.
operational	рабочий	Новая система теперь полностью рабочая.
opt	делать выбор	Многие студенты выбирают онлайн-занятия.
optical	оптический	Оптическую линзу нужно почистить.
optimism	оптимизм	Оптимизм вернулся после объявления.
oral	устный	Устный экзамен начнется завтра.
organizational	организационный	Организационные изменения начались немедленно.
orientation	вводный курс	Семинар охватывал вводный курс для сотрудников.
originate	брать начало	Многие традиции берут начало в сельских деревнях.
outbreak	вспышка	Вспышка болезни распространилась по городу.
outing	экскурсия	Класс насладился экскурсией в музей.
outlet	аутлет	Аутлет продает одежду со скидкой.
outlook	прогноз	Экономический прогноз остается неопределенным.
outrage	возмущение	Решение вызвало общественное возмущение.
outsider	человек со стороны	Как человек со стороны, она заметила проблемы.
overlook	упускать из виду	Не упускайте из виду мелкие детали.
overly	чрезмерно	Инструкции были слишком сложными.
oversee	курировать	Она будет курировать проект.
overturn	отменять	Суд может отменить решение.
overwhelm	перегружать	Слишком много информации может перегрузить учащихся.
overwhelming	неопровержимый	Доказательства были неопровержимыми.
pad	наколенник	Используйте наколенник для защиты колен.
parameter	параметр	Регулируйте по одному параметру за раз.
parental	родительский	Родительская поддержка улучшила посещаемость.
parish	приход	Приход организовал благотворительный ужин.
parliamentary	парламентский	Парламентские дебаты длились часами.
partial	частичный	В отчете был дан частичный ответ.
partially	частично	Окно было частично открыто.
passing	кончина	Ее кончина была внезапной.
passive	пассивный	Пассивные инвесторы принимали стабильную прибыль.
pastor	пастор	Пастор навестил семью.
patch	заплатка	Куртке нужна небольшая заплатка.
patent	патент	Компания подала заявку на патент.
pathway	путь	Этот путь ведет к сертификации.
patrol	патрулировать	Полиция патрулирует район ночью.
patron	покровитель	Музей поблагодарил своего покровителя.
peak	пик	Спрос достиг зимнего максимума.
peasant	крестьянин	Крестьянин владел небольшим участком земли.
peculiar	своеобразный	В комнате был своеобразный запах.
persist	сохраняться	Симптомы могут сохраняться несколько дней.
persistent	стойкий	Постоянный кашель требует внимания.
personnel	персонал	Кадровые записи конфиденциальны.
petition	петиция	Петиция собрала тысячи подписей.
philosopher	философ	Философ подвергал сомнению общепринятые предположения.
philosophical	философский	Дискуссия стала философской.
physician	врач	Врач назначил анализы крови.
pioneer	первопроходец	Она стала первопроходцем в медицине.
pipeline	трубопровод	Трубопровод транспортирует газ под землей.
pirate	пират	Пиратский корабль появился недалеко от берега.
pit	яма	Рабочие выкопали глубокую яму.
