simplified	IS	example_IS
哎	hey; hæ	Hæ, af hverju komst þú?
唉	æ; andvarp	Æ, ég er seinn aftur.
爱护	vernda; hugsa vel um	Við eigum að vernda umhverfið.
爱惜	meta; fara vel með	Farðu vel með tímann þinn.
爱心	umhyggja	Hún er mjög umhyggjusöm.
安慰	hugga	Vinur minn huggaði mig.
安装	setja upp	Verkamaðurinn er að setja upp loftkælinguna.
岸	strönd; bakki	Báturinn nálgast bakkann hægt.
暗	dimmur	Það er mjög dimmt í herberginu.
熬夜	vaka fram eftir	Að vaka fram eftir er slæmt fyrir heilsuna.
把握	vissa; tök	Ég er ekki viss um að ég geti gert þetta vel.
摆	raða	Vinsamlegast raðaðu stólunum snyrtilega.
办理	sinna; afgreiða	Ég fer í bankann til að sinna erindum.
傍晚	kvöld; rökkur	Um kvöldið förum við í göngutúr.
包裹	pakki	Ég fékk pakka.
包含	fela í sér	Verðið felur morgunmat í sér.
包括	innifela	Gjaldið innifelur hádegismat.
薄	þunnur	Þessi bók er mjög þunn.
保持	halda	Vinsamlegast hafðu hljótt.
保存	vista	Vinsamlegast vistaðu þetta skjal.
保留	panta; halda eftir	Vinsamlegast pantaðu sæti fyrir mig.
保险	trygging	Ég keypti ferðatryggingu.
宝贝	dýrgripur	Þetta er dýrgripurinn minn.
宝贵	dýrmætur	Tíminn er mjög dýrmætur.
报到	skrá sig inn	Nýnemar koma í skólann til að skrá sig í dag.
报道	greina frá	Fréttirnar greindu frá þessu máli.
报告	skýrsla; erindi	Hann er að halda erindi.
报社	blaðaskrifstofa	Hún vinnur á blaðaskrifstofu.
抱怨	kvarta	Hann kvartar alltaf yfir of mikilli vinnu.
悲观	svartsýnn	Ekki vera of svartsýnn.
背	bak	Hann situr með bakið að dyrunum.
背景	bakgrunnur	Vinsamlegast kynntu bakgrunn þinn stuttlega.
被子	sæng	Sængin er mjög hlý.
本科	grunnnám	Hann er grunnnámsnemi.
本领	hæfni	Hann lærði nýja hæfni.
本质	eðli	Eðli vandans er mjög einfalt.
彼此	hvor annan	Við ættum að virða hvert annað.
比例	hlutfall	Hlutfall karla og kvenna er svipað.
必然	óhjákvæmilegur	Erfiði skilar óhjákvæmilega árangri.
