simplified	FI	example_FI
哎	hei; no	Hei, miksi sinä tulit?
唉	voi huokaus	Voi, myöhästyin taas.
爱护	pitää huolta; suojella	Meidän pitää suojella ympäristöä.
爱惜	arvostaa; vaalia	Arvosta omaa aikaasi.
爱心	myötätunto; välittäminen	Hän on hyvin välittävä.
安慰	lohduttaa	Ystävä lohdutti minua.
安装	asentaa	Työntekijä asentaa ilmastointilaitetta.
岸	ranta	Vene lähestyy hitaasti rantaa.
暗	pimeä	Huoneessa on hyvin pimeää.
熬夜	valvoa myöhään	Myöhään valvominen on huonoa terveydelle.
把握	varmuus; ote	En ole varma, että pystyn hoitamaan tämän hyvin.
摆	järjestää	Aseta tuolit siististi järjestykseen.
办理	hoitaa asioita	Menen pankkiin hoitamaan asioita.
傍晚	iltahämärä; ilta	Lähdemme illalla kävelylle.
包裹	paketti	Sain paketin.
包含	sisältää	Hintaan sisältyy aamiainen.
包括	sisältää	Maksuun sisältyy lounas.
薄	ohut	Tämä kirja on ohut.
保持	säilyttää; pitää	Pitäkää hiljaisuus.
保存	tallentaa; säilyttää	Tallenna tämä tiedosto.
保留	varata; säilyttää	Varaa minulle istumapaikka.
保险	vakuutus	Ostin matkavakuutuksen.
宝贝	aarre	Tämä on aarteeni.
宝贵	arvokas	Aika on hyvin arvokasta.
报到	ilmoittautua	Uudet opiskelijat tulevat tänään kouluun ilmoittautumaan.
报道	raportoida; uutisoida	Uutiset raportoivat tästä asiasta.
报告	raportti; esitelmä	Hän pitää esitelmää.
报社	lehtitoimitus	Hän työskentelee lehtitoimituksessa.
抱怨	valittaa	Hän valittaa aina, että töitä on liikaa.
悲观	pessimistinen	Älä ole liian pessimistinen.
背	selkä	Hän istuu selkä oveen päin.
背景	tausta	Esittele lyhyesti taustasi.
被子	peitto	Peitto on hyvin lämmin.
本科	kandidaattivaihe; perustutkinto	Hän on perustutkinto-opiskelija.
本领	taito	Hän oppi uuden taidon.
本质	olemus	Ongelman olemus on hyvin yksinkertainen.
彼此	toisiaan	Meidän pitäisi kunnioittaa toisiamme.
比例	suhde	Miesten ja naisten suhde on suunnilleen sama.
必然	väistämätön	Kova työ tuo väistämättä tuloksia.
必要	tarpeellinen	Ei ole tarpeen huolehtia.
毕竟	loppujen lopuksi	Loppujen lopuksi hän on vielä lapsi.
避免	välttää	Vältä myöhästymistä.
编辑	muokata; toimittaja	Hän vastaa tämän artikkelin muokkaamisesta.
鞭炮	ilotulitteet; paukkupommit	Kevätjuhlan aikaan jotkut ampuvat ilotulitteita.
便	sitten; kätevä	Syötyään hän meni tunnille.
辩论	väittely; väitellä	He väittelevät tästä kysymyksestä.
标点	välimerkit	Kiinnitä huomiota välimerkkeihin.
标志	merkki	Punainen valo on pysähtymisen merkki.
表达	ilmaista	Hän ilmaisi oman näkemyksensä.
表面	pinta	Pöydän pinta on hyvin puhdas.
表明	osoittaa	Tulos osoittaa, että hän on oikeassa.
表情	ilme	Hänen ilmeensä on hyvin vakava.
表现	suoriutua; esiintyminen	Hän suoriutui tänään hyvin.
冰激凌	jäätelö	Lapset pitävät jäätelön syömisestä.
病毒	virus	Tämä virus leviää hyvin nopeasti.
播放	toistaa; lähettää	Toista tämä kappale.
玻璃	lasi	Lasilasi meni rikki.
博物馆	museo	Menemme viikonloppuna museoon.
脖子	kaula	Kaulani on vähän kipeä.
不断	jatkuvasti	Hinnat nousevat jatkuvasti.
不见得	ei välttämättä	Tämä ei välttämättä ole huono asia.
不耐烦	kärsimätön	Odotettuaan kauan hänestä tuli vähän kärsimätön.
不要紧	ei haittaa; ei vakavaa	Ei se mitään, ei haittaa.
补充	lisätä; täydentää	Haluan lisätä yhden näkökohdan.
不安	levoton	Kuultuaan uutisen hän tunsi olonsa levottomaksi.
不得了	todella vakava	Tämä asia on todella vakava.
不然	muuten	Lähde nopeasti, muuten myöhästyt.
不如	on parempi	On parempi kävellä kuin mennä autolla.
不足	riittämätön	Täällä ei ole tarpeeksi vettä.
布	kangas	Tämä kangas on hyvin pehmeää.
步骤	vaihe	Toimi vaiheiden mukaan.
部门	osasto	Työskentelen myyntiosastolla.
财产	omaisuus	Tämä talo on hänen omaisuuttaan.
彩虹	sateenkaari	Sateen jälkeen ilmestyi sateenkaari.
踩	astua päälle	Älä astu nurmikolle.
采访	haastatella	Toimittaja haastattelee lääkäriä.
采取	ottaa käyttöön; ryhtyä	Me otimme käyttöön uuden menetelmän.
参考	käyttää lähteenä; katsoa	Katso tästä kirjasta viitteeksi.
参与	osallistua	Hän osallistuu aktiivisesti toimintaan.
惭愧	hävetä	Häpeän omaa virhettäni.
操场	urheilukenttä	Oppilaat juoksevat urheilukentällä.
操心	huolehtia	Älä huolehdi minusta.
册	nide	Ostin yhden kirjaniteen.
测验	koe	Huomenna on pieni koe.
曾经	kerran; aiemmin	Olen aiemmin asunut Pekingissä.
叉子	haarukka	Syön salaattia haarukalla.
差距	ero; kuilu	Kaupungin ja maaseudun välillä on ero.
插	työntää; asettaa	Aseta kukat maljakkoon.
拆	purkaa	Työntekijät purkavat vanhaa taloa.
产品	tuote	Tämän tuotteen laatu on erittäin hyvä.
产生	syntyä; aiheuttaa	Tällä kysymyksellä oli uusi vaikutus.
