simplified	ID	example_ID
哎	eh; hai	Eh, kenapa kamu datang ke sini?
唉	aduh; desahan	Aduh, saya terlambat lagi.
爱护	menjaga; merawat	Kita harus menjaga lingkungan.
爱惜	menghargai; menyayangi	Tolong hargai waktumu sendiri.
爱心	kasih sayang; kepedulian	Dia sangat penuh kasih sayang.
安慰	menghibur; menenangkan	Teman saya menghibur saya.
安装	memasang	Pekerja itu sedang memasang AC.
岸	tepi; pantai	Perahu itu perlahan-lahan mendekati tepi pantai.
暗	gelap; tersembunyi	Di dalam kamar sangat gelap.
熬夜	begadang	Begadang tidak baik untuk kesehatan.
把握	keyakinan; menguasai	Saya tidak yakin bisa melakukan ini dengan baik.
摆	menata; meletakkan	Tolong tata kursi-kursi itu dengan rapi.
办理	mengurus; menangani	Saya akan pergi ke bank untuk mengurus urusan.
傍晚	sore hari	Kami akan berjalan-jalan pada sore hari.
包裹	paket; membungkus	Saya menerima sebuah paket.
包含	mencakup; berisi	Harga ini sudah mencakup sarapan.
包括	termasuk; mencakup	Biaya ini termasuk makan siang.
薄	tipis	Buku ini sangat tipis.
保持	menjaga; mempertahankan	Tolong jaga ketenangan.
保存	menyimpan	Tolong simpan berkas ini.
保留	menyisakan; mempertahankan	Tolong sisakan satu kursi untuk saya.
保险	asuransi; aman	Saya membeli asuransi perjalanan.
宝贝	harta kesayangan; sayang	Ini adalah harta kesayangan saya.
宝贵	berharga	Waktu sangat berharga.
报到	mendaftar; melapor	Mahasiswa baru datang ke sekolah untuk mendaftar hari ini.
报道	memberitakan; laporan	Berita itu memberitakan hal ini.
报告	laporan; melapor	Dia sedang memberikan laporan.
报社	kantor surat kabar	Dia bekerja di kantor surat kabar.
抱怨	mengeluh	Dia selalu mengeluh pekerjaannya terlalu banyak.
悲观	pesimis	Jangan terlalu pesimis.
背	punggung	Dia duduk membelakangi pintu.
背景	latar belakang	Tolong perkenalkan latar belakangmu secara singkat.
被子	selimut	Selimut itu sangat hangat.
本科	sarjana; tingkat S1	Dia adalah mahasiswa S1.
本领	kemampuan; keterampilan	Dia mempelajari keterampilan baru.
本质	hakikat; sifat dasar	Hakikat masalah ini sangat sederhana.
彼此	satu sama lain	Kita harus saling menghormati.
比例	perbandingan; proporsi	Perbandingan laki-laki dan perempuan kira-kira sama.
必然	pasti; tak terhindarkan	Kerja keras pasti membawa hasil.
必要	perlu; penting	Tidak perlu khawatir.
毕竟	bagaimanapun juga	Bagaimanapun juga, dia masih anak-anak.
避免	menghindari	Tolong hindari keterlambatan.
编辑	mengedit; editor	Dia bertanggung jawab mengedit artikel ini.
鞭炮	petasan	Saat Festival Musim Semi, sebagian orang menyalakan petasan.
便	lalu; kemudian	Setelah makan, dia pergi ke kelas.
辩论	debat; berdebat	Mereka sedang berdebat tentang pertanyaan ini.
标点	tanda baca	Tolong perhatikan tanda baca.
标志	tanda; simbol	Lampu merah adalah tanda untuk berhenti.
表达	mengungkapkan; menyampaikan	Dia mengungkapkan pandangannya sendiri.
表面	permukaan	Permukaan meja itu sangat bersih.
表明	menunjukkan; menyatakan	Hasilnya menunjukkan bahwa dia benar.
表情	ekspresi wajah	Ekspresinya sangat serius.
表现	penampilan; menunjukkan	Hari ini penampilannya sangat baik.
冰激凌	es krim	Anak-anak suka makan es krim.
病毒	virus	Virus jenis ini menyebar sangat cepat.
播放	memutar; menyiarkan	Tolong putar lagu ini.
玻璃	kaca	Gelas kaca itu pecah.
博物馆	museum	Akhir pekan ini kami akan pergi ke museum.
脖子	leher	Leher saya agak sakit.
不断	terus-menerus	Harga terus naik.
不见得	belum tentu	Ini belum tentu hal yang buruk.
不耐烦	tidak sabar	Setelah menunggu lama, dia menjadi agak tidak sabar.
不要紧	tidak apa-apa; tidak masalah	Tidak apa-apa; itu tidak masalah.
补充	menambahkan; melengkapi	Saya ingin menambahkan satu pendapat.
不安	gelisah	Setelah mendengar berita ini, dia merasa gelisah.
不得了	gawat; sangat serius	Masalah ini benar-benar serius.
不然	kalau tidak	Cepat pergi, kalau tidak kamu akan terlambat.
不如	lebih baik	Daripada naik kendaraan, lebih baik berjalan kaki.
不足	tidak cukup	Air di sini tidak cukup.
布	kain	Kain ini sangat lembut.
步骤	langkah	Tolong lakukan sesuai langkah-langkahnya.
部门	departemen; bagian	Saya bekerja di bagian penjualan.
财产	harta; properti	Rumah ini adalah hartanya.
彩虹	pelangi	Pelangi muncul setelah hujan.
踩	menginjak	Jangan menginjak rumput.
采访	mewawancarai	Reporter sedang mewawancarai dokter.
采取	mengambil; menerapkan	Kami menerapkan metode baru.
参考	merujuk; referensi	Silakan merujuk pada buku ini.
参与	berpartisipasi	Dia aktif berpartisipasi dalam kegiatan.
惭愧	malu	Saya merasa malu atas kesalahan saya sendiri.
操场	lapangan	Para siswa sedang berlari di lapangan.
操心	khawatir	Jangan khawatir tentang saya.
册	jilid; buku kecil	Saya membeli satu jilid buku.
测验	kuis; tes	Besok ada kuis kecil.
曾经	pernah	Saya pernah tinggal di Beijing.
叉子	garpu	Saya makan salad dengan garpu.
差距	kesenjangan	Ada kesenjangan antara kota dan desa.
插	menancapkan; memasukkan	Tolong masukkan bunga ke dalam vas.
拆	membongkar; merobohkan	Para pekerja sedang merobohkan rumah lama.
产品	produk	Produk ini mutunya sangat baik.
产生	muncul; menghasilkan	Masalah ini menghasilkan dampak baru.
常识	pengetahuan umum	Ini pengetahuan umum dasar.
长途	jarak jauh	Perjalanan jarak jauh melelahkan.
抄	menyalin; menjiplak	Tolong jangan menyalin PR orang lain.
超级	super; sangat besar	Ini adalah supermarket.
朝	dinasti	Dinasti Tang sangat terkenal.
潮湿	lembap	Musim panas di selatan sangat lembap.
吵	berisik	Di luar sangat berisik.
吵架	bertengkar	Mereka bertengkar lagi.
炒	menumis; menggoreng	Ibu sedang menumis makanan.
车库	garasi	Mobil diparkir di garasi.
车厢	gerbong	Gerbong kereta ini sangat tenang.
彻底	menyeluruh; tuntas	Dia memahaminya secara tuntas.
沉默	diam	Dia diam sepanjang waktu.
趁	mumpung; memanfaatkan	Mari kita pergi mumpung hari belum gelap.
称	menimbang; menyebut	Tolong timbang paket ini.
称呼	memanggil; sebutan	Saya tidak tahu harus memanggil dia apa.
称赞	memuji	Guru memuji kemajuannya.
成分	komposisi; bahan	Komposisi obat ini sederhana.
成果	hasil; pencapaian	Proyek ini mencapai hasil.
成就	pencapaian	Dia memiliki banyak pencapaian dalam kariernya.
成立	didirikan	Perusahaan itu didirikan tahun lalu.
成人	orang dewasa	Tiket orang dewasa lebih mahal daripada tiket anak-anak.
成熟	matang	Apel-apel itu sudah matang.
成语	idiom Tionghoa	Idiom ini sering digunakan.
成长	tumbuh; berkembang	Anak itu perlahan-lahan tumbuh dewasa.
承担	menanggung; memikul	Dia bersedia menanggung tanggung jawab.
承认	mengakui	Dia mengakui bahwa dia salah.
承受	menahan; menanggung	Saya tidak mampu menanggung tekanan sebesar itu.
程度	tingkat	Tingkat bahasa Mandarinnya sangat tinggi.
程序	prosedur; urutan	Tolong tangani sesuai prosedur.
诚恳	tulus; jujur	Sikapnya sangat tulus.
吃亏	rugi; dirugikan	Lihat dengan teliti sebelum membeli barang agar tidak rugi.
持续	berlanjut; terus-menerus	Hujan berlanjut selama tiga hari.
池塘	kolam	Ada banyak ikan di kolam.
迟早	cepat atau lambat	Cepat atau lambat kamu akan mengerti.
尺子	penggaris	Tolong ukur dengan penggaris.
翅膀	sayap	Sayap burung itu terluka.
充电器	pengisi daya	Pengisi daya saya rusak.
充分	cukup; penuh	Kami membuat persiapan yang cukup.
充满	penuh dengan	Kamar itu penuh dengan tawa.
冲	membilas; menyiram	Tolong bilas cangkir itu dengan air.
重复	mengulangi	Tolong jangan mengulangi kesalahan yang sama.
宠物	hewan peliharaan	Dia memelihara seekor anjing.
抽屉	laci	Kunci ada di dalam laci.
抽象	abstrak	Konsep ini terlalu abstrak.
丑	jelek	Foto ini agak jelek.
臭	bau; busuk	Sampah itu berbau busuk.
出版	menerbitkan	Buku ini diterbitkan tahun lalu.
出口	pintu keluar; ekspor	Pintu keluar ada di depan.
出色	unggul; luar biasa	Penampilannya luar biasa.
出示	menunjukkan	Tolong tunjukkan paspor Anda.
出席	hadir; menghadiri	Dia akan menghadiri rapat.
初级	tingkat dasar	Saya belajar bahasa Mandarin di kelas tingkat dasar.
除非	kecuali	Kecuali hujan, besok kami akan mendaki.
除夕	malam Tahun Baru Imlek	Pada malam Tahun Baru Imlek, seluruh keluarga kami makan bersama.
处理	menangani; mengurus	Saya akan menangani masalah ini.
传播	menyebarkan	Berita ini menyebar sangat cepat.
传染	menular	Pilek mudah menular.
传说	legenda	Ini adalah legenda kuno.
传统	tradisi; tradisional	Festival Musim Semi adalah hari raya tradisional Tiongkok.
窗帘	tirai	Tolong buka tirainya.
闯	menerobos	Dia tidak sengaja menerobos lampu merah.
创造	menciptakan	Manusia menciptakan alat baru.
吹	meniup	Angin bertiup kencang.
词汇	kosakata	Kosakata ini sering digunakan.
辞职	mengundurkan diri	Dia memutuskan untuk mengundurkan diri.
此外	selain itu	Selain itu, saya masih punya satu pertanyaan.
刺激	menegangkan; merangsang	Permainan ini sangat menegangkan.
次要	sekunder; kurang utama	Masalah ini bersifat sekunder.
匆忙	terburu-buru	Dia meninggalkan rumah dengan terburu-buru.
从此	sejak itu	Sejak itu, dia berolahraga setiap hari.
从而	dengan demikian	Dia belajar keras dan dengan demikian lulus ujian.
从前	dulu	Dulu di sini belum ada kereta bawah tanah.
从事	berkecimpung dalam; bekerja di	Dia bekerja di bidang pendidikan.
