source_headword	PT-BR	example_PT-BR
strengthen	fortalecer	A nova política fortalecerá a segurança online.
strictly	estritamente	Os ingressos são estritamente limitados a dois por pessoa.
striking	impressionante	A pintura tem cores impressionantes.
stroke	o traço	Ela pintou um traço no papel.
stunning	deslumbrante	A vista da montanha era deslumbrante.
subsequent	subsequente	A reunião subsequente confirmou o orçamento.
subsequently	subsequentemente	A estrada fechou; subsequentemente, o trânsito se moveu lentamente.
suburb	o subúrbio	Eles moram em um subúrbio tranquilo.
suffering	o sofrimento	O remédio reduziu seu sofrimento.
sufficient	suficiente	A equipe tem tempo suficiente.
sufficiently	suficientemente	O quarto está suficientemente quente.
super	super	O novo tablet é super rápido.
surgeon	o cirurgião	O cirurgião reparou o joelho danificado.
survival	a sobrevivência	Água limpa é essencial para a sobrevivência.
survivor	o sobrevivente	O sobrevivente descreveu a enchente.
suspend	suspender	A escola pode suspender a viagem.
sustainable	sustentável	A fazenda usa métodos sustentáveis.
swallow	engolir	Engula o comprimido com água.
sympathetic	compreensivo	O gerente foi compreensivo com o problema dela.
tackle	lidar com	Precisamos lidar com o problema de moradia.
tag	a etiqueta	A bolsa tinha uma etiqueta de preço.
tap	a torneira	Ela fechou a torneira.
technological	tecnológico	A mudança tecnológica afeta todos os locais de trabalho.
teens	os adolescentes	Muitos adolescentes usam redes sociais diariamente.
temple	o templo	O templo ficava perto do rio.
temporarily	temporariamente	O escritório está temporariamente fechado.
tendency	a tendência	Ele tem a tendência de chegar atrasado.
tension	a tensão	A tensão aumentou durante a discussão.
terms	os termos	Os termos do contrato eram claros.
terribly	terrivelmente	A criança estava terrivelmente chateada.
terrify	aterrorizar	Barulhos altos aterrorizam o cachorro.
territory	o território	O mapa mostra o novo território.
terror	o terror	O terror se espalhou após o ataque.
terrorism	o terrorismo	O terrorismo ameaça a segurança pública.
terrorist	o terrorista	A polícia prendeu o terrorista ontem.
testing	o teste	O teste do produto começa na segunda-feira.
textbook	o livro didático	Ela esqueceu seu livro didático de biologia.
theft	o roubo	O roubo aumentou na área.
therapist	o terapeuta	O terapeuta o ajudou a controlar a ansiedade.
thesis	a tese	A tese dela examina o aprendizado online.
thorough	minucioso	Uma revisão minuciosa não encontrou erros.
thoroughly	completamente	Limpe o ferimento completamente.
thumb	o polegar	Ele levantou o polegar para sinalizar aprovação.
timing	o momento	O momento da ligação foi perfeito.
tissue	o lenço de papel	Ela limpou o copo com um lenço de papel.
ton	a tonelada	O caminhão carregava uma tonelada de areia.
tonne	a tonelada	O carregamento pesava uma tonelada.
tournament	o torneio	O torneio de tênis começa amanhã.
trace	rastrear	Os cientistas podem rastrear a origem do vírus.
trading	a negociação	A negociação de ações parou ao meio-dia.
tragedy	a tragédia	O acidente foi uma tragédia terrível.
tragic	trágico	A batida teve consequências trágicas.
trait	o traço	A paciência é um traço útil.
transmit	transmitir	Mosquitos podem transmitir doenças.
transportation	o transporte	O transporte público está lotado hoje.
trap	prender	A caixa pode prender insetos com segurança.
treasure	o tesouro	O baú antigo guardava um tesouro.
tribe	a tribo	A tribo protegeu suas tradições.
trigger	acionar	A fumaça pode acionar o alarme.
trillion	o trilhão	A dívida chegou a um trilhão de dólares.
troop	a tropa	A tropa se moveu em direção à fronteira.
tsunami	o tsunami	O tsunami destruiu casas costeiras.
ultimate	final	O objetivo final é a paz.
unacceptable	inaceitável	O atraso foi inaceitável para os passageiros.
uncertainty	a incerteza	A incerteza deixou os investidores nervosos.
undergo	ser submetido a	O paciente passará por uma cirurgia amanhã.
undertake	realizar	A equipe realizará uma pesquisa.
unfold	desenrolar	O drama começou a se desenrolar lentamente.
unfortunate	lamentável	O erro foi infeliz, mas corrigível.
unite	unir	Os líderes tentaram unir o partido.
unity	a união	O discurso pedia união nacional.
universal	universal	O aplicativo usa um design universal.
urgent	urgente	O hospital recebeu uma ligação urgente.
usage	o uso	O guia explica o uso correto.
useless	inútil	O carregador quebrado é inútil.
valid	válido	Seu passaporte ainda é válido.
variation	a variação	Há grande variação nos preços.
vertical	vertical	O gráfico tem um eixo vertical.
viewpoint	o ponto de vista	O ponto de vista dela mudou após o debate.
visa	o visto	Ele solicitou um visto de estudante.
visible	visível	A placa é visível daqui.
voluntary	voluntário	O curso inclui oficinas voluntárias.
voting	a votação	A votação antecipada começa na próxima semana.
wander	vagar	Turistas vagam pelo mercado antigo.
warming	o aquecimento	O aquecimento global afeta os níveis do mar.
weekly	semanal	A equipe realiza uma reunião semanal.
weird	estranho	O barulho soou estranho.
welfare	o bem-estar	O programa apoia o bem-estar infantil.
wheat	o trigo	O fazendeiro cultiva trigo.
whoever	quem quer que	Quem chegar primeiro deve esperar lá fora.
widespread	generalizado	A tempestade causou danos generalizados.
wisdom	a sabedoria	A avó dela compartilhou sabedoria prática.
withdraw	retirar	Ele decidiu retirar sua inscrição.
workforce	a força de trabalho	A força de trabalho precisa de novas habilidades.
workplace	o local de trabalho	O local de trabalho tem regras de segurança claras.
workshop	a oficina	A oficina começa às dez.
worm	a minhoca	Uma minhoca se moveu pela terra.
wrist	o pulso	Ela machucou o pulso.
