source_headword	ZH	example_ZH
heal	愈合	休息有助于身体愈合。
healthcare	医疗保健	今年的医疗保健成本上升了。
helmet	头盔	骑自行车要戴头盔。
hence	因此	因此，我们改变了时间表。
herb	香草	罗勒是一种有用的香草。
hidden	隐藏的	钥匙藏在垫子下面。
highway	高速公路	下雪后高速公路被关闭了。
hilarious	极其好笑的	这部电影极其好笑。
hip	臀部	她在练习时伤了臀部。
historian	历史学家	这位历史学家研究了旧信件。
homeless	无家可归的	庇护所帮助无家可归的家庭。
honesty	诚实	诚实建立信任。
hook	挂钩	把大衣挂在挂钩上。
hopefully	希望	希望火车很快就到。
hunger	饥饿	饥饿会影响注意力。
hypothesis	假设	实验测试了这一假设。
icon	图标	应用程序的图标今天变了。
ID	身份证	请在接待处出示您的身份证。
identical	完全相同的	这对双胞胎穿着完全相同的夹克。
illusion	错觉	镜子产生了一种错觉。
immigration	移民	移民政策去年改变了。
immune	免疫的	接种疫苗可以使人免疫。
implement	实施	学校将实施这项政策。
implication	暗示	这个暗示很明显。
incentive	激励	奖金给了工人们一种激励。
incorporate	纳入	在饭菜中纳入更多蔬菜。
incorrect	不正确的	答案是不正确的。
independence	独立	这个国家庆祝了独立。
index	索引	查看该主题的索引。
indication	迹象	笑容是如释重负的迹象。
inevitable	不可避免的	一些延误是不可避免的。
inevitably	不可避免地	短缺之后价格不可避免地上涨了。
infer	推断	我们可以从上下文中推断出答案。
inflation	通货膨胀	通货膨胀增加了食品价格。
info	信息	网站列出了有用的信息。
infrastructure	基础设施	暴风雨破坏了当地的基础设施。
inhabitant	居民	每位居民都收到了干净的水。
inherit	继承	她将继承这栋家庭住宅。
ink	墨水	打印机需要黑墨水。
innovation	创新	创新推动了行业发展。
innovative	创新的	公司推出了一款创新产品。
input	投入	经理征求了意见。
insert	插入	把卡插入机器中。
inspector	检查员	检查员检查了这座建筑。
installation	安装	安装花了两个小时。
instant	立即的	应用程序发送了立即的回复。
instantly	立即地	屏幕立即亮了起来。
integrate	整合	该软件可以整合新工具。
intellectual	理性的	辩论是理性的但很友好。
interact	互动	学生在小组工作时进行互动。
interaction	互动	互动很有礼貌。
interpretation	解释	她对这首诗的解释很新颖。
interval	间隔	两幕之间有一个短暂的间隔。
invade	入侵	军队试图入侵该岛。
invasion	入侵	入侵破坏了许多城镇。
investor	投资者	投资者资助了一家新的初创公司。
isolate	隔离	医生隔离了患有严重感染的病人。
isolated	孤立的	这个村庄被大雪孤立了。
jail	监狱	小偷进了监狱。
jet	喷气式飞机	喷气式飞机在中午降落。
joint	联合的	他们宣布了一个联合项目。
journalism	新闻业	新闻业需要准确的事实。
jury	陪审团	陪审团做出了决定。
kit	工具箱	维修工具箱里有螺丝。
ladder	梯子	梯子靠在墙上。
landing	降落	飞机平稳降落。
lane	车道	保持在右侧车道。
lately	最近	我最近睡得很差。
leaflet	传单	传单解释了这项服务。
legend	传说	传说讲述了一座隐藏的城市。
lens	镜头	仔细清洁相机镜头。
lifetime	一生	他一生都在存钱。
lighting	照明	良好的照明改善了房间。
likewise	同样地	她笑了；他也同样地笑了。
limitation	限制	该计划有一个限制。
literally	确实地	她确实是跑向公交车的。
literary	文学的	这个节日向文学作品致敬。
litre	升	买一升牛奶。
litter	垃圾	不要乱扔垃圾。
logo	标志	标志出现在每一页上。
lottery	彩票	他中了一个小彩票奖。
loyal	忠诚的	这只狗对主人很忠诚。
lyric	歌词	歌词重复了主要思想。
magnificent	宏伟的	这座宫殿看起来很宏伟。
make-up	化妆品	她化了简单的妆。
making	制作	这部电影的制作很困难。
manufacture	制造	这家工厂将制造手机。
manufacturing	制造业	制造业的工作岗位在当地增加了。
marathon	马拉松	她跑完了马拉松。
margin	边缘	在空白边缘写下笔记。
marker	记号笔	用记号笔写标签。
martial	武术的	他学习武术。
mate	伙伴	我的老校友昨天打来电话。
mayor	市长	市长主持了图书馆的开幕。
mechanic	机械师	机械师修理了公共汽车。
mechanical	机械的	时钟有机械故障。
mechanism	机制	锁的机制很简单。
medal	奖牌	她得了一枚金牌。
medication	药物	用水服药。
membership	会员资格	健身房的会员资格在网上比较便宜。
memorable	难忘的	这次旅行很难忘。
metaphor	暗喻	这首诗使用了一个强烈的暗喻。
miner	矿工	矿工在地下工作。
miserable	悲惨的	下雨让野餐变得很悲惨。
mode	模式	把相机切换到夜间模式。
modest	适度的	他们住在一所适度的房子里。
monster	怪物	故事里有一个可怕的怪物。
monthly	每月的	我们每月付房租。
monument	纪念碑	纪念碑矗立在河边。
moreover	此外	此外，该计划还能省钱。
mortgage	抵押贷款	他们申请了抵押贷款。
mosque	清真寺	清真寺在市场附近。
motion	运动	传感器检测到运动。
motivate	激励	表扬可以激励学生。
motivation	动力	她的动力依然强劲。
moving	动人的	演讲很动人。
myth	神话	神话解释了这座山的名字。
naked	裸体的	婴儿洗澡后是裸体的。
nasty	严重的	伤口看起来很严重。
navigation	导航	应用程序改善了导航。
nearby	附近的	附近的一家咖啡馆开得很早。
necessity	必需品	干净的水是必需品。
negotiate	谈判	他们明天谈判合同。
negotiation	谈判	谈判持续了一整个上午。
neutral	中立的	法官保持中立。
newly	新近	新近粉刷的门看起来很亮。
norm	常态	远程工作成为了常态。
notebook	笔记本	把笔记写在笔记本上。
novelist	小说家	这位小说家在她的书上签了名。
nowadays	如今	如今，许多人在网上工作。
nursing	护理	她正在学习护理。
