hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
503:爱人	爱人	爱人	జీవిత భాగస్వామి; ప్రియమైన వ్యక్తి	నా జీవిత భాగస్వామి ఈ రోజు అదనపు సమయం పని చేస్తున్నాడు.	ಜೀವನ ಸಂಗಾತಿ; ಪ್ರಿಯ ವ್ಯಕ್ತಿ	ನನ್ನ ಜೀವನ ಸಂಗಾತಿ ಇಂದು ಹೆಚ್ಚುವರಿ ಸಮಯ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
508:班级	班级	班级	తరగతి; తరగతి గుంపు	మా తరగతిలో ముప్పై మంది విద్యార్థులు ఉన్నారు.	ತರಗತಿ; ತರಗತಿ ಗುಂಪು	ನಮ್ಮ ತರಗತಿಯಲ್ಲಿ ಮೂವತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳು ಇದ್ದಾರೆ.
509:搬家	搬家	搬家	ఇల్లు మారడం	ఈ వారాంతంలో మేము ఇల్లు మారుతున్నాము.	ಮನೆ ಬದಲಿಸುವುದು	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾವು ಮನೆ ಬದಲಿಸುತ್ತಿದ್ದೇವೆ.
510:办	办	办	చేయడం; నిర్వహించడం	ఈ మధ్యాహ్నం నేను బ్యాంకు కార్డు చేయించుకోవడానికి బ్యాంకుకు వెళ్తాను.	ಮಾಡುವುದು; ವ್ಯವಸ್ಥೆ ಮಾಡುವುದು	ಇಂದು ಮಧ್ಯಾಹ್ನ ನಾನು ಬ್ಯಾಂಕ್ ಕಾರ್ಡ್ ಮಾಡಿಸಿಕೊಳ್ಳಲು ಬ್ಯಾಂಕ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
513:半天	半天	半天	అర రోజు; చాలా సేపు	అతను రావడానికి ముందు నేను చాలా సేపు ఎదురుచూశాను.	ಅರ್ಧ ದಿನ; ಬಹಳ ಹೊತ್ತು	ಅವರು ಬರಲು ಮುಂಚೆ ನಾನು ಬಹಳ ಹೊತ್ತು ಕಾಯಿದೆ.
517:北	北	北	ఉత్తరం	పాఠశాల ఉత్తర వైపున ఒక పార్కు ఉంది.	ಉತ್ತರ	ಶಾಲೆಯ ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಒಂದು ಉದ್ಯಾನ ಇದೆ.
520:笔记	笔记	笔记	నోట్స్	అతను తరగతిలో జాగ్రత్తగా నోట్స్ రాస్తాడు.	ಟಿಪ್ಪಣಿಗಳು	ಅವನು ತರಗತಿಯಲ್ಲಿ ಗಮನದಿಂದ ಟಿಪ್ಪಣಿಗಳು ಬರೆಯುತ್ತಾನೆ.
526:变	变	变	మారడం	వాతావరణం చల్లగా మారింది.	ಬದಲಾಗುವುದು	ಹವಾಮಾನ ಚಳಿಯಾಗಿಬಿಟ್ಟಿದೆ.
528:变成	变成	变成	గా మారడం	వర్షం మంచుగా మారింది.	ಆಗಿ ಬದಲಾಗುವುದು	ಮಳೆ ಹಿಮವಾಗಿ ಬದಲಾಯಿತು.
531:别的	别的	别的	ఇతర; వేరే	మీకు ఇంకేమైనా ప్రశ్నలు ఉన్నాయా?	ಬೇರೆ; ಇತರೆ	ನಿಮಗೆ ಬೇರೆ ಪ್ರಶ್ನೆಗಳಿವೆಯೇ?
533:宾馆	宾馆	宾馆	హోటల్; వసతి గృహం	మేము విమానాశ్రయం దగ్గర ఉన్న హోటల్‌లో ఉంటున్నాము.	ಹೋಟೆಲ್; ವಸತಿ ಗೃಹ	ನಾವು ವಿಮಾನ ನಿಲ್ದಾಣದ ಹತ್ತಿರದ ಹೋಟೆಲ್‌ನಲ್ಲಿ ತಂಗಿದ್ದೇವೆ.
534:冰	冰	冰	మంచు; ఐస్	కప్పులో ఐస్ ఉంది.	ಐಸ್; ಹಿಮ	ಕಪ್‌ನಲ್ಲಿ ಐಸ್ ಇದೆ.
537:病人	病人	病人	రోగి	వైద్యుడు ఒక రోగిని చూస్తున్నారు.	ರೋಗಿ	ವೈದ್ಯರು ಒಬ್ಬ ರೋಗಿಯನ್ನು ನೋಡುತ್ತಿದ್ದಾರೆ.
538:不但	不但	不但	మాత్రమే కాదు	అతనికి చైనీస్ మాత్రమే కాదు, ఇంగ్లీష్ కూడా మాట్లాడటం వస్తుంది.	ಮಾತ್ರವಲ್ಲ	ಅವರಿಗೆ ಚೀನೀ ಮಾತ್ರವಲ್ಲ, ಇಂಗ್ಲಿಷ್ ಕೂಡ ಮಾತನಾಡಲು ಬರುತ್ತದೆ.
539:不见	不见	不见	కనిపించకపోవడం; చాలా కాలంగా చూడకపోవడం	చాలా కాలంగా చూడలేదు. ఇటీవల ఎలా ఉన్నావు?	ಕಾಣಿಸದಿರುವುದು; ಬಹಳ ದಿನಗಳಿಂದ ನೋಡದಿರುವುದು	ಬಹಳ ದಿನಗಳಿಂದ ನೋಡಿಲ್ಲ. ಇತ್ತೀಚೆಗೆ ಹೇಗಿದ್ದೀಯ?
540:不用	不用	不用	అవసరం లేదు; ఉపయోగించవద్దు	మీరు నన్ను ఎదురుచూడాల్సిన అవసరం లేదు.	ಅಗತ್ಯವಿಲ್ಲ; ಬಳಸಬೇಡಿ	ನೀವು ನನ್ನನ್ನು ಕಾಯಬೇಕಾಗಿಲ್ಲ.
541:不同	不同	不同	వేర్వేరు	మాకు వేర్వేరు ఆలోచనలు ఉన్నాయి.	ಬೇರೆ ಬೇರೆ	ನಮಗೆ ಬೇರೆ ಬೇರೆ ಅಭಿಪ್ರಾಯಗಳಿವೆ.
542:不久	不久	不久	త్వరలో; ఎక్కువ కాలం కాకుండా	కొద్ది కాలానికే అతను షాంఘైకి మారాడు.	ಶೀಘ್ರದಲ್ಲೇ; ಹೆಚ್ಚು ಕಾಲವಾಗದೆ	ಸ್ವಲ್ಪ ಸಮಯದ ನಂತರ ಅವರು ಶಾಂಘೈಗೆ ಸ್ಥಳಾಂತರವಾದರು.
543:不行	不行	不行	సరిపోదు; కుదరదు	ఈ రోజు కుదరదు. నాకు తరగతి ఉంది.	ಸಾಧ್ಯವಿಲ್ಲ; ಸರಿಯಲ್ಲ	ಇಂದು ಸಾಧ್ಯವಿಲ್ಲ. ನನಗೆ ತರಗತಿ ಇದೆ.
544:才1	才1	才	అప్పుడే; వరకు కాదు	అతను రాత్రి పది గంటలకు మాత్రమే ఇంటికి చేరాడు.	ಆಗ ಮಾತ್ರ; ತನಕ ಅಲ್ಲ	ಅವನು ರಾತ್ರಿ ಹತ್ತು ಗಂಟೆಗೆ ಮಾತ್ರ ಮನೆಗೆ ಬಂದ.
548:草地	草地	草地	గడ్డి మైదానం	పిల్లలు గడ్డి మైదానంలో ఆడుతున్నారు.	ಹುಲ್ಲುಗಾವಲು	ಮಕ್ಕಳು ಹುಲ್ಲುಗಾವಲಿನಲ್ಲಿ ಆಟ ಆಡುತ್ತಿದ್ದಾರೆ.
550:查	查	查	తనిఖీ చేయడం; చూసి తెలుసుకోవడం	నేను టికెట్ ధర తెలుసుకోవాలనుకుంటున్నాను.	ಪರಿಶೀಲಿಸುವುದು; ಹುಡುಕಿ ನೋಡುವುದು	ನಾನು ಟಿಕೆಟ್ ಬೆಲೆಯನ್ನು ಪರಿಶೀಲಿಸಲು ಬಯಸುತ್ತೇನೆ.
554:常	常	常	తరచుగా	అతను తరచుగా ఆ పుస్తక దుకాణానికి వెళ్తాడు.	ಆಗಾಗ್ಗೆ	ಅವನು ಆಗಾಗ್ಗೆ ಆ ಪುಸ್ತಕದ ಅಂಗಡಿಗೆ ಹೋಗುತ್ತಾನೆ.
555:常见	常见	常见	సాధారణంగా కనిపించే	ఇది ఒక సాధారణ ప్రశ్న.	ಸಾಮಾನ್ಯವಾಗಿ ಕಾಣುವ	ಇದು ಸಾಮಾನ್ಯ ಪ್ರಶ್ನೆ.
556:常用	常用	常用	సాధారణంగా ఉపయోగించే	ఫోన్ ఒక సాధారణంగా ఉపయోగించే సాధనం.	ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುವ	ದೂರವಾಣಿ ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುವ ಸಾಧನ.
557:常常	常常	常常	తరచుగా	నేను సాయంత్రం తరచుగా చదువుతాను.	ಆಗಾಗ್ಗೆ	ನಾನು ಸಂಜೆ ಆಗಾಗ್ಗೆ ಓದುತ್ತೇನೆ.
