source_headword	PT	example_PT
ability	a capacidade; a habilidade	A sua capacidade de nadar é clara.
able	capaz; apto	Ele pode vir hoje.
abroad	no estrangeiro; para o estrangeiro	Ela quer estudar no estrangeiro.
accept	aceitar	Aceita este pequeno presente.
accident	o acidente	O acidente aconteceu perto da escola.
according to	segundo; de acordo com	Segundo o relatório, vem chuva.
achieve	alcançar; atingir	Podes alcançar o teu objetivo.
act	agir; representar; o ato	Ele pode representar numa peça.
active	ativo	Ela é ativa todos os dias.
actually	na verdade; de facto	Na verdade, preciso de mais tempo.
advantage	a vantagem	Este plano tem uma vantagem.
adventure	a aventura	A viagem foi uma aventura.
advertise	publicitar; anunciar	Eles anunciam o novo emprego.
advertisement	o anúncio; a publicidade	Vi um anúncio.
advertising	a publicidade	A publicidade ajuda a vender comida.
affect	afetar; influenciar	O sono pode afetar a saúde.
against	contra	Não te encostes contra a parede.
ah	ah; oh	Ah, agora entendo.
airline	a companhia aérea	A companhia aérea está muito ocupada.
alive	vivo; com vida	O peixinho está vivo.
all right	está bem; tudo bem	Agora está tudo bem.
allow	permitir; deixar	Aqui são permitidos cães.
almost	quase	Estamos quase prontos.
alone	sozinho	Ela vive sozinha.
along	ao longo de	Caminha ao longo desta rua.
already	já	Já sei a resposta.
alternative	a alternativa	Este comboio é uma alternativa.
although	embora; apesar de	Embora seja tarde, podemos ficar.
among	entre	Ele estava entre as árvores.
amount	a quantidade; o montante	A quantidade é demasiado pequena.
ancient	antigo	Este muro antigo é famoso.
ankle	o tornozelo	Hoje dói-me o tornozelo.
anybody	alguém	Alguém pode responder?
any more	mais; já não	Não preciso de mais nada.
anyway	de qualquer forma; mesmo assim	De qualquer forma, podemos começar.
anywhere	em qualquer lugar; algures	Senta-te em qualquer lugar.
app	a aplicação; a app	Esta aplicação é útil.
appear	aparecer	O nome dela vai aparecer aqui.
appearance	a aparência; o aspeto	O aspeto dele é diferente.
apply	candidatar-se; aplicar	Candidata-te ao emprego hoje.
architect	o arquiteto; a arquiteta	O arquiteto tem um plano.
architecture	a arquitetura	Gosto de arquitetura moderna.
argue	discutir; argumentar	Não discutas com a tua irmã.
argument	a discussão; o argumento	A discussão foi curta.
army	o exército	O exército é grande.
arrange	organizar; combinar	Organiza a reunião, por favor.
arrangement	o acordo; a disposição	Este acordo funciona bem.
asleep	adormecido	O bebé está adormecido.
assistant	o assistente; a assistente	O assistente ajudou-me.
athlete	o atleta; a atleta	O atleta corre depressa.
attack	atacar; o ataque	O cão pode atacar.
attend	frequentar; assistir a	Hoje assisto à aula.
attention	a atenção	Presta atenção, por favor.
attractive	atraente	O jardim é atraente.
audience	o público	O público estava calado.
author	o autor; a autora	O autor escreveu este livro.
available	disponível	A comida está disponível agora.
average	médio; a média	O resultado médio foi bom.
avoid	evitar	Evita a rua movimentada.
award	o prémio; premiar	Ela recebeu um prémio.
awful	horrível; terrível	O tempo estava horrível.
background	o fundo; o contexto	A fotografia tem um fundo escuro.
badly	mal	Ele jogou mal hoje.
bar	o bar; o balcão	Encontrámo-nos no bar do hotel.
baseball	o basebol	O basebol é popular aqui.
based	baseado; fundado	O filme é baseado num livro.
basketball	o basquetebol	Jogamos basquetebol depois da escola.
bean	o feijão	Este feijão é verde.
bear (animal)	o urso	O urso vive na floresta.
beat	bater; vencer	A nossa equipa pode vencê-los.
beef	a carne de vaca	Comi carne de vaca ao jantar.
behave	comportar-se	Porta-te bem na aula.
behaviour	o comportamento	O comportamento dele foi educado.
belong	pertencer	Estes sapatos pertencem-me.
belt	o cinto	O cinto dele é preto.
benefit	o benefício; a vantagem	O exercício tem um benefício real.
billion	o milhar de milhão; o bilião	Um milhar de milhão é enorme.
bin	o caixote do lixo	Põe o papel no caixote do lixo.
biology	a biologia	A biologia é a minha melhor disciplina.
birth	o nascimento	O nascimento dela foi em maio.
biscuit	a bolacha	Ela come uma bolacha.
bit	um pouco; o pedaço	Preciso de um pouco mais de tempo.
blank	o espaço em branco; vazio	Escreve o teu nome no espaço em branco.
blood	o sangue	O sangue é vermelho.
blow	soprar	O vento pode soprar forte.
board	o quadro; a tábua	Escreve isto no quadro.
boil	ferver; cozer	Ferve primeiro a água.
bone	o osso	O cão tem um osso.
borrow	pedir emprestado	Posso pedir a tua caneta emprestada?
boss	o chefe; a chefe	O meu chefe é simpático.
bottom	o fundo; a parte de baixo	Assina no fundo.
bowl	a taça; a tigela	A taça está cheia.
brain	o cérebro	O teu cérebro precisa de descanso.
bridge	a ponte	A ponte é antiga.
bright	claro; brilhante; inteligente	O quarto está claro.
brilliant	brilhante; excelente	Esta ideia é excelente.
broken	partido; avariado	A cadeira está partida.
brush	a escova; escovar	Escova os dentes agora.
burn	queimar	Não queimes o pão.
businessman	o empresário	O empresário chegou cedo.
button	o botão	Carrega no botão vermelho.
camp	o acampamento; acampar	Acampamos junto ao lago.
camping	o campismo	O campismo é divertido no verão.
can2	a lata	Abre a lata com cuidado.
care	o cuidado; cuidar	Cuida da tua saúde.
careful	cuidadoso; atento	Tem cuidado nas escadas.
carefully	com cuidado; cuidadosamente	Lê a pergunta com cuidado.
carpet	o tapete	O tapete é macio.
cartoon	o desenho animado	Este desenho animado é divertido.
case	o caso; a caixa	Põe isto na caixa.
cash	o dinheiro; o numerário	Paguei em dinheiro.
castle	o castelo	O castelo é muito antigo.
catch	apanhar	Apanha a bola agora.
cause	a causa; causar	A chuva pode causar problemas.
celebrate	celebrar; festejar	Festejamos o meu aniversário.
celebrity	a celebridade	A celebridade foi muito simpática.
certain	certo; seguro	Tenho a certeza disso.
certainly	certamente; sem dúvida	Vou ajudar-te certamente.
chance	a oportunidade; a hipótese	Tens uma oportunidade.
character	a personagem; o caráter	Esta personagem é corajosa.
charity	a instituição de caridade; a caridade	A instituição de caridade ajuda crianças.
chat	conversar; a conversa	Conversamos depois da aula.
chef	o chefe de cozinha; a chefe de cozinha	O chefe fez sopa.
chemistry	a química	A química é difícil para mim.
chip	a batata frita; o chip	Esta batata frita é salgada.
choice	a escolha	Esta escolha é importante.
church	a igreja	A igreja fica perto.
cigarette	o cigarro	Um cigarro faz mal à saúde.
circle	o círculo; circular	Desenha aqui um círculo.
classical	clássico	Gosto de música clássica.
clear	claro; limpar	A resposta é clara.
clearly	claramente	Fala claramente, por favor.
clever	inteligente	Ela é uma criança inteligente.
climate	o clima	O clima está a mudar.
close2	perto	A minha escola fica perto de casa.
closed	fechado	A loja está fechada.
clothing	a roupa; o vestuário	A roupa quente é útil.
cloud	a nuvem	A nuvem cobre o sol.
coach	o treinador; o autocarro	O treinador ajudou a equipa.
coast	a costa	Viajámos ao longo da costa.
code	o código	Insere o código aqui.
colleague	o colega; a colega	O meu colega telefonou-me.
collect	recolher; colecionar	Coleciono cartões antigos.
column	a coluna	Lê a primeira coluna.
comedy	a comédia	Esta comédia é divertida.
comfortable	confortável	Esta cadeira é confortável.
comment	o comentário; comentar	Deixa um comentário abaixo.
communicate	comunicar	Comunicamos por email.
community	a comunidade	A nossa comunidade é amigável.
compete	competir; participar	Eles competem todos os anos.
competition	a competição; a concorrência	A competição começa amanhã.
complain	queixar-se	Não te queixes outra vez.
completely	completamente	Concordo completamente contigo.
condition	a condição; o estado	O carro está em bom estado.
conference	a conferência	A conferência começa às nove.
connect	ligar; conectar	Liga o telefone ao computador.
connected	ligado; relacionado	Estas duas ideias estão ligadas.
consider	considerar; pensar	Considera a minha ideia, por favor.
contain	conter	Esta caixa contém livros.
context	o contexto	O contexto ajuda a compreender.
continent	o continente	O continente é muito grande.
continue	continuar	Continua a ler, por favor.
control	o controlo; controlar	Controla a velocidade com cuidado.
cooker	o fogão	O fogão está limpo.
copy	a cópia; copiar	Faz uma cópia para mim.
corner	o canto	Senta-te no canto.
correctly	corretamente	Escreve a resposta corretamente.
count	contar; a contagem	Conta os livros.
couple	o casal; o par	O casal chegou cedo.
cover	cobrir; a capa	Cobre a taça.
crazy	louco; maluco	Esta ideia parece louca.
creative	criativo	Ela tem uma ideia criativa.
credit	o crédito	Paguei com cartão de crédito.
crime	o crime; a criminalidade	A criminalidade é um problema sério.
criminal	o criminoso; criminoso	O criminoso saiu depressa.
cross	atravessar; a cruz	Atravessa a rua com cuidado.
crowd	a multidão	A multidão esperava lá fora.
crowded	cheio; apinhado	O comboio estava cheio.
cry	chorar; o grito	Não chores agora.
cupboard	o armário	As chávenas estão no armário.
curly	encaracolado	Ela tem cabelo encaracolado.
cycle	andar de bicicleta; o ciclo	Vou para a escola de bicicleta.
daily	diário; todos os dias	Leio as notícias todos os dias.
danger	o perigo	O sinal indica perigo.
data	os dados	Estes dados são úteis.
dead	morto	A planta está morta.
deal	o acordo; a oferta	Isto é uma boa oferta.
death	a morte	A morte é um tema difícil.
decision	a decisão	Toma uma decisão hoje.
deep	profundo	A água é profunda.
definitely	definitivamente; sem dúvida	Quero chá sem dúvida.
degree	o grau; o diploma	O meu diploma é em história.
dentist	o dentista; a dentista	O dentista verificou os meus dentes.
department	o departamento; a secção	A secção de sapatos fica em cima.
depend	depender	Depende do tempo.
desert	o deserto	O deserto é muito seco.
designer	o designer; a designer	A designer criou este vestido.
destroy	destruir	Não destruas o ficheiro.
detective	o detetive; a detetive	O detetive encontrou a chave.
develop	desenvolver	Eles desenvolvem uma nova aplicação.
device	o dispositivo	Este dispositivo é útil.
diary	o diário	Ela escreve no diário.
differently	de forma diferente	Fazemos isto de forma diferente.
digital	digital	Esta é uma câmara digital.
direct	direto; dirigir	Apanha o comboio direto.
direction	a direção	Vai nesta direção.
director	o diretor; o realizador	O realizador gostou do filme.
disagree	discordar	Discordo desta ideia.
disappear	desaparecer	O sol vai desaparecer em breve.
disaster	o desastre	A tempestade foi um desastre.
discover	descobrir	Eles descobrem uma nova ilha.
