source_headword	MS	example_MS
absolutely	sepenuhnya	Saya sepenuhnya bersetuju dengan kamu.
academic	akademik	Tahun akademik bermula pada bulan September.
access	akses	Pelajar memerlukan akses ke perpustakaan.
accommodation	penginapan	Kami menempah penginapan dekat stesen.
account	akaun	Dia membuka akaun bank baharu.
achievement	pencapaian	Menamatkan kursus itu ialah pencapaian besar.
ad	iklan	Iklan itu menunjukkan telefon baharu.
addition	tambahan	Kolam itu ialah tambahan yang berguna.
admire	mengagumi	Saya mengagumi sikap tenangnya.
admit	mengakui	Dia mengakui kesilapannya.
advanced	lanjutan	Ini kelas bahasa Inggeris lanjutan.
advise	menasihati	Doktor menasihati senaman yang kerap.
afford	mampu	Kami tidak mampu menaiki teksi.
aged	berumur	Kursus itu untuk kanak-kanak berumur sepuluh tahun.
agent	ejen	Ejen pelancongan itu menukar tiket kami.
agreement	persetujuan	Mereka mencapai persetujuan hari ini.
ahead	di hadapan	Jalan di hadapan jelas.
aim	bertujuan	Kami bertujuan untuk selesai tidak lama lagi.
alarm	penggera	Penggera berbunyi pada pukul enam.
album	album	Album ini mempunyai sepuluh lagu.
alcohol	alkohol	Hotel itu tidak menghidangkan alkohol.
alcoholic	beralkohol	Minuman ini tidak beralkohol.
amazed	kagum	Dia kagum dengan keputusan itu.
ambition	cita-cita	Cita-citanya adalah menjadi juruterbang.
ambitious	bercita-cita tinggi	Dia mempunyai rancangan yang bercita-cita tinggi.
analyse	menganalisis	Kami perlu menganalisis keputusan itu.
analysis	analisis	Analisisnya jelas dan teliti.
announce	mengumumkan	Mereka akan mengumumkan pemenang esok.
announcement	pengumuman	Pengumuman itu mengejutkan semua orang.
annoy	mengganggu	Muzik kuat boleh mengganggu jiran.
annoyed	terganggu	Dia kelihatan terganggu selepas kelewatan itu.
annoying	menjengkelkan	Bunyi itu benar-benar menjengkelkan.
apart	berjauhan	Rumah-rumah itu berjauhan dua meter.
apologize	memohon maaf	Saya memohon maaf kerana lewat.
application	permohonan	Sila lengkapkan permohonan dalam talian.
appointment	janji temu	Saya ada janji temu doktor gigi esok.
appreciate	menghargai	Saya menghargai bantuan kamu.
approximately	kira-kira	Perjalanan itu mengambil kira-kira dua puluh minit.
arrest	menangkap	Polis menangkap pemandu itu.
arrival	ketibaan	Ketibaan kami lebih lewat daripada jangkaan.
assignment	tugasan	Tugasan itu perlu dihantar pada hari Jumaat.
assist	membantu	Jururawat membantu doktor.
atmosphere	suasana	Kafe itu mempunyai suasana yang santai.
attach	melampirkan	Lampirkan fail itu pada e-mel kamu.
attitude	sikap	Sikapnya berubah selepas mesyuarat itu.
attract	menarik	Bunga yang terang menarik lebah.
attraction	tarikan	Istana itu ialah tarikan yang popular.
authority	pihak berkuasa	Pihak berkuasa tempatan membaiki jalan itu.
aware	sedar	Dia sedar tentang risiko itu.
backwards	ke belakang	Dia berjalan ke belakang dengan berhati-hati.
bake	membakar	Saya membakar roti setiap hari Ahad.
balance	keseimbangan	Kasut yang baik membantu keseimbangan kamu.
ban	melarang	Bandar itu akan melarang kereta.
bank (river)	tebing sungai	Kami duduk di tebing sungai.
base	pangkalan	Pasukan itu kembali ke pangkalan.
basic	asas	Setiap orang memerlukan kemahiran komputer asas.
basis	dasar	Kepercayaan ialah dasar persahabatan.
battery	bateri	Bateri telefon saya lemah.
battle	pertempuran	Pertempuran itu berlangsung sepanjang malam.
beauty	keindahan	Kami mengagumi keindahan gunung itu.
bee	lebah	Seekor lebah hinggap pada bunga itu.
belief	kepercayaan	Kepercayaannya memberinya keberanian.
bell	loceng	Loceng sekolah berbunyi kuat.
bend	membengkokkan	Bengkokkan lutut kamu ketika mengangkat.
bite	menggigit	Anjing itu mungkin menggigit orang asing.
block	blok	Sebatang pokok tumbang menghalang jalan.
bomb	bom	Bom itu merosakkan beberapa bangunan.
border	sempadan	Mereka melintasi sempadan pada waktu malam.
bother	mengganggu	Tolong jangan ganggu adik kamu.
branch	dahan	Sebatang dahan patah dalam ribut.
brand	jenama	Jenama ini popular dalam kalangan pelajar.
brave	berani	Lelaki berani itu menyelamatkan kanak-kanak itu.
breath	nafas	Tarik nafas dalam-dalam.
breathe	bernafas	Saya tidak dapat bernafas dalam asap ini.
breathing	pernafasan	Pernafasannya perlahan.
bride	pengantin perempuan	Pengantin perempuan itu memakai gaun putih.
bubble	gelembung	Satu gelembung terapung di atas gelas.
bury	menanam	Mereka menanam kotak itu di dalam pasir.
calm	tenang	Bertenang semasa peperiksaan.
campaign	kempen	Kempen itu mengumpul wang untuk sekolah.
campus	kampus	Pelajar tinggal dekat kampus.
candidate	calon	Setiap calon menjawab tiga soalan.
cap	topi	Dia memakai topi besbol.
captain	kapten	Kapten bercakap dengan pasukan.
careless	cuai	Kesilapan cuai menyebabkan kami kehilangan masa.
category	kategori	Pilih kategori yang betul.
ceiling	siling	Siling itu dicat putih.
celebration	perayaan	Perayaan itu berlangsung sepanjang petang.
central	tengah	Hotel itu mempunyai lokasi tengah.
ceremony	majlis	Majlis itu bermula pada tengah hari.
chain	rantai	Dia memakai rantai perak.
challenge	cabaran	Projek ini ialah cabaran sebenar.
champion	juara	Juara itu mengucapkan terima kasih kepada jurulatihnya.
channel	saluran	Tukar saluran itu, tolong.
chapter	bab	Baca bab seterusnya malam ini.
charge	bayaran	Tiada bayaran untuk kanak-kanak.
cheat	menipu	Jangan menipu dalam ujian.
cheerful	ceria	Dia kedengaran ceria pagi ini.
chemical	kimia	Bau kimia itu kuat.
chest	dada	Dadanya sakit selepas berlari.
childhood	zaman kanak-kanak	Saya ingat rumah zaman kanak-kanak saya.
claim	mendakwa	Mereka mendakwa produk itu selamat.
clause	klausa	Klausa ini mengubah makna.
click	klik	Klik butang biru itu.
client	pelanggan	Pelanggan itu meminta lebih banyak butiran.
cloth	kain	Lap meja dengan kain ini.
clue	petunjuk	Petunjuk itu membantu kami menyelesaikannya.
coal	arang batu	Kereta api lama itu menggunakan arang batu.
coin	syiling	Dia menjumpai syiling di lantai.
collection	koleksi	Koleksi setemnya besar.
coloured	berwarna	Dia memakai skarf berwarna.
combine	menggabungkan	Gabungkan tepung dan air.
commercial	komersial	Jeda komersial itu berlangsung lima minit.
commit	beriltizam	Kami mesti beriltizam kepada rancangan itu.
communication	komunikasi	Komunikasi yang baik mencegah kesilapan.
comparison	perbandingan	Perbandingan ini berguna.
competitive	berdaya saing	Pasaran itu sangat berdaya saing.
competitor	pesaing	Pesaing utama kami menurunkan harga.
complaint	aduan	Dia membuat aduan tentang bunyi bising.
complex	rumit	Arahan itu terlalu rumit.
concentrate	menumpukan perhatian	Saya tidak dapat menumpukan perhatian dengan muzik dimainkan.
conclude	menamatkan	Kami menamatkan mesyuarat sekarang.
