simplified	NE	example_NE
爱	माया गर्नु; मन पराउनु	म आमालाई माया गर्छु।
八	आठ	मसँग आठवटा किताब छन्।
爸爸	बुबा; बाबा	बुबा घरमा हुनुहुन्छ।
杯子	कप; गिलास	यो कप ठूलो छ।
北京	बेइजिङ	म बेइजिङमा काम गर्छु।
本	किताबको मापक शब्द; खण्ड	मसँग एउटा किताब छ।
不	न; होइन; नगर्नु	म भात खाँदिनँ।
不客气	केही छैन; धन्यवादको कुरा छैन	धन्यवाद। केही छैन।
菜	परिकार; तरकारी; खाना	यो परिकार स्वादिलो छ।
茶	चिया	म चिया पिउँछु।
吃	खानु	म स्याउ खान्छु।
出租车	ट्याक्सी	म ट्याक्सी चढेर स्कूल जान्छु।
打电话	फोन गर्नु	म फोन गर्छु।
大	ठूलो; ठूली; ठूला	यो स्कूल ठूलो छ।
的	को; की; का	यो मेरो किताब हो।
点	बजे; बिन्दु; अलि	अहिले आठ बजेको छ।
电脑	कम्प्युटर	मेरो कम्प्युटर टेबलमा छ।
电视	टेलिभिजन; टिभी	म टिभी हेर्छु।
电影	चलचित्र; फिल्म	मलाई चलचित्र मन पर्छ।
东西	चिज; सामान	यो के चिज हो?
都	सबै; दुवै	हामी सबै विद्यार्थी हौँ।
读	पढ्नु	म किताब पढ्छु।
对不起	माफ गर्नुहोस्; क्षमा गर्नुहोस्	माफ गर्नुहोस्, म तपाईंलाई चिन्दिनँ।
多	धेरै; बढी	मसँग धेरै साथी छन्।
多少	कति	यो कप कति रुपैयाँ पर्छ?
儿子	छोरा	मेरो छोरा विद्यार्थी हो।
二	दुई	फेब्रुअरीमा चिसो हुन्छ।
饭馆	रेस्टुरेन्ट; भोजनालय	रेस्टुरेन्ट स्कूलको अगाडि छ।
飞机	हवाईजहाज; विमान	म हवाईजहाज चढेर बेइजिङ जान्छु।
分钟	मिनेट	म पाँच मिनेट पढ्छु।
高兴	खुसी; प्रसन्न	आज म धेरै खुसी छु।
个	सामान्य मापक शब्द	मसँग एक जना साथी छ।
工作	काम गर्नु; काम	म बेइजिङमा काम गर्छु।
狗	कुकुर	मलाई कुकुर मन पर्छ।
汉语	चिनियाँ भाषा	म चिनियाँ भाषा सिक्छु।
好	राम्रो; राम्री; राम्रा	आज मौसम राम्रो छ।
喝	पिउनु	म पानी पिउँछु।
和	र; सँग	म साथीसँग स्कूल जान्छु।
很	धेरै	उनी धेरै राम्री छिन्।
后面	पछाडि	स्कूल रेस्टुरेन्टको पछाडि छ।
回	फर्कनु; फर्केर जानु	म घर फर्कन्छु।
会	सक्नु; जान्नु	म चिनियाँ भाषा बोल्न सक्छु।
火车站	रेल स्टेसन	रेल स्टेसन ठूलो छ।
几	कति; केही	तिमीसँग कति जना साथी छन्?
