source_headword	KM	example_KM
hunt	ស្វែងរក	ពួកគេស្វែងរកផ្សិតនៅរដូវស្លឹកឈើជ្រុះ។
hurricane	ព្យុះសង្ឃរា	ព្យុះសង្ឃរាបានបំផ្លាញផ្ទះជាច្រើន។
hurry	ការប្រញាប់	ថ្ងៃនេះមិនមានការប្រញាប់ទេ។
identity	អត្តសញ្ញាណ	អត្តសញ្ញាណរបស់នាងនៅតែជារឿងសម្ងាត់។
ignore	មិនអើពើ	កុំមិនអើពើនឹងការព្រមាននេះ។
illegal	ខុសច្បាប់	ការចតឡាននៅទីនេះគឺខុសច្បាប់។
imaginary	ស្រមៃ	រឿងនេះមានកោះស្រមៃមួយ។
immediate	ភ្លាមៗ	យើងត្រូវការចម្លើយភ្លាមៗមួយ។
immigrant	ជនអន្តោប្រវេសន៍	ជនអន្តោប្រវេសន៍បានរៀនអង់គ្លេសយ៉ាងលឿន។
impact	ផលប៉ះពាល់	ព័ត៌មាននោះមានផលប៉ះពាល់ខ្លាំង។
import	នាំចូល	ប្រទេសនេះនឹងនាំចូលអង្ករច្រើនជាងមុន។
importance	សារៈសំខាន់	នាងយល់ពីសារៈសំខាន់នៃការគេង។
impression	ចំណាប់អារម្មណ៍	ចំណាប់អារម្មណ៍ដំបូងរបស់គាត់គឺវិជ្ជមាន។
impressive	គួរឱ្យចាប់អារម្មណ៍	សារមន្ទីរមានច្រកចូលគួរឱ្យចាប់អារម្មណ៍។
improvement	ការកែលម្អ	ខែនេះមានការកែលម្អច្បាស់លាស់។
incredibly	យ៉ាងខ្លាំង	ការប្រឡងនោះលំបាកយ៉ាងខ្លាំង។
indeed	ពិតប្រាកដ	វាជាថ្ងៃចម្លែកពិតប្រាកដ។
indicate	ចង្អុលបង្ហាញ	ស្លាកនឹងចង្អុលបង្ហាញច្រកចេញ។
indirect	ដោយប្រយោល	នាងបានផ្តល់ចម្លើយដោយប្រយោល។
indoor	ក្នុងអគារ	សណ្ឋាគារមានអាងហែលទឹកក្នុងអគារ។
indoors	នៅក្នុងផ្ទះ	យើងនៅក្នុងផ្ទះក្នុងអំឡុងព្យុះ។
influence	ឥទ្ធិពល	គ្រូរបស់គាត់មានឥទ្ធិពលខ្លាំង។
ingredient	គ្រឿងផ្សំ	ម្សៅគឺជាគ្រឿងផ្សំសំខាន់។
injure	ធ្វើឱ្យរបួស	កុំធ្វើឱ្យខ្នងរបស់អ្នករបួស។
injured	របួស	កីឡាកររបួសបានចាកចេញពីទីលាន។
innocent	គ្មានកំហុស	កុមារមើលទៅគ្មានកំហុសទាំងស្រុង។
intelligence	បញ្ញា	នាងបានបង្ហាញបញ្ញាខ្ពស់នៅក្នុងថ្នាក់។
intend	មានបំណង	ខ្ញុំមានបំណងទៅរៀននៅបរទេស។
intention	បំណង	បំណងរបស់គាត់គឺជួយ។
invest	វិនិយោគ	ពួកគេវិនិយោគប្រាក់ក្នុងការអប់រំ។
investigate	ស៊ើបអង្កេត	ប៉ូលិសនឹងស៊ើបអង្កេតគ្រោះថ្នាក់នេះ។
involved	ពាក់ព័ន្ធ	សិស្សជាច្រើនបានពាក់ព័ន្ធ។
iron	ដែក	ច្រកទ្វារធ្វើពីដែក។
issue	បញ្ហា	នេះជាបញ្ហាធ្ងន់ធ្ងរ។
IT	អាយធី	នាងធ្វើការផ្នែកអាយធី។
journal	កំណត់ហេតុប្រចាំថ្ងៃ	គាត់សរសេរនៅក្នុងកំណត់ហេតុប្រចាំថ្ងៃ។
judge	ចៅក្រម	ចៅក្រមបានស្តាប់យ៉ាងប្រុងប្រយ័ត្ន។
keen	ចង់រៀនខ្លាំង	នាងចង់រៀនខ្លាំង។
keyboard	ក្តារចុច	ក្តារចុចរបស់ខ្ញុំឈប់ដំណើរការ។
kick	ទាត់	ទាត់បាល់យ៉ាងស្រាល។
killing	ការសម្លាប់	ការសម្លាប់នោះបានធ្វើឱ្យភូមិភ្ញាក់ផ្អើល។
kind (caring)	សប្បុរស	នោះជាការធ្វើដ៏សប្បុរស។
kiss	ថើប	នាងបានថើបទារក។
label	ស្លាក	អានស្លាកមុនប្រើ។
laboratory	មន្ទីរពិសោធន៍	មន្ទីរពិសោធន៍បិទថ្ងៃនេះ។
lack	ការខ្វះខាត	ការខ្វះការគេងធ្វើឱ្យការចងចាំខូច។
latest	ចុងក្រោយ	តើអ្នកបានអានរបាយការណ៍ចុងក្រោយហើយឬនៅ។
lay	ដាក់	ដាក់សៀវភៅលើតុ។
layer	ស្រទាប់	បន្ថែមស្រទាប់ថ្នាំលាបមួយទៀត។
leading	ឈានមុខ	នាងជាអ្នកវិទ្យាសាស្ត្រឈានមុខម្នាក់។
leaf	ស្លឹក	ស្លឹកមួយធ្លាក់លើអាវខ្ញុំ។
leather	ស្បែក	កាបូបរបស់គាត់ធ្វើពីស្បែក។
legal	តាមច្បាប់	យើងត្រូវការដំបូន្មានតាមច្បាប់។
leisure	ពេលទំនេរ	ការអានគឺជាសកម្មភាពពេលទំនេរដែលខ្ញុំចូលចិត្ត។
length	ប្រវែង	វាស់ប្រវែងបន្ទប់។
lie2 (tell a lie)	កុហក	កុំកុហកឪពុកម្តាយរបស់អ្នក។
limit	កម្រិត	កម្រិតល្បឿនគឺហាសិប។
lip	បបូរមាត់	នាងបានខាំបបូរមាត់របស់នាង។
liquid	វត្ថុរាវ	ទឹកគឺជាវត្ថុរាវថ្លា។
literature	អក្សរសាស្ត្រ	នាងសិក្សាអក្សរសាស្ត្របារាំង។
live2	ផ្ទាល់	ក្រុមតន្ត្រីបានលេងផ្ទាល់យប់មិញ។
living	មានជីវិត	រុក្ខជាតិមានជីវិតត្រូវការពន្លឺ។
locate	រកទីតាំង	តើអ្នកអាចរកទីតាំងឯកសារបានទេ។
located	មានទីតាំង	ការិយាល័យមានទីតាំងនៅកណ្ដាលទីក្រុង។
location	ទីតាំង	នេះជាទីតាំងល្អ។
lonely	ឯកា	គាត់មានអារម្មណ៍ឯកាបន្ទាប់ពីផ្លាស់ទី។
loss	ការបាត់បង់	ការបាត់បង់នោះពិបាកសម្រាប់មនុស្សគ្រប់គ្នា។
luxury	ភាពប្រណីត	សណ្ឋាគារផ្តល់ភាពប្រណីតពិតប្រាកដ។
mad	ខឹង	នាងខឹងចំពោះការពន្យារពេល។
magic	មន្តអាគម	ការសម្តែងពោរពេញដោយមន្តអាគម។
mainly	ជាចម្បង	ក្រុមនេះជាចម្បងជាសិស្ស។
mall	ផ្សារទំនើប	យើងបានជួបគ្នានៅផ្សារទំនើប។
management	ការគ្រប់គ្រង	ការគ្រប់គ្រងល្អជួយសន្សំពេល។
marketing	ការធ្វើទីផ្សារ	ការធ្វើទីផ្សារជួយលក់ផលិតផល។
marriage	អាពាហ៍ពិពាហ៍	អាពាហ៍ពិពាហ៍របស់ពួកគេចំណាយពេលសាមសិបឆ្នាំ។
meanwhile	ក្នុងពេលនោះ	ខ្ញុំបានចម្អិនអាហារពេលល្ងាចក្នុងពេលនោះ។
measure	វាស់	វាស់តុយ៉ាងប្រុងប្រយ័ត្ន។
medium	មធ្យម	ខ្ញុំបានបញ្ជាទិញភីហ្សាមធ្យមមួយ។
mental	ផ្លូវចិត្ត	ភាពតានតឹងប៉ះពាល់ដល់សុខភាពផ្លូវចិត្ត។
mess	ភាពរញ៉េរញ៉ៃ	សម្អាតភាពរញ៉េរញ៉ៃនេះ។
mild	ស្រាល	ស៊ុបមានរសជាតិស្រាល។
mine (hole in the ground)	រ៉ែ	រ៉ែនោះបានបិទកាលពីឆ្នាំមុន។
mix	លាយ	លាយស៊ុតជាមួយទឹកដោះគោ។
mixture	ល្បាយ	ល្បាយក្លាយជាខាប់។
mood	អារម្មណ៍	តន្ត្រីបានផ្លាស់ប្តូរអារម្មណ៍របស់នាង។
mud	ភក់	ស្បែកជើងរបស់គាត់គ្របដោយភក់។
murder	ឃាតកម្ម	ឃាតកម្មបានកើតឡើងនៅពេលយប់។
muscle	សាច់ដុំ	លំហាត់ប្រាណបង្កើតសាច់ដុំ។
mystery	អាថ៌កំបាំង	ផ្ទះចាស់នោះជាអាថ៌កំបាំងមួយ។
nail	ក្រចក	ខ្ញុំបានបាក់ក្រចកមួយ។
narrative	ការនិទានរឿង	ប្រលោមលោកមានការនិទានរឿងច្បាស់។
nation	ជាតិ	ជាតិទាំងមូលបានអបអរ។
native	ជាភាសាកំណើត	ភាសាអេស្ប៉ាញជាភាសាកំណើតរបស់នាង។
naturally	ដោយធម្មជាតិ	កុមាររៀនដោយធម្មជាតិតាមរយៈការលេង។
necessarily	ចាំបាច់	អាហារថ្លៃមិនចាំបាច់ល្អជាងទេ។
needle	ម្ជុល	ម្ជុលមុតណាស់។
neighbourhood	សង្កាត់	ពួកគេរស់នៅក្នុងសង្កាត់ស្ងប់ស្ងាត់។
net	សំណាញ់	អ្នកនេសាទបានជួសជុលសំណាញ់របស់គាត់។
nor	ក៏មិន	គាត់មិនញញឹមក៏មិននិយាយដែរ។
northern	ភាគខាងជើង	ពួកគេបានទៅទស្សនាឆ្នេរភាគខាងជើង។
nuclear	នុយក្លេអ៊ែរ	ការពិភាក្សាគឺអំពីថាមពលនុយក្លេអ៊ែរ។
obvious	ច្បាស់	ចម្លើយច្បាស់ណាស់។
obviously	យ៉ាងច្បាស់	យ៉ាងច្បាស់យើងត្រូវការពេលបន្ថែម។
occasion	ឱកាស	នេះជាឱកាសពិសេស។
occur	កើតឡើង	គ្រោះថ្នាក់អាចកើតឡើងគ្រប់ទីកន្លែង។
odd	ចម្លែក	នោះជាសំណួរចម្លែកមួយ។
official	ផ្លូវការ	លទ្ធផលផ្លូវការមកដល់ថ្ងៃនេះ។
old-fashioned	បែបបុរាណ	ទូរស័ព្ទរបស់នាងមើលទៅបែបបុរាណ។
operation	ការវះកាត់	ការវះកាត់ចំណាយពេលពីរម៉ោង។
organized	មានរបៀបរៀបរយ	តុរបស់នាងមានរបៀបរៀបរយណាស់។
organizer	អ្នករៀបចំ	អ្នករៀបចំបានស្វាគមន៍ភ្ញៀវ។
originally	ដើមឡើយ	នាងដើមឡើយមកពីកាណាដា។
ought modal	គួរ	អ្នកគួរតែសម្រាក។
ours	របស់យើង	តុនេះជារបស់យើង។
