source_headword	HR	example_HR
absolutely	apsolutno	Apsolutno se slažem s tobom.
academic	akademski	Akademska godina počinje u rujnu.
access	pristup	Studenti trebaju pristup knjižnici.
accommodation	smještaj	Rezervirali smo smještaj blizu kolodvora.
account	račun	Ona je otvorila novi bankovni račun.
achievement	postignuće	Završetak tečaja bio je veliko postignuće.
ad	reklama	Reklama je prikazivala novi telefon.
addition	dodatak	Bazen je koristan dodatak.
admire	diviti se	Divim se njezinu mirnom pristupu.
admit	priznati	Priznao je svoju pogrešku.
advanced	napredan	Ovo je napredni tečaj engleskog.
advise	savjetovati	Liječnici savjetuju redovito kretanje.
afford	priuštiti si	Ne možemo si priuštiti taksi.
aged	u dobi od	Tečaj je za djecu u dobi od deset godina.
agent	agent	Putnički agent promijenio nam je karte.
agreement	sporazum	Danas su postigli sporazum.
ahead	naprijed	Put naprijed je slobodan.
aim	nastojati	Nastojimo uskoro završiti.
alarm	alarm	Alarm je zazvonio u šest.
album	album	Ovaj album ima deset pjesama.
alcohol	alkohol	Hotel ne poslužuje alkohol.
alcoholic	alkoholan	Ovo piće nije alkoholno.
amazed	zadivljen	Bila je zadivljena rezultatom.
ambition	ambicija	Njegova ambicija je postati pilot.
ambitious	ambiciozan	Ima ambiciozan plan.
analyse	analizirati	Moramo analizirati rezultate.
analysis	analiza	Njezina analiza bila je jasna i pažljiva.
announce	najaviti	Sutra će najaviti pobjednika.
announcement	obavijest	Obavijest je iznenadila sve.
annoy	živcirati	Glasna glazba može živcirati susjede.
annoyed	iznerviran	Izgledao je iznervirano nakon kašnjenja.
annoying	iritantan	Taj zvuk je vrlo iritantan.
apart	odvojeno	Kuće su dva metra odvojene jedna od druge.
apologize	ispričati se	Ispričavam se zbog kašnjenja.
application	prijava	Ispuni prijavu na internetu.
appointment	termin	Sutra imam termin kod zubara.
appreciate	cijeniti	Cijenim tvoju pomoć.
approximately	otprilike	Šetnja traje otprilike dvadeset minuta.
arrest	uhititi	Policija je uhitila vozača.
arrival	dolazak	Naš dolazak bio je kasniji od očekivanog.
assignment	zadatak	Zadatak treba predati u petak.
assist	pomagati	Medicinske sestre pomažu liječniku.
atmosphere	atmosfera	Kafić ima opuštenu atmosferu.
attach	priložiti	Priloži datoteku svojoj e-pošti.
attitude	stav	Njezin stav se promijenio nakon sastanka.
attract	privući	Jarko cvijeće privlači pčele.
attraction	atrakcija	Dvorac je popularna atrakcija.
authority	vlast	Lokalna vlast popravila je cestu.
aware	svjestan	Ona je svjesna rizika.
backwards	unatrag	Hodao je pažljivo unatrag.
bake	peći	Pečem kruh svake nedjelje.
balance	ravnoteža	Dobre cipele pomažu održati ravnotežu.
ban	zabraniti	Grad će zabraniti automobile.
bank (river)	obala	Stajali smo na obali rijeke.
base	baza	Ekipa se vratila u bazu.
basic	osnovni	Svima trebaju osnovne računalne vještine.
basis	osnova	Povjerenje je osnova prijateljstva.
battery	baterija	Baterija mog telefona je slaba.
battle	bitka	Bitka je trajala cijelu noć.
beauty	ljepota	Divili smo se ljepoti planina.
bee	pčela	Pčela je sletjela na cvijet.
belief	uvjerenje	Njegovo uvjerenje dalo mu je hrabrost.
bell	zvono	Školsko zvono glasno je zazvonilo.
bend	savijati	Savij koljena kad podižeš.
bite	gristi	Pas može ugristi nepoznate ljude.
block	blokirati	Palo stablo blokiralo je cestu.
bomb	bomba	Bomba je oštetila nekoliko zgrada.
border	granica	Prešli su granicu noću.
bother	smetati	Molim te, nemoj smetati sestri.
branch	grana	Grana se slomila u oluji.
brand	marka	Ova marka je popularna među studentima.
brave	hrabar	Hrabri muškarac spasio je dijete.
breath	dah	Duboko udahni.
breathe	disati	Ne mogu disati u ovom dimu.
breathing	disanje	Njezino disanje bilo je sporo.
bride	nevjesta	Nevjesta je nosila bijelu haljinu.
bubble	mjehurić	Mjehurić je plutao iznad čaše.
bury	zakopati	Zakopali su kutiju u pijesak.
calm	miran	Ostani miran tijekom ispita.
campaign	kampanja	Kampanja je prikupila novac za škole.
campus	kampus	Studenti žive blizu kampusa.
candidate	kandidat	Svaki kandidat odgovorio je na tri pitanja.
cap	kapa	Nosio je bejzbolsku kapu.
captain	kapetan	Kapetan je razgovarao s ekipom.
careless	neoprezan	Neoprezna pogreška koštala nas je vremena.
category	kategorija	Odaberi ispravnu kategoriju.
ceiling	strop	Strop je bio obojen u bijelo.
celebration	proslava	Proslava je trajala cijelu večer.
central	središnji	Hotel ima središnju lokaciju.
ceremony	ceremonija	Ceremonija je počela u podne.
chain	lanac	Nosila je srebrni lanac.
challenge	izazov	Ovaj projekt je pravi izazov.
champion	prvak	Prvakinja je zahvalila treneru.
channel	kanal	Promijeni kanal, molim te.
chapter	poglavlje	Pročitaj sljedeće poglavlje večeras.
charge	naknada	Nema naknade za djecu.
cheat	varati	Ne varaj na testu.
cheerful	veseo	Jutros je izgledala veselo.
chemical	kemijski	Kemijski miris bio je jak.
chest	prsa	Boljela su ga prsa nakon trčanja.
childhood	djetinjstvo	Sjećam se kuće iz djetinjstva.
claim	tvrditi	Oni tvrde da je proizvod siguran.
clause	klauzula	Ova klauzula mijenja značenje.
click	kliknuti	Klikni plavi gumb.
client	klijent	Klijent je tražio više pojedinosti.
cloth	krpa	Obriši stol ovom krpom.
clue	trag	Trag nam je pomogao riješiti problem.
coal	ugljen	Stari vlak koristio je ugljen.
coin	novčić	Našla je novčić na podu.
collection	kolekcija	Njezina kolekcija maraka je velika.
coloured	šaren	Nosila je šareni šal.
combine	kombinirati	Kombiniraj brašno s vodom.
commercial	reklamni	Reklamna pauza trajala je pet minuta.
commit	obvezati se	Moramo se obvezati na plan.
communication	komunikacija	Dobra komunikacija sprječava pogreške.
comparison	usporedba	Ova usporedba je korisna.
competitive	konkurentan	Tržište je vrlo konkurentno.
competitor	konkurent	Naš glavni konkurent smanjio je cijene.
complaint	pritužba	Podnio je pritužbu zbog buke.
complex	složen	Upute su previše složene.
concentrate	usredotočiti se	Ne mogu se usredotočiti uz glazbu.
conclude	zaključiti	Sada ćemo zaključiti sastanak.
conclusion	zaključak	Njegov zaključak činio se razumnim.
confident	samouvjeren	Osjećala se samouvjereno prije intervjua.
confirm	potvrditi	Potvrdi svoju adresu e-pošte, molim te.
confuse	zbuniti	Ova dva imena me zbunjuju.
confused	zbunjen	Osjećao sam se zbunjeno zbog karte.
connection	veza	Internetska veza je spora.
consequence	posljedica	Nedostatak sna ima posljedice.
consist	sastojati se	Obrok se sastoji od tri jela.
consume	trošiti	Veliki automobili troše više goriva.
consumer	potrošač	Potrošač želi jasne informacije.
contact	kontaktirati	Kontaktiraj me nakon ručka.
container	spremnik	Stavi juhu u spremnik.
content1	sadržaj	Sadržaj tečaja je koristan.
continuous	neprekidan	Stroj je proizvodio neprekidan zvuk.
contrast	kontrast	Kontrast između njih je jasan.
convenient	praktičan	Stanica je vrlo praktična.
convince	uvjeriti	Uvjerio ju je da pokuša ponovno.
costume	kostim	Nosio je gusarski kostim.
cottage	vikendica	Unajmili su malu vikendicu.
cotton	pamuk	Ova košulja je od pamuka.
countryside	selo	Šetali smo selom.
court	sud	Slučaj je stigao na sud.
covered	pokriven	Stol je bio pokriven papirima.
cruel	okrutan	Bilo je okrutno smijati se.
cultural	kulturni	Muzej nudi kulturne događaje.
currency	valuta	Lokalna valuta je euro.
current	trenutačan	Trenutačna situacija je teška.
currently	trenutačno	Trenutačno studira u inozemstvu.
curtain	zavjesa	Navuci zavjesu noću.
custom	običaj	Taj običaj je vrlo star.
damage	šteta	Oluja je uzrokovala ozbiljnu štetu.
decade	desetljeće	Tamo su živjeli jedno desetljeće.
decorate	ukrasiti	Zajedno ukrašavamo sobu.
define	definirati	Možeš li definirati ovaj pojam?
definite	jasan	Trebamo jasan odgovor.
definition	definicija	Napiši definiciju u bilježnicu.
deliver	dostaviti	Dostavljaju hranu u naš dom.
departure	polazak	Vrijeme polaska se promijenilo.
despite	unatoč	Unatoč kiši, hodali smo.
destination	odredište	Pariz je bio njihovo konačno odredište.
determine	odrediti	Testovi će odrediti tvoju razinu.
determined	odlučan	Bila je odlučna uspjeti.
development	razvoj	Razvoj grada bio je brz.
diagram	dijagram	Nacrtaj jednostavan dijagram.
diamond	dijamant	Prsten je imao mali dijamant.
difficulty	poteškoća	Imao je poteškoća s vratima.
directly	izravno	Molim te, razgovaraj izravno sa mnom.
dirt	prljavština	Cipele su mu bile prekrivene prljavštinom.
disadvantage	nedostatak	Dug put je nedostatak.
disappointed	razočaran	Bila je razočarana rezultatom.
disappointing	razočaravajući	Kraj je bio razočaravajući.
discount	popust	Studenti ovdje dobivaju popust.
dislike	ne voljeti	Ne volim vrlo glasnu glazbu.
divide	podijeliti	Podijeli tortu na komade.
documentary	dokumentarac	Gledali smo dokumentarac o svemiru.
donate	donirati	Mnogi ljudi doniraju staru odjeću.
doubt	sumnja	Nemam nikakvu sumnju u to.
dressed	odjeven	Bio je odjeven u crno.
drum	bubanj	Bubanj se čuo po cijeloj sobi.
drunk	pijan	Vozač je bio pijan.
due	dospio	Izvješće dospijeva sutra.
dust	prašina	Stare knjige bile su prekrivene prašinom.
duty	dužnost	Moja je dužnost pomoći.
earthquake	potres	Potres je oštetio most.
eastern	istočni	Istočna obala je vjetrovita.
economic	ekonomski	Zemlja ima ekonomske probleme.
economy	gospodarstvo	Gospodarstvo je poraslo ove godine.
edge	rub	Stani dalje od ruba.
editor	urednik	Urednik je provjerio članak.
educate	obrazovati	Škole obrazuju mlade ljude.
educated	obrazovan	Ona je vrlo obrazovana.
educational	obrazovni	Igra je obrazovna.
effective	učinkovit	Ovaj lijek je učinkovit.
effectively	učinkovito	Pravilo je objasnio učinkovito.
effort	napor	Tvoj napor je bio važan.
election	izbori	Rezultat izbora bio je tijesan.
element	element	Povjerenje je važan element.
embarrassed	posramljen	Osjećao se posramljeno nakon pada.
embarrassing	neugodan	To je bila neugodna pogreška.
emergency	hitan slučaj	U hitnom slučaju nazovi ovaj broj.
emotion	emocija	Strah je snažna emocija.
employment	zaposlenost	Zaposlenost se povećala ovaj mjesec.
encourage	ohrabriti	Učitelji ohrabruju studente da čitaju.
enemy	neprijatelj	Dvije zemlje bile su neprijatelji.
engaged	zaručen	Zaručili su se prošlog proljeća.
engineering	inženjerstvo	Studira inženjerstvo na sveučilištu.
entertain	zabaviti	Pjevač će zabaviti goste.
entertainment	zabava	Grad nudi zabavu navečer.
entrance	ulaz	Nađimo se kod ulaza.
entry	ulaz	Ulaz je besplatan za djecu.
environmental	ekološki	Razgovarali smo o ekološkim problemima.
episode	epizoda	Posljednja epizoda bila je uzbudljiva.
equal	jednak	Primaju jednake plaće.
equally	jednako	Posao je jednako podijeljen.
escape	pobjeći	Zatvorenici su pokušali pobjeći.
essential	nužan	Voda je nužna za život.
eventually	naposljetku	Naposljetku smo pronašli hotel.
examine	pregledati	Liječnik mi je pregledao ruku.
exchange	razmjena	Obavili smo razmjenu u trgovini.
excitement	uzbuđenje	Igra je bila puna uzbuđenja.
exhibition	izložba	Umjetnička izložba otvara se sutra.
expand	proširiti se	Tvrtka se planira proširiti.
expected	očekivan	Očekivani troškovi su visoki.
expedition	ekspedicija	Ekspedicija je prešla pustinju.
experienced	iskusan	Ona je iskusna medicinska sestra.
explode	eksplodirati	Boca može eksplodirati od topline.
explore	istražiti	Istražili smo stari grad.
explosion	eksplozija	Eksplozija je razbila nekoliko prozora.
export	izvoz	Kava je važan izvoz.
fairly	prilično	Test je bio prilično lagan.
familiar	poznat	Njezino lice izgledalo je poznato.
fancy	željeti	Želiš li kavu?
fascinating	fascinantan	Priča je bila fascinantna.
fashionable	moderan	Te cipele su moderne.
fasten	zakopčati	Zakopčaj sigurnosni pojas.
favour	usluga	Možeš li mi učiniti uslugu?
fence	ograda	Ograda okružuje vrt.
fighting	borba	Borba je završila u zoru.
file	datoteka	Spremi datoteku prije zatvaranja.
financial	financijski	Treba financijski savjet.
fitness	kondicija	Trčanje poboljšava tvoju kondiciju.
fixed	fiksan	Cijena je fiksna.
flag	zastava	Zastava se vijorila iznad škole.
flood	poplava	Poplava je oštetila mnoge kuće.
flour	brašno	Dodaj brašno u zdjelu.
flow	teći	Rijeka teče kroz grad.
fold	presaviti	Presavij papir napola.
folk	narodni	Narodna glazba ispunila je dvoranu.
force	sila	Vjetar je imao veliku silu.
forever	zauvijek	Pamtit ću to zauvijek.
frame	okvir	Fotografiji treba okvir.
freeze	smrznuti se	Voda se smrzne preko noći.
frequently	često	Često posjećuje roditelje.
friendship	prijateljstvo	Njihovo prijateljstvo trajalo je godinama.
frighten	preplašiti	Glasni zvukovi preplaše dijete.
frightened	preplašen	Dijete je izgledalo preplašeno.
frightening	zastrašujući	Oluja je bila zastrašujuća.
frozen	smrznut	Jezero je bilo smrznuto.
fry	pržiti	Prži luk pet minuta.
fuel	gorivo	Autu treba više goriva.
function	funkcija	Ovaj gumb ima jednu funkciju.
fur	krzno	Mačka ima mekano krzno.
garage	garaža	Auto je u garaži.
gather	okupiti se	Okupili smo se oko stola.
generally	općenito	Općenito stiže rano.
generation	generacija	Svaka generacija susreće nove probleme.
generous	velikodušan	Velikodušan je sa svojim vremenom.
gentle	nježan	Koristi nježan glas.
gentleman	gospodin	Gospodin je otvorio vrata.
ghost	duh	Priča spominje duha.
giant	divovski	Divovski ekran ispunio je pozornicu.
glad	drago	Drago mi je što si došao.
global	globalan	Klimatske promjene su globalan problem.
glove	rukavica	Izgubio sam jednu rukavicu.
goods	roba	Roba je stigla kasno.
grade	ocjena	Dobila je visoku ocjenu.
graduate	diplomant	On je nedavni diplomant.
grain	zrno	Jedno zrno riže palo je.
grateful	zahvalan	Zahvalan sam na tvojoj podršci.
growth	rast	Biljka je pokazala stalan rast.
guard	čuvar	Čuvar nam je provjerio karte.
guilty	kriv	Osjećao se krivim zbog laži.
hang	objesiti	Objesi kaput ovdje.
happiness	sreća	Novac ne može kupiti sreću.
hardly	jedva	Jedva sam te čuo.
headline	naslov	Naslov mi je privukao pozornost.
heating	grijanje	Grijanje je prestalo raditi.
heavily	jako	Jako je padala kiša cijelu noć.
helicopter	helikopter	Helikopter je sletio u blizini.
highlight	istaknuti	Istakni glavnu ideju.
highly	visoko	Ona je visoko cijenjena.
hire	unajmiti	Moramo unajmiti auto.
historic	povijesni	Posjetili smo povijesnu zgradu.
historical	povijesni	Ona voli povijesne romane.
honest	iskren	Molim te, daj iskren odgovor.
horrible	užasan	Miris je bio užasan.
horror	horor	On voli horor filmove.
host	domaćin	Domaćin je pozdravio svakog gosta.
