source_headword	KM	example_KM
incur	ទទួលរង	ការពន្យារពេលអាចបណ្តាលឱ្យមានការចំណាយបន្ថែម។
indicator	សូចនាករ	ភាពអត់ការងារធ្វើគឺជាសូចនាករសេដ្ឋកិច្ចមួយ។
indictment	ការចោទប្រកាន់	ការចោទប្រកាន់នេះបានរាយការណ៍ពីបទចោទប្រកាន់ចំនួនបី។
indigenous	ជនជាតិដើម	រុក្ខជាតិក្នុងស្រុកដុះបានល្អនៅទីនេះ។
induce	ជំរុញ	ថ្នាំនេះអាចជំរុញឱ្យងងុយគេង។
indulge	បណ្តោយតាមចិត្ត	នាងមិនបណ្តោយតាមទម្លាប់ដែលមានតម្លៃថ្លៃទេ។
inequality	វិសមភាព	វិសមភាពប្រាក់ចំណូលនៅតែជាបញ្ហាធំមួយ។
infamous	ល្បីខាងអាក្រក់	ពន្ធនាគារនេះល្បីខាងអាក្រក់ទូទាំងពិភពលោក។
infant	ទារក	ទារកបានដេកនៅក្នុងអង្រឹង។
infect	ចម្លងរោគ	វីរុសអាចចម្លងទៅកោសិកាដែលមានសុខភាពល្អ។
inflict	ធ្វើឱ្យមានការឈឺចាប់	កុំធ្វើឱ្យមានការឈឺចាប់ដល់សត្វ។
influential	មានឥទ្ធិពល	នាងគឺជាអ្នកប្រាជ្ញច្បាប់ដ៏មានឥទ្ធិពលម្នាក់។
inherent	ដែលមានពីធម្មជាតិ	ការរចនានេះមានហានិភ័យពីធម្មជាតិ។
inhibit	រារាំង	ការភ័យខ្លាចអាចរារាំងការពិភាក្សាដោយស្មោះត្រង់។
initiate	ផ្តួចផ្តើម	អ្នកគ្រប់គ្រងនឹងផ្តួចផ្តើមការពិនិត្យឡើងវិញ។
inject	ចាក់	គិលានុបដ្ឋាយិកានឹងចាក់វ៉ាក់សាំង។
injection	ការចាក់ថ្នាំ	ការចាក់ថ្នាំបានកាត់បន្ថយការឈឺចាប់។
injustice	ភាពអយុត្តិធម៌	សេចក្តីសម្រេចនេះបានបង្ហាញពីភាពអយុត្តិធម៌យ៉ាងច្បាស់។
inmate	អ្នកទោស	អ្នកទោសបានស្នើសុំដំបូន្មានផ្នែកច្បាប់។
insertion	ការបញ្ចូល	ទម្រង់នេះត្រូវការការបញ្ចូលអត្ថបទមួយ។
insider	អ្នកនៅខាងក្នុង	អ្នកនៅខាងក្នុងម្នាក់បានលេចធ្លាយរបាយការណ៍។
inspect	ត្រួតពិនិត្យ	មន្ត្រីត្រួតពិនិត្យស្ពានជារៀងរាល់ឆ្នាំ។
inspection	ការត្រួតពិនិត្យ	ការត្រួតពិនិត្យបានរកឃើញការខូចខាតធ្ងន់ធ្ងរ។
inspiration	ការបំផុសគំនិត	សុន្ទរកថារបស់នាងបានផ្តល់ការបំផុសគំនិតដល់ខ្ញុំ។
instinct	សភាវគតិ	សភាវគតិដំបូងរបស់គាត់គឺជួយ។
institutional	ស្ថាប័ន	វិធានស្ថាប័នបានបង្កើតការសម្រេចចិត្ត។
instruct	ណែនាំ	សៀវភៅណែនាំនឹងណែនាំបុគ្គលិកថ្មី។
instrumental	ជាឧបករណ៍	ដំបូន្មានរបស់នាងមានសារៈសំខាន់នៅក្នុងការចរចា។
insufficient	មិនគ្រប់គ្រាន់	ភស្តុតាងមិនគ្រប់គ្រាន់សម្រាប់ការចោទប្រកាន់។
insult	ការប្រមាថ	ការប្រមាថរបស់គាត់បានបញ្ចប់ការសន្ទនា។
intact	នៅដដែល	ជញ្ជាំងបុរាណនៅដដែល។
intake	ការទទួលទាន	ការទទួលទានជាតិស្ករគួរតែនៅកម្រិតមធ្យម។
integral	សំខាន់	ការទុកចិត្តគឺជារឿងសំខាន់ចំពោះក្រុម។
integrated	រួមបញ្ចូលគ្នា	សាលារៀនផ្តល់នូវការគាំទ្ររួមបញ្ចូលគ្នា។
integration	សមាហរណកម្ម	សមាហរណកម្មបានធ្វើឱ្យប្រព័ន្ធទាំងមូលប្រសើរឡើង។
integrity	សុចរិតភាព	ចៅក្រមបានបង្ហាញពីសុចរិតភាពដ៏អស្ចារ្យ។
intensify	ធ្វើឱ្យកាន់តែខ្លាំង	ព្យុះអាចនឹងកើនឡើងខ្លាំងនៅពេលយប់។
intensity	អាំងតង់ស៊ីតេ	អាំងតង់ស៊ីតេនៃការបណ្តុះបណ្តាលបានកើនឡើង។
intensive	ខ្លាំងក្លា	ពួកគេបានបញ្ចប់ការបណ្តុះបណ្តាលភាសាដ៏ខ្លាំងក្លា។
intent	ចេតនា	ចេតនារបស់គាត់ពិបាកនឹងបញ្ជាក់។
interactive	អន្តរកម្ម	សារមន្ទីរមានការបង្ហាញបែបអន្តរកម្ម។
interface	ចំណុចប្រទាក់	ចំណុចប្រទាក់ងាយស្រួលរុករក។
