simplified	KM	example_KM
哎	អេ៎	អេ៎ ហេតុអ្វីអ្នកមកទីនេះ?
唉	អូ៎; ដកដង្ហើមធំ	អូ៎ ខ្ញុំមកយឺតម្តងទៀតហើយ។
爱护	ថែរក្សា; ការពារ	យើងគួរថែរក្សាបរិស្ថាន។
爱惜	ស្រឡាញ់ថែរក្សា; ឲ្យតម្លៃ	សូមឲ្យតម្លៃពេលវេលារបស់ខ្លួន។
爱心	ចិត្តមេត្តា	នាងមានចិត្តមេត្តាខ្លាំងណាស់។
安慰	លួងលោម	មិត្តរបស់ខ្ញុំបានលួងលោមខ្ញុំ។
安装	ដំឡើង	កម្មករកំពុងដំឡើងម៉ាស៊ីនត្រជាក់។
岸	ច្រាំង	ទូកកំពុងខិតទៅជិតច្រាំងយឺតៗ។
暗	ងងឹត	ក្នុងបន្ទប់ងងឹតខ្លាំងណាស់។
熬夜	ចូលគេងយឺត; នៅយប់ជ្រៅ	ការនៅយប់ជ្រៅមិនល្អសម្រាប់សុខភាពទេ។
把握	ភាពប្រាកដ; ចាប់យក	ខ្ញុំមិនប្រាកដថាអាចធ្វើរឿងនេះឲ្យល្អបានទេ។
摆	រៀបចំ; ដាក់តាំង	សូមរៀបចំកៅអីឲ្យមានរបៀប។
办理	ដោះស្រាយ; រៀបចំធ្វើការ	ខ្ញុំនឹងទៅធនាគារដើម្បីដោះស្រាយកិច្ចការមួយចំនួន។
傍晚	ព្រលប់	ពេលព្រលប់យើងនឹងទៅដើរលេង។
包裹	កញ្ចប់	ខ្ញុំបានទទួលកញ្ចប់មួយ។
包含	រួមបញ្ចូល	តម្លៃនេះរួមបញ្ចូលអាហារពេលព្រឹក។
包括	រួមមាន	ថ្លៃនេះរួមមានអាហារថ្ងៃត្រង់។
薄	ស្តើង	សៀវភៅនេះស្តើងណាស់។
保持	រក្សា	សូមរក្សាភាពស្ងាត់។
保存	រក្សាទុក	សូមរក្សាទុកឯកសារនេះ។
保留	រក្សាទុក; កក់ទុក	សូមកក់កៅអីមួយឲ្យខ្ញុំ។
保险	ធានារ៉ាប់រង	ខ្ញុំបានទិញធានារ៉ាប់រងធ្វើដំណើរ។
宝贝	របស់មានតម្លៃ; កូនសម្លាញ់	នេះជារបស់មានតម្លៃរបស់ខ្ញុំ។
