source_headword	TR	example_TR
hunt	aramak	Sonbaharda mantar ararlar.
hurricane	kasırga	Kasırga birçok eve zarar verdi.
hurry	acele	Bugün acele yok.
identity	kimlik	Onun kimliği gizli kaldı.
ignore	görmezden gelmek	Bu uyarıyı görmezden gelme.
illegal	yasadışı	Buraya park etmek yasadışıdır.
imaginary	hayali	Hikayede hayali bir ada var.
immediate	hemen	Hemen bir cevaba ihtiyacımız var.
immigrant	göçmen	Göçmen hızlıca İngilizce öğrendi.
impact	etki	Haberin güçlü bir etkisi oldu.
import	ithal etmek	Ülke daha fazla pirinç ithal edecek.
importance	önem	Uykunun önemini anladı.
impression	izlenim	İlk izlenimi olumluydu.
impressive	etkileyici	Müzenin etkileyici bir girişi var.
improvement	iyileşme	Bu ay belirgin bir iyileşme vardı.
incredibly	inanılmaz derecede	Test inanılmaz derecede zordu.
indeed	gerçekten	Gerçekten garip bir gündü.
indicate	göstermek	İşaret çıkışı gösterecek.
indirect	dolaylı	Dolaylı bir cevap verdi.
indoor	kapalı alanda	Otelin kapalı havuzu var.
indoors	içeride	Fırtına sırasında içeride kaldık.
influence	etki	Öğretmeninin güçlü bir etkisi oldu.
ingredient	malzeme	Un ana malzemedir.
injure	yaralamak	Sırtını yaralama.
injured	yaralı	Yaralı oyuncu sahadan ayrıldı.
innocent	masum	Çocuk tamamen masum görünüyordu.
intelligence	zeka	Sınıfta büyük zeka gösterdi.
intend	niyet etmek	Yurt dışında okumaya niyet ediyorum.
intention	niyet	Niyeti yardım etmekti.
invest	yatırım yapmak	Eğitime para yatırıyorlar.
investigate	soruşturmak	Polis kazayı soruşturacak.
involved	dahil	Birkaç öğrenci dahil oldu.
iron	demir	Kapı demirden yapılmıştır.
issue	sorun	Bu ciddi bir sorun.
IT	bilgi teknolojileri	Bilgi teknolojileri alanında çalışıyor.
journal	günlük	Günlüğüne yazar.
judge	hakim	Hakim dikkatle dinledi.
keen	istekli	Öğrenmeye isteklidir.
keyboard	klavye	Klavyem çalışmayı bıraktı.
kick	tekmelemek	Topa nazikçe vur.
killing	öldürme	Öldürme köyü sarstı.
kind (caring)	nazik	Bu nazik bir davranıştı.
kiss	öpücük	Bebeğe bir öpücük verdi.
label	etiket	Kullanmadan önce etiketi oku.
laboratory	laboratuvar	Laboratuvar bugün kapalı.
lack	eksiklik	Uyku eksikliği hafızaya zarar verir.
latest	en son	En son raporu okudun mu?
lay	koymak	Kitabı masanın üzerine koy.
