source_headword	DE	example_DE
rock (music)	der Rock	Ich liebe Rockmusik.
role	die Rolle	Ihre Rolle ist wichtig.
roof	das Dach	Das Dach muss repariert werden.
round	rund	Der Tisch ist rund.
route	die Route	Diese Route ist kürzer.
rubbish	der Müll	Bring den Müll nach draußen.
rude	unhöflich	Dieser Kommentar war unhöflich.
runner	der Läufer	Der Läufer sieht müde aus.
running	das Laufen	Laufen hält mich gesund.
sadly	leider	Leider haben wir den Zug verpasst.
safe	sicher	Diese Straße fühlt sich sicher an.
sail	segeln	Wir segeln am Samstag.
sailing	das Segeln	Segeln ist hier beliebt.
salary	das Gehalt	Sein Gehalt ist jetzt höher.
sale	der Ausverkauf	Der Ausverkauf beginnt morgen.
sauce	die Soße	Gib Soße zum Reis.
save	speichern	Speichere deine Arbeit jetzt.
scared	ängstlich	Das Kind hat Angst.
scary	unheimlich	Diese Geschichte ist unheimlich.
scene	die Szene	Die letzte Szene war lustig.
schedule	der Zeitplan	Prüfe heute den Zeitplan.
score	der Spielstand	Wie ist der Spielstand?
screen	der Bildschirm	Reinige den Bildschirm vorsichtig.
search	suchen	Suche im Web nach Fotos.
season	die Saison	Der Sommer ist eine geschäftige Saison.
seat	der Sitz	Nimm bitte diesen Sitz.
second1 (next after the first)	zweitens	Zweitens, wasch dir die Hände.
secondly	zweitens	Zweitens, prüfe deine Antwort.
secret	geheim	Halte dieses Geheimnis sicher.
secretary	der Sekretär/die Sekretärin	Die Sekretärin hat heute angerufen.
seem	scheinen	Du scheinst müde zu sein.
sense	der Sinn	Dieser Plan ergibt Sinn.
separate	getrennt	Halte die Papiere getrennt.
series	die Serie	Diese Serie ist beliebt.
serious	ernst	Dieses Problem ist ernst.
serve	servieren	Sie servieren Mittagessen um zwölf.
service	der Service	Der Service war schnell.
several	mehrere	Mehrere Schüler kamen früh an.
shake	schütteln	Schüttle zuerst die Flasche.
shall modal	sollen	Sollen wir jetzt anfangen?
shape	die Form	Zeichne eine quadratische Form.
sheet	das Laken	Leg das Laken aufs Bett.
ship	das Schiff	Das Schiff ist heute abgefahren.
shoulder	die Schulter	Meine Schulter tut weh.
shout	schreien	Schrei nicht im Unterricht.
shut	schließen	Schließ bitte das Fenster.
side	die Seite	Setz dich auf diese Seite.
sign	das Schild	Lies das Schild sorgfältig.
silver	das Silber	Silber ist ein helles Metall.
simple	einfach	Diese Übung ist einfach.
since	seit	Ich warte seit Mittag.
singing	das Singen	Singen hilft mir, mich zu entspannen.
single	einfach	Ich habe eine einfache Fahrkarte gekauft.
sir	der Herr	Herr, Ihre Tasche ist bereit.
site	die Website	Diese Website ist sicher.
size	die Größe	Welche Größe brauchst du?
ski	Ski fahren	Wir fahren im Winter Ski.
skiing	das Skifahren	Skifahren macht im Winter Spaß.
skin	die Haut	Ihre Haut fühlt sich trocken an.
sky	der Himmel	Der Himmel ist klar.
slowly	langsam	Geh langsam auf dem Eis.
smartphone	das Smartphone	Mein Smartphone ist neu.
smell	riechen	Die Suppe riecht gut.
smile	lächeln	Lächle für die Kamera.
smoke	der Rauch	Rauch füllte den Raum.
smoking	das Rauchen	Rauchen ist nicht erlaubt.
soap	die Seife	Benutze Seife und Wasser.
soccer	der Fußball	Fußball ist hier beliebt.
social	sozial	Das ist eine soziale Veranstaltung.
society	die Gesellschaft	Die Gesellschaft verändert sich mit der Zeit.
sock	die Socke	Eine Socke fehlt.
soft	weich	Diese Decke ist weich.
soldier	der Soldat	Der Soldat kam nach Hause.
solution	die Lösung	Wir haben eine Lösung gefunden.
solve	lösen	Löse dieses Rätsel.
somewhere	irgendwo	Leg es irgendwo sicher hin.
sort	die Art	Welche Art möchtest du?
source	die Quelle	Prüfe zuerst die Quelle.
speaker	der Lautsprecher	Der Lautsprecher war laut.
specific	bestimmt	Ich brauche eine bestimmte Antwort.
speech	die Rede	Ihre Rede war kurz.
speed	die Geschwindigkeit	Verringere hier deine Geschwindigkeit.
spider	die Spinne	Eine Spinne ist an der Wand.
spoon	der Löffel	Benutze einen Löffel für die Suppe.
square	quadratisch	Zeichne eine quadratische Box.
stage	die Bühne	Die Band ist auf der Bühne.
stair	die Treppenstufe	Die Treppenstufe ist kaputt.
stamp	die Briefmarke	Klebe eine Briefmarke auf den Brief.
state	angeben	Gib deinen Namen deutlich an.
steal	stehlen	Stiehl kein Geld.
step	der Schritt	Mach einen Schritt nach vorn.
stomach	der Magen	Mein Magen tut weh.
stone	der Stein	Der Stein ist schwer.
store	das Geschäft	Das Geschäft schließt früh.
storm	der Sturm	Ein Sturm kommt.
straight	direkt	Geh direkt nach Hause.
strange	seltsam	Dieses Geräusch ist seltsam.
strategy	die Strategie	Wir brauchen eine Strategie.
stress	der Stress	Arbeit kann Stress verursachen.
structure	die Struktur	Diese Struktur ist stark.
stupid	dumm	Das war ein dummer Fehler.
succeed	Erfolg haben	Du kannst hier Erfolg haben.
successful	erfolgreich	Sie wurde erfolgreich.
such	solch	Solche Hilfe ist nützlich.
suddenly	plötzlich	Plötzlich rannte der Hund weg.
suggest	vorschlagen	Ich schlage eine kurze Pause vor.
suggestion	der Vorschlag	Dein Vorschlag ist hilfreich.
suit	der Anzug	Dieser Anzug ist teuer.
support	unterstützen	Wir unterstützen unser Team.
suppose	annehmen	Ich nehme an, du hast recht.
surprise	die Überraschung	Die Überraschung machte sie glücklich.
surprised	überrascht	Sie war heute überrascht.
surprising	überraschend	Das Ergebnis war überraschend.
survey	die Umfrage	Bitte fülle die Umfrage aus.
sweet	süß	Dieser Tee ist süß.
symbol	das Symbol	Dieses Symbol bedeutet Gefahr.
system	das System	Das System funktioniert gut.
tablet	das Tablet	Mein Tablet liegt auf dem Schreibtisch.
target	das Ziel	Triff das Ziel vorsichtig.
task	die Aufgabe	Diese Aufgabe ist leicht.
taste	probieren	Probier zuerst die Suppe.
teaching	das Unterrichten	Unterrichten ist schwierige Arbeit.
technology	die Technologie	Technologie verändert sich schnell.
teenage	jugendlich	Mein jugendlicher Bruder lernt fleißig.
temperature	die Temperatur	Die Temperatur ist niedrig.
term	das Schulhalbjahr	Dieses Schulhalbjahr endet bald.
themselves	sich selbst	Sie kochten das Abendessen selbst.
thick	dick	Dieses Buch ist dick.
thief	der Dieb	Der Dieb rannte weg.
thin	dünn	Das Papier ist dünn.
thinking	das Denken	Denken braucht Zeit.
thought	der Gedanke	Ich hatte einen seltsamen Gedanken.
throw	werfen	Wirf den Ball sanft.
tidy	ordentlich	Halte dein Zimmer ordentlich.
tie	binden	Binde jetzt deine Schuhe.
tip	das Trinkgeld	Lass ein Trinkgeld für den Service.
tool	das Werkzeug	Benutze das richtige Werkzeug.
top	die Oberseite	Das obere Regal ist voll.
touch	berühren	Berühre das Glas nicht.
tour	die Tour	Wir machten eine Stadttour.
tourism	der Tourismus	Tourismus hilft dieser Stadt.
towards	in Richtung	Geh in Richtung Bahnhof.
towel	das Handtuch	Bring ein sauberes Handtuch mit.
tower	der Turm	Der Turm ist sehr alt.
toy	das Spielzeug	Das Spielzeugauto ist rot.
track	die Strecke	Die Strecke führt nach Norden.
tradition	die Tradition	Diese Tradition ist alt.
traditional	traditionell	Sie trug traditionelle Kleidung.
trainer	der Trainer	Mein Trainer ist hilfsbereit.
training	das Training	Das Training beginnt morgen.
transport	der Nahverkehr	Der öffentliche Nahverkehr ist verspätet.
traveller	der Reisende	Der Reisende bat um Hilfe.
trouble	das Problem	Wir hatten gestern ein Problem.
truck	der Lastwagen	Der Lastwagen steht draußen.
twin	der Zwilling	Meine Zwillingsschwester ist größer.
typical	typisch	Das ist ein typischer Tag.
underground	unterirdisch	Der Zug fährt unterirdisch.
understanding	das Verständnis	Dein Verständnis ist richtig.
unfortunately	leider	Leider ist das Geschäft geschlossen.
unhappy	unglücklich	Er sieht unglücklich aus.
uniform	die Uniform	Sie trägt eine Schuluniform.
unit	die Einheit	Diese Einheit ist klein.
united	vereint	Das Team blieb vereint.
unusual	ungewöhnlich	Dieses Geräusch ist ungewöhnlich.
used to modal	früher	Wir haben früher hier gewohnt.
user	der Benutzer	Jeder Benutzer hat eine Nummer.
usual	üblich	Ich nahm meinen üblichen Sitz.
valley	das Tal	Das Tal ist grün.
van	der Lieferwagen	Der Lieferwagen ist voll.
