source_headword	LV	example_LV
abandon	atteikties no	Vakar viņi atteicās no plāna.
absolute	absolūts	Šeit vajadzīgs absolūts godīgums.
acceptable	pieņemams	Viņa atbilde bija pieņemama.
accompany	pavadīt	Viņas brālis pavadīja viņu mājās.
accurate	precīzs	Ziņojums šķiet precīzs.
accuse	apsūdzēt	Viņi apsūdzēja viņu melošanā.
acknowledge	atzīt	Lūdzu, atzīsti kļūdu.
acquire	iegūt	Viņa ātri ieguva jaunas prasmes.
actual	faktisks	Faktiskās izmaksas bija zemākas.
adapt	pielāgoties	Mēs pielāgojāmies pārmaiņām.
additional	papildu	Šodien ieradās papildu palīdzība.
administration	administrācija	Administrācija mainīja noteikumus.
adopt	pieņemt	Viņi pieņēma jaunu metodi.
advance	progress	Mēs panācām nelielu progresu.
affair	afēra	Afēra kaitēja sabiedrības uzticībai.
afterwards	pēc tam	Pēc tam visi nomierinājās.
agency	aģentūra	Aģentūra pieņēma darbā trīs tulkotājus.
agenda	darba kārtība	Drošība ir darba kārtībā.
aggressive	agresīvs	Viņa tonis skanēja agresīvi.
aid	palīdzība	Medicīniskā palīdzība ieradās ātri.
aircraft	lidaparāts	Lidaparāts droši nosēdās.
alter	mainīt	Nemainiet līgumu.
anger	dusmas	Viņa dusmas pārsteidza visus.
angle	leņķis	Pamēģini citu kameras leņķi.
anniversary	gadadiena	Viņu gadadiena ir rīt.
annual	ikgadējs	Ikgadējā sanāksme sākas pirmdien.
anxious	noraizējies	Pirms operācijas viņa jutās noraizējusies.
apparent	acīmredzams	Viņa vilšanās bija acīmredzama.
apparently	acīmredzot	Acīmredzot vilciens kavējas.
appeal	apelācija	Lēmumam var sekot apelācija.
approach	pieeja	Viņas pieeja atrisināja problēmu.
appropriate	atbilstošs	Izvēlies atbilstošu atbildi.
approval	apstiprinājums	Projektam vajadzīgs apstiprinājums.
approve	apstiprināt	Valde apstiprināja budžetu.
arise	rasties	Problēmas var rasties vēlāk.
armed	bruņots	Ārā stāvēja bruņoti sargi.
arms	ieroči	Viņi nolika ieročus.
artificial	mākslīgs	Ziedi izskatījās mākslīgi.
artistic	māksliniecisks	Viņai ir māksliniecisks talants.
ashamed	nokaunējies	Vēlāk viņš jutās nokaunējies.
aspect	aspekts	Rūpīgi apsver katru aspektu.
assess	novērtēt	Mums jānovērtē kaitējums.
assessment	novērtējums	Novērtējums ilga divas stundas.
associate	saistīt	Cilvēki saista dūmus ar briesmām.
associated	saistīts	Stress ir saistīts ar slimību.
association	asociācija	Asociācija atbalsta jaunus māksliniekus.
assume	pieņemt	Pieņemu, ka tu piekrīti.
attempt	mēģinājums	Viņa pirmais mēģinājums neizdevās.
bacteria	baktērijas	Baktērijas var ātri izplatīties.
barrier	šķērslis	Valoda bija šķērslis.
basically	būtībā	Būtībā mums vajag vairāk laika.
bear (deal with)	paciest	Es nevaru paciest šo troksni.
beg	lūgties	Viņš lūdzās pēc palīdzības.
being	būtne	Katrai būtnei vajadzīgs ūdens.
bent	saliekts	Metāla stienis bija saliekts.
bet	derēt	Varu derēt, ka viņš zina.
beyond	aiz	Ciems atrodas aiz upes.
bitter	rūgts	Zālēm bija rūgta garša.
blame	vainot	Nevaino šoferi.
blind	akls	Viņš kļuva akls jaunībā.
bond	saikne	Uzticība veido stipru saikni.
breast	krūts	Viņa sajuta sāpes krūtī.
brief	īss	Lai tava atbilde ir īsa.
broad	plats	Upe šeit ir plata.
broadcast	pārraidīt	Runa tika pārraidīta tiešraidē.
budget	budžets	Budžets ir ļoti ierobežots.
bullet	lode	Lode trāpīja sienā.
bunch	saišķis	Viņa nesa atslēgu saišķi.
bush	krūms	Putns paslēpās krūmā.
cable	kabelis	Kabelis ir bojāts.
calculate	aprēķināt	Aprēķini kopējās izmaksas.
cancel	atcelt	Viņi atcēla sanāksmi.
cancer	vēzis	Vēža ārstēšana var būt grūta.
capable	spējīgs	Viņa ir spējīga uz vairāk.
capacity	ietilpība	Zāle sasniedza ietilpību.
capture	iemūžināt	Fotogrāfija iemūžina noskaņu.
cast	aktieru sastāvs	Aktieru sastāvs ir gatavs.
cell	šūna	Katrā šūnā ir dati.
chairman	priekšsēdētājs	Priekšsēdētājs atklāja sēdi.
characteristic	īpašība	Pacietība ir viņas galvenā īpašība.
chief	galvenais	Galvenais inženieris ieradās vēlu.
circumstance	apstāklis	Rūpīgi apsver katru apstākli.
cite	citēt	Lūdzu, citē savu avotu.
citizen	pilsonis	Katrs pilsonis var balsot.
civil	mierīgs	Protests palika mierīgs.
classic	klasisks	Šī filma ir klasika.
closely	uzmanīgi	Uzmanīgi vēro procesu.
collapse	sabrukt	Vecais tilts var sabrukt.
combination	kombinācija	Kombinācija labi darbojās.
comfort	mierinājums	Viņas vārdi sniedza mierinājumu.
command	pavēle	Virsnieks deva pavēli.
commission	komisija	Komisija pārskatīja lietu.
commitment	apņemšanās	Darbam vajadzīga apņemšanās.
committee	komiteja	Komiteja tiekas katru nedēļu.
commonly	parasti	Šo augu parasti audzē.
complicated	sarežģīts	Norādījumi ir sarežģīti.
component	komponents	Viens komponents sabojājās.
concentration	koncentrēšanās	Troksnis traucē manu koncentrēšanos.
concept	jēdziens	Jēdziens ir vienkāršs.
concern	bažas	Drošība ir mūsu galvenās bažas.
concerned	noraizējies	Vecāki bija dziļi noraizējušies.
conduct	veikt	Viņi veic vietēju pētījumu.
confidence	pārliecība	Prakse veido pārliecību.
conflict	konflikts	Konflikts ilga gadiem.
confusing	mulsinošs	Karte bija mulsinoša.
conscious	pie samaņas	Viņa palika pie samaņas.
conservative	konservatīvs	Viņa uzskati ir konservatīvi.
consideration	apsvērums	Izmaksas ir svarīgs apsvērums.
consistent	konsekvents	Viņas rezultāti ir konsekventi.
constant	pastāvīgs	Pastāvīgais troksnis mūs nogurdināja.
constantly	pastāvīgi	Viņš pastāvīgi pārbauda telefonu.
construct	uzbūvēt	Strādnieki uzbūvēja jaunu tiltu.
construction	būvniecība	Būvniecība sākas nākamajā mēnesī.
contemporary	mūsdienīgs	Galerija rāda mūsdienīgu mākslu.
contest	konkurss	Viņa piedalījās konkursā.
contract	līgums	Rūpīgi izlasi līgumu.
contribute	piedalīties	Ikviens var piedalīties ar idejām.
contribution	ieguldījums	Viņas ieguldījums bija vērtīgs.
convert	pārveidot	Viņi pārveidoja garāžu.
convinced	pārliecināts	Esmu pārliecināts, ka viņš meloja.
core	kodols	Uzticība ir problēmas kodols.
corporate	korporatīvs	Korporatīvie noteikumi atkal mainījās.
council	padome	Padome apstiprināja plānu.
county	novads	Novads salaboja ceļu.
courage	drosme	Viņa parādīja īstu drosmi.
crash	avārija	Avārija bloķēja satiksmi.
creation	radīšana	Radīšana ilga sešus mēnešus.
creature	radījums	Radījums kustējās klusi.
crew	apkalpe	Apkalpe sagatavoja kuģi.
crisis	krīze	Krīze visu mainīja.
criterion	kritērijs	Cena ir viens kritērijs.
critic	kritiķis	Kritiķis uzslavēja izrādi.
critical	kritisks	Viņa stāvoklis ir kritisks.
criticism	kritika	Viņa mierīgi pieņēma kritiku.
criticize	kritizēt	Nekritizē katru kļūdu.
crop	raža	Šogad raža neizdevās.
crucial	izšķirošs	Laiks šeit ir izšķirošs.
cure	zāles	Ārsti atrada zāles.
curve	līkums	Ceļš seko līkumam.
curved	izliekts	Siena ir nedaudz izliekta.
debate	debates	Debates turpinājās vairākas stundas.
debt	parāds	Viņš samaksāja parādu.
decent	pieklājīgs	Viņi atrada pieklājīgu dzīvokli.
declare	paziņot	Viņi paziņoja rezultātu.
decline	samazināties	Pārdošana turpināja samazināties.
