simplified	SI	example_SI
挨	ඉවසා සිටීම	ඔහු මුළු රාත්‍රියම ඉවසා සිට අවසානයේ උදාව එනතුරු බලා සිටියේය.
癌症	පිළිකාව	පිළිකාව මුල් අවධියේ හඳුනා ගැනීම ඉතා වැදගත්ය.
暧昧	අපැහැදිලි	ඔහුගේ පිළිතුර ඉතා අපැහැදිලි විය.
爱不释手	අතහැරීමට නොහැකි තරම් කැමති වීම	ඇය එම පොතට අතහැරීමට නොහැකි තරම් කැමති විය.
爱戴	ආදරයෙන් ගෞරව කිරීම	මෙම ගුරුවරයා සිසුන්ගේ ආදරයෙන් ගෞරවයට පාත්‍ර විය.
安宁	සාමකාමී	මෙහි රාත්‍රිය ඉතා සාමකාමීය.
安详	සන්සුන්	මහලු පුද්ගලයාගේ මුහුණේ සන්සුන් පෙනුමක් තිබුණි.
安置	නැවත පදිංචි කිරීම	රජය ආපදාවෙන් පීඩාවට පත් ජනතාව නැවත පදිංචි කළේය.
按摩	සම්බාහනය	මම සම්බාහනයක් සඳහා කලින් වේලාවක් වෙන් කළෙමි.
暗示	ඉඟි කිරීම	ඇය මට තවත් නොඅසන ලෙස ඉඟි කළාය.
案件	නඩුව	පොලිසිය මෙම නඩුව විමර්ශනය කරමින් සිටී.
案例	උදාහරණ සිද්ධිය	මෙම උදාහරණ සිද්ධිය ඉතා නියෝජිත ස්වභාවයක් දරයි.
昂贵	මිල අධික	මෙම උපකරණය ඉතා මිල අධිකය.
凹凸	අසම මතුපිට	මෙම මාර්ගයේ මතුපිට අසමය.
熬	දරාගෙන අවසන් කිරීම	ඔහු වාර්තාව අවසන් කිරීමට දින තුනක් දරාගෙන වැඩ කළේය.
奥秘	රහස	විද්‍යාඥයා මෙම රහස හෙළි කිරීමට කැමතිය.
巴不得	ඉතා ආශාවෙන් බලා සිටීම	මම වහාම පිටත් වීමට ඉතා ආශාවෙන් බලා සිටිමි.
巴结	ප්‍රසාදය ලබා ගැනීමට පැසසීම	ඔහු නායකයන්ගේ ප්‍රසාදය ලබා ගැනීමට පැසසීමට කැමති නැත.
扒	අල්ලාගෙන සිටීම	දරුවා දොර අල්ලාගෙන පිටත බැලුවේය.
疤	කැළල	ඔහුගේ අතේ කැළලක් ඇත.
拔苗助长	ඉක්මන් කර නරක් කිරීම	දරුවාට මෙලෙස බලෙන් ඉගෙනීමට සිදු කිරීම ඉක්මන් කර නරක් කිරීමක් පමණි.
把关	පරීක්ෂා කර අනුමත කිරීම	මෙම ගිවිසුම නීතිඥයෙකු විසින් පරීක්ෂා කර අනුමත කළ යුතුය.
把手	හසුරුව	දොරේ හසුරුව කැඩී ඇත.
罢工	වැඩ වර්ජනය	කම්කරුවන් හෙට වැඩ වර්ජනය කිරීමට තීරණය කළහ.
霸道	අධිපති ලෙස හැසිරෙන	ඔහු කතා කරන ආකාරය ඉතා අධිපති ස්වභාවයකි.
掰	අතින් කැඩීම	ඇය පාන් කැබැල්ල අතින් දෙකට කැඩුවාය.
摆脱	නිදහස් වීම	ඔහු අවසානයේ නරක පුරුද්දෙන් නිදහස් විය.
拜访	බැලීමට යාම	අපි සති අන්තයේ ගුරුවරයා බැලීමට යමු.
拜年	අලුත් අවුරුදු සුබ පැතුම් දැක්වීම	වසන්ත උත්සවයේදී අපි සීයා සහ ආච්චි බැලීමට ගොස් සුබ පැතුම් දැක්වෙමු.
拜托	ඉල්ලීම	මෙම කාරණය ඔබට ඉල්ලමි.
败坏	හානි කිරීම	මෙවැනි ක්‍රියාව සමාගමේ නමට හානි කරයි.
斑	ලපය	බළලාගේ ශරීරයේ කළු ලපයක් ඇත.
颁布	නිල වශයෙන් ප්‍රකාශ කිරීම	නව නීති ලබන සතියේ නිල වශයෙන් ප්‍රකාශ කෙරේ.
颁发	ප්‍රදානය කිරීම	පාසල උසස් සිසුන්ට සහතිකපත් ප්‍රදානය කළේය.
版本	අනුවාදය	මෙම මෘදුකාංගයට නව අනුවාදයක් ඇත.
伴侣	සහකරු	ඇය බල්ලාව තම සහකරු ලෙස සලකයි.
伴随	සමඟ පැමිණීම	සාර්ථකත්වය බොහෝ විට පීඩනය සමඟ පැමිණේ.
半途而废	මගදී අතහැර දැමීම	පර්යේෂණ කරන විට මගදී අතහැර දැමිය නොහැක.
扮演	චරිතය රඟපෑම	ඔහු චිත්‍රපටයේ වෛද්‍යවරයෙකුගේ චරිතය රඟපායි.
榜样	ආදර්ශය	දෙමාපියන් දරුවන්ගේ ආදර්ශයයි.
绑架	පැහැර ගැනීම	පොලිසිය පැහැර ගැනීමේ සිද්ධියක් වැළැක්වීය.
磅	රාත්තල	මෙම පෙට්ටිය රාත්තල් විස්සක් බරයි.
包庇	ආවරණය කිරීම	කිසිවෙකුටත් අපරාධයක් ආවරණය කළ නොහැක.
包袱	බර	ඔහු බර තබා දැමූ පසු බොහෝ සෙයින් සැහැල්ලු විය.
包围	වට කිරීම	වාර්තාකරුවන් නළුවා වට කළහ.
包装	ඇසුරුම	මෙම තෑග්ගේ ඇසුරුම ඉතා ලස්සනයි.
保管	ආරක්ෂිතව තබා ගැනීම	මෙම ලේඛන මගේ භාරයේ ආරක්ෂිතව තබා ඇත.
