simplified	HI	example_HI	BN	example_BN	TL	example_TL
爱情	प्रेम; रोमानी प्यार	यह एक मार्मिक प्रेम कहानी है।	প্রেম; রোমান্টিক ভালোবাসা	এটি একটি হৃদয়স্পর্শী প্রেমের গল্প।	pag-ibig; romantikong pagmamahal	Isang nakaaantig na kuwento ng pag-ibig ito.
安排	व्यवस्था करना; योजना बनाना	इस सप्ताहांत तुम्हारी क्या योजना है?	ব্যবস্থা করা; পরিকল্পনা করা	এই সপ্তাহান্তে তোমার কী পরিকল্পনা আছে?	ayusin; plano	Ano ang plano mo ngayong katapusan ng linggo?
安全	सुरक्षित; सुरक्षा	कृपया सुरक्षा का ध्यान रखें।	নিরাপদ; নিরাপত্তা	দয়া করে নিরাপত্তার দিকে খেয়াল রাখুন।	ligtas; kaligtasan	Mangyaring mag-ingat.
按时	समय पर; तय समय के भीतर	मैंने काम समय पर पूरा कर लिया।	সময়মতো; নির্ধারিত সময়ে	আমি কাজটি সময়মতো শেষ করেছি।	sa oras; nasa takdang oras	Natapos ko ang gawain sa oras.
按照	के अनुसार; के मुताबिक	यह योजना बहुत अच्छी है, बस इसी के अनुसार करो।	অনুযায়ী; মেনে	এই পরিকল্পনাটি খুব ভালো, তুমি এ অনুযায়ীই করো।	ayon sa; sundin	Maganda ang planong ito; sundin mo na lang ito.
百分之	प्रतिशत	काम अस्सी प्रतिशत पूरा हो गया है।	শতাংশ	কাজের আশি শতাংশ শেষ হয়েছে।	porsiyento	May walumpung porsiyento nang natapos sa gawain.
棒	बहुत अच्छा; शानदार	तुम्हारी लिखावट सचमुच बहुत अच्छी है!	দারুণ; চমৎকার	তোমার হাতের লেখা সত্যিই দারুণ!	mahusay; ang galing	Ang galing ng sulat-kamay mo!
包子	भाप में पका भरा हुआ बन	इस रेस्तराँ के बाओज़ी का स्वाद बहुत अच्छा है।	পুরভরা ভাপে সেদ্ধ বান	এই রেস্তোরাঁর বাওজি খুব সুস্বাদু।	siopao; tinapay na may palaman na pinasingawan	Napakasarap ng siopao sa restawrang ito.
保护	रक्षा करना; बचाना	लोगों को पर्यावरण की रक्षा करनी चाहिए।	রক্ষা করা; সংরক্ষণ করা	মানুষের পরিবেশ রক্ষা করা উচিত।	protektahan; pangalagaan	Dapat pangalagaan ng mga tao ang kapaligiran.
保证	गारंटी देना; वादा करना	मैं वादा करता हूँ, आगे से देर नहीं होगी।	নিশ্চয়তা দেওয়া; প্রতিশ্রুতি দেওয়া	আমি কথা দিচ্ছি, আর দেরি করব না।	siguraduhin; pangako	Nangangako ako na hindi na ako mahuhuli.
报名	नाम लिखवाना; पंजीकरण करना	पंजीकरण के लिए किन कागज़ों की ज़रूरत है?	নাম নিবন্ধন করা; আবেদন করা	নিবন্ধনের জন্য কী কী কাগজপত্র দরকার?	magparehistro; magpalista	Anong mga dokumento ang kailangan para sa pagpaparehistro?
抱	गोद में लेना; गले लगाना	उसने बच्चे को गोद में उठा लिया।	কোলে নেওয়া; জড়িয়ে ধরা	সে শিশুটিকে কোলে তুলে নিল।	buhatin; yakapin	Binuhat niya ang bata.
抱歉	क्षमा चाहता; खेद होना	बहुत खेद है, आपको इतनी देर इंतज़ार करवाया।	দুঃখিত; ক্ষমাপ্রার্থী	খুব দুঃখিত, আপনাকে এতক্ষণ অপেক্ষা করালাম।	paumanhin; humingi ng tawad	Paumanhin po, pinaghintay ko kayo nang napakatagal.
