source_headword	VI	example_VI
absolutely	hoàn toàn; tuyệt đối	Tôi hoàn toàn đồng ý với bạn.
academic	học thuật; thuộc trường học	Năm học bắt đầu vào tháng Chín.
access	quyền truy cập; sự tiếp cận	Học sinh cần quyền vào thư viện.
accommodation	chỗ ở	Chúng tôi đã đặt chỗ ở gần nhà ga.
account	tài khoản	Cô ấy mở một tài khoản ngân hàng mới.
achievement	thành tựu	Hoàn thành khóa học là một thành tựu lớn.
ad	quảng cáo	Quảng cáo đó giới thiệu một chiếc điện thoại mới.
addition	phần bổ sung	Hồ bơi là một phần bổ sung hữu ích.
admire	ngưỡng mộ	Tôi ngưỡng mộ thái độ bình tĩnh của cô ấy.
admit	thừa nhận	Anh ấy thừa nhận lỗi của mình.
advanced	nâng cao	Đây là lớp tiếng Anh nâng cao.
advise	khuyên	Các bác sĩ khuyên nên tập thể dục đều đặn.
afford	đủ khả năng chi trả	Chúng tôi không đủ khả năng trả tiền taxi.
aged	ở độ tuổi	Khóa học dành cho trẻ em mười tuổi.
agent	đại lý; nhân viên	Nhân viên du lịch đã đổi vé của chúng tôi.
agreement	thỏa thuận	Họ đã đạt được thỏa thuận hôm nay.
ahead	phía trước	Con đường phía trước thông thoáng.
aim	mục tiêu; nhằm	Chúng tôi đặt mục tiêu hoàn thành sớm.
alarm	chuông báo; báo động	Chuông báo reo lúc sáu giờ.
album	album nhạc	Album nhạc này có mười bài hát.
alcohol	rượu; đồ uống có cồn	Khách sạn không phục vụ đồ uống có cồn.
alcoholic	có cồn	Đồ uống này không có cồn.
amazed	kinh ngạc	Cô ấy kinh ngạc trước kết quả.
ambition	tham vọng	Tham vọng của anh ấy là trở thành phi công.
ambitious	đầy tham vọng	Cô ấy có một kế hoạch đầy tham vọng.
analyse	phân tích	Chúng ta cần phân tích kết quả.
analysis	sự phân tích	Bài phân tích của cô ấy rõ ràng và cẩn thận.
announce	thông báo	Họ sẽ thông báo người thắng cuộc vào ngày mai.
announcement	thông báo	Thông báo đó làm mọi người ngạc nhiên.
annoy	làm phiền; chọc tức	Âm nhạc lớn có thể làm phiền hàng xóm.
annoyed	bực mình	Anh ấy trông bực mình sau sự chậm trễ.
annoying	khó chịu	Âm thanh đó thật sự khó chịu.
