simplified	RU	example_RU
爱	любить; нравиться	Я люблю маму.
八	восемь	У меня есть восемь книг.
爸爸	папа; отец	Папа дома.
杯子	чашка; стакан	Эта чашка большая.
北京	Пекин	Я работаю в Пекине.
本	счетное слово для книг; том	У меня есть одна книга.
不	не; нет	Я не ем рис.
不客气	не за что; пожалуйста	Спасибо. Не за что.
菜	блюдо; овощи; кухня	Это блюдо вкусное.
茶	чай	Я пью чай.
吃	есть	Я ем яблоко.
出租车	такси	Я еду в школу на такси.
打电话	звонить по телефону	Я звоню по телефону.
大	большой	Эта школа большая.
的	частица принадлежности	Это моя книга.
点	час; точка; немного	Сейчас восемь часов.
电脑	компьютер	Мой компьютер на столе.
电视	телевизор; телевидение	Я смотрю телевизор.
电影	фильм; кино	Мне нравятся фильмы.
东西	вещь; предмет	Что это за вещь?
都	все; оба	Мы все студенты.
读	читать; учиться	Я читаю книгу.
对不起	извини; простите	Извини, я тебя не знаю.
多	много; многочисленный	У меня много друзей.
多少	сколько	Сколько стоит эта чашка?
儿子	сын	Мой сын студент.
二	два	Февраль холодный.
饭馆	ресторан	Ресторан перед школой.
飞机	самолет	Я лечу в Пекин на самолете.
分钟	минута	Я учусь пять минут.
高兴	рад; довольный	Сегодня я очень рад.
个	универсальное счетное слово	У меня есть один друг.
工作	работать; работа	Я работаю в Пекине.
狗	собака	Мне нравятся собаки.
汉语	китайский язык	Я изучаю китайский язык.
好	хороший; хорошо	Сегодня хорошая погода.
喝	пить	Я пью воду.
和	и; с	Я иду в школу с другом.
很	очень	Она очень красивая.
后面	сзади; позади	Школа за рестораном.
回	возвращаться; идти обратно	Я возвращаюсь домой.
会	уметь; мочь	Я умею говорить по-китайски.
火车站	вокзал; железнодорожная станция	Вокзал большой.
几	сколько; несколько	Сколько у тебя друзей?
家	дом; семья	Мой дом в Пекине.
叫	называться; звать	Как тебя зовут?
今天	сегодня	Сегодня жарко.
九	девять	Сейчас девять часов.
开	открывать; включать	Я включаю компьютер.
看	смотреть; читать	Я читаю книгу.
看见	видеть	Я вижу учителя.
块	кусок; юань	Эта книга стоит десять юаней.
来	приходить; приезжать	Он приходит в школу.
