source_headword	HY	example_HY
prey	որս	Բուերը գիշերը որս են անում։
privatization	մասնավորեցում	Մասնավորեցումը փոխեց երկաթուղային համակարգը։
privilege	արտոնություն	Կրթությունը չպետք է արտոնություն լինի։
probe	հետաքննություն	Հետաքննությունը բացահայտեց լուրջ սխալներ։
problematic	խնդրահարույց	Համաձայնագիրը մնում է խնդրահարույց։
proceedings	վարույթ	Դատական վարույթը սկսվեց երկուշաբթի։
proceeds	հասույթ	Հասույթը կաջակցի տեղական դպրոցներին։
processing	մշակում	Պատկերի մշակումը ժամանակ է պահանջում։
processor	պրոցեսոր	Թեստավորման ընթացքում պրոցեսորը խափանվեց։
proclaim	հռչակել	Առաջնորդները շատ շուտ են հռչակում հաղթանակը։
productive	արդյունավետ	Հանդիպումը արդյունավետ էր։
productivity	արտադրողականություն	Վերապատրաստումից հետո արտադրողականությունը բարելավվեց։
profitable	շահութաբեր	Խանութն այս տարի շահութաբեր դարձավ։
profound	խորը	Ելույթը խորը ազդեցություն ունեցավ։
projection	կանխատեսում	Կանխատեսումը ցույց է տալիս կայուն աճ։
prominent	ականավոր	Նա դարձավ ականավոր գիտնական։
pronounced	արտահայտված	Նրա առոգանությունը դարձավ ավելի արտահայտված։
propaganda	քարոզչություն	Արշավը առցանց քարոզչություն էր օգտագործում։
proposition	գաղափար	Առաջարկը ռիսկային գաղափար է։
prosecute	քրեական հետապնդում իրականացնել	Պաշտոնյաները քրեական հետապնդում են իրականացնում լուրջ խարդախության դեպքերով։
prosecution	մեղադրանք	Մեղադրանքը նոր ապացույցներ ներկայացրեց։
prosecutor	դատախազ	Դատախազը հարցաքննեց վկային։
prospective	ապագա	Ապագա ուսանողները շրջեցին համալսարանական ավանում։
prosperity	բարգավաճում	Առևտուրը տարածաշրջանին բարգավաճում բերեց։
protective	պաշտպանիչ	Նա կրում էր պաշտպանիչ ձեռնոցներ։
protocol	արձանագրություն	Արձանագրությունը գրավոր հաստատում է պահանջում։
province	նահանգ	Նահանգը ներդրումներ է կատարել տրանսպորտում։
provincial	նահանգային	Նահանգային պաշտոնյաները հայտարարեցին ծրագիրը։
provision	դրույթ	Պայմանագիրը ներառում է անվտանգության դրույթ։
provoke	հրահրել	Ելույթը կարող է ուժեղ արձագանքներ հրահրել։
psychiatric	հոգեբուժական	Հիվանդանոցը բացեց հոգեբուժական բաժանմունք։
pulse	անոթազարկ	Բուժքույրը ստուգեց նրա անոթազարկը։
pump	պոմպ	Պոմպը ջուրը վեր է բարձրացնում։
punch	հարված	Նա զայրույթից հարվածեց։
query	հարցում	Ուղարկեք ձեր հարցումը աջակցության կենտրոն։
quest	որոնում	Նրանց արդարության որոնումները շարունակվեցին։
quota	քվոտա	Թիմը կատարեց վաճառքի իր քվոտան։
radar	ռադար	Փոթորիկը հայտնվեց ռադարի վրա։
radical	արմատական	Խումբն առաջարկեց արմատական բարեփոխումներ։
rage	զայրույթ	Նրա զայրույթը արագ մարեց։
raid	ռեյդ	Ոստիկանությունն արշալույսին ռեյդ իրականացրեց։
rally	հանրահավաք	Աջակիցները միացան քաղաքի կենտրոնում կայացած հանրահավաքին։
ranking	վարկանիշ	Համալսարանը բարելավեց իր վարկանիշը։
