simplified	SR	example_SR
挨	трпети; издржати	Издржао је целу ноћ и коначно дочекао зору.
癌症	рак	Веома је важно рано открити рак.
暧昧	нејасан; двосмислен	Његов одговор је био веома двосмислен.
爱不释手	не испуштати из руку	Толико јој се свидела књига да је једва могла да је испусти из руку.
爱戴	волети и поштовати	Ученици дубоко воле и поштују овог наставника.
安宁	миран	Ноћи овде су веома мирне.
安详	спокојан	Израз старе особе био је веома спокојан.
安置	збринути	Влада је збринула људе погођене несрећом.
按摩	масажа	Заказао сам масажу.
暗示	наговестити	Наговестила је да треба да престанем да питам.
案件	случај	Полиција истражује овај случај.
案例	пример случаја	Овај пример случаја је веома репрезентативан.
昂贵	скуп	Ова опрема је веома скупа.
凹凸	нераван	Површина овог пута је неравна.
熬	издржати	Радио је кроз три тешка дана пре него што је завршио извештај.
奥秘	тајна	Научник жели да открије ову тајну.
巴不得	једва чекати	Једва чекам да одмах кренемо.
巴结	улагивати се	Он не жели да се улагује руководиоцима.
扒	држати се	Дете се држало за врата и гледало напоље.
疤	ожиљак	На његовој руци је ожиљак.
拔苗助长	упропастити журбом	Такво терање детета да учи само ће упропастити ствар журбом.
把关	проверити	Овај уговор треба да провери адвокат.
把手	квака	Квака на вратима је сломљена.
罢工	штрајк	Радници су одлучили да сутра ступе у штрајк.
霸道	насилан; самовољан	Он говори на самовољан начин.
掰	преломити	Преломила је хлеб на две половине.
摆脱	ослободити се	Коначно се ослободио лоше навике.
拜访	посетити	Овог викенда ћемо посетити наставника.
拜年	честитати Нову годину	Током Пролећног фестивала посећујемо баку и деду да им честитамо Нову годину.
拜托	замолити	Рачунам на тебе у овој ствари.
败坏	нарушити	Такво понашање ће нарушити углед компаније.
斑	мрља	На мачки је црна мрља.
颁布	објавити	Нова правила ће бити објављена следеће недеље.
颁发	доделити	Школа је доделила сертификате одличним ученицима.
版本	верзија	Овај софтвер има нову верзију.
伴侣	пратилац	Она пса сматра својим пратиоцем.
伴随	пратити	Успех често прати притисак.
半途而废	одустати на пола пута	Не смеш одустати на пола пута када радиш истраживање.
扮演	играти улогу	Он у филму игра лекара.
榜样	узор	Родитељи су узор деци.
绑架	киднаповати	Полиција је спречила случај киднаповања.
磅	фунта	Ова кутија тежи двадесет фунти.
包庇	штитити	Нико не сме да штити злочин.
包袱	терет	Када је спустио терет, осетио се много опуштеније.
包围	окружити	Новинари су окружили глумца.
包装	паковање	Паковање овог поклона је веома лепо.
保管	чувати	Ове документе чувам ја.
保密	чувати тајну	Садржај састанка мора се чувати као тајна.
保姆	дадиља	Унајмили су дадиљу.
保守	конзервативан	Његове идеје су прилично конзервативне.
保卫	бранити	Војници бране границу.
保养	одржавати	Овај ауто треба редовно одржавати.
保障	заштитити	Закон штити права грађана.
保重	чувати се	Молим те, добро се чувај док си одсутан.
饱和	засићење	Ово тржиште је већ близу засићења.
饱经沧桑	проћи кроз многе промене	Ова стара особа је прошла кроз многе тешкоће и промене.
报酬	накнада	Добио је разумну накнаду.
报仇	осветити се	Он не жели освету, само жели да почне испочетка.
报答	одужити се	Одужићу се за твоју помоћ својим поступцима.
报复	освета	Освета ће само продубити сукоб.
报警	позвати полицију	Када откријеш пожар, треба одмах да позовеш полицију.
报销	надокнадити трошкове	Путни трошкови могу се надокнадити.
抱负	амбиција	Од детињства има велике амбиције.
暴力	насиље	Противимо се насиљу у сваком облику.
暴露	разоткрити	Овај проблем је постепено изашао на видело.
曝光	обелоданити	Када је ова фотографија обелодањена, привукла је пажњу.
爆发	избити	Вулкан је изненада еруптирао.
爆炸	експлозија	У лабораторији се догодила експлозија.
卑鄙	подлао	Овај подли приступ љути људе.
悲哀	тужан	Када је чуо вест, осетио се веома тужно.
悲惨	трагичан	То је био трагичан период историје.
北极	Арктик	Научници спроводе истраживања на Арктику.
备份	резервна копија	Молим те, прво направи резервну копију важних датотека.
备忘录	белешка	Записала је кључне тачке у белешку.
背叛	издати	Није могао да прихвати издају свог пријатеља.
背诵	рецитовати	Ученици рецитују текст.
被动	пасиван	Не можемо бити превише пасивни у преговорима.
被告	оптужени	Оптужени је порекао све оптужбе.
贝壳	шкољка	Дете је покупило шкољке поред мора.
奔波	јурцати	Он због посла јурца на све стране.
奔驰	јурити	Ауто је јурио ауто-путем.
本能	инстинкт	Заштита деце је родитељски инстинкт.
本钱	капитал	За пословање је потребан капитал.
本人	лично	Ја сам лично спреман да преузмем одговорност.
本身	сам по себи	Са самим планом нема проблема.
本事	способност	Он је веома способан.
笨拙	неспретан	Његови покрети су помало неспретни.
崩溃	срушити се	Систем се изненада срушио.
甭	не треба	Не треба да бринеш о овоме.
蹦	скакутати	Штене је скакутало по трави.
迸发	избити	Аплауз је избио из гомиле.
逼迫	приморати	Приморали су га да потпише уговор.
鼻涕	цурење носа	Дете је прехлађено и стално му цури нос.
比方	пример	На пример, можемо прво да пробамо месец дана.
比喻	метафора	Ова метафора је веома жива.
比重	удео	Удео услужне индустрије постаје све већи.
鄙视	презирати	Не презири труд других људи.
弊病	проблем	Овај систем има доста проблема.
