simplified	KA	example_KA	HY	example_HY	TR	example_TR
吧	შეთავაზების ნაწილაკი; ხომ	წავიდეთ.	առաջարկի մասնիկ; չէ՞	Գնանք։	öneri parçacığı; değil mi	Gidelim.
白	თეთრი	ეს ტანსაცმელი თეთრია.	սպիտակ	Այս հագուստը սպիտակ է։	beyaz	Bu giysi beyaz.
百	ასი	ეს მობილური ასი იუანი ღირს.	հարյուր	Այս հեռախոսը հարյուր յուան արժե։	yüz	Bu telefon yüz yuan.
帮助	დახმარება	გთხოვ, დამეხმარე.	օգնել; օգնություն	Խնդրում եմ, օգնիր ինձ։	yardım etmek; yardım	Lütfen bana yardım et.
报纸	გაზეთი	მამა გაზეთს კითხულობს.	թերթ	Հայրիկը թերթ է կարդում։	gazete	Babam gazete okuyor.
比	-ზე მეტად; შედარება	დღეს გუშინდელზე ცხელა.	քան; համեմատել	Այսօր երեկվանից շոգ է։	-den daha; karşılaştırmak	Bugün dünden daha sıcak.
别	არ გააკეთო; სხვა	არ წახვიდე.	մի; ուրիշ	Մի գնա։	yapma; başka	Gitme.
长	გრძელი	ეს გზა გრძელია.	երկար	Այս ճանապարհը երկար է։	uzun	Bu yol uzun.
唱歌	სიმღერა	ჩემს უმცროს დას სიმღერა უყვარს.	երգել	Իմ կրտսեր քույրը սիրում է երգել։	şarkı söylemek	Kız kardeşim şarkı söylemeyi sever.
出	გასვლა; გამოსვლა	ის გარეთ გავიდა.	դուրս գալ	Նա դուրս գնաց։	çıkmak	O dışarı çıktı.
穿	ჩაცმა	თეთრ ტანსაცმელს ვიცვამ.	հագնել	Ես սպիտակ հագուստ եմ հագնում։	giymek	Beyaz giysi giyiyorum.
船	ნავი; გემი	ნავი წყალშია.	նավակ; նավ	Նավակը ջրի վրա է։	tekne; gemi	Tekne suyun üzerinde.
次	ჯერ	პეკინში ერთხელ ვარ ნამყოფი.	անգամ	Ես մեկ անգամ Պեկին եմ գնացել։	kez; defa	Pekin'e bir kez gittim.
从	-დან	სახლიდან სკოლაში მივდივარ.	-ից	Ես տնից դպրոց եմ գնում։	-den; -dan	Evden okula gidiyorum.
错	არასწორი; შეცდომა	შენ ცდები.	սխալ	Դու սխալվում ես։	yanlış; hata	Sen yanılıyorsun.
打篮球	კალათბურთის თამაში	ჩემი უფროსი ძმა კალათბურთს თამაშობს.	բասկետբոլ խաղալ	Իմ ավագ եղբայրը բասկետբոլ է խաղում։	basketbol oynamak	Abim basketbol oynuyor.
大家	ყველა	ყველა მოვიდა.	բոլորը	Բոլորը եկել են։	herkes	Herkes geldi.
但是	მაგრამ	დაკავებული ვარ, მაგრამ ძალიან ბედნიერი ვარ.	բայց; սակայն	Ես զբաղված եմ, բայց շատ ուրախ եմ։	ama; fakat	Meşgulüm ama çok mutluyum.
到	მისვლა; მიღწევა	სკოლაში მივედი.	հասնել	Ես դպրոց հասա։	varmak; ulaşmak	Okula vardım.
得	ხარისხის დამატების ნაწილაკი	ის სწრაფად დარბის.	աստիճանի լրացման մասնիկ	Նա արագ է վազում։	derece tamamlama parçacığı	O hızlı koşuyor.
等	ლოდინი	შენ გელოდები.	սպասել	Ես քեզ եմ սպասում։	beklemek	Seni bekliyorum.
