source_headword	TA	example_TA
institute	நிறுவனம்	நிறுவனம் ஒரு புதிய ஆராய்ச்சி திட்டத்தை தொடங்கியது.
institution	நிறுவனம்	நிறுவனம் தனது சேர்க்கை விதிகளை மாற்றியது.
insurance	காப்பீடு	அவரது காப்பீடு மருத்துவமனை செலவுகளை ஈடுசெய்தது.
intended	உத்தேசிக்கப்பட்ட	செய்தி அதன் உத்தேசிக்கப்பட்ட பார்வையாளர்களை சென்றடைந்தது.
intense	தீவிரமான	விவாதம் மிக விரைவாக தீவிரமானது.
internal	உள்	நிறுவனம் ஒரு உள் மதிப்பாய்வை தொடங்கியது.
interpret	விளக்கு	முடிவுகளை கவனமாக விளக்குங்கள்.
interrupt	குறுக்கிடு	இப்போது பேசுபவரை குறுக்கிட வேண்டாம்.
investigation	விசாரணை	விசாரணை கடுமையான தவறுகளை வெளிப்படுத்தியது.
investment	முதலீடு	முதலீடு பல உள்ளூர் வேலைவாய்ப்புகளை உருவாக்கியது.
joy	மகிழ்ச்சி	அவர்களின் வெற்றி பெரும் மகிழ்ச்சியை தந்தது.
judgement	தீர்ப்பு	அவரது தீர்ப்பு அனுபவத்துடன் மேம்பட்டது.
junior	இளைய	அவர் ஒரு இளைய ஆய்வாளராக அணியில் சேர்ந்தார்.
justice	நீதி	விசாரணைக்குப் பிறகு குடும்பத்தினர் நீதி கேட்டனர்.
justify	நியாயப்படுத்து	அந்த முடிவை நீங்கள் தெளிவாக நியாயப்படுத்த வேண்டும்.
labour	உழைப்பு	திட்டத்திற்கு திறமையான உழைப்பு தேவை.
landscape	நிலப்பரப்பு	புயலுக்குப் பிறகு நிலப்பரப்பு மாறியது.
largely	பெரும்பாலும்	இந்த திட்டம் பெரும்பாலும் வெற்றியடைந்தது.
launch	தொடங்கு	அவர்கள் நாளை தயாரிப்பை தொடங்குவார்கள்.
leadership	தலைமைத்துவம்	வலுவான தலைமைத்துவம் அணி மீண்டு வர உதவியது.
league	லீக்	எங்கள் கிளப் ஒரு பிராந்திய லீக்கில் இணைந்தது.
lean	சாய்	ஈரமான சுவரில் சாய வேண்டாம்.
licence	உரிமம்	உரிமம் அடுத்த மாதம் காலாவதியாகிறது.
limited	வரையறுக்கப்பட்ட	இன்று எங்களுக்கு வரையறுக்கப்பட்ட நேரமே உள்ளது.
lively	சுறுசுறுப்பான	மதிய உணவுக்குப் பிறகு கூட்டம் சுறுசுறுப்பானது.
load	சுமை	லாரி ஒரு பெரிய சுமையை சுமந்து சென்றது.
loan	கடன்	வங்கி கடனுக்கு ஒப்புதல் அளித்தது.
logical	தர்க்கரீதியான	அவரது வாதம் தெளிவாகவும் தர்க்கரீதியாகவும் இருந்தது.
long-term	நீண்ட கால	இது ஒரு நீண்ட கால தீர்வு.
loose	தளர்வான	கைப்பிடி தளர்வாக உள்ளது.
lord	பிரபு	பிரபு பல கிராமங்களைச் சொந்தமாகக் கொண்டிருந்தார்.
lower	குறை	அவர்கள் குளிர்காலத்தில் விலையை குறைக்கிறார்கள்.
lung	நுரையீரல்	புகைபிடித்தல் நுரையீரலை சேதப்படுத்தும்.
maintain	பராமரி	நாங்கள் வழக்கமான தொடர்பை பராமரிக்கிறோம்.
majority	பெரும்பான்மை	பெரும்பான்மையினர் முன்மொழிவை ஆதரித்தனர்.
mass	திரள்	மேகங்களின் திரள் வானத்தை மூடியது.
massive	பாரிய	நிலநடுக்கம் பாரிய சேதத்தை ஏற்படுத்தியது.
master	நிபுணர்	அவர் பேச்சுவார்த்தையில் நிபுணரானார்.
matching	பொருத்தமான	அவர் பொருத்தமான காலணிகள் மற்றும் பெல்ட்டை அணிந்திருந்தார்.
maximum	அதிகபட்ச	அறை அதிகபட்ச கொள்ளளவை எட்டியது.
means	வழிமுறை	மின்னஞ்சல் எங்கள் முக்கிய தொடர்பு வழிமுறையாகும்.
measurement	அளவீடு	அளவீடு சற்று தவறாக இருந்தது.
melt	உருகும்	மதியத்திற்குள் பனி உருகிவிடும்.
military	இராணுவ	இராணுவ தளம் கடந்த ஆண்டு மூடப்பட்டது.
mineral	கனிமம்	இரும்பு ஒரு முக்கியமான கனிமமாகும்.
minimum	குறைந்தபட்ச	குறைந்தபட்ச வயது பதினெட்டு.
minister	அமைச்சர்	அமைச்சர் கடினமான கேள்விகளுக்கு பதிலளித்தார்.
minor	சிறிய	விபத்து சிறிய சேதத்தை ஏற்படுத்தியது.
minority	சிறுபான்மையினர்	ஒரு சிறுபான்மையினர் புதிய விதியை எதிர்த்தனர்.
mission	பணி	அவர்களின் பணி பாதுகாப்பாக முடிந்தது.
mixed	கலவையான	செய்திக்கு கலவையான விமர்சனங்கள் கிடைத்தன.
modify	மாற்றியமை	நாங்கள் வடிவமைப்பை பின்னர் மாற்றியமைக்கலாம்.
monitor	கண்காணிக்க	செவிலியர் அவரது நிலையைக் கண்காணிப்பார்.
moral	தார்மீக	இந்த கதை ஒரு தார்மீகப் பாடத்தைக் கொண்டுள்ளது.
motor	மோட்டார்	மோட்டார் எந்த முன்னறிவிப்புமின்றி நின்றது.
mount	பொருத்து	நுழைவாயிலுக்கு அருகே அவர்கள் கேமராக்களை பொருத்துகிறார்கள்.
multiple	பல	பல காரணிகள் தாமதத்தை ஏற்படுத்தின.
multiply	பெருக்கு	அந்த எண்ணை பத்தால் பெருக்குங்கள்.
mysterious	மர்மமான	வெளியே ஒரு மர்மமான ஒளி தோன்றியது.
neat	நேர்த்தியான	அவளுடைய மேசை எப்போதும் நேர்த்தியாக இருக்கும்.
nerve	நரம்பு	காயம் ஒரு நரம்பை சேதப்படுத்தியது.
nevertheless	ஆயினும்கூட	பணி கடினமாக இருந்தது; ஆயினும்கூட, நாங்கள் முடித்தோம்.
nightmare	கனவு	அந்தப் பயணம் ஒரு மோசமான கனவாக மாறியது.
notion	கருத்து	மாற்றம் சாத்தியமில்லை என்ற கருத்தை நிராகரிக்கவும்.
numerous	ஏராளமான	ஏராளமான ஆய்வுகள் இந்த யோசனையை ஆதரிக்கின்றன.
obey	கீழ்ப்படி	ஓட்டுநர்கள் போக்குவரத்து அடையாளங்களுக்குக் கீழ்ப்படிய வேண்டும்.
objective	நோக்கம்	கழிவுகளைக் குறைப்பதே எங்கள் நோக்கமாகும்.
obligation	கடமை	குழந்தைகளைப் பாதுகாக்கும் கடமை பெற்றோருக்கு உள்ளது.
observation	கவனிப்பு	அவரது கவனிப்பு விவாதத்தை மாற்றியது.
observe	உற்றுநோக்கு	விஞ்ஞானிகள் ஒவ்வொரு வசந்த காலத்திலும் பறவைகளை உற்றுநோக்குகிறார்கள்.
obtain	பெறு	நீங்கள் எழுத்துப்பூர்வ அனுமதியைப் பெற வேண்டும்.
occasionally	எப்போதாவது	அவள் எப்போதாவது வீட்டிலிருந்து வேலை செய்கிறாள்.
offence	குற்றம்	அந்த கருத்து கடுமையான மனவருத்தத்தை ஏற்படுத்தியது.
offend	புண்படுத்து	நான் யாரையும் புண்படுத்த நினைக்கவில்லை.
offensive	புண்படுத்தும்	போஸ்டரில் புண்படுத்தும் மொழி இருந்தது.
opening	காலியிடம்	வேலை காலியிடம் பல விண்ணப்பதாரர்களை ஈர்த்தது.
operate	செயல்படு	இயந்திரம் தானாகவே செயல்பட முடியும்.
opponent	எதிர்ப்பாளர்	அவரது எதிர்ப்பாளர் கொள்கையை விமர்சித்தார்.
oppose	எதிர்ப்பது	பல குடியிருப்பாளர்கள் திட்டத்தை எதிர்க்கின்றனர்.
opposed	எதிரான	குழுக்கள் முரண்பட்ட கருத்துக்களைக் கொண்டிருந்தன.
opposition	எதிர்ப்பு	இந்த திட்டம் வலுவான எதிர்ப்பை எதிர்கொண்டது.
organ	உறுப்பு	இதயம் ஒரு முக்கியமான உறுப்பு.
origin	தோற்றம்	தீயின் தோற்றம் தெரியவில்லை.
otherwise	இல்லையென்றால்	இப்போது கிளம்புங்கள்; இல்லையென்றால் நீங்கள் தாமதமாகிவிடுவீர்கள்.
outcome	முடிவு	இந்த முடிவு அனைவரையும் ஆச்சரியப்படுத்தியது.
outer	வெளிப்புற	வெளிப்புற சுவரை சரிசெய்ய வேண்டும்.
outline	சுருக்கம்	உங்கள் முக்கிய வாதத்தை சுருக்கமாகக் கூறவும்.
overall	ஒட்டுமொத்த	ஒட்டுமொத்த முடிவு நேர்மறையாக இருந்தது.
owe	கடன்பட்டிரு	நான் உங்களிடம் மன்னிப்பு கேட்க கடமைப்பட்டுள்ளேன்.
pace	வேகம்	சீரான வேகத்தில் நடக்கவும்.
panel	குழு	குழு காலநிலை கொள்கை குறித்து விவாதித்தது.
parliament	நாடாளுமன்றம்	நாடாளுமன்றம் புதிய சட்டத்திற்கு ஒப்புதல் அளித்தது.
participant	பங்கேற்பாளர்	ஒவ்வொரு பங்கேற்பாளரும் படிவத்தில் கையெழுத்திட்டனர்.
partly	பகுதியாக	தாமதம் ஒரு பகுதியாக எங்கள் தவறு.
passage	பத்தி	பதிலளிப்பதற்கு முன் பத்தியைப் படியுங்கள்.
pension1	ஓய்வூதியம்	அவரது ஓய்வூதியம் ஓய்வுக்குப் பிறகு அவருக்கு உதவுகிறது.
permanent	நிரந்தரமான	அவர்களுக்கு ஒரு நிரந்தர தீர்வு தேவை.
permit	அனுமதி	விதிகள் குறுகிய வருகைகளை அனுமதிக்கின்றன.
perspective	கண்ணோட்டம்	அவளுடைய கண்ணோட்டத்தை புரிந்து கொள்ள முயற்சிக்கவும்.
phase	கட்டம்	திட்டம் அதன் இறுதி கட்டத்தை அடைந்தது.
phenomenon	நிகழ்வு	இந்த நிகழ்வு பல கலாச்சாரங்களில் ஏற்படுகிறது.
philosophy	தத்துவம்	அவளது தத்துவம் நடைமுறை செயலுக்கு மதிப்பு அளிக்கிறது.
pile	குவியல்	காகிதங்களின் குவியல் மேசையை மூடியது.
pitch	மைதானம்	அணி மைதானத்தை கவனமாக தயார் செய்தது.
plain	தெளிவான	அறிவுறுத்தல்கள் தெளிவாகவும் நேரடியாகவும் இருந்தன.
pointed	சுட்டிக்காட்டும்	அவர் ஒரு சுட்டிக்காட்டும் கருத்தை கூறினார்.
popularity	பிரபலம்	பாடகர் இணையத்தில் பிரபலம் அடைந்தார்.
pose	உருவாக்கு	கேள்வி ஒரு சிக்கலை உருவாக்கலாம்.
possess	பெற்றிரு	சில மாணவர்களே அந்தத் திறனைக் கொண்டுள்ளனர்.
potential	சாத்தியம்	இந்த யோசனைக்கு உண்மையான சாத்தியம் உள்ளது.
praise	பாராட்டு	ஆசிரியர் நேர்மையான பாராட்டுக்களை வழங்கினார்.
pregnant	கர்ப்பமான	அவள் ஆறு மாத கர்ப்பமாக இருக்கிறாள்.
preparation	தயாரிப்பு	நல்ல தயாரிப்பு மன அழுத்தத்தை குறைக்கிறது.
presence	இருப்பு	அவனது இருப்பு மனநிலையை மாற்றியது.
preserve	பாதுகா	இந்த வரலாற்று கட்டடத்தை நாம் பாதுகாக்க வேண்டும்.
prime	முதன்மையான	மோசமான திட்டமிடலே முதன்மையான காரணம்.
principle	கொள்கை	முடிவு ஒரு தெளிவான கொள்கையைப் பின்பற்றியது.
priority	முன்னுரிமை	பாதுகாப்பு எங்கள் முதல் முன்னுரிமை.
privacy	தனியுரிமை	வாடிக்கையாளர்கள் இணையத்தில் தனியுரிமையை எதிர்பார்க்கிறார்கள்.
procedure	செயல்முறை	இந்தச் செயல்முறைக்கு முப்பது நிமிடங்கள் ஆகும்.
proof	ஆதாரம்	செயல்படுவதற்கு முன் நமக்கு ஆதாரம் தேவை.
proposal	முன்மொழிவு	இந்த முன்மொழிவுக்கு கூடுதல் விவரம் தேவை.
propose	முன்மொழி	நான் ஒரு மாறுபட்ட தீர்வை முன்மொழிகிறேன்.
prospect	வாய்ப்பு	தோல்வியின் வாய்ப்பு அவர்களை கவலையடையச் செய்தது.
protection	பாதுகாப்பு	தலைக்கவசம் அடிப்படை பாதுகாப்பை அளிக்கிறது.
psychologist	உளவியலாளர்	உளவியலாளர் சோதனை முடிவுகளை விளக்கினார்.
psychology	உளவியல்	அவள் பல்கலைக்கழகத்தில் உளவியல் படிக்கிறாள்.
publication	வெளியீடு	இந்த வெளியீடு மக்கள் கவனத்தை ஈர்த்தது.
pupil	மாணவர்	ஒவ்வொரு மாணவரும் ஒரு புதிய பாடப்புத்தகத்தைப் பெற்றனர்.
purchase	வாங்கு	அவர்கள் ஒவ்வொரு மாதமும் பொருட்களை வாங்குகிறார்கள்.
pure	தூய்மையான	தண்ணீர் தூய்மையாகவும் குளிர்ந்தும் இருந்தது.
pursue	தொடர்	அவர் மருத்துவத் தொழிலைத் தொடருவார்.
rank	பதவி	அவர் ஒரு மூத்த பதவியை வகிக்கிறார்.
rapid	விரைவான	நாடு விரைவான வளர்ச்சியைக் கண்டது.
rapidly	விரைவாக	இந்த ஆண்டு விலைகள் விரைவாக உயர்ந்தன.
raw	பச்சையான	சமையல்காரர் பச்சையான காய்கறிகளைத் தயாரித்தார்.
realistic	யதார்த்தமான	ஒரு யதார்த்தமான காலக்கெடுவை அமைக்கவும்.
reasonable	நியாயமான	அது ஒரு நியாயமான கோரிக்கையாகத் தெரிகிறது.
recall	நினைவுகூர்	அவனது சரியான வார்த்தைகளை நான் நினைவுகூர்கிறேன்.
recover	குணமடை	சிகிச்சைக்குப் பிறகு அவள் குணமடைவாள்.
reduction	குறைப்பு	இந்த குறைப்பு பணத்தை மிச்சப்படுத்தியது.
regard	கருது	பலர் அவளை நேர்மையானவளாக கருதுகிறார்கள்.
regional	பிராந்திய	பிராந்திய அலுவலகம் இன்று மூடப்பட்டது.
register	பதிவு செய்	மாநாட்டிற்கு முன் பதிவு செய்யவும்.
regret	வருந்து	எனது முந்தைய முடிவிற்காக நான் வருந்துகிறேன்.
regulation	விதிமுறை	புதிய விதிமுறை அனைத்து ஓட்டுநர்களையும் பாதிக்கிறது.
relatively	ஒப்பீட்டளவில்	தேர்வு ஒப்பீட்டளவில் எளிதாக இருந்தது.
relevant	தொடர்புடைய	தொடர்புடைய விவரங்களை மட்டும் தேர்வு செய்யவும்.
relief	நிம்மதி	இந்த செய்தி பெரும் நிம்மதியை அளித்தது.
rely	சார்ந்திரு	குழந்தைகள் பெரியவர்களின் ஆதரவைச் சார்ந்திருக்கிறார்கள்.
remark	கருத்து	அவரது கருத்து விவாதத்தை முடிவுக்குக் கொண்டுவந்தது.
representative	பிரதிநிதி	பிரதிநிதி உள்ளூர் தொழிலாளர்களைச் சந்தித்தார்.
reputation	நற்பெயர்	இந்த ஹோட்டல் நல்ல நற்பெயரைக் கொண்டுள்ளது.
requirement	தேவை	முன் அனுபவம் ஒரு அடிப்படைத் தேவையாகும்.
rescue	மீட்பு	அவர்கள் வெள்ளத்திலிருந்து மக்களை மீட்கிறார்கள்.
reserve	முன்பதிவு செய்	நாங்கள் விருந்தினர்களுக்கான இருக்கைகளை முன்பதிவு செய்கிறோம்.
resident	குடியிருப்பாளர்	ஒவ்வொரு குடியிருப்பாளருக்கும் ஒரு அறிவிப்பு கிடைத்தது.
resist	எதிர்த்து நில்	அழுத்தத்தை எதிர்த்து நிற்க முயற்சி செய்யுங்கள்.
resolve	தீர்வு காண்	அவர்கள் பிரச்சனையை அமைதியாக தீர்த்தனர்.
resort	ஓய்வு விடுதி	தீவு ஓய்வு விடுதி மே மாதத்தில் திறக்கப்பட்டது.
retain	தக்கவை	நிறுவனம் ஊழியர்களைத் தக்கவைத்துக்கொள்ள விரும்புகிறது.
reveal	வெளிப்படுத்து	அறிக்கை உண்மையை வெளிப்படுத்தும்.
revolution	புரட்சி	புரட்சி நாட்டை மாற்றியது.
reward	வெகுமதி	கடின உழைப்புக்கு வெகுமதி கிடைக்க வேண்டும்.
rhythm	தாளம்	இந்தப் பாடல் நிலையான தாளத்தைக் கொண்டுள்ளது.
rid	விடுவி	அந்தப் பழைய கோப்புகளை அகற்றுங்கள்.
root	ஆணிவேர்	பணமே பிரச்சனைக்கு ஆணிவேராகும்.
rub	தேய்	மேற்பரப்பை ஒரு துணியால் தேய்க்கவும்.
rubber	ரப்பர்	ரப்பர் முத்திரை கசிவைத் தடுக்கிறது.
