simplified	SW	example_SW
啊	partikeli ya msisitizo; ah	Sawa ah, twende sasa.
阿姨	shangazi; mama mlezi	Shangazi anafanya kazi dukani kubwa.
矮	fupi; chini	Meza hii iko chini kidogo.
爱好	hobi; jambo la kupenda	Hobi yangu ni kusikiliza muziki.
安静	tulivu; kimya	Maktaba ni tulivu sana.
把	kushika; kuchukua; partikeli ya kiima-tendwa	Tafadhali funga mlango.
搬	kuhama; kuhamisha	Tutahama nyumba kesho.
班	darasa; kikundi	Darasa letu lina wanafunzi ishirini.
办法	njia; mbinu	Njia hii ni nzuri sana.
办公室	ofisi	Meneja yuko ofisini.
半	nusu	Nilingoja nusu saa.
帮忙	kusaidia; kutoa msaada	Unaweza kusaidia?
包	mkoba; kufunga	Alinunua mkoba mpya.
饱	kushiba	Nimeshiba tayari.
北方	kaskazini; sehemu ya kaskazini	Majira ya baridi kaskazini ni makali sana.
被	partikeli ya tendo la kutendewa; na	Baiskeli yangu imeazimwa na rafiki.
鼻子	pua	Pua yake ni nyekundu kidogo.
比较	kulinganisha; kiasi	Leo kuna joto kiasi.
比赛	mashindano; mechi	Mashindano haya ni muhimu sana.
笔记本	daftari	Niliweka daftari juu ya meza.
必须	lazima	Lazima urudie masomo kwa makini.
变化	mabadiliko; kubadilika	Mji huu umebadilika sana.
别人	watu wengine	Usichukue vitu vya watu wengine.
冰箱	jokofu	Matunda yako kwenye jokofu.
不但…而且…	si tu... bali pia...	Yeye si mwerevu tu, bali pia ni mwenye bidii.
菜单	menyu; orodha ya chakula	Tafadhali nipe menyu moja.
参加	kushiriki; kuhudhuria	Ninataka kushiriki mkutano huu.
草	nyasi	Kimwana cha mbwa kinakimbia kwenye nyasi.
层	ghorofa; tabaka	Jengo hili lina ghorofa tatu.
差	mbaya; tofauti; upungufu	Hali ya hewa ya leo ni mbaya.
超市	duka kubwa	Ninaenda dukani kubwa kununua mkate.
衬衫	shati	Shati hili ni safi.
城市	mji; jiji	Beijing ni jiji kubwa.
成绩	matokeo; alama	Alama zake za hisabati ni nzuri.
迟到	kuchelewa	Usichelewe darasani.
除了	mbali na; isipokuwa	Mbali na kahawa, ninataka pia chai.
船	mashua; meli	Tutasafiri kwa mashua kwenda jiji lile.
春	majira ya machipuko	Katika majira ya machipuko kuna maua mengi.
词典	kamusi	Kamusi hii ina faida sana.
聪明	mwerevu; mwenye akili	Mtoto huyu ni mwerevu sana.
打扫	kusafisha; kufagia	Mwishoni mwa wiki ninasafisha chumba.
打算	mpango; kupanga	Una mpango gani kesho?
带	kuleta; kuchukua pamoja	Tafadhali leta pasipoti yako.
担心	kuwa na wasiwasi	Usiwe na wasiwasi, nitakusaidia.
蛋糕	keki	Keki hii ni tamu sana.
当然	bila shaka	Bila shaka unaweza.
地	partikeli ya kielezi	Alitabasamu kwa furaha.
灯	taa	Tafadhali washa taa.
地方	mahali; eneo	Mahali hapa ni tulivu sana.
地铁	treni ya chini ya ardhi	Kila siku ninaenda kazini kwa treni ya chini ya ardhi.
地图	ramani	Ninatafuta shule kwenye ramani.
电梯	lifti	Lifti iko upande wa kushoto.
电子邮件	barua pepe	Ninamtumia mwalimu barua pepe.
东	mashariki	Jua hutoka mashariki.
冬	majira ya baridi	Katika majira ya baridi napenda kunywa chai moto.
动物	mnyama	Dubu wa China ni mnyama maarufu wa China.
短	fupi	Suruali hii ni fupi sana.
段	aya; sehemu	Tafadhali soma aya hii.
锻炼	kufanya mazoezi	Kila asubuhi ninafanya mazoezi.
多么	jinsi; namna gani	Mazingira hapa ni mazuri jinsi gani!
饿	kuwa na njaa	Nina njaa na ninataka kula mkate.
耳朵	sikio	Sikio langu linauma kidogo.
发	kutuma; kutoa	Ninatuma barua pepe jioni.
发烧	kuwa na homa	Ana homa, hawezi kwenda shuleni.
发现	kugundua; kupata	Niligundua kuwa njia hii ni nzuri.
方便	rahisi; yenye urahisi	Kusafiri kwa treni ya chini ya ardhi ni rahisi.
放	kuweka; kuachia	Tafadhali weka kitabu juu ya meza.
放心	kuwa na amani; usiwe na wasiwasi	Usiwe na wasiwasi, nitafika kwa wakati.
分	kugawa; kutenganisha	Tafadhali wagawie wote keki.
复习	kurudia masomo	Kabla ya mtihani lazima nirudie masomo.
附近	karibu; eneo la karibu	Kuna mgahawa mmoja karibu.
干净	safi	Chumba hiki ni safi sana.
感冒	kupata mafua	Nina mafua na ninataka kupumzika.
感兴趣	kuvutiwa	Ninavutiwa sana na Kichina.
刚才	punde tu; muda mfupi uliopita	Nani alikupigia simu punde tu?
个子	kimo	Yeye ni mrefu.
根据	kulingana na; kwa msingi wa	Kulingana na ramani, shule iko mashariki.
跟	na; kufuata	Ninaenda bustanini na rafiki.
更	zaidi	Leo kuna baridi zaidi kuliko jana.
公斤	kilogramu	Matufaha haya yana uzito wa kilogramu moja.
公园	bustani ya umma	Watoto wanacheza mchezo bustanini.
故事	hadithi	Babu ananisimulia hadithi.
刮风	kuwa na upepo	Leo kuna upepo, usiendeshe baiskeli.
关	kufunga	Tafadhali funga mlango.
关系	uhusiano	Uhusiano wangu na mfanyakazi mwenzangu ni mzuri.
关心	kujali; kutunza	Mama anajali sana afya yangu.
关于	kuhusu	Kitabu hiki kinahusu utamaduni wa China.
国家	nchi; taifa	China ni nchi kubwa sana.
过	partikeli ya uzoefu; kuwahi	Nimewahi kwenda Beijing.
过去	zamani; wakati uliopita	Zamani hapa hapakuwa na treni ya chini ya ardhi.
还是	au; bado	Unakunywa chai au kahawa?
害怕	kuogopa	Siogopi mtihani.
黑板	ubao	Mwalimu anaandika herufi ubaoni.
后来	baadaye	Baadaye tulienda bustanini.
护照	pasipoti	Tafadhali leta pasipoti yako.
96:花	kutumia pesa; kugharimu	Kununua simu kuligharimu yuan elfu mbili.
97:花	ua	Kuna ua moja juu ya meza.
画	kuchora; picha	Dada mdogo anapenda kuchora dubu wa China.
坏	mbovu; mbaya	Kompyuta yangu imeharibika.
欢迎	kukaribisha; karibu	Karibu nyumbani kwangu.
环境	mazingira	Mazingira ya shule hii ni mazuri sana.
还	kurudisha; kurejesha	Tafadhali nirudishie kitabu kesho.
换	kubadilisha; kubadilishana	Ninataka kubadilisha shati moja.
黄河	Mto Huanghe; Mto wa Njano	Mto Huanghe ni mrefu sana.
回答	kujibu; jibu	Tafadhali jibu swali langu.
会议	mkutano	Mkutano unaanza saa tatu asubuhi.
或者	au; labda	Unaweza kusafiri kwa treni ya chini ya ardhi au kwa basi.
几乎	karibu; takribani	Yeye hufanya mazoezi karibu kila siku.
机会	nafasi; fursa	Hii ni fursa nzuri.
极	sana; kupita kiasi	Ana furaha sana.
季节	msimu; majira	Majira ya vuli ndiyo msimu ninaoupenda zaidi.
记得	kukumbuka	Unakumbuka kuleta kadi ya mkopo?
检查	kukagua; kuchunguza	Daktari ananikagua mwili.
简单	rahisi; si tata	Sentensi hii ni rahisi sana.
健康	afya; mwenye afya	Mazoezi ni mazuri kwa afya.
见面	kukutana	Tutakutana shuleni kesho.
讲	kueleza; kusema	Mwalimu anaeleza kwa uwazi sana.
教	kufundisha	Ananifundisha kuandika herufi za Kichina.
脚	mguu; nyayo	Mguu wangu unauma kidogo.
角	pembe; kona	Duka liko kwenye kona ya barabara.
接	kumpokea; kuchukua	Ninaenda uwanja wa ndege kumpokea rafiki.
街道	mtaa; barabara	Mtaa huu ni safi sana.
结婚	kuoa; kuolewa	Watafunga ndoa mwaka ujao.
结束	kuisha; kumaliza	Mashindano yamekwisha tayari.
节目	kipindi	Kipindi hiki cha televisheni ni kizuri.
节日	sikukuu; tamasha	Sikukuu ya Machipuko ni sikukuu muhimu ya China.
解决	kutatua	Tatizo hili limetatuliwa tayari.
借	kuazima; kukopesha	Ninataka kuazima kamusi yako.
经常	mara kwa mara	Mara kwa mara ninaenda maktabani.
经过	kupita; kupitia	Kila siku ninapita kwenye bustani hii.
经理	meneja	Meneja yuko kwenye mkutano.
久	muda mrefu	Nimeishi hapa kwa muda mrefu.
旧	ya zamani; iliyotumika	Nguo hii ni ya zamani sana.
句子	sentensi	Tafadhali andika sentensi moja.
决定	kuamua; uamuzi	Niliamua kujifunza Kichina.
可爱	kupendeza; mzuri	Paka huyu anapendeza sana.
渴	kuwa na kiu	Nina kiu sana na ninataka kunywa maji.
刻	robo saa; muda mfupi	Sasa ni saa mbili na robo.
客人	mgeni; mteja	Leo mgeni alikuja nyumbani.
空调	kiyoyozi	Tafadhali washa kiyoyozi.
口	kinywa; funda moja	Alikunywa funda moja la maji.
哭	kulia	Kwa nini mtoto analia?
裤子	suruali	Suruali hii ni mpya.
筷子	vijiti vya kulia	Ninaweza kula kwa vijiti vya kulia.
蓝	bluu	Anga ni bluu.
老	mzee; wa zamani	Mwalimu wangu si mzee.
离开	kuondoka	Ataondoka Beijing kesho.
礼物	zawadi	Hii ni zawadi yako.
历史	historia	Ninapenda historia ya China.
脸	uso	Uso wake ni mwekundu sana.
练习	kufanya mazoezi; mazoezi	Tafadhali fanya mazoezi ya kuzungumza Kichina zaidi.
辆	kihesabio cha magari	Kuna teksi moja mlangoni.
聊天	kupiga gumzo	Ninapiga gumzo na rafiki.
了解	kuelewa; kujua	Ninataka kuelewa utamaduni wa China.
邻居	jirani	Jirani yangu ni mchangamfu sana.
留学	kusoma nje ya nchi	Anasoma nchini China.
楼	jengo; ghorofa	Ofisi iko ghorofa ya tatu.
绿	kijani	Katika majira ya machipuko miti yote imekuwa ya kijani.
马	farasi	Farasi yule anakimbia haraka sana.
马上	mara moja; sasa hivi	Nitarudi mara moja.
满意	kuridhika	Nimeridhika sana na chumba hiki.
帽子	kofia	Kofia hii ni nzuri sana.
米	mita; mchele	Meza hii ina urefu wa mita mbili.
面包	mkate	Kiamsha kinywa ninakula mkate.
明白	kuelewa; wazi	Ninaelewa maana yako.
拿	kuchukua; kushika	Tafadhali nichukulie kitabu kimoja.
奶奶	bibi wa upande wa baba; bibi	Bibi anapenda kusikiliza muziki.
南	kusini	Shule iko kusini mwa mji.
难	ngumu; vigumu	Swali hili si gumu.
难过	kuwa na huzuni	Leo ana huzuni kidogo.
年级	daraja la shule; mwaka wa masomo	Dada yangu mdogo yuko darasa la tatu.
年轻	kijana; mchanga	Meneja huyu ni kijana sana.
鸟	ndege	Kuna ndege mmoja juu ya mti.
努力	juhudi; kujitahidi	Anasoma kwa bidii sana.
爬山	kupanda mlima	Mwishoni mwa wiki tutakwenda kupanda mlima.
盘子	sahani	Kuna sahani tatu juu ya meza.
胖	nene	Mbwa huyu ni mnene kidogo.
啤酒	bia	Baba hanywi bia.
皮鞋	viatu vya ngozi	Jozi hili la viatu vya ngozi ni ghali.
瓶子	chupa	Kuna maji kwenye chupa.
其实	kwa kweli	Kwa kweli sipendi bia.
其他	nyingine; wengine	Wanafunzi wengine wote wamekuja.
奇怪	ajabu; isiyo ya kawaida	Sauti hii ni ya ajabu sana.
骑	kuendesha; kupanda	Kila siku anaenda kazini kwa baiskeli.
起飞	kuruka; kuondoka angani	Ndege inakaribia kuruka.
起来	kuinuka	Tafadhali simama.
清楚	wazi; kwa uwazi	Umesema kwa uwazi sana.
请假	kuomba ruhusa ya kutokuwepo	Ana mafua, anahitaji kuomba ruhusa.
秋	majira ya vuli	Hali ya hewa ya vuli ni ya kupendeza.
裙子	sketi	Sketi hii ni nzuri sana.
然后	kisha; halafu	Kwanza ninakula, kisha ninafanya kazi ya nyumbani.
热情	mchangamfu; mwenye ukarimu	Marafiki Wachina ni wakarimu sana.
认为	kufikiri; kudhani	Nadhani njia hii ni nzuri.
认真	kwa makini; makini	Tafadhali sikiliza mwalimu kwa makini.
容易	rahisi	Herufi hii ya Kichina ni rahisi kuandika.
如果	ikiwa	Ikiwa mvua itanyesha, tutasafiri kwa treni ya chini ya ardhi.
伞	mwavuli	Mvua inanyesha, tafadhali leta mwavuli.
