source_headword	HY	example_HY
hunt	որս անել	Նրանք աշնանը սունկ են որոնում։
hurricane	փոթորիկ	Փոթորիկը վնասեց շատ տներ։
hurry	շտապողականություն	Այսօր շտապելու կարիք չկա։
identity	ինքնություն	Նրա ինքնությունը մնաց գաղտնի։
ignore	անտեսել	Մի անտեսիր այս նախազգուշացումը։
illegal	անօրինական	Այստեղ կայանելը անօրինական է։
imaginary	երևակայական	Պատմության մեջ կա երևակայական կղզի։
immediate	անմիջական	Մեզ պետք է անմիջական պատասխան։
immigrant	ներգաղթյալ	Ներգաղթյալը արագ սովորեց անգլերեն։
impact	ազդեցություն	Լուրն ուժեղ ազդեցություն ունեցավ։
import	ներմուծել	Երկիրը ավելի շատ բրինձ կներմուծի։
importance	կարևորություն	Նա հասկացավ քնի կարևորությունը։
impression	տպավորություն	Նրա առաջին տպավորությունը դրական էր։
impressive	տպավորիչ	Թանգարանն ունի տպավորիչ մուտք։
improvement	բարելավում	Այս ամիս հստակ բարելավում եղավ։
incredibly	անհավատալիորեն	Թեստը անհավատալիորեն դժվար էր։
indeed	իսկապես	Դա իսկապես տարօրինակ օր էր։
indicate	ցույց տալ	Նշանը ցույց կտա ելքը։
indirect	անուղղակի	Նա տվեց անուղղակի պատասխան։
indoor	փակ տարածքի	Հյուրանոցն ունի փակ լողավազան։
indoors	ներսում	Փոթորկի ժամանակ մենք մնացինք ներսում։
influence	ազդեցություն	Նրա ուսուցիչը մեծ ազդեցություն ունեցավ։
ingredient	բաղադրիչ	Ալյուրը հիմնական բաղադրիչն է։
injure	վնասել	Մի վնասիր մեջքդ։
injured	վիրավոր	Վիրավոր խաղացողը լքեց դաշտը։
innocent	անմեղ	Երեխան լրիվ անմեղ էր թվում։
intelligence	բանականություն	Նա դասարանում մեծ բանականություն ցույց տվեց։
intend	մտադիր լինել	Ես մտադիր եմ սովորել արտասահմանում։
intention	մտադրություն	Նրա մտադրությունը օգնելն էր։
invest	ներդնել	Նրանք գումար են ներդնում կրթության մեջ։
investigate	հետաքննել	Ոստիկանությունը կհետաքննի վթարը։
involved	ներգրավված	Մի քանի ուսանող ներգրավված էր։
iron	երկաթ	Դարպասը պատրաստված է երկաթից։
issue	խնդիր	Սա լուրջ խնդիր է։
IT	տեղեկատվական տեխնոլոգիաներ	Նա աշխատում է տեղեկատվական տեխնոլոգիաների ոլորտում։
journal	օրագիր	Նա գրում է օրագրում։
judge	դատավոր	Դատավորը ուշադիր լսեց։
keen	խանդավառ	Նա խանդավառ է սովորելու համար։
keyboard	ստեղնաշար	Իմ ստեղնաշարը դադարեց աշխատել։
kick	հարվածել	Մեղմ հարվածիր գնդակին։
killing	սպանություն	Սպանությունը ցնցեց գյուղը։
kind (caring)	բարի	Դա բարի արարք էր։
kiss	համբույր	Նա երեխային համբույր տվեց։
label	պիտակ	Կարդա պիտակը օգտագործելուց առաջ։
laboratory	լաբորատորիա	Լաբորատորիան այսօր փակ է։
lack	պակաս	Քնի պակասը վնասում է հիշողությանը։
latest	ամենավերջին	Կարդացե՞լ ես ամենավերջին զեկույցը։
lay	դնել	Դիր գիրքը սեղանի վրա։
layer	շերտ	Ավելացրու ներկի ևս մեկ շերտ։
leading	առաջատար	Նա առաջատար գիտնական է։
leaf	տերև	Մի տերև ընկավ վերարկուիս վրա։
leather	կաշի	Նրա պայուսակը պատրաստված է կաշվից։
legal	իրավական	Մեզ իրավական խորհուրդ է պետք։
leisure	ազատ ժամանակ	Ընթերցանությունն իմ սիրելի ազատաժամանցային զբաղմունքն է։
length	երկարություն	Չափիր սենյակի երկարությունը։
lie2 (tell a lie)	ստել	Մի ստիր ծնողներիդ։
limit	սահմանափակում	Արագության սահմանը հիսուն է։
lip	շրթունք	Նա կծեց իր շրթունքը։
liquid	հեղուկ	Ջուրը թափանցիկ հեղուկ է։
literature	գրականություն	Նա ուսումնասիրում է ֆրանսիական գրականություն։
live2	կենդանի	Խումբը երեկ երեկոյան կենդանի նվագեց։
living	կենդանի	Կենդանի բույսերին լույս է պետք։
locate	գտնել	Կարո՞ղ ես գտնել ֆայլը։
located	գտնվող	Գրասենյակը գտնվում է քաղաքի կենտրոնում։
location	վայր	Սա լավ վայր է։
lonely	միայնակ	Տեղափոխվելուց հետո նա իրեն միայնակ էր զգում։
loss	կորուստ	Կորուստը դժվար էր բոլորի համար։
luxury	շքեղություն	Հյուրանոցն առաջարկում է իսկական շքեղություն։
mad	զայրացած	Նա զայրացած էր ուշացման պատճառով։
magic	կախարդանք	Շոուն լի էր կախարդանքով։
mainly	հիմնականում	Խումբը հիմնականում ուսանողներ են։
mall	առևտրի կենտրոն	Մենք հանդիպեցինք առևտրի կենտրոնում։
management	կառավարում	Լավ կառավարումը խնայում է ժամանակը։
marketing	մարքեթինգ	Մարքեթինգն օգնում է վաճառել ապրանքը։
marriage	ամուսնություն	Նրանց ամուսնությունը տևեց երեսուն տարի։
meanwhile	մինչ այդ	Մինչ այդ ես ընթրիք էի պատրաստում։
measure	չափել	Զգուշորեն չափիր սեղանը։
medium	միջին	Ես պատվիրեցի միջին պիցցա։
mental	հոգեկան	Սթրեսը ազդում է հոգեկան առողջության վրա։
mess	խառնաշփոթ	Մաքրիր այս խառնաշփոթը։
mild	մեղմ	Ապուրը մեղմ համ ունի։
mine (hole in the ground)	հանք	Հանքը փակվեց անցյալ տարի։
mix	խառնել	Խառնիր ձվերը կաթի հետ։
mixture	խառնուրդ	Խառնուրդը դարձավ թանձր։
mood	տրամադրություն	Երաժշտությունը փոխեց նրա տրամադրությունը։
mud	ցեխ	Նրա կոշիկները ծածկված էին ցեխով։
murder	սպանություն	Սպանությունը տեղի ունեցավ գիշերը։
muscle	մկան	Մարզանքը մկան է զարգացնում։
mystery	առեղծված	Հին տունը առեղծված է։
nail	եղունգ	Ես եղունգ կոտրեցի։
narrative	պատում	Վեպն ունի հստակ պատում։
nation	ազգ	Ամբողջ ազգը տոնեց։
native	մայրենի	Իսպաներենը նրա մայրենի լեզուն է։
naturally	բնականաբար	Երեխաները բնականաբար սովորում են խաղի միջոցով։
necessarily	անպայմանորեն	Թանկ սնունդը անպայմանորեն ավելի լավ չէ։
needle	ասեղ	Ասեղը շատ սուր է։
neighbourhood	թաղամաս	Նրանք ապրում են հանգիստ թաղամասում։
net	ցանց	Ձկնորսը նորոգեց իր ցանցը։
nor	ոչ էլ	Նա ոչ ժպտաց, ոչ էլ խոսեց։
northern	հյուսիսային	Նրանք այցելեցին հյուսիսային ափը։
nuclear	միջուկային	Բանավեճը միջուկային էներգիայի մասին էր։
obvious	ակնհայտ	Պատասխանն ակնհայտ էր։
obviously	ակնհայտորեն	Ակնհայտորեն մեզ ավելի շատ ժամանակ է պետք։
occasion	առիթ	Սա հատուկ առիթ է։
occur	տեղի ունենալ	Վթարներ կարող են տեղի ունենալ ամենուր։
odd	տարօրինակ	Դա տարօրինակ հարց էր։
official	պաշտոնական	Պաշտոնական արդյունքը հասավ այսօր։
old-fashioned	հնաոճ	Նրա հեռախոսը հնաոճ է երևում։
operation	վիրահատություն	Վիրահատությունը տևեց երկու ժամ։
organized	կազմակերպված	Նրա սեղանը շատ կազմակերպված է։
organizer	կազմակերպիչ	Կազմակերպիչը ողջունեց հյուրերին։
originally	սկզբնապես	Նա սկզբնապես եկել էր Կանադայից։
ought modal	պետք է	Դու պետք է հանգստանաս։
ours	մերը	Այս սեղանը մերն է։
outdoor	բացօթյա	Մենք գնեցինք բացօթյա կահույք։
outdoors	դրսում	Երեխաները պետք է խաղան դրսում։
package	փաթեթ	Փաթեթը հասավ այս առավոտ։
painful	ցավոտ	Կտրվածքը ցավոտ էր։
pale	գունատ	Նրա դեմքը գունատ էր երևում։
pan	թավա	Նախ տաքացրու թավան։
participate	մասնակցել	Բոլորը կարող են մասնակցել։
particularly	հատկապես	Ես հատկապես սիրում եմ այս երգը։
passion	կիրք	Երաժշտությունը նրա կիրքն է։
path	արահետ	Հետևիր այգու միջով անցնող արահետին։
payment	վճարում	Վճարումը պետք է կատարվի վաղը։
peaceful	խաղաղ	Այգին խաղաղ է։
percentage	տոկոս	Փոքր տոկոսը համաձայնեց։
perfectly	կատարյալ կերպով	Պլանը կատարյալ կերպով աշխատեց։
performance	կատարում	Նրա կատարումը գերազանց էր։
personally	անձամբ	Ես անձամբ նախընտրում եմ թեյ։
persuade	համոզել	Կարո՞ղ ես համոզել նրան միանալ։
