source_headword	JA	example_JA
abolish	廃止する	その法律は古い手数料を廃止します。
abortion	妊娠中絶	妊娠中絶は依然としてデリケートな医療問題です。
absence	不在	彼女の不在により最終決定が遅れました。
absent	欠席の	2人のメンバーが授業を欠席しました。
absurd	ばかげた	その主張は誰の耳にもばかげて聞こえました。
abundance	豊富	その谷には水が豊富にあります。
abuse	虐待	その報告書は職場での虐待について述べていました。
academy	アカデミー	そのアカデミーは若い音楽家を育成しています。
accelerate	加速させる	新たな資金提供により研究が加速するでしょう。
acceptance	受け入れ	彼が批判を受け入れたことには感心しました。
accessible	アクセスできる	その博物館は車椅子利用者でもアクセスできます。
accomplishment	達成	本を読み終えたことは本当に大きな達成でした。
accordance	一致	作業は方針に従って行われました。
accordingly	それに応じて	証拠が変わったので、私たちはそれに応じて行動しました。
accountability	説明責任	その方針は管理者の説明責任を高めます。
accountable	責任がある	管理者は安全に対する責任があります。
accumulate	蓄積する	画面の裏にほこりが蓄積することがあります。
accumulation	蓄積	データの蓄積には数か月かかりました。
accusation	告発	その告発は委員会に衝撃を与えました。
accused	被告人	被告人は法廷に姿を現しました。
acquisition	買収	その買収により企業は急速に拡大しました。
acre	エーカー	その農場は1エーカーの広さがあります。
activation	有効化	カードの有効化には数分かかります。
activist	活動家	その活動家は集会で演説しました。
acute	激しい	彼女は走った後に激しい痛みを感じました。
adaptation	脚色	その脚色により小説の結末が変更されました。
adhere	従う	スタッフは安全規則に従わなければなりません。
adjacent	隣接した	そのホテルは駅に隣接しています。
adjustment	調整	少し調整しただけで問題は解決しました。
administer	投与する	看護師が慎重にワクチンを投与します。
administrative	管理の	管理スタッフがフォームの処理を行います。
administrator	管理者	管理者が私のパスワードをリセットしました。
admission	入場	その博物館の入場は無料です。
adolescent	青年	その青年はさらなるサポートを必要としていました。
adoption	養子縁組	養子縁組によりその子供に安定した家庭が与えられました。
adverse	有害な	その薬は有害な影響をもたらしました。
advocate	擁護者	その擁護者はテナントの権利を守りました。
aesthetic	美的な	その部屋は落ち着いた美的なスタイルを持っています。
affection	愛情	彼女は家族に対する愛情を示しました。
aftermath	余波	嵐の余波は大変なものでした。
aggression	攻撃性	先生は休み時間の間に攻撃的な態度に気づきました。
agricultural	農業の	今年の農業輸出は増加しました。
aide	補佐官	補佐官は大臣のスケジュールを調整しました。
albeit	〜ではあるが	計画は機能しましたが、ゆっくりでした。
alert	警告する	すぐにスタッフに警告してください。
align	一直線になる	矢印が道路と一直線に並んでいます。
alignment	アライメント	ホイールのアライメントにより車のハンドリングが向上しました。
alike	似て	その双子は週末に似たような服装をします。
allegation	申し立て	その申し立ては新聞に掲載されました。
allege	主張する	彼らは資金が失われたと主張しています。
allegedly	伝えられるところでは	運転手は警告を無視したと伝えられています。
alliance	提携	両党は一時的な提携を結びました。
allocate	割り当てる	市は学校に資金を割り当てる予定です。
allocation	割り当て	座席の割り当ては不公平でした。
allowance	小遣い	彼女の小遣いは昼食代と交通費をカバーしています。
ally	同盟国	カナダは親密な同盟国になりました。
aluminium	アルミニウム	フレームはアルミニウムで作られています。
amateur	アマチュアの	アマチュアの写真家がその写真を撮りました。
ambassador	大使	大使は地元の学生たちと面会しました。
amend	修正する	議会は法律を修正する投票を行いました。
amendment	修正案	その修正案は1つの段落を変更しました。
amid	〜の最中に	その演説は緊張が高まる最中に行われました。
analogy	類推	先生は単純な類推を用いました。
anchor	錨	船は島の近くに錨を下ろしました。
