source_headword	KK	example_KK
institute	институт	Институт жаңа зерттеу бағдарламасын ашты.
institution	мекеме	Мекеме қабылдау ережелерін өзгертті.
insurance	сақтандыру	Оның сақтандыруы аурухана шығындарын өтеді.
intended	көзделген	Хабарлама көзделген аудиторияға жетті.
intense	қарқынды	Пікірталас өте тез қарқынды болды.
internal	ішкі	Компания ішкі тексеруді бастады.
interpret	түсіндіру	Нәтижелерді мұқият түсіндіріңіз.
interrupt	бөлу	Қазір сөйлеп тұрған адамның сөзін бөлмеңіз.
investigation	тергеу	Тергеу елеулі қателерді анықтады.
investment	инвестиция	Инвестиция көптеген жергілікті жұмыс орындарын құрды.
joy	қуаныш	Олардың табысы үлкен қуаныш әкелді.
judgement	пайымдау	Оның пайымдауы тәжірибемен жақсара түсті.
junior	кіші	Ол командаға кіші талдаушы ретінде қосылды.
justice	әділеттілік	Соттан кейін отбасы әділеттілікті талап етті.
justify	негіздеу	Сіз бұл шешімді нақты негіздеуіңіз керек.
labour	еңбек	Жоба білікті еңбекті қажет етеді.
landscape	ландшафт	Дауылдан кейін ландшафт өзгерді.
largely	негізінен	Жоспар негізінен сәтті болды.
launch	шығару	Олар ертең өнімді нарыққа шығарады.
leadership	көшбасшылық	Мықты көшбасшылық команданың қалпына келуіне көмектесті.
league	лига	Біздің клуб аймақтық лигаға қосылды.
lean	сүйену	Ылғал қабырғаға сүйенбеңіз.
licence	лицензия	Лицензияның мерзімі келесі айда аяқталады.
limited	шектеулі	Бүгін біздің уақытымыз шектеулі.
lively	жанды	Түскі астан кейін жиналыс жанды болды.
load	жүк	Жүк көлігі ауыр жүк тасыды.
loan	несие	Банк несиені мақұлдады.
logical	қисынды	Оның уәжі анық әрі қисынды болды.
long-term	ұзақ мерзімді	Бұл ұзақ мерзімді шешім.
loose	бос	Тұтқа бос сияқты.
lord	лорд	Лордтың бірнеше ауылы болды.
lower	төмендету	Олар қыста бағаны төмендетеді.
lung	өкпе	Шылым шегу өкпені зақымдауы мүмкін.
maintain	үзбеу	Біз тұрақты байланысты үзбейміз.
majority	көпшілік	Көпшілігі ұсынысты қолдады.
mass	масса	Бұлттар массасы аспанды жауып қалды.
massive	орасан зор	Жер сілкінісі орасан зор шығын әкелді.
master	шебер	Ол келіссөздер шебері болды.
matching	сәйкес	Ол сәйкес келетін аяқ киім мен белдік тақты.
maximum	максималды	Бөлме максималды сыйымдылыққа жетті.
means	құрал	Электрондық пошта - біздің негізгі байланыс құралы.
measurement	өлшем	Өлшем сәл қате болды.
melt	еру	Қар түске қарай ериді.
military	әскери	Әскери база өткен жылы жабылды.
mineral	минерал	Темір - маңызды минерал.
minimum	минималды	Минималды жас - он сегіз.
minister	министр	Министр қиын сұрақтарға жауап берді.
minor	аздаған	Апат аздаған зақым келтірді.
minority	азшылық	Азшылық жаңа ережеге қарсы шықты.
mission	миссия	Олардың миссиясы аман-есен аяқталды.
mixed	аралас	Жаңалықтар аралас реакциялар тудырды.
modify	өзгерту	Біз дизайнды кейінірек өзгерте аламыз.
monitor	бақылау	Мейірбике оның жағдайын бақылайды.
moral	моральдық	Әңгіменің моральдық сабағы бар.
motor	мотор	Мотор ескертусіз тоқтап қалды.
mount	орнату	Олар кіреберістің жанына камералар орнатады.
multiple	бірнеше	Кешігуге бірнеше факторлар себеп болды.
multiply	көбейту	Санды онға көбейтiңiз.
