hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
303:白色	白色	白色	白色; 白い色	私は白いカップが好きです。	흰색; 하얀색	저는 흰색 컵을 좋아해요.	màu trắng	Tôi thích chiếc cốc màu trắng.	สีขาว	ฉันชอบแก้วสีขาว	warna putih	Saya suka cawan putih itu.	warna putih	Saya suka cangkir putih itu.
305:帮	帮	帮	手伝う; 助ける	ドアを開けるのを手伝ってください。	돕다	문 여는 것을 도와주세요.	giúp; giúp đỡ	Làm ơn giúp tôi mở cửa.	ช่วย	ช่วยฉันเปิดประตูหน่อย	tolong; bantu	Tolong bantu saya buka pintu.	membantu	Tolong bantu saya membuka pintu.
308:本子	本子	本子	ノート	このノートは私のものです。	공책; 노트	이 공책은 제 것이에요.	vở; sổ	Tập này là của tôi.	สมุด	สมุดเล่มนี้เป็นของฉัน	buku nota	Buku nota ini milik saya.	buku catatan	Buku catatan ini milik saya.
310:笔	笔	笔	ペン; 鉛筆	私はペンを一本持っています。	펜; 연필	저는 펜이 하나 있어요.	bút; bút chì	Tôi có một cái bút.	ปากกา; ดินสอ	ฉันมีปากกาหนึ่งด้าม	pen; pensel	Saya ada sebatang pen.	pena; pensil	Saya punya sebuah pena.
312:不错	不错	不错	悪くない; かなりよい	このレストランはなかなかいいです。	괜찮다; 꽤 좋다	이 식당은 꽤 괜찮아요.	không tệ; khá tốt	Nhà hàng này khá tốt.	ไม่เลว; ดีทีเดียว	ร้านอาหารนี้ดีทีเดียว	tidak buruk; agak bagus	Restoran ini agak bagus.	tidak buruk; cukup bagus	Restoran ini cukup bagus.
313:不好意思	不好意思	不好意思	すみません; 恥ずかしい	すみません、遅れました。	죄송하다; 민망하다	죄송해요, 제가 늦었어요.	xin lỗi; ngại quá	Xin lỗi, tôi đến muộn.	ขอโทษ; เกรงใจ	ขอโทษ ฉันมาสาย	maaf; segan	Maaf, saya datang lewat.	maaf; merasa malu	Maaf, saya terlambat.
315:车站	车站	车站	駅; 停留所	駅は前にあります。	역; 정류장	정류장은 앞에 있어요.	nhà ga; trạm dừng	Trạm ở phía trước.	สถานี; ป้ายรถ	สถานีอยู่ข้างหน้า	stesen; perhentian	Perhentian itu di hadapan.	stasiun; halte	Halte itu ada di depan.
317:出国	出国	出国	外国へ行く; 留学などで出国する	彼は来年、外国へ勉強に行きます。	출국하다; 외국에 가다	그는 내년에 외국에 가서 공부할 거예요.	ra nước ngoài	Năm sau anh ấy ra nước ngoài học.	ไปต่างประเทศ	ปีหน้าเขาจะไปเรียนต่างประเทศ	pergi ke luar negara	Tahun depan dia pergi belajar di luar negara.	pergi ke luar negeri	Tahun depan dia akan pergi ke luar negeri untuk belajar.
318:出来	出来	出来	出てくる	ちょっと出てきてください。	나오다	잠깐 나와 주세요.	đi ra; ra ngoài	Bạn hãy ra ngoài một lát.	ออกมา	ช่วยออกมาสักครู่	keluar	Tolong keluar sebentar.	keluar	Tolong keluar sebentar.
319:出门	出门	出门	家を出る	私は朝八時に家を出ます。	집을 나서다	저는 아침 여덟 시에 집을 나서요.	ra khỏi nhà	Tôi ra khỏi nhà lúc tám giờ sáng.	ออกจากบ้าน	ฉันออกจากบ้านตอนแปดโมงเช้า	keluar rumah	Saya keluar rumah pada pukul lapan pagi.	keluar rumah	Saya keluar rumah pukul delapan pagi.
320:出去	出去	出去	出て行く; 外へ行く	外へ散歩に行きたいです。	나가다	저는 나가서 좀 걷고 싶어요.	đi ra ngoài	Tôi muốn ra ngoài đi dạo.	ออกไป	ฉันอยากออกไปเดินเล่น	keluar; pergi ke luar	Saya mahu keluar berjalan-jalan.	pergi ke luar	Saya ingin keluar berjalan-jalan.
321:床	床	床	ベッド	ベッドは部屋の中にあります。	침대	침대는 방 안에 있어요.	giường	Giường ở trong phòng.	เตียง	เตียงอยู่ในห้อง	katil	Katil itu ada di dalam bilik.	tempat tidur	Tempat tidur ada di kamar.
322:词	词	词	単語; 言葉	この単語がわかりません。	단어; 말	저는 이 단어를 이해하지 못해요.	từ	Tôi không hiểu từ này.	คำศัพท์	ฉันไม่เข้าใจคำนี้	kata	Saya tidak faham perkataan ini.	kata	Saya tidak mengerti kata ini.
325:从小	从小	从小	子どものころから	私は子どものころから絵を描くのが好きです。	어릴 때부터	저는 어릴 때부터 그림 그리기를 좋아했어요.	từ nhỏ	Từ nhỏ tôi đã thích vẽ.	ตั้งแต่เด็ก	ฉันชอบวาดรูปตั้งแต่เด็ก	sejak kecil	Sejak kecil saya suka melukis.	sejak kecil	Sejak kecil saya suka menggambar.
