source_headword	RO	example_RO
strengthen	a consolida	Noua politică va consolida siguranța online.
strictly	strict	Biletele sunt strict limitate la două de persoană.
striking	izbitor	Pictura are culori izbitoare.
stroke	o tușă	A pictat o tușă pe hârtie.
stunning	uimitor	Priveliștea muntelui era uimitoare.
subsequent	ulterior	Întâlnirea ulterioară a confirmat bugetul.
subsequently	ulterior	Drumul s-a închis; ulterior, traficul s-a mișcat încet.
suburb	o suburbie	Ei locuiesc într-o suburbie liniștită.
suffering	o suferință	Medicamentul i-a redus suferința.
sufficient	suficient	Echipa are timp suficient.
sufficiently	suficient	Camera este suficient de caldă.
super	super	Noua tabletă este super rapidă.
surgeon	un chirurg	Chirurgul a reparat genunchiul deteriorat.
survival	o supraviețuire	Apa curată este esențială pentru supraviețuire.
survivor	un supraviețuitor	Supraviețuitorul a descris inundația.
suspend	a suspenda	Școala poate suspenda excursia.
sustainable	sustenabil	Ferma folosește metode sustenabile.
swallow	a înghiți	Înghițiți tableta cu apă.
sympathetic	empatic	Managerul a fost empatic față de problema ei.
tackle	a aborda	Trebuie să abordăm problema locuințelor.
tag	o etichetă	Geanta avea o etichetă de preț.
tap	un robinet	Ea a închis robinetul.
technological	tehnologic	Schimbarea tehnologică afectează fiecare loc de muncă.
teens	un adolescent	Mulți adolescenți folosesc rețelele sociale zilnic.
temple	un templu	Templul se afla lângă râu.
temporarily	temporar	Biroul este închis temporar.
tendency	o tendință	Are tendința de a ajunge târziu.
tension	o tensiune	Tensiunea a crescut în timpul discuției.
terms	termeni	Termenii contractului au fost clari.
terribly	teribil	Copilul era teribil de supărat.
terrify	a îngrozi	Zgomotele puternice îngrozesc câinele.
territory	un teritoriu	Harta arată noul teritoriu.
terror	o teroare	Teroarea s-a răspândit după atac.
terrorism	un terorism	Terorismul amenință siguranța publică.
terrorist	un terorist	Poliția a arestat teroristul ieri.
testing	o testare	Testarea produsului începe luni.
textbook	un manual	Și-a uitat manualul de biologie.
theft	un furt	Furturile au crescut în zonă.
therapist	un terapeut	Terapeutul l-a ajutat să-și gestioneze anxietatea.
thesis	o teză	Teza ei examinează învățarea online.
thorough	amănunțit	O revizuire amănunțită nu a găsit erori.
thoroughly	complet	Curățați rana complet.
thumb	un deget mare	A ridicat degetul mare pentru a semnala aprobarea.
timing	o sincronizare	Sincronizarea apelului a fost perfectă.
tissue	un șervețel	A șters paharul cu un șervețel.
ton	o tonă	Camionul transporta o tonă de nisip.
tonne	o tonă	Expedierea cântărea o tonă.
tournament	un turneu	Turneul de tenis începe mâine.
trace	a depista	Oamenii de știință pot depista sursa virusului.
trading	o tranzacționare	Tranzacționarea acțiunilor s-a oprit la prânz.
tragedy	o tragedie	Accidentul a fost o tragedie teribilă.
tragic	tragic	Accidentul a avut consecințe tragice.
trait	o trăsătură	Răbdarea este o trăsătură utilă.
transmit	a transmite	Țânțarii pot transmite boli.
transportation	un transport	Transportul public este aglomerat astăzi.
trap	a prinde	Cutia poate prinde insectele în siguranță.
treasure	o comoară	Lada veche conținea o comoară.
tribe	un trib	Tribul și-a protejat tradițiile.
trigger	a declanșa	Fumul poate declanșa alarma.
trillion	un trilion	Datoria a ajuns la un trilion de dolari.
troop	o trupă	Trupa s-a deplasat spre graniță.
tsunami	un tsunami	Tsunamiul a distrus casele de pe coastă.
ultimate	suprem	Scopul suprem este pacea.
unacceptable	inacceptabil	Întârzierea a fost inacceptabilă pentru pasageri.
uncertainty	o incertitudine	Incertitudinea i-a făcut pe investitori nervoși.
undergo	a suferi	Pacientul va suferi o intervenție chirurgicală mâine.
undertake	a întreprinde	Echipa va întreprinde un sondaj.
unfold	a se desfășura	Drama a început să se desfășoare încet.
unfortunate	nefericit	Eroarea a fost nefericită, dar reparabilă.
unite	a uni	Liderii au încercat să unească partidul.
unity	o unitate	Discursul a făcut apel la unitate națională.
universal	universal	Aplicația folosește un design universal.
urgent	urgent	Spitalul a primit un apel urgent.
usage	o utilizare	Ghidul explică utilizarea corectă.
useless	inutil	Încărcătorul stricat este inutil.
valid	valabil	Pașaportul dumneavoastră este încă valabil.
variation	o variație	Există o variație mare a prețurilor.
vertical	vertical	Graficul are o axă verticală.
viewpoint	un punct de vedere	Punctul ei de vedere s-a schimbat după dezbatere.
visa	o viză	A aplicat pentru o viză de student.
visible	vizibil	Semnul este vizibil de aici.
voluntary	voluntar	Cursul include ateliere voluntare.
voting	o votare	Votarea anticipată începe săptămâna viitoare.
wander	a rătăci	Turiștii rătăcesc prin piața veche.
warming	o încălzire	Încălzirea globală afectează nivelul mării.
weekly	săptămânal	Echipa organizează o întâlnire săptămânală.
weird	ciudat	Zgomotul a sunat ciudat.
welfare	o bunăstare	Programul sprijină bunăstarea copiilor.
wheat	un grâu	Fermierul cultivă grâu.
whoever	oricine	Oricine ajunge primul ar trebui să aștepte afară.
widespread	răspândit	Furtuna a provocat daune răspândite.
wisdom	o înțelepciune	Bunica ei a împărtășit o înțelepciune practică.
withdraw	a retrage	A decis să-și retragă cererea.
workforce	o forță de muncă	Forța de muncă are nevoie de noi abilități.
workplace	un loc de muncă	Locul de muncă are reguli clare de siguranță.
workshop	un atelier	Atelierul începe la zece.
worm	un vierme	Un vierme s-a mișcat peste sol.
wrist	o încheietură	Și-a rănit încheietura.
