source_headword	JA	example_JA
incur	招く	遅延により追加費用を招く可能性があります。
indicator	指標	失業率は一つの経済指標です。
indictment	起訴状	起訴状には3つの罪状が記載されていました。
indigenous	原産の	ここでは原産の植物がよく育ちます。
induce	誘発する	その薬は眠気を誘発することがあります。
indulge	耽る	彼女は高価な習慣に耽ることはありません。
inequality	不平等	所得の不平等は依然として大きな問題です。
infamous	悪名高い	その刑務所は世界的に悪名高くなりました。
infant	幼児	幼児はベビーベッドで眠りました。
infect	感染させる	そのウイルスは健康な細胞を感染させる可能性があります。
inflict	与える	動物に苦痛を与えないでください。
influential	影響力のある	彼女は影響力のある法学者です。
inherent	固有の	その設計には固有のリスクがあります。
inhibit	抑制する	恐怖は率直な議論を抑制することがあります。
initiate	開始する	マネージャーが評価を開始します。
inject	注射する	看護師がワクチンを注射します。
injection	注射	注射で痛みが和らぎました。
injustice	不正	その判決は明らかな不正を暴露しました。
inmate	囚人	囚人は法的助言を求めました。
insertion	挿入	そのフォームにはテキストの挿入が1箇所必要です。
insider	内部関係者	内部関係者が報告書を漏らしました。
inspect	検査する	役人は毎年その橋を検査します。
inspection	検査	検査で深刻な損傷が見つかりました。
inspiration	インスピレーション	彼女の演説は私にインスピレーションを与えました。
instinct	本能	彼の最初の本能は助けることでした。
institutional	制度上の	制度上の規則が決定を形作りました。
instruct	指示する	マニュアルは新入社員に指示を与えます。
instrumental	重要な役割を果たす	彼女の助言は交渉で重要な役割を果たしました。
insufficient	不十分な	証拠は起訴するには不十分でした。
insult	侮辱	彼の侮辱で会話が終わりました。
intact	無傷の	古い壁は無傷のままでした。
intake	摂取量	砂糖の摂取量は適度に保つべきです。
integral	不可欠な	信頼はチームにとって不可欠です。
integrated	統合された	学校は統合されたサポートを提供しています。
integration	統合	統合によってシステム全体が改善されました。
integrity	誠実さ	裁判官は素晴らしい誠実さを示しました。
intensify	強まる	嵐は夜通し強まるかもしれません。
intensity	強度	トレーニングの強度が増しました。
intensive	集中的な	彼らは集中的な語学研修を終えました。
intent	意図	彼の意図を証明するのは困難でした。
interactive	インタラクティブな	博物館にはインタラクティブな展示があります。
interface	インターフェース	インターフェースは操作が簡単です。
interfere	干渉する	調査に干渉しないでください。
interference	妨害	信号の妨害で通話が途切れました。
interim	暫定的な	暫定報告書が明日届きます。
interior	内側の	内側の壁は塗装が必要です。
intermediate	中級の	彼女は中級クラスに入りました。
intervene	介入する	警察はすぐに介入しなければなりませんでした。
intervention	介入	早期の介入が患者を助けました。
intimate	親密な	彼らは親密な家族の式を挙げました。
intriguing	興味深い	データは興味深いパターンを明らかにしました。
investigator	調査員	調査員は各目撃者にインタビューしました。
invisible	目に見えない	そのガスは目に見えず危険です。
invoke	発動する	弁護士は判例を発動しようとしました。
involvement	関与	彼の関与は依然として不明確でした。
ironic	皮肉な	皮肉なコメントにみんなが笑いました。
ironically	皮肉にも	皮肉にも、そのルートはより時間がかかりました。
irony	皮肉	その皮肉は誰の目にも明らかでした。
irrelevant	無関係の	その詳細はここでは無関係です。
isolation	孤立	孤立は精神の健康を害する可能性があります。
judicial	司法の	司法審査は月曜日に始まります。
junction	交差点	交差点で左に曲がってください。
jurisdiction	管轄権	裁判所の管轄権は限られています。
just	公正な	裁判官は公正な決定を下しました。
justification	正当化	支出の明確な正当化が必要です。
kidnap	誘拐する	犯罪者たちは外交官を誘拐しようとしました。
kidney	腎臓	彼女の腎臓の機能が改善しました。
kingdom	王国	彼の統治下で王国は拡大しました。
lad	若者	若者が荷物を運びました。
landlord	大家	大家が暖房を修理しました。
landmark	ランドマーク	その塔は市のランドマークになりました。
lap	膝	子供は彼女の膝の上に座りました。
large-scale	大規模な	市は大規模な修理を計画しました。
laser	レーザー	レーザーで距離を測定しました。
latter	後者	後者の選択肢の方が安全そうです。
lawn	芝生	子供たちは芝生で遊びました。
lawsuit	訴訟	会社はその訴訟を解決しました。
layout	配置	ページの配置がよりはっきりして見えます。
leak	漏れ	配管の漏れでキッチンが水浸しになりました。
leap	飛躍	売上が突然飛躍しました。
legacy	遺産	彼女の遺産が大学を形作りました。
legendary	伝説的な	その伝説的な歌手がステージに戻りました。
legislation	法律	新しい法律が借家人を保護します。
legislative	立法の	立法委員会は今日会議を開きました。
legislature	議会	議会は予算を承認しました。
legitimate	正当な	彼らは正当な懸念を提起しました。
lengthy	長時間の	長時間の議論で投票が遅れました。
lesbian	レズビアンの	そのレズビアンの活動家はフォーラムで発言しました。
lesser	より少ない	より少ないリスクを選んでください。
lethal	致命的な	その化学物質は致命的になる可能性があります。
liable	法的責任がある	運転手は損害に対する法的責任があります。
liberal	自由主義の	彼は自由主義の社会政策を支持しています。
liberation	解放	解放が国の未来を変えました。
liberty	自由	法律は個人の自由を保護します。
license	認可する	州は新しい診療所を認可するかもしれません。
lifelong	生涯の	彼女はそこで生涯の友達を作りました。
likelihood	可能性	雨の可能性が高まりました。
limb	手足	怪我をした手足はゆっくりと治りました。
linear	直線的な	そのグラフは直線的な傾向を示しています。
line-up	ラインナップ	フェスティバルのラインナップには地元のバンドが含まれています。
linger	残る / 長引く	匂いが何時間も残るかもしれない。
listing	リスト / 募集物件	アパートの募集物件は正確そうだった。
literacy	読み書きの能力 / リテラシー	成人の識字プログラムが拡大した。
liver	肝臓	肝臓は有害物質をろ過する。
lobby	ロビー	ロビーは正午過ぎに混雑していた。
log	記録 / ログ	システムは日々の記録を保持している。
logic	論理	彼の主張の論理は破綻していた。
long-standing	長年の	彼らは長年の紛争を解決した。
long-time	長年の	彼女は長年のボランティアだ。
loom	迫る	暗い雲が谷の上に迫っている。
loop	輪 / ループ	その道は輪になっている。
loyalty	忠誠心	彼の忠誠心はチームに感銘を与えた。
machinery	機械（類）	工場は新しい機械を設置した。
magical	魔法のような	その庭は夜になると魔法のように見えた。
magistrate	治安判事	治安判事がその事件を審理した。
magnetic	磁気の	磁場が羅針盤に影響を与えた。
magnitude	規模 / 大きさ	被害の大きさは明らかだった。
mainland	本土	フェリーは島々と本土を結んでいる。
mainstream	主流	その考えは主流の政治に浸透した。
maintenance	維持 / メンテナンス	定期的なメンテナンスが故障を防ぐ。
mandate	権限 / 負託	大統領は強力な権限を主張した。
mandatory	義務的な	研修生は出席が義務付けられている。
manifest	現れる	症状は数週間後に現れることがある。
manipulate	操作する	調査結果を操作しないでください。
manipulation	操作	データの操作が発覚した。
manuscript	原稿	出版社は彼女の原稿を受け入れた。
march	行進する	デモ隊は中心街を行進する予定だ。
marginal	わずかな / 限界の	その変更にはわずかな利点しかなかった。
marine	海の / 海洋の	海洋生物にはきれいな水が必要だ。
marketplace	市場	オンライン市場は急速に拡大した。
mask	マスク	労働者はマスクを着用しなければならない。
massacre	大虐殺	その大虐殺は地域全体に衝撃を与えた。
mathematical	数学的な	その数学的モデルは需要を予測した。
mature	成熟した	成熟した木々が日陰を作っている。
maximize	最大化する	その更新はバッテリー寿命を最大化する。
meaningful	意味のある	彼らは意味のある会話をした。
meantime	その間	その間、外で待っていてください。
medieval	中世の	その城には中世の壁がある。
meditation	瞑想	毎日の瞑想が彼女の心を落ち着かせる。
melody	旋律 / メロディ	そのメロディが頭から離れなかった。
memo	メモ	そのメモが方針を説明していた。
memoir	回顧録	彼女の回顧録は子供時代の亡命について描写している。
memorial	記念碑	その記念碑は地元の兵士を称えている。
mentor	助言者 / メンター	彼女のメンターが提案書を見直した。
merchant	商人	その商人は絹と香辛料を売っていた。
mercy	慈悲	裁判官は慈悲を示した。
mere	ほんの	ほんの一目見ただけで誤りが分かった。
merely	単に	彼女は単に指示を繰り返しただけだった。
merge	合併する	その2つの会社は合併する予定だ。
merger	合併	その合併によりさらに大きな銀行が誕生した。
merit	長所 / メリット	その提案には明確なメリットがある。
methodology	方法論	その研究は独自の方法論を説明している。
midst	真ん中 / 最中	彼らは混乱の真っ只中で働いた。
migration	移住 / 移動	季節的な移動は地元の雇用に影響を与える。
militant	過激派の / 攻撃的な	過激派グループは交渉を拒否した。
militia	民兵組織	民兵が道路を支配していた。
mill	製粉所 / 工場	その古い工場は博物館になった。
minimal	最小の	その計画は最小限の労力しか必要としない。
minimize	最小限にする	私たちは不必要なリスクを最小限にしなければならない。
mining	採掘 / 鉱業	採掘が川の谷に被害を与えた。
ministry	省	その省は新しい規則を発表した。
minute2	ごくわずかな / 微小な	ガラスに微小なひびが入った。
miracle	奇跡	彼の回復は奇跡のようだった。
misery	悲惨さ / 苦難	難民は何年もの苦難に耐えた。
misleading	誤解を招く	その誤解を招くグラフは読者を混乱させた。
missile	ミサイル	そのミサイル実験は緊張を高めた。
mob	暴徒	怒れる暴徒が交通を妨害した。
mobility	移動性 / 機動性	バスの改善が都市の移動性を高める。
mobilize	動員する	リーダーたちは迅速にボランティアを動員する。
moderate	穏健な	その候補者は穏健な見解を持っている。
modification	修正 / 変更	その設計には1か所修正が必要だ。
momentum	勢い	そのキャンペーンは急速に勢いを増した。
monk	修道士 / 僧侶	その僧侶は沈黙の中で生きた。
monopoly	独占	その会社は独占権を握っていた。
morality	道徳	そのコースは公共の道徳を検討する。
motive	動機	警察は彼の動機を尋問した。
motorist	運転手	運転手は赤信号で停車した。
municipal	市の / 地方自治体の	市のサービスは今年改善された。
mutual	相互の	彼らは相互の合意に達した。
namely	すなわち	問題が1つ残っている、すなわち資金だ。
nationwide	全国的な	そのストライキは全国的な遅延を引き起こした。
naval	海軍の	その海軍基地は昨年閉鎖された。
neglect	怠る	基本的な安全を怠ってはいけない。
neighbouring	近隣の	近隣の町がその病院を共有していた。
nest	巣	その鳥は巣を作った。
net	正味の	純利益が急激に増加した。
newsletter	会報 / ニュースレター	ニュースレターは毎週金曜日に届く。
niche	ニッチ / 隙間市場	その会社は収益性の高いニッチを見つけた。
noble	気高い / 崇高な	彼女の気高い行為は皆を感動させた。
nod	うなずく	理解したらうなずいてください。
nominate	指名する	彼らは新しい議長を指名する予定だ。
nomination	指名	彼女の指名は委員会を驚かせた。
nominee	指名候補者	候補者は難しい質問に答えた。
nonetheless	それにもかかわらず	それにもかかわらず、計画は前進した。
non-profit	非営利的の	彼女は非営利の診療所で働いている。
nonsense	無意味 / ナンセンス	その噂は全くのナンセンスだ。
noon	正午	会議は正午に始まる。
notable	注目すべき	その報告書は注目すべき進歩を遂げた。
notably	著しく / とりわけ	とりわけ、5月には費用が減少した。
notify	通知する	出発する前にスタッフに通知してください。
notorious	悪名高い	その道は事故が多いことで悪名高いです。
novel	斬新な	彼らは斬新な解決策を提案しました。
nursery	保育園	その保育園は幼児の世話をします。
objection	異議	弁護士は異議を唱えました。
oblige	義務付ける	規則により運転手は停止することが義務付けられています。
obsess	執着する	小さな間違いに執着しないでください。
obsession	執着	彼の執着が彼の仕事に悪影響を及ぼしました。
occasional	時折の	時折の遅れが予想されます。
occurrence	出来事	そのような出来事はまれです。
odds	確率	成功の確率が向上しました。
offering	提供	大学は提供する講座を拡大しました。
offspring	子	キツネは自分の子を守りました。
operational	稼働中の	新しいシステムが稼働しています。
opt	選ぶ	多くの学生がオンライン授業を選びます。
optical	光学の	その光学レンズは掃除が必要です。
optimism	楽観主義	発表後、楽観的な見方が戻りました。
oral	口頭の	口頭試験は明日始まります。
organizational	組織の	組織の変更がすぐに始まりました。
orientation	オリエンテーション	ワークショップでは従業員のオリエンテーションが行われました。
originate	発祥する	多くの伝統は農村部の村で発祥します。
outbreak	発生	感染症の発生が街中に広がりました。
outing	遠足	クラスは博物館への遠足を楽しんだ。
outlet	アウトレット	そのアウトレットは割引価格の服を販売しています。
outlook	見通し	経済の見通しは依然として不透明です。
outrage	激怒	その決定は世間の激怒を引き起こしました。
outsider	部外者	部外者として、彼女は問題に気づきました。
overlook	見落とす	些細な詳細を見落とさないでください。
overly	過度に	指示は過度に複雑でした。
oversee	監督する	彼女がそのプロジェクトを監督します。
overturn	覆す	裁判所は判決を覆すかもしれません。
overwhelm	圧倒する	多すぎる情報は学習者を圧倒する可能性があります。
overwhelming	圧倒的な	証拠は圧倒的でした。
pad	パッド	膝を保護するためにパッドを使用してください。
parameter	パラメータ	一度に一つのパラメータを調整してください。
parental	親の	親のサポートが出席率を向上させました。
parish	教区	教区はチャリティーディナーを企画しました。
parliamentary	議会の	議会での討論は数時間続きました。
partial	部分的な	報告書は部分的な回答を示しました。
partially	部分的に	窓は部分的に開いていました。
passing	死去	彼女の死去は突然でした。
passive	受動的な	受動的な投資家は安定した利益を受け入れました。
pastor	牧師	牧師はその家族を訪問しました。
patch	継ぎ当て	そのジャケットには小さな継ぎ当てが必要です。
patent	特許	会社は特許を出願しました。
pathway	経路	その経路は資格取得につながります。
patrol	パトロール	警察は夜間にその地域を巡回します。
patron	後援者	博物館はその後援者に感謝しました。
peak	ピーク	需要は冬にピークに達しました。
peasant	農民	その農民は少しの土地しか所有していませんでした。
peculiar	奇妙な	部屋には奇妙な匂いがしました。
persist	続く	症状は数日間続くことがあります。
persistent	しつこい	しつこい咳には注意が必要です。
personnel	人事	人事記録は機密事項です。
petition	嘆願書	嘆願書は数千の署名を集めました。
philosopher	哲学者	哲学者は一般的な思い込みに疑問を投げかけました。
philosophical	哲学的な	議論は哲学的になりました。
physician	医師	医師は血液検査を指示しました。
pioneer	先駆者	彼女は医学の先駆者になりました。
pipeline	パイプライン	パイプラインは地下でガスを輸送します。
pirate	海賊	沖合に海賊船が現れました。
pit	穴	労働者たちは深い穴を掘りました。
plea	嘆願	彼の助けを求める嘆願は無視されました。
plead	申し立てる	容疑者は有罪を認めるでしょう。
pledge	誓う	彼らは改革への支持を誓います。
plug	差し込む	ケーブルをコンセントに差し込んでください。
plunge	急落する	スキャンダルの後、価格が急落する可能性があります。
pole	ポール	旗がポールに掛かっていました。
poll	世論調査	世論調査は変化する意見を示しました。
pond	池	アヒルが凍った池を渡りました。
pop	割れる	鋭利なものの近くでは風船が割れます。
portfolio	ポートフォリオ	彼女のポートフォリオには複数のスタートアップが含まれています。
portray	描く	その映画は田舎の生活を描きます。
postpone	延期する	彼らは公聴会を延期することに決めました。
post-war	戦後の	戦後の住宅が緊急に必要でした。
practitioner	専門家	医師は治療法を説明しました。
preach	説教する	牧師は日曜日に説教をします。
precedent	前例	その判決は重要な前例を作りました。
precision	精度	その機械は高精度で切断します。
predator	捕食者	捕食者は川の近くで待っていました。
predecessor	前任者	彼女の前任者は詳細なメモを残しました。
predominantly	主に	その地域は主に住宅街です。
pregnancy	妊娠	妊娠には定期的な医療ケアが必要です。
prejudice	偏見	そのキャンペーンは人種的偏見に異議を唱えました。
preliminary	予備的な	予備的な結果は有望に見えます。
premier	首相	首相は今日議会で演説しました。
premise	前提	その主張は誤った前提に基づいています。
premium	割増料金	顧客はスピードのために割増料金を支払いました。
prescribe	処方する	医師は慎重に抗生物質を処方します。
prescription	処方箋	処方箋は来月期限切れになります。
presently	現在	彼女は現在対応できません。
preservation	保存	保存活動により歴史的建造物が守られます。
preside	取り仕切る	裁判官が裁判を取り仕切ります。
presidency	大統領の任期	彼の大統領としての任期は8年間続きました。
presidential	大統領の	大統領選挙は注目を集めました。
