source_headword	SI	example_SI
institute	ආයතනය	ආයතනය නව පර්යේෂණ වැඩසටහනක් ආරම්භ කළේය.
institution	ආයතනය	ආයතනය සිය ප්‍රවේශ නීති වෙනස් කළේය.
insurance	රක්ෂණය	ඇයගේ රක්ෂණය රෝහල් ගාස්තු පියවා ඇත.
intended	අපේක්ෂිත	පණිවිඩය එහි අපේක්ෂිත ප්‍රේක්ෂකයින් වෙත ළඟා විය.
intense	තීව්‍ර	විවාදය ඉතා ඉක්මනින් තීව්‍ර විය.
internal	අභ්‍යන්තර	සමාගම අභ්‍යන්තර සමාලෝචනයක් ආරම්භ කළේය.
interpret	අර්ථ නිරූපණය කරනවා	කරුණාකර ප්‍රතිඵල ප්‍රවේශමෙන් අර්ථ නිරූපණය කරන්න.
interrupt	බාධා කරනවා	දැන් කථිකයාට බාධා නොකරන්න.
investigation	පරීක්ෂණය	පරීක්ෂණයෙන් බරපතල වැරදි අනාවරණය විය.
investment	ආයෝජනය	ආයෝජනය බොහෝ දේශීය රැකියා නිර්මාණය කළේය.
joy	සතුට	ඔවුන්ගේ සාර්ථකත්වය විශාල සතුටක් ගෙන දුන්නේය.
judgement	විනිශ්චය	අත්දැකීම් සමඟ ඔහුගේ විනිශ්චය වැඩි දියුණු විය.
junior	කනිෂ්ඨ	ඇය කනිෂ්ඨ විශ්ලේෂකවරියක ලෙස කණ්ඩායමට සම්බන්ධ වූවාය.
justice	යුක්තිය	නඩු විභාගයෙන් පසු පවුලේ අය යුක්තිය ඉල්ලා සිටියහ.
justify	සාධාරණීකරණය කරනවා	ඔබ එම තීරණය පැහැදිලිව සාධාරණීකරණය කළ යුතුය.
labour	ශ්‍රමය	ව්‍යාපෘතියට පුහුණු ශ්‍රමය අවශ්‍ය වේ.
landscape	භූ දර්ශනය	කුණාටුවෙන් පසු භූ දර්ශනය වෙනස් විය.
largely	බොහෝ දුරට	සැලැස්ම බොහෝ දුරට සාර්ථක විය.
launch	දියත් කරනවා	ඔවුන් හෙට නිෂ්පාදනය දියත් කරනු ඇත.
leadership	නායකත්වය	ප්‍රබල නායකත්වය කණ්ඩායමට යථා තත්ත්වයට පත්වීමට උපකාරී විය.
