source_headword	VI	example_VI
absorb	tiếp thu	Khăn thấm nước rất nhanh.
abstract	trừu tượng	Bài giảng đã thảo luận về những ý tưởng trừu tượng.
accent	giọng điệu	Giọng của cô ấy rất dễ hiểu.
accidentally	tình cờ	Tôi đã vô tình xóa tệp đó.
accommodate	đáp ứng	Khách sạn có thể cung cấp chỗ ở cho các gia đình lớn.
accomplish	hoàn thành	Cô ấy đã hoàn thành mục tiêu của mình trước tháng Sáu.
accountant	kế toán viên	Kế toán viên đã kiểm tra hóa đơn.
accuracy	sự chính xác	Bài kiểm tra đo lường độ chính xác khi đọc.
accurately	một cách chính xác	Bản đồ hiển thị tuyến đường một cách chính xác.
acid	axit	Axit đã làm hỏng bề mặt kim loại.
activate	kích hoạt	Nhấn nút để kích hoạt báo động.
addiction	sự nghiện ngập	Chứng nghiện của anh ấy đã ảnh hưởng đến công việc.
additionally	ngoài ra	Ngoài ra, chúng tôi cần thêm ghế.
adequate	đầy đủ	Căn phòng có đầy đủ ánh sáng.
adequately	một cách đầy đủ	Bản báo cáo đã giải thích vấn đề một cách đầy đủ.
adjust	điều chỉnh	Hãy điều chỉnh ghế trước khi lái xe.
affordable	giá cả phải chăng	Căn hộ có giá cả phải chăng cho sinh viên.
agriculture	nông nghiệp	Nông nghiệp nuôi sống nhiều gia đình ở nông thôn.
AIDS	bệnh AIDS	Các bác sĩ điều trị bệnh AIDS bằng y học hiện đại.
alien	người ngoài hành tinh	Bộ phim chiếu một hành tinh xa lạ.
alongside	bên cạnh	Đường dành cho xe đạp chạy dọc theo con sông.
altogether	hoàn toàn	Tổng cộng, dự án mất sáu tuần.
ambulance	xe cứu thương	Xe cứu thương đã đến trong vòng vài phút.
amusing	thú vị	Câu chuyện rất thú vị và nhẹ nhàng.
analyst	nhà phân tích	Nhà phân tích đã xem xét dữ liệu bán hàng.
ancestor	tổ tiên	Tổ tiên của tôi sống gần ngôi làng này.
animation	hoạt hình	Hình ảnh hoạt hình đã làm cho bài học rõ ràng hơn.
annually	hàng năm	Lễ hội được tổ chức hàng năm.
anticipate	dự đoán	Chúng tôi dự đoán ngày mai sẽ có kẹt xe.
anxiety	sự lo âu	Sự lo âu có thể gây khó ngủ.
apology	lời xin lỗi	Cô ấy đã đưa ra một lời xin lỗi chân thành.
applicant	ứng viên	Ứng viên đã gửi một sơ yếu lý lịch mới.
appropriately	một cách thích hợp	Vui lòng ăn mặc thích hợp cho buổi phỏng vấn.
arrow	mũi tên	Mũi tên chỉ về phía lối ra.
artwork	tác phẩm nghệ thuật	Bảo tàng đã trưng bày các tác phẩm nghệ thuật địa phương.
aside	sang một bên	Cô ấy bước sang một bên để anh ấy đi qua.
asset	tài sản	Kinh nghiệm là một tài sản quý giá.
assign	phân công	Hôm nay giáo viên đã giao bài tập về nhà.
assistance	sự giúp đỡ	Vui lòng nhờ nhân viên giúp đỡ.
assumption	giả định	Giả định đó có thể sai.
assure	đảm bảo	Tôi đảm bảo với bạn rằng cửa đã khóa.
astonishing	đáng kinh ngạc	Cảnh quan từ vách đá thật đáng kinh ngạc.
attachment	tệp đính kèm	Email có bao gồm một tệp đính kèm.
auction	cuộc đấu giá	Bức tranh đã được bán tại cuộc đấu giá.
audio	âm thanh	Bản ghi âm thanh nghe rất rõ.
automatic	tự động	Cánh cửa có khóa tự động.
automatically	một cách tự động	Đèn tự động bật sáng.
awareness	nhận thức	Chiến dịch đã nâng cao nhận thức của cộng đồng.
awkward	khó xử	Sự im lặng cảm thấy thật ngượng ngùng.
badge	huy hiệu	Du khách phải đeo huy hiệu.
balanced	cân bằng	Một chế độ ăn uống cân bằng bao gồm cả rau củ.
