source_headword	ET	example_ET
incur	kaasa tooma	Viivitused võivad kaasa tuua lisakulusid.
indicator	näitaja	Töötus on üks majanduslik näitaja.
indictment	süüdistusakt	Süüdistusakt sisaldas kolme süüdistust.
indigenous	põline	Põlised taimed kasvavad siin hästi.
induce	esile kutsuma	Ravim võib esile kutsuda und.
indulge	endale lubama	Ta ei luba endale kalleid harjumusi.
inequality	ebavõrdsus	Sissetulekute ebavõrdsus on endiselt suur probleem.
infamous	kurikuulus	Vangla sai kurikuulsaks kogu maailmas.
infant	imik	Imik magas võrevoodis.
infect	nakatama	Viirus võib nakatada terveid rakke.
inflict	põhjustama	Ärge tekitage loomadele valu.
influential	mõjukas	Ta on mõjukas õigusteadlane.
inherent	olemuslik	Disainil on olemuslikud riskid.
inhibit	pärssima	Hirm võib pärssida ausat arutelu.
initiate	algatama	Juhataja algatab läbivaatamise.
inject	süstima	Õde süstib vaktsiini.
injection	süst	Süst vähendas valu.
injustice	ebaõiglus	Kohtuotsus paljastas selge ebaõigluse.
inmate	kinnipeetav	Kinnipeetav palus õigusabi.
insertion	sisestamine	Vorm vajab ühte teksti sisestamist.
insider	siseringi isik	Siseringi isik lekitas aruande.
inspect	kontrollima	Ametnikud kontrollivad silda igal aastal.
inspection	ülevaatus	Ülevaatusel avastati tõsiseid kahjustusi.
inspiration	inspiratsioon	Tema kõne andis mulle inspiratsiooni.
instinct	instinkt	Tema esimene instinkt oli aidata.
institutional	institutsionaalne	Institutsionaalsed reeglid kujundasid otsuse.
instruct	juhendama	Käsiraamat juhendab uusi töötajaid.
instrumental	oluline	Tema nõuanne oli läbirääkimistel oluline.
insufficient	ebapiisav	Tõendid olid süüdistuse esitamiseks ebapiisavad.
insult	solvang	Tema solvang lõpetas vestluse.
intact	puutumatu	Iidne müür jäi puutumatuks.
intake	tarbimine	Suhkru tarbimine peaks jääma mõõdukaks.
integral	lahutamatu	Usaldus on meeskonna lahutamatu osa.
integrated	integreeritud	Kool pakub integreeritud tuge.
integration	integratsioon	Integratsioon parandas kogu süsteemi.
integrity	ausus	Kohtunik näitas üles suurt ausust.
intensify	tugevnema	Torm võib öösel tugevneda.
intensity	intensiivsus	Treeningu intensiivsus suurenes.
intensive	intensiivne	Nad läbisid intensiivse keeleõppe.
intent	kavatsus	Tema kavatsust oli raske tõestada.
interactive	interaktiivne	Muuseumis on interaktiivsed ekraanid.
interface	liides	Liideses on lihtne navigeerida.
interfere	sekkuma	Ärge sekkuge uurimisse.
interference	häired	Signaalihäired katkestasid kõne.
interim	ajutine	Vahearuanne saabub homme.
interior	sise-	Siseseinad vajavad värvimist.
intermediate	kesktase	Ta liitus kesktaseme klassiga.
intervene	vahele segama	Politsei pidi kiiresti vahele segama.
intervention	sekkumine	Varajane sekkumine aitas patsienti.
intimate	intiimne	Nad korraldasid intiimse perekondliku tseremoonia.
intriguing	intrigeeriv	Andmed paljastasid intrigeeriva mustri.
investigator	uurija	Uurija küsitles iga tunnistajat.
invisible	nähtamatu	Gaas on nähtamatu ja ohtlik.
invoke	tuginema	Advokaat proovis tugineda pretsedendile.
involvement	seotus	Tema seotus jäi ebaselgeks.
ironic	irooniline	Irooniline kommentaar ajas kõik naerma.
ironically	irooniliselt	Irooniliselt võttis marsruut rohkem aega.
irony	iroonia	Iroonia oli kõigile ilmselge.
irrelevant	ebaoluline	See detail on siin ebaoluline.
isolation	isolatsioon	Isolatsioon võib kahjustada vaimset tervist.
judicial	kohtulik	Kohtulik läbivaatamine algab esmaspäeval.
junction	ristmik	Pöörake ristmikul vasakule.
jurisdiction	jurisdiktsioon	Kohtul on piiratud jurisdiktsioon.
just	õiglane	Kohtunik tegi õiglase otsuse.
justification	põhjendus	Meil on vaja selget põhjendust kulutustele.
kidnap	röövima	Kurjategijad üritasid diplomaati röövida.
kidney	neer	Tema neerufunktsioon paranes.
kingdom	kuningriik	Kuningriik laienes tema valitsemisajal.
lad	noormees	Noor poiss kandis kotte.
landlord	üürileandja	Üürileandja parandas kütte.
landmark	maamärk	Tornist sai linna maamärk.
lap	süli	Laps istus tema süles.
large-scale	laiaulatuslik	Linn kavandas laiaulatuslikke remonditöid.
laser	laser	Laser mõõtis kaugust.
latter	viimane	Teine variant tundub turvalisem.
lawn	muru	Lapsed mängisid murul.
lawsuit	kohtuasi	Ettevõte lahendas kohtuasja.
layout	paigutus	Lehe paigutus tundub selgem.
leak	leke	Toruleke ujutas köögi üle.
leap	hüpe	Müük tegi äkilise hüppe.
legacy	pärand	Tema pärand kujundas ülikooli.
legendary	legendaarne	Legendaarne laulja naasis lavale.
legislation	seadusandlus	Uus seadusandlus kaitseb üürnikke.
legislative	seadusandlik	Seadusandlik komitee kogunes täna.
legislature	seadusandlik kogu	Seadusandlik kogu kiitis eelarve heaks.
legitimate	legitiimne	Nad tõstatasid legitiimseid muresid.
lengthy	pikaleveniv	Pikaleveniv arutelu lükkas hääletust edasi.
lesbian	lesbi	Lesbiaktivist esines foorumil.
lesser	väiksem	Valige väiksem risk.
lethal	surmav	Kemikaal võib olla surmav.
liable	vastutav	Juhid on vastutavad kahjude eest.
liberal	liberaalne	Ta toetab liberaalset sotsiaalpoliitikat.
liberation	vabastamine	Vabastamine muutis riigi tulevikku.
liberty	vabadus	Seadus kaitseb isikuvabadust.
license	litsentseerima	Riik võib uusi kliinikuid litsentseerida.
lifelong	eluaegne	Ta leidis sealt eluaegseid sõpru.
likelihood	tõenäosus	Vihma tõenäosus suurenes.
limb	jäse	Vigastatud jäse paranes aeglaselt.
linear	lineaarne	Graafik näitab lineaarset suundumust.
line-up	esinejate koosseis	Festivali koosseis sisaldab kohalikke bände.
linger	püsima	Lõhn võib püsida tunde.
listing	kuulutus	Korteri kuulutus tundus täpne.
literacy	kirjaoskus	Täiskasvanute kirjaoskuse programmid laienesid.
liver	maks	Maks filtreerib kahjulikke aineid.
lobby	fuajee	Fuajee oli pärast keskpäeva rahvast täis.
log	logi	Süsteem peab igapäevast logi.
logic	loogika	Tema argumendi loogika vedas alt.
long-standing	pikaajaline	Nad lahendasid pikaajalise vaidluse.
long-time	kauaaegne	Ta on kauaaegne vabatahtlik.
loom	terendama	Tumedad pilved terendavad oru kohal.
loop	ring	Rada moodustab ringi.
loyalty	lojaalsus	Tema lojaalsus avaldas meeskonnale muljet.
machinery	masinad	Tehas paigaldas uued masinad.
magical	maagiline	Aed nägi öösel maagiline välja.
magistrate	kohtunik	Kohtunik arutas juhtumit.
magnetic	magnetiline	Magnetväli mõjutas kompassi.
magnitude	ulatus	Kahju ulatus oli selge.
mainland	mandriosa	Parvlaev ühendab saari mandriosaga.
mainstream	peavool	Idee sisenes peavoolu poliitikasse.
maintenance	hooldus	Regulaarne hooldus ennetab rikkeid.
mandate	mandaat	President kuulutas välja tugeva mandaadi.
mandatory	kohustuslik	Osalemine on praktikantidele kohustuslik.
manifest	avalduma	Sümptomid võivad avalduda nädalate pärast.
manipulate	manipuleerima	Ärge manipuleerige küsitluse tulemustega.
manipulation	manipulatsioon	Andmete manipulatsioon avastati.
manuscript	käsikiri	Kirjastaja võttis tema käsikirja vastu.
march	marssima	Protestijad marsivad kesklinna.
marginal	marginaalne	Muudatusel oli marginaalne kasu.
marine	mere	Meres elavad organismid vajavad puhast vett.
marketplace	turg	Veebiturg laienes kiiresti.
mask	mask	Töötajad peavad kandma maski.
massacre	veresaun	Veresaun šokeeris kogu regiooni.
mathematical	matemaatiline	Matemaatiline mudel ennustas nõudlust.
mature	küps	Küpsed puud pakuvad varju.
maximize	maksimeerima	Uuendus maksimeerib aku kestvust.
meaningful	tähendusrikas	Neil oli tähendusrikas vestlus.
meantime	vaheaeg	Seni oodake väljas.
medieval	keskaegne	Lossil on keskaegsed müürid.
meditation	meditatsioon	Igapäevane meditatsioon rahustab ta meelt.
melody	meloodia	Meloodia jäi mulle meelde.
memo	memo	Memo selgitas poliitikat.
memoir	memuaarid	Tema memuaarid kirjeldavad lapsepõlve eksiili.
memorial	memoriaal	Memoriaal austab kohalikke sõdureid.
mentor	mentor	Tema mentor vaatas ettepaneku üle.
merchant	kaupmees	Kaupmees müüs siidi ja vürtse.
mercy	halastus	Kohtunik näitas üles halastust.
mere	paljas	Paljas pilk paljastas vea.
merely	kõigest	Ta kõigest kordas juhiseid.
merge	ühinema	Kaks ettevõtet ühinevad.
merger	ühinemine	Ühinemine lõi suurema panga.
merit	teene	Ettepanekul on selge väärtus.
methodology	metodoloogia	Uuring selgitab oma metodoloogiat.
midst	keskel	Nad töötasid kaose keskel.
migration	ränne	Hooajaline ränne mõjutab kohalikke töökohti.
militant	võitlev	Militantne rühmitus lükkas läbirääkimised tagasi.
militia	miilits	Miilits kontrollis teed.
mill	veski	Vanast veskist sai muuseum.
minimal	minimaalne	Plaan nõuab minimaalset pingutust.
minimize	minimeerima	Peame minimeerima tarbetut riski.
mining	kaevandamine	Kaevandamine kahjustas jõeorgu.
ministry	ministeerium	Ministeerium teatas uutest reeglitest.
minute2	pisike	Klaasi ilmus pisike pragu.
miracle	ime	Tema paranemine tundus imena.
misery	viletsus	Põgenikud kannatasid aastaid viletsust.
misleading	eksitav	Eksitav graafik ajas lugejad segadusse.
missile	rakett	Raketikatsetus tõstis pingeid.
mob	rahvahulk	Vihane rahvahulk blokeeris liikluse.
mobility	mobiilsus	Paremad bussid parandavad linna mobiilsust.
mobilize	mobiliseerima	Juhid mobiliseerivad vabatahtlikud kiiresti.
moderate	mõõdukas	Kandidaat on mõõdukate vaadetega.
modification	modifikatsioon	Disain vajab ühte modifikatsiooni.
momentum	hoog	Kampaania kogus kiiresti hoogu.
monk	munk	Munk elas vaikuses.
monopoly	monopol	Ettevõttel oli monopol.
morality	moraal	Kursus uurib avalikku moraali.
motive	motiiv	Politsei seadis tema motiivi kahtluse alla.
motorist	autojuht	Autojuht peatus punase tule ees.
municipal	munitsipaal	Munitsipaalteenused paranesid sel aastal.
mutual	vastastikune	Nad jõudsid vastastikusele kokkuleppele.
namely	nimelt	Jääb üks probleem, nimelt rahastamine.
nationwide	üleriigiline	Streik põhjustas üleriigilisi viivitusi.
naval	mereväe	Mereväebaas suleti eelmisel aastal.
