source_headword	LV	example_LV
toss	mest	Viņa nometa atslēgas uz galda.
total	sasniegt kopsummu	Remonta izmaksas kopsummā ir lielākas nekā gaidīts.
toxic	toksisks	Toksiskie dūmi piespieda visus iziet ārā.
trademark	preču zīme	Logotips kļuva par uzņēmuma preču zīmi.
trail	taka	Taka veda cauri mežam.
trailer	treileris	Treileris parādīja filmas beigas.
transaction	transakcija	Transakcija parādījās manā bankas izrakstā.
transcript	izraksts	Students pieprasīja oficiālu izrakstu.
transformation	transformācija	Pilsēta piedzīvoja lielu transformāciju.
transit	tranzīts	Paka tika sabojāta tranzīta laikā.
transmission	pārraide	Datu pārraide bija droša.
transparency	caurskatāmība	Ziņojums aicināja uz lielāku caurskatāmību.
transparent	caurskatāms	Procesam jābūt caurskatāmam visiem.
trauma	trauma	Negadījums atstāja dziļu traumu.
treaty	līgums	Valstis parakstīja miera līgumu.
tremendous	milzīgs	Komanda panāca milzīgu progresu.
tribal	cilšu	Muzejā tika izstādīta cilšu māksla.
tribunal	tribunāls	Tribunāls visu nedēļu uzklausīja pierādījumus.
tribute	veltījums	Koncerts bija veltījums viņai.
trio	trio	Trio uzstājās festivālā.
triumph	triumfs	Uzvara bija personīgs triumfs.
trophy	trofeja	Kapteinis lepni pacēla trofeju.
troubled	grūtībās nonācis	Grūtībās nonākušajam uzņēmumam bija nepieciešama jauna vadība.
trustee	pilnvarotais	Pilnvarotais pārvalda stipendiju fondu.
tuition	mācību maksa	Viņas mācību maksa šogad pieauga.
turnout	vēlētāju aktivitāte	Vēlētāju aktivitāte bija augstāka nekā gaidīts.
turnover	kadru mainība	Pēc izmaiņām darbinieku mainība samazinājās.
twist	pagriezt	Viņa pagrieza vāciņu, lai to atvērtu.
undergraduate	bakalaura students	Bakalaura students pievienojās pētniecības projektam.
underlying	pamatā esošais	Ziņojumā bija izskaidroti pamatā esošie cēloņi.
undermine	iedragāt	Skandāls iedragāja sabiedrības uzticību.
undoubtedly	neapšaubāmi	Viņa neapšaubāmi ir labākā kandidāte.
unify	apvienot	Plāna mērķis ir apvienot komandas.
unprecedented	nepieredzēts	Vētra nodarīja nepieredzētus postījumus.
unveil	atklāt	Uzņēmums rīt atklās dizainu.
upcoming	gaidāmais	Gaidāmās vēlēšanas piesaistīja sabiedrības uzmanību.
upgrade	atjaunināt	Mēs atjauninājām programmatūru pagājušajā naktī.
uphold	atbalstīt	Mēs atbalstām sākotnējo lēmumu.
utility	komunālie pakalpojumi	Dzīvoklī ir iekļautas visas komunālo pakalpojumu izmaksas.
utilize	izmantot	Komanda izmantoja pieejamos datus.
utterly	pilnīgi	Paskaidrojums bija pilnīgi mulsinošs.
vacuum	vakuums	Vakuums vadībā radīja spriedzi.
vague	neskaidrs	Viņa atbilde bija neskaidra un vāja.
validity	pamatotība	Pētījums apšaubīja testa pamatotību.
vanish	pazust	Fails pazuda no mapes.
variable	mainīgais	Cena ir viens svarīgs mainīgais.
varied	daudzveidīgs	Kurss piedāvā daudzveidīgus uzdevumus.
vein	vēna	Māsiņa ātri atrada vēnu.
venture	uzņēmums	Jaunais uzņēmums piesaistīja investorus.
verbal	mutisks	Viņi panāca mutisku vienošanos.
verdict	spriedums	Zvērinātie pasludināja savu spriedumu.
verify	apstiprināt	Lūdzu, apstipriniet savu e-pasta adresi.
verse	pants	Viņa citēja pantu no dzejoļa.
versus	pret	Debates bija privātums pret drošību.
vessel	kuģis	Kuģis veda graudus pāri jūrai.
veteran	veterāns	Veterāns apmācīja jaunos darbiniekus.
viable	reāli īstenojams	Priekšlikums ir finansiāli reāli īstenojams.
vibrant	dinamisks	Pilsētā ir dinamiska mākslas aina.
vice	netikums	Mantkārība bija viņa lielākais netikums.
vicious	nežēlīgs	Nežēlīgais uzbrukums šokēja pilsētu.
villager	ciema iedzīvotājs	Ciema iedzīvotājs mūs aizveda līdz upei.
violate	pārkāpt	Uzņēmums var pārkāpt drošības noteikumus.
violation	pārkāpums	Inspektors ziņoja par nopietnu pārkāpumu.
virtue	tikums	Pacietība ir svarīgs tikums.
vocal	atklāts	Viņa atklāti izteicās par šo lēmumu.
vow	solīt	Viņš solīja pabeigt darbu.
vulnerability	ievainojamība	Audits atklāja drošības ievainojamību.
vulnerable	neaizsargāts	Bērni ir neaizsargāti liela karstuma laikā.
ward	palāta	Pacients pārcēlās uz citu palātu.
warehouse	noliktava	Noliktavā tiek glabātas rezerves daļas.
warfare	karadarbība	Mūsdienu karadarbība paļaujas uz tehnoloģijām.
warrant	orderis	Policija uzrādīja kratīšanas orderi.
warrior	karotājs	Karotājs sargāja ciemu.
weaken	pavājināt	Trauma pavājināja viņa tvērienu.
weave	pīt	Viņa iemācījās pīt grozus.
weed	nezāle	Starp akmeņiem izauga nezāle.
well	aka	Ciema aka izžuva.
well-being	labklājība	Miegs ir vitāli svarīgs labklājībai.
whatsoever	vispār	Viņš neizrādīja pilnīgi nekādu interesi.
whereby	ar kuru	Likums izveidoja sistēmu, ar kuru ģimenes varēja iesniegt apelāciju.
whilst	kamēr	Viņa strādāja, kamēr viņš atpūtās.
whip	plivināt	Vējš var plivināt karogus.
wholly	pilnīgi	Lēmums bija pilnīgi negaidīts.
widen	paplašināt	Pilsēta plāno paplašināt ceļu.
widow	atraitne	Atraitne dzīvo netālu no skolas.
width	platums	Izmēriet durvju platumu.
willingness	vēlme	Viņas vēlme palīdzēt pārsteidza visus.
wipe	noslaucīt	Noslaukiet ekrānu ar drānu.
wit	asprātība	Viņa asprātība padarīja runu dzīvīgu.
withdrawal	atsaukšana	Finansējuma atsaukšana aizkavēja projektu.
workout	treniņš	Treniņš ilga četrdesmit minūtes.
worship	dievkalpojums	Cilvēki pulcējās uz dievkalpojumu rītausmā.
worthwhile	tā vērts	Ceļojums bija tā vērts.
worthy	cienīgs	Labdarība ir atbalsta cienīga.
yell	kliegt	Nekliedziet uz personālu.
yield	raža	Saimniecības raža šajā sezonā uzlabojās.
youngster	jaunietis	Jaunietis uzdeva daudz jautājumu.
