source_headword	NE	example_NE
clothes	लुगा	मेरा लुगा सफा छन्।
club	क्लब; समूह	उनी संगीत क्लब जान्छिन्।
coat	कोट	मेरो कोट न्यानो छ।
coffee	कफी	म बिहान कफी पिउँछु।
cold	चिसो	पानी चिसो छ।
college	कलेज	मेरी दिदी कलेजमा छिन्।
colour	रङ	मेरो मनपर्ने रङ नीलो हो।
come	आउनु	कृपया यहाँ आऊ।
common	सामान्य	यो नाम सामान्य छ।
company	कम्पनी	मेरी आमा एउटा कम्पनीमा काम गर्नुहुन्छ।
compare	तुलना गर्नु	यी दुई चित्र तुलना गर।
complete	पूरा; पूरा गर्नु	फारम पूरा छ।
computer	कम्प्युटर	यो कम्प्युटर नयाँ छ।
concert	सङ्गीत कार्यक्रम	हामी आज राति सङ्गीत कार्यक्रममा जान्छौँ।
conversation	कुराकानी	हामीले छोटो कुराकानी गर्यौँ।
cook	पकाउनु; भान्से	म घरमा बेलुकाको खाना पकाउँछु।
cooking	पकाउने काम	मलाई बुबासँग खाना पकाउन मन पर्छ।
cool	चिसो; कूल	कोठा चिसो छ।
correct	सही; सच्याउनु	तिम्रो उत्तर सही छ।
cost	मूल्य; खर्च हुनु	यसको कति पर्छ?
could modal	सक्थ्यो; सक्नुहुन्थ्यो	म तिमीलाई मद्दत गर्न सक्थेँ।
country	देश	क्यानडा ठूलो देश हो।
course	पाठ्यक्रम; कोर्स	म अंग्रेजी कोर्स लिन्छु।
cousin	भाइबहिनी; काका-मामाको सन्तान	मेरो कजिन मेरो नजिक बस्छ।
cow	गाई	गाईले घाँस खान्छ।
cream	क्रिम; तर	म कफीमा क्रिम हाल्छु।
create	बनाउनु; सिर्जना गर्नु	उनीहरू नयाँ खेल बनाउँछन्।
culture	संस्कृति	हामी स्थानीय संस्कृतिबारे सिक्छौँ।
cup	कप	यो कप खाली छ।
customer	ग्राहक	ग्राहकले प्रश्न सोध्छ।
cut	काट्नु	स्याउ आधा काट।
dad	बुबा	मेरो बुबा काममा हुनुहुन्छ।
dance	नाच; नाच्नु	हामी बेलुकाको खानापछि नाच्छौँ।
dancer	नर्तक; नर्तकी	नर्तकी छिटो चल्छिन्।
dancing	नाच्ने काम	नाच रमाइलो हुन्छ।
dangerous	खतरनाक	यो सडक खतरनाक छ।
dark	अँध्यारो; गाढा	कोठा अँध्यारो छ।
date	मिति	आज कति मिति हो?
daughter	छोरी	उनकी छोरी छ वर्षकी छिन्।
day	दिन	तिम्रो दिन राम्रो होस्।
dear	प्रिय	प्रिय साथी, धन्यवाद।
December	डिसेम्बर	मेरो जन्मदिन डिसेम्बरमा पर्छ।
decide	निर्णय गर्नु	कृपया अहिले निर्णय गर।
delicious	स्वादिष्ट	यो सुप स्वादिष्ट छ।
describe	वर्णन गर्नु	आफ्नो कोठा वर्णन गर।
description	वर्णन	छोटो वर्णन पढ।
design	डिजाइन; डिजाइन गर्नु	म सरल कार्ड डिजाइन गर्छु।
desk	डेस्क; मेज	पुस्तक मेरो डेस्कमा छ।
detail	विवरण	एउटा विवरण छुटेको छ।
dialogue	संवाद	अहिले संवाद पढ।
dictionary	शब्दकोश	कक्षामा शब्दकोश प्रयोग गर।
die	मर्नु	पानी बिना फूलहरू मर्छन्।
diet	आहार	मेरो आहारमा फलफूल पर्छ।
difference	भिन्नता	एउटा भिन्नता छ।
different	फरक	हाम्रा नाम फरक छन्।
difficult	गाह्रो	यो प्रश्न गाह्रो छ।
dinner	बेलुकाको खाना	बेलुकाको खाना तयार छ।
dirty	फोहोर	मेरा जुत्ता फोहोर छन्।
