source_headword	LV	example_LV
clothes	drēbes	Manas drēbes ir tīras.
club	klubs	Viņa iet uz mūzikas klubu.
coat	mētelis	Mans mētelis ir silts.
coffee	kafija	No rīta es dzeru kafiju.
cold	auksts; saaukstēšanās	Ūdens ir auksts.
college	koledža; universitāte	Mana māsa studē universitātē.
colour	krāsa	Mana mīļākā krāsa ir zila.
come	nākt	Nāc šurp, lūdzu.
common	parasts; bieži sastopams	Šis vārds ir parasts.
company	uzņēmums; kompānija	Mana mamma strādā uzņēmumā.
compare	salīdzināt	Salīdzini šīs divas fotogrāfijas.
complete	pilns; pabeigt	Veidlapa ir aizpildīta.
computer	dators	Šis dators ir jauns.
concert	koncerts	Šovakar mēs ejam uz koncertu.
conversation	saruna	Mums bija īsa saruna.
cook	gatavot; pavārs	Es mājās gatavoju vakariņas.
cooking	gatavošana	Man patīk gatavot kopā ar tēti.
cool	vēss; foršs	Istaba ir vēsa.
correct	pareizs; labot	Tava atbilde ir pareiza.
cost	cena; maksāt	Cik tas maksā?
could modal	varēt; varētu	Es varētu tev palīdzēt.
country	valsts	Kanāda ir liela valsts.
course	kurss	Es apmeklēju angļu valodas kursu.
cousin	brālēns; māsīca	Mans brālēns dzīvo netālu.
cow	govs	Govs ēd zāli.
cream	krējums; krēms	Es pieleju kafijai krējumu.
create	radīt; veidot	Viņi veido jaunu spēli.
culture	kultūra	Mēs mācāmies par vietējo kultūru.
cup	krūze	Šī krūze ir tukša.
customer	klients; pircējs	Klients uzdod jautājumu.
cut	griezt; sagriezt	Sagriez ābolu uz pusēm.
dad	tētis	Tētis ir darbā.
dance	dejot; deja	Pēc vakariņām mēs dejojam.
dancer	dejotājs; dejotāja	Dejotāja kustas ātri.
dancing	dejošana	Dejot ir jautri.
dangerous	bīstams	Šis ceļš ir bīstams.
dark	tumšs	Istaba ir tumša.
date	datums; randiņš	Kāds šodien ir datums?
daughter	meita	Viņas meitai ir seši gadi.
day	diena	Novēlu tev jauku dienu.
dear	dārgs; mīļš	Mīļais draugs, paldies.
December	decembris	Mana dzimšanas diena ir decembrī.
decide	izlemt	Izlem tagad, lūdzu.
delicious	garšīgs	Šī zupa ir garšīga.
describe	aprakstīt	Apraksti savu istabu.
description	apraksts	Izlasi īso aprakstu.
design	dizains; veidot	Es veidoju vienkāršu kartīti.
