source_headword	TE	example_TE
absolutely	పూర్తిగా	నేను నీతో పూర్తిగా అంగీకరిస్తున్నాను.
academic	విద్యాసంబంధమైన	విద్యాసంబంధమైన సంవత్సరం సెప్టెంబరులో ప్రారంభమవుతుంది.
access	ప్రవేశం	విద్యార్థులకు గ్రంథాలయ ప్రవేశం అవసరం.
accommodation	వసతి	మేము స్థలానికి దగ్గరగా వసతి బుక్ చేశాము.
account	ఖాతా	ఆమె కొత్త బ్యాంకు ఖాతా తెరిచింది.
achievement	సాధన	కోర్సు పూర్తి చేయడం పెద్ద సాధన.
ad	ప్రకటన	ప్రకటన కొత్త ఫోన్‌ను చూపించింది.
addition	చేరిక	ఈత కొలను ఉపయోగకరమైన చేరిక.
admire	ప్రశంసించు	ఆమె ప్రశాంతమైన ప్రవర్తనను నేను ప్రశంసిస్తాను.
admit	ఒప్పుకో	అతను తన తప్పును ఒప్పుకున్నాడు.
advanced	ఉన్నతమైన	ఇది ఉన్నతమైన ఆంగ్ల తరగతి.
advise	సలహా ఇవ్వు	వైద్యులు క్రమమైన వ్యాయామాన్ని సలహా ఇస్తారు.
afford	భరించగలగు	మాకు టాక్సీ ఖర్చు భరించలేము.
aged	వయస్సు గల	ఈ కోర్సు పది సంవత్సరాల వయస్సు గల పిల్లల కోసం.
agent	ప్రతినిధి	ప్రయాణ ప్రతినిధి మా టికెట్లను మార్చాడు.
agreement	ఒప్పందం	వారు ఈ రోజు ఒప్పందానికి చేరుకున్నారు.
ahead	ముందు	ముందు ఉన్న రహదారి స్పష్టంగా ఉంది.
aim	లక్ష్యం	మేము త్వరగా పూర్తి చేయడం లక్ష్యంగా పెట్టుకున్నాము.
alarm	అలారం	అలారం ఆరు గంటలకు మోగింది.
album	ఆల్బమ్	ఈ ఆల్బమ్‌లో పది పాటలు ఉన్నాయి.
alcohol	మద్యం	హోటల్ మద్యం అందించదు.
alcoholic	మద్యం కలిగిన	ఈ పానీయం మద్యం కలిగినది కాదు.
amazed	అద్భుతంగా ఆశ్చర్యపోయిన	ఆమె ఫలితంతో అద్భుతంగా ఆశ్చర్యపోయింది.
ambition	ఆకాంక్ష	అతని ఆకాంక్ష పైలట్ కావడం.
ambitious	ఆకాంక్ష గల	ఆమెకు ఆకాంక్ష గల ప్రణాళిక ఉంది.
analyse	విశ్లేషించు	మనం ఫలితాలను విశ్లేషించాలి.
analysis	విశ్లేషణ	ఆమె విశ్లేషణ స్పష్టంగా, జాగ్రత్తగా ఉంది.
announce	ప్రకటించు	వారు రేపు విజేతను ప్రకటిస్తారు.
announcement	ప్రకటన	ప్రకటన అందరినీ ఆశ్చర్యపరిచింది.
annoy	చికాకు పెట్టు	గట్టిగా ఉన్న సంగీతం పొరుగువారికి చికాకు పెట్టవచ్చు.
annoyed	చికాకు చెందిన	ఆలస్యానికి తర్వాత అతను చికాకు చెందినట్టు కనిపించాడు.
annoying	చికాకు కలిగించే	ఆ శబ్దం నిజంగా చికాకు కలిగించేలా ఉంది.
apart	వేరుగా	రెండు ఇళ్లు రెండు మీటర్లు వేరుగా ఉన్నాయి.
apologize	క్షమాపణ చెప్పు	ఆలస్యానికి నేను క్షమాపణ చెబుతున్నాను.
application	దరఖాస్తు	దయచేసి దరఖాస్తును ఆన్‌లైన్‌లో పూరించండి.
appointment	నియామకం	నాకు రేపు దంత వైద్యుడి నియామకం ఉంది.
appreciate	మెచ్చుకో	మీ సహాయాన్ని నేను మెచ్చుకుంటాను.
approximately	సుమారు	నడవడానికి సుమారు ఇరవై నిమిషాలు పడుతుంది.
arrest	అరెస్టు చేయు	పోలీసులు డ్రైవర్‌ను అరెస్టు చేశారు.
arrival	రాక	మా రాక ఊహించిన దానికంటే ఆలస్యమైంది.
assignment	పని	పని శుక్రవారం సమర్పించాలి.
assist	సహాయం చేయు	నర్సులు వైద్యుడికి సహాయం చేస్తారు.
atmosphere	వాతావరణం	కేఫ్‌లో ప్రశాంతమైన వాతావరణం ఉంది.
attach	జతచేయు	ఫైల్‌ను మీ ఇమెయిల్‌కు జతచేయండి.
attitude	వైఖరి	సమావేశం తర్వాత ఆమె వైఖరి మారింది.
attract	ఆకర్షించు	ప్రకాశవంతమైన పూలు తేనెటీగలను ఆకర్షిస్తాయి.
attraction	ఆకర్షణ	కోట ఒక ప్రసిద్ధ ఆకర్షణ.
authority	అధికారం	స్థానిక అధికారం రహదారిని మరమ్మత్తు చేసింది.
aware	తెలిసిన	ఆమె ప్రమాదం గురించి తెలిసి ఉంది.
backwards	వెనక్కి	అతను జాగ్రత్తగా వెనక్కి నడిచాడు.
bake	కాల్చి తయారు చేయు	నేను ప్రతి ఆదివారం రొట్టె కాల్చి తయారు చేస్తాను.
balance	సమతుల్యం	మంచి బూట్లు మీ సమతుల్యానికి సహాయం చేస్తాయి.
ban	నిషేధించు	నగరం కార్లను నిషేధిస్తుంది.
bank (river)	నది తీరం	మేము నది తీరంలో కూర్చున్నాము.
base	ఆధారం	బృందం ఆధారానికి తిరిగి వెళ్లింది.
basic	ప్రాథమిక	అందరికీ ప్రాథమిక కంప్యూటర్ నైపుణ్యాలు అవసరం.
basis	ఆధారం	నమ్మకం స్నేహానికి ఆధారం.
battery	బ్యాటరీ	నా ఫోన్ బ్యాటరీ తక్కువగా ఉంది.
battle	యుద్ధం	యుద్ధం మొత్తం రాత్రి కొనసాగింది.
beauty	అందం	మేము కొండల అందాన్ని ఆస్వాదించాము.
bee	తేనెటీగ	ఒక తేనెటీగ పువ్వుపై దిగింది.
belief	నమ్మకం	అతని నమ్మకం అతనికి ధైర్యం ఇచ్చింది.
bell	గంట	పాఠశాల గంట గట్టిగా మోగింది.
bend	వంచు	బరువును ఎత్తేటప్పుడు మోకాళ్లను వంచు.
bite	కాటు వేయు	కుక్క సందర్శకులను కాటు వేయవచ్చు.
block	అడ్డుకో	పడిపోయిన చెట్టు రహదారిని అడ్డుకుంది.
bomb	బాంబు	బాంబు కొన్ని భవనాలకు నష్టం చేసింది.
border	సరిహద్దు	వారు రాత్రి సరిహద్దును దాటారు.
bother	ఇబ్బంది పెట్టు	దయచేసి నీ చెల్లిని ఇబ్బంది పెట్టవద్దు.
branch	కొమ్మ	తుఫానులో ఒక కొమ్మ విరిగింది.
brand	బ్రాండ్	ఈ బ్రాండ్ విద్యార్థుల్లో ప్రసిద్ధి చెందింది.
brave	ధైర్యమైన	ధైర్యమైన మనిషి పిల్లవాడిని కాపాడాడు.
breath	శ్వాస	లోతైన శ్వాస తీసుకో.
breathe	శ్వాస తీసుకో	ఈ పొగలో నేను శ్వాస తీసుకోలేను.
breathing	శ్వాసించడం	ఆమె శ్వాసించడం మందగించింది.
bride	వధువు	వధువు తెల్లని దుస్తులు ధరించింది.
bubble	బుడగ	ఒక బుడగ గ్లాసు పైకి తేలింది.
