source_headword	SV	example_SV
abolish	avskaffa	Lagen kommer att avskaffa den gamla avgiften.
abortion	en abort	Abort förblir en känslig medicinsk fråga.
absence	en frånvaro	Hennes frånvaro försenade det slutgiltiga beslutet.
absent	frånvarande	Två medlemmar var frånvarande från lektionen.
absurd	absurd	Påståendet lät absurt för alla.
abundance	ett överflöd	Dalen har ett överflöd av vatten.
abuse	ett missbruk	Rapporten beskrev missförhållanden på arbetsplatsen.
academy	en akademi	Akademin utbildar unga musiker.
accelerate	påskynda	Ny finansiering kommer att påskynda forskningen.
acceptance	en acceptans	Hans acceptans av kritik imponerade på mig.
accessible	tillgänglig	Museet är tillgängligt för rullstolsburna.
accomplishment	en prestation	Att avsluta boken var en riktig prestation.
accordance	en överensstämmelse	Arbetet utfördes i överensstämmelse med policyn.
accordingly	därefter	Bevisen ändrades och vi agerade därefter.
accountability	en ansvarsskyldighet	Policyn ökar ansvarsskyldigheten för chefer.
accountable	ansvarig	Chefer är ansvariga för säkerheten.
accumulate	samlas	Damm kan samlas bakom skärmen.
accumulation	en ansamling	Ansamlingen av data tog månader.
accusation	en anklagelse	Anklagelsen chockade kommittén.
accused	den anklagade	Den anklagade dök upp i rätten.
acquisition	ett förvärv	Förvärvet expanderade företaget snabbt.
acre	en acre	Gården täcker en acre.
activation	en aktivering	Aktivering av kortet tar några minuter.
activist	en aktivist	Aktivisten talade på mötet.
acute	akut	Hon kände akut smärta efter löpningen.
adaptation	en anpassning	Bearbetningen ändrade romanens slut.
adhere	följa	Personalen måste följa säkerhetsreglerna.
adjacent	intilliggande	Hotellet ligger intill stationen.
adjustment	en justering	En liten justering löste problemet.
administer	ge	Sjuksköterskor ger vaccinet noggrant.
administrative	administrativ	Administrativ personal hanterar blanketterna.
administrator	en administratör	Administratören återställde mitt lösenord.
admission	ett inträde	Inträdet till museet är gratis.
adolescent	en tonåring	Tonåringen behövde extra stöd.
adoption	en adoption	Adoption gav barnet ett stabilt hem.
adverse	ogynnsam	Läkemedlet orsakade ogynnsamma effekter.
advocate	en advokat	Förespråkaren försvarade hyresgästernas rättigheter.
aesthetic	estetisk	Rummet har en lugn estetisk stil.
affection	en tillgivenhet	Hon visade tillgivenhet för sin familj.
aftermath	ett efterspel	Efterspelet av stormen var svårt.
aggression	en aggression	Läraren märkte av aggression på rasten.
agricultural	jordbruks-	Jordbruksexporten ökade i år.
aide	en assistent	Assistenten organiserade ministerns schema.
albeit	om än	Planen fungerade, om än långsamt.
alert	varna	Vänligen uppmärksamma personalen omedelbart.
align	vara i linje med	Pilarna ligger i linje med vägen.
alignment	en justering	Hjulinställningen förbättrade bilens väghållning.
alike	likadant	Tvillingarna klär sig likadant på helgerna.
allegation	ett påstående	Påståendet dök upp i tidningen.
allege	påstå	De påstår att medel har gått förlorade.
allegedly	enligt uppgift	Föraren ignorerade enligt uppgift varningen.
alliance	en allians	Partierna bildade en tillfällig allians.
allocate	tilldela	Staden kommer att tilldela pengar till skolor.
allocation	en tilldelning	Tilldelningen av platser var orättvis.
allowance	en veckopeng	Hennes fickpengar täcker lunch och transport.
ally	en allierad	Kanada blev en nära allierad.
aluminium	ett aluminium	Ramen är gjord av aluminium.
amateur	en amatör	En amatörfotograf tog bilden.
ambassador	en ambassadör	Ambassadören träffade lokala studenter.
amend	ändra	Parlamentet röstade för att ändra lagen.
amendment	en ändring	Ändringen ändrade ett stycke.
amid	mitt i	Talet kom mitt i växande spänning.
analogy	en analogi	Läraren använde en enkel analogi.
anchor	ett ankare	Båten släppte ankar nära ön.
angel	en ängel	Barnet bar en ängladräkt.
anonymous	anonym	Klagomålet var anonymt.
apparatus	en apparat	Laboratorieapparaten behöver rengöras.
appealing	tilltalande	Erbjudandet ser tilltalande ut för studenter.
appetite	en aptit	Träning ökade hans aptit.
applaud	applådera	Publiken började applådera högt.
applicable	tillämplig	Rabatten är tillämplig idag.
appoint	utse	Styrelsen kommer att utse en direktör.
appreciation	en uppskattning	Hon uttryckte uppskattning för deras hjälp.
arbitrary	godtycklig	Deadline verkade godtycklig för personalen.
architectural	arkitektonisk	Staden skyddar sitt arkitektoniska arv.
archive	ett arkiv	Arkivet lagrar gamla fotografier.
arena	en arena	Debatten flyttade till den offentliga arenan.
arguably	utan tvekan	Detta är utan tvekan hans bästa roman.
arm	beväpna	Vakterna kommer att beväpna konvojen.
