simplified	KM	example_KM
啊	ភាគល្អិតបញ្ជាក់; អា	ល្អអា យើងទៅឥឡូវនេះ។
阿姨	មីង; អ្នកមើលកូន	មីងធ្វើការនៅផ្សារទំនើប។
矮	ទាប; ខ្លី	តុនេះទាបបន្តិច។
爱好	ចំណូលចិត្ត	ចំណូលចិត្តរបស់ខ្ញុំគឺស្តាប់តន្ត្រី។
安静	ស្ងាត់; សុខសាន្ត	ក្នុងបណ្ណាល័យស្ងាត់ណាស់។
把	កាន់; យក; ភាគល្អិតសម្រាប់កម្មបទ	សូមបិទទ្វារ។
搬	រើ; ផ្លាស់ទី	យើងនឹងរើផ្ទះស្អែក។
班	ថ្នាក់; ក្រុម	ក្នុងថ្នាក់យើងមានសិស្សម្ភៃនាក់។
办法	វិធី; ដំណោះស្រាយ	វិធីនេះល្អណាស់។
办公室	ការិយាល័យ	អ្នកគ្រប់គ្រងនៅក្នុងការិយាល័យ។
半	កន្លះ; ពាក់កណ្តាល	ខ្ញុំបានរង់ចាំកន្លះម៉ោង។
帮忙	ជួយ; ជួយការងារ	អ្នកអាចជួយបានទេ?
包	កាបូប; ខ្ចប់	នាងបានទិញកាបូបថ្មីមួយ។
饱	ឆ្អែត	ខ្ញុំឆ្អែតហើយ។
北方	ភាគខាងជើង	រដូវរងានៅភាគខាងជើងត្រជាក់ណាស់។
被	ភាគល្អិតអកម្ម; ត្រូវបាន	កង់របស់ខ្ញុំត្រូវមិត្តភក្តិខ្ចីយកទៅហើយ។
鼻子	ច្រមុះ	ច្រមុះរបស់គាត់ក្រហមបន្តិច។
比较	ប្រៀបធៀប; គួរសម; បន្តិច	ថ្ងៃនេះក្តៅគួរសម។
比赛	ការប្រកួត	ការប្រកួតនេះសំខាន់ណាស់។
笔记本	សៀវភៅកត់ត្រា	ខ្ញុំដាក់សៀវភៅកត់ត្រានៅលើតុ។
必须	ត្រូវតែ	អ្នកត្រូវតែពិនិត្យមេរៀនយ៉ាងម៉ត់ចត់។
变化	ការផ្លាស់ប្តូរ; ផ្លាស់ប្តូរ	ទីក្រុងនេះផ្លាស់ប្តូរច្រើនណាស់។
别人	អ្នកដទៃ	កុំយករបស់អ្នកដទៃ។
冰箱	ទូទឹកកក	ផ្លែឈើនៅក្នុងទូទឹកកក។
不但…而且…	មិនត្រឹមតែ...ប៉ុណ្ណោះទេ ថែមទាំង...ផង	គាត់មិនត្រឹមតែឆ្លាតទេ ថែមទាំងខិតខំខ្លាំងផង។
菜单	មុខម្ហូប; បញ្ជីមុខម្ហូប	សូមផ្តល់បញ្ជីមុខម្ហូបមួយឱ្យខ្ញុំ។
参加	ចូលរួម	ខ្ញុំចង់ចូលរួមកិច្ចប្រជុំនេះ។
草	ស្មៅ	កូនឆ្កែកំពុងរត់លើស្មៅ។
层	ជាន់; ស្រទាប់	អាគារនេះមានបីជាន់។
差	អាក្រក់; ខុសគ្នា; ខ្វះ	អាកាសធាតុថ្ងៃនេះអាក្រក់ណាស់។
超市	ផ្សារទំនើប	ខ្ញុំទៅផ្សារទំនើបទិញនំប៉័ង។
衬衫	អាវសឺមី; អាវ	អាវសឺមីនេះស្អាតណាស់។
城市	ទីក្រុង	ប៉េកាំងជាទីក្រុងធំមួយ។
成绩	ពិន្ទុ; លទ្ធផលសិក្សា	ពិន្ទុគណិតវិទ្យារបស់គាត់ល្អណាស់។
迟到	មកយឺត	កុំមកយឺតពេលចូលរៀន។
除了	ក្រៅពី; លើកលែងតែ	ក្រៅពីកាហ្វេ ខ្ញុំក៏ចង់បានតែផង។
船	ទូក; កប៉ាល់	យើងជិះទូកទៅទីក្រុងនោះ។
春	រដូវផ្ការីក	រដូវផ្ការីកមានផ្កាច្រើន។
词典	វចនានុក្រម	វចនានុក្រមនេះមានប្រយោជន៍ណាស់។
聪明	ឆ្លាត	ក្មេងនេះឆ្លាតណាស់។
打扫	សម្អាត; បោស	ខ្ញុំសម្អាតបន្ទប់នៅចុងសប្តាហ៍។
打算	ផែនការ; គ្រោង	ថ្ងៃស្អែកអ្នកមានផែនការអ្វី?
带	យកតាម; នាំ	សូមយកលិខិតឆ្លងដែនរបស់អ្នកតាម។
担心	បារម្ភ	កុំបារម្ភ ខ្ញុំនឹងជួយអ្នក។
蛋糕	នំខេក	នំខេកនេះផ្អែមណាស់។
当然	ជាក់ជាមិនខាន; ពិតណាស់	ពិតណាស់បាន។
地	ភាគល្អិតកិរិយាវិសេស	គាត់សើចដោយរីករាយ។
灯	ចង្កៀង; ភ្លើង	សូមបើកភ្លើង។
地方	កន្លែង; តំបន់	កន្លែងនេះស្ងាត់ណាស់។
地铁	រថភ្លើងក្រោមដី	ខ្ញុំជិះរថភ្លើងក្រោមដីទៅធ្វើការរាល់ថ្ងៃ។
地图	ផែនទី	ខ្ញុំរកសាលារៀនលើផែនទី។
