source_headword	IS	example_IS
crawl	að skríða	Barnið byrjaði að skríða yfir teppið.
creator	skapari	Skaparinn þakkaði öllum fyrir stuðninginn.
credibility	trúverðugleiki	Vitnið missti trúverðugleika við yfirheyrslur.
credible	trúverðugur	Skýrslan lagði fram trúverðugar sannanir.
creep	að læðast	Þokan byrjaði að læðast um dalinn.
critique	gagnrýni	Prófessorinn gaf ítarlega gagnrýni.
crown	kóróna	Drottningin bar silfurkórónu.
crude	grófur	Teikningin var gróf en skýr.
crush	að kremja	Þungir steinar geta kramið rörið.
crystal	kristall	Kristallinn endurspeglaði morgunbirtuna.
cult	sértrúarsöfnuður	Sértrúarsöfnuðurinn einangraði meðlimi sína.
cultivate	að rækta	Bændur rækta hrísgrjón á þessu svæði.
curiosity	forvitni	Forvitnin leiddi hana út í vísindi.
custody	forsjá	Barnið var áfram í forsjá föður síns.
cutting	úrklippa	Dagblaðið birti úrklippu um hann.
cynical	kaldhæðinn	Kaldhæðnisleg athugasemd hans kom liðinu í uppnám.
dam	stífla	Stíflan heldur aftur af árinu.
damaging	skaðlegur	Skaðlega greinin skaðaði herferðina.
dawn	dögun	Við yfirgáfum þorpið í dögun.
debris	brak	Brak eftir storminn lokaði veginum.
debut	frumraun	Frumraun hennar vakti athygli á landsvísu.
decision-making	ákvarðanataka	Góð ákvarðanataka krefst skýrra upplýsinga.
decisive	afgerandi	Afgerandi aðgerð hennar kom í veg fyrir frekara tjón.
declaration	yfirlýsing	Ráðherrann las upp formlega yfirlýsingu.
dedicated	hollur	Dygg hjúkrunarkonan vann yfir nóttina.
dedication	eljusemi	Eljusemi hans hvatti yngri leikmenn.
deed	dáð	Hugrakka dáðin bjargaði tveimur mannslífum.
deem	að telja	Dómstóllinn gæti talið samninginn ógildan.
default	sjálfgefið gildi	Notaðu sjálfgefna stillingu að svo stöddu.
defect	galli	Eftirlitsmenn fundu alvarlegan galla.
defensive	í vörn	Varnarlegur tónn hans kom öllum á óvart.
deficiency	skortur	Járnskortur getur haft áhrif á heilsuna.
deficit	halli	Fjárlagahallinn olli embættismönnum áhyggjum.
defy	að bjóða byrginn	Mótmælendur ákváðu að bjóða banninu byrginn.
delegate	fulltrúi	Hver fulltrúi fékk atkvæðaseðil.
delegation	sendinefnd	Sendinefndin kom fyrir hádegi.
delicate	viðkvæmur	Viðkvæma glerið brotnaði auðveldlega.
demon	djöfull	Sagan lýsir fornum djöfli.
denial	neitun	Neitun hans reitti fórnarlömbin til reiði.
denounce	að fordæma	Leiðtogar fordæma ofbeldi í skólum.
dense	þéttur	Þétti skógurinn lokaði á sólarljósið.
density	þéttleiki	Mannfjöldaþéttleiki er mikill í miðbænum.
dependence	að vera háður	Háð landsins á olíu fór minnkandi.
depict	að sýna	Veggmyndin sýnir lífið í þorpinu.
deploy	að senda út	Herinn mun senda út viðbótarstarfsfólk.
deployment	útsending	Útsending hermanna hófst á mánudag.
deprive	að svipta	Svefnleysi getur svipt nemendur einbeitingu.
deputy	staðgengill	Staðgengillinn skrifaði undir samninginn.
descend	að lækka	Slóðin byrjaði að lækka hratt.
descent	lækkun	Flugvélin hóf lækkun sína.
designate	að útnefna	Borgin mun útnefna nýjan garð.
desirable	æskilegur	Góð lýsing er æskileg í skólastofum.
desktop	skjáborð	Skráin er á skjáborðinu mínu.
destructive	eyðileggjandi	Stormurinn hafði eyðileggjandi kraft.
detain	að halda eftir	Lögreglan gæti haldið grunuðum yfir nótt.
detection	greining	Snemmbær greining bætir krabbameinsmeðferð.
detention	varðhald	Nemendurnir mótmæltu aðstæðum í varðhaldi.
deteriorate	að versna	Heilsa hans byrjaði að versna.
devastate	að leggja í rúst	Jarðskjálftinn getur lagt strandbæi í rúst.
devil	djöfull	Barnið teiknaði brosandi djöful.
devise	að hanna	Verkfræðingar hanna öruggari samgöngukerfi.
diagnose	að greina	Læknar greina sjúkdóminn með blóðprufum.
diagnosis	sjúkdómsgreining	Greiningin útskýrði einkenni hennar.
dictate	að stýra	Samningurinn mun stýra greiðsluskilmálum.
dictator	einræðisherra	Einræðisherrann stjórnaði fjölmiðlum.
differentiate	að greina á milli	Geturðu greint á milli staðreynda og skoðana?
dignity	virðing	Allir eiga skilið virðingu í vinnunni.
dilemma	klípa	Framkvæmdastjórinn stóð frammi fyrir alvarlegri klípu.
dimension	vídd	Vandamálið hefur pólitíska vídd.
diminish	að minnka	Sársaukinn ætti að minnka hægt.
dip	að falla	Hitastig gæti fallið niður fyrir frostmark.
diplomat	stjórnarerindreki	Diplómatinn hitti erlenda leiðtoga.
diplomatic	diplómatískur	Diplómatísku viðræðurnar héldu áfram yfir nóttina.
directory	skrá	Leitaðu að númerinu hans í skránni.
disastrous	hörmulegur	Hörmulega flóðið eyðilagði nokkrar brýr.
discard	að henda	Ekki henda gagnlegum gögnum.
discharge	að útskrifa	Sjúkrahúsið mun útskrifa hann á morgun.
disclose	að upplýsa	Embættismenn neituðu að upplýsa um tölurnar.
disclosure	uppljóstrun	Uppljóstrunin hneykslaði stjórnina.
discourse	orðræða	Opinber orðræða varð kurteisari.
discretion	eigið mat	Notaðu eigið mat í viðkvæmum málum.
discrimination	mismunun	Lögin banna mismunun við ráðningar.
dismissal	brottrekstur	Brottrekstur hans olli reiði almennings.
displace	að hrekja á flótta	Stríðið gæti hrakið þúsundir á flótta.
disposal	förgun	Förgun úrgangs er enn staðbundið vandamál.
dispose	að farga	Fyrirtækið verður að farga efnum á öruggan hátt.
dispute	deila	Deilan stóð yfir í marga mánuði.
disrupt	að trufla	Hávaði getur truflað einbeitingu.
disruption	truflun	Verkfallið olli mikilli truflun.
dissolve	að leysast upp	Sykur leysist upp í heitu tei.
distinction	greinarmunur	Greinarmunurinn á þeim er mikilvægur.
distinctive	einkennandi	Hún hefur einkennandi rödd.
distort	að bjaga	Spegillinn getur bjagað spegilmynd þína.
distress	vanlíðan	Símtalið olli alvarlegri vanlíðan.
disturbing	óhugnanlegur	Heimildarmyndin sýndi óhugnanlegar senur.
divert	að beina	Lögreglan þurfti að beina umferðinni annað.
divine	guðlegur	Kapellan hefur guðlegt andrúmsloft.
doctrine	kenning	Flokkurinn hafnaði gömlu kenningunni.
documentation	skjölun	Ljúktu við skjölunina fyrir kynningu.
domain	lén	Vefsíðan notar öruggt lén.
dominance	yfirráð	Yfirráð liðsins stóðu yfir í áratug.
donor	gjafi	Gjafinn gaf blóð í dag.
dose	skammtur	Taktu einn skammt eftir morgunmat.
drain	renna	Vatnið mun renna út í ána.
drift	reka	Reyk tók að reka yfir veginn.
driving	drifkraftur	Rigning var helsti þátturinn á bak við tafirnar.
drown	drukkna	Syndu aldrei þar sem straumar geta drekkt þér.
dual	tvöfaldur	Tækið hefur tvöfalda virkni.
dub	kalla	Gagnrýnendur kalla borgina menningarhöfuðborg.
dumb	heimskulegur	Þetta var heimskuleg mistök.
duo	tvíeyki	Gríntvíeykið fór í tónleikaferð um Evrópu.
eager	ákefð	Nemendur voru ákafir að byrja.
earnings	tekjur	Tekjur fyrirtækisins jukust mikið.
ease	auðvelda	Nýji vegurinn mun auðvelda umferð.
echo	bergmála	Rödd hennar bergmálaði í salnum.
ecological	vistfræðilegur	Vistfræðileg áhrif eru enn óviss.
educator	kennari	Kennarinn hannaði nýtt námskeið.
effectiveness	árangur	Rannsóknin mældi virkni bóluefnisins.
efficiency	skilvirkni	Betri hugbúnaður jók skilvirkni.
ego	sjálf	Sjálf hans olli vandamálum í vinnunni.
elaborate	flókinn	Íburðarmikli búningurinn tók vikur.
electoral	kosninga	Kosningakerfið breyttist á síðasta ári.
elevate	hefja	Verðlaunin munu hefja orðstír hennar.
eligible	gjaldgengur	Aðeins íbúar eiga rétt á afslætti.
elite	yfirstétt	Yfirstéttin æfði við einkaakademíu.
embark	leggja af stað	Þau munu leggja af stað í langa ferð.
embarrassment	vandræði	Hann hló til að fela vandræði sín.
embassy	sendiráð	Sendiráðið gaf út nýjar ferðaráðleggingar.
embed	fella inn	Blaðamaðurinn mun fylgja herdeildinni.
embody	fela í sér	Styttan virðist fela í sér hugrekki.
emergence	tilkoma	Tilkoma síma breytti daglegu lífi.
empirical	reynslu	Greinin byggir á reynslugögnum.
empower	styrkja	Menntun getur styrkt nærsamfélög.
enact	lögfesta	Þingið kaus að lögfesta umbæturnar.
encompass	ná yfir	Námskeiðið mun ná yfir nútímasögu.
encouragement	hvatning	Hvatning hennar hjálpaði honum að halda áfram.
